author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITCH SMITH,"Im looking at global warming I dont need to see the graphs, said Hamburgs mayor, Cathy Crain, referring to the role of climate change in increasing the frequency of extreme weather events. After two record-setting floods in a single decade, Ms. Crain said, Im living it and everybody else here is living it.
The flood spoiled a time of cautious optimism in Hamburg, which like many rural Midwestern towns now has about half the population it once did. Next week, Dr. Wells, the school superintendent, was scheduled to ask state officials for permission to reopen the towns high school, a move seen as crucial to keeping young families in town. Before the water hit, Ms. Crain said, people were talking about building a new subdivision and finding new residents.
But as floodwaters receded in other places, Hamburg remained largely submerged on Wednesday. On the dry side of town, residents visited the school to pick up hot meals and donated clothes that filled the gym. Ms. Crain, who was operating from a makeshift City Hall in the schools home economics classroom, spoke hopefully about getting businesses back open, even as she coordinated more immediate concerns like hot showers and restoring gas service.
We had certainly our horrible moments were not through with that yet, Ms. Crain said. Today, were up and we are saying theres going to be a future. She said she was hopeful once again for another project too: a higher levee.","Hamburg residents held back the Missouri River in 2011, then had to take down the homemade levee that saved them. Much of the town is now under water.",2019-03-20T23:07:35Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",An Iowa Town Fought and Failed to Save a Levee. Now It’s Flooded.,https://www.nytimes.com/2019/03/20/us/flooding-iowa-hamburg.html,https://static01.nyt.com/images/2019/03/20/us/20floodtown-01/20floodtown-01-facebookJumbo.jpg,the-new-york-times,The New York Times,levee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOHN SCHWARTZ,"So what did we miss? The city was too corrupt in a state that was too corrupt. We let education get away from us; our kids were being educated in awful buildings, and they werent learning very much. Although crime and the murder rate continue to go down, its still way too high. Income inequality continues to plague us. So if the citys going to succeed like all great cities Detroitll survive, Chicago, which was in a bad place in the 60s, has come back you need a good couple of generations of really good leadership. The citys got a long way to go. Its still one of the great cities of the world. But from an infrastructure perspective, were in a really bad situation. MR. BAQUET Are there places that shouldnt be rebuilt? Im not just talking about New Orleans. Ive spent six years in California there are places where the wildfires are that people once didnt live. Do you rebuild all of New Orleans East? Do you rebuild the parts of San Juan that are going to get whacked in the next storm? MR. LANDRIEU Were going to get hit by a lot of stuff. In the West, youre going to continue to get wildfires; youre going to get earthquakes. In the heartland, youre going to get tornadoes. In the East,youre going to get hurricanes. Eighty-five percent of the people in this country live in and around what we would call vulnerable areas. If climate change continues to do what it does, in 30 or 40 years New Orleans is going to be an island protected by the $14.6 billion levy barrier that we have, and everything south of I-10 is going to be compromised. If you back up a little bit and dont get too afraid within 100 years, the parallel where Austin and Atlanta are, is going to be the southern part of the country. That requires you to do a lot of thinking about prevention, about where people can live, where to put massive infrastructure investments. And the countrys really not having an honest discussion about that.","Water spilled over a levee along the Inner Harbor Navigation Canal, also known as the Industrial Canal, in New Orleans on Aug. 30, 2005, in the aftermath of Hurricane Katrina.",2018-12-13T07:15:07Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","After a Natural Disaster, Is It Better to Rebuild or Retreat?",https://www.nytimes.com/2018/12/13/us/after-a-natural-disaster-is-it-better-to-rebuild-or-retreat.html,https://static01.nyt.com/images/2018/12/13/autossell/13city-dean2/merlin_14104013_c188ab69-e199-480d-bfbd-563806c9ddfd-facebookJumbo.jpg,the-new-york-times,The New York Times,levee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY FOUNTAIN,"About three-quarters of the land at Dos Rios was owned by a dairy farmer who was tired of dealing with flooding and sold it in 2012 to River Partners, with various state and federal agencies financing the $21.8 million cost. An adjacent farmer then sold his land to the group in 2014 for $9.3 million. The result is 2,100 acres, including three miles of frontage along the Tuolumne River and four and a half along the San Joaquin. River Partners is removing berms along the riverfront that the owners formed from earth and rubble to keep the smallest floods out. A higher, more permanent levee, built by the United States Army Corps of Engineers in the 1950s, protects about 1,000 acres in the core of the project, back from the rivers. Modifications will allow water to enter, so the area will serve as a giant bathtub, holding up to 10,000 acre-feet of floodwater. This will not only reduce river levels, but as the water percolates into the land it should provide another benefit, helping to recharge aquifers that have been depleted statewide because of pumping for agriculture. About 600 acres inside the levee have been converted from farmland to riparian woodlands, and another 700 acres inside and outside the levee are in the process of being restored. The entire project should be finished by the middle of next decade, Mr. Carlon said. River Partners plants many species — trees like cottonwood and black willow, shrubs like golden currant and valley elderberry and a variety of grasses — all of which can recover after being underwater for months. The planting, much of which is done by young workers with the state-run California Conservation Corps, is done with all the precision of modern agriculture. A field about to be restored looks much like any cropland, with furrows and markings where the various young plants are to be placed, all determined ahead of time.",The state expects drier dry years and wetter wet ones in the decades ahead. That means projects to restore river habitats now serve another purpose: battling the coming floods.,2018-07-15T10:00:04Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",California Is Preparing for Extreme Weather. It’s Time to Plant Some Trees.,https://www.nytimes.com/2018/07/15/climate/california-is-preparing-for-extreme-weather-its-time-to-plant-some-trees.html,https://static01.nyt.com/images/2018/07/02/climate/xxcli-floodplain-conservationcorps/xxcli-floodplain-conservationcorps-facebookJumbo.jpg,the-new-york-times,The New York Times,levee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MITCH SMITH, JOHN SCHWARTZ and TIM GRUBER","Many of the levees, usually earthen and topped with grass, were built by farmers decades ago and are now managed by a patchwork of local government agencies known as levee districts that often do not coordinate or even follow the same rules. With increased flooding in the past few years, the levees are being tested more frequently than ever before, straining the finances and expertise of some of those districts. The levee situation has become so grave that the American Society of Civil Engineers gave the countrys levee system a D grade in 2017, suggesting $80 billion in investment over 10 years.
When the next one comes along bigger, they either fail or are overtopped again, said Nicholas Pinter, an expert on rivers and flooding at the University of California, Davis.
According to the United States Army Corps of Engineers, which oversees infrastructure on the Missouri River and some of its tributaries, at least 62 levees had been breached or overtopped in the Midwest in March, and hundreds of miles of levees had sustained damage.
When they run water over the top of them, theres not anything you can do, said Pat Sheldon, the president of a rural levee district in southwest Iowa that was still paying off repairs from the 2011 flood. This time, Mr. Sheldon said, the damage to the levees was much worse, perhaps in the hundreds of millions of dollars. Its terrible, said Mr. Sheldon, whose farm was also cut off by the water.
In Missouri, Mr. Bullock pointed out a levee that last week had been split open and consumed by the river. A large log swirled in the water near where the earthen berm should have been. I dont know what were going to do this time, he said.
The Army Corps of Engineers, which helps determine water levels by operating a series of dams on the Missouri River, tries to balance the needs of many who use the rivers it manages, including farmers, barge shippers, endangered animal species and people who use the water for recreation. Those interests are sometimes at odds, and have been the subject of decades of litigation. Corps officials say they are not allowed to change the congressionally authorized purposes of the reservoirs, though they had been most focused on limiting floods for the past year.
The Corpss No. 1 priority in its operations is life safety, said Maj. Gen. Scott A. Spellmon, the Corpss deputy commanding general for civil and emergency operations, in a statement. Our current focus is to protect life, mitigate risks to flooding events and repair damages due to the recent events in the basin.","Hundreds of miles of levees in the Midwest have been overwhelmed by the floods, leaving “Swiss cheese” infrastructure and reigniting a flood control debate.",2019-03-31T09:00:10Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","‘Breaches Everywhere’: Midwest Levees Burst, and Tough Questions Follow",https://www.nytimes.com/2019/03/31/us/midwest-floods-levees.html,https://static01.nyt.com/images/2019/03/29/us/00levees-01/00levees-01-facebookJumbo.jpg,the-new-york-times,The New York Times,levee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JACK HEALY,"As far as what condition those levees are in, and how vulnerable they are to flooding, it is almost impossible to know. According to the National Committee on Levee Safety, there are no national policies or standards on levee safety, and there is no full assessment of their condition and performance. Only 10 states keep a list of their levees, and fewer than half have a state agency responsible for levee safety.
Weve adopted this piecemeal approach, said Nicholas Pinter, a geology professor at the University of California, Davis. We built these walls up to give the illusion of protection.
From above, the lines of earthen levees that line the Missouri River in Mills County, Iowa, look like they have been decimated by a marauding army. Frigid, murky floodwater pours through huge, ragged gaps and spreads out for miles.
The countys levees held during 2011 floods that inundated towns across the Midwest, but this is different, said Mr. Hurst, the countys emergency management director.
Heavy rains from what meteorologists called a bomb cyclone storm that ripped across the plains fell onto frozen ground, and instead of soaking in, the rains and snowmelt poured into tiny creeks, tributaries and into the Missouri River.
Mr. Hurst said he watched the flow rate at one marker along the Missouri River soar from 16,000 cubic feet per second to 90,000. Water cascaded over the top of levees like a waterfall, he said, eroding the earthen banks and opening eight breaches.","At least 50 levees have been breached or overtopped by rivers engorged with late-winter rains and snowmelt, according to the Army Corps of Engineers.",2019-03-22T22:51:01Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","As Floods Inundate the Midwest, Many Ask: Will Our Levees Be the Next to Fail?",https://www.nytimes.com/2019/03/22/us/midwest-flooding-levees.html,https://static01.nyt.com/images/2019/03/22/us/22floods1/22floods1-facebookJumbo.jpg,the-new-york-times,The New York Times,levee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITCH SMITH,"CHICAGO Severe floods closed highways, caused evacuations and forced a series of tense water rescues across the Midwest on Thursday as melting snow and heavy rain created dangerous conditions.
If you choose to stay where youre at, youre on your own, said Shane Weidner, the public safety director in Norfolk, Neb., where a levee system was nearing capacity and police officers had told about one-third of the citys 24,000 residents to evacuate.
Mr. Weidner said one person was reported missing in Norfolk and a family of 10 was stranded in a home surrounded by rising waters. City officials were asking residents with airboats for their help in rescuing the family. Elsewhere in Nebraska, state officials said at least one person had died. Search and rescue teams were trying to reach others who were trapped.
Across parts of Nebraska, South Dakota and Iowa, rising water was threatening homes and covering farm fields, and the authorities warned people to stay off swamped roadways. In Minnehaha County, S.D., which includes Sioux Falls, the sheriffs office posted a photo of a car washed off the road. In Sergeant Bluff, Iowa, near Sioux City, residents were asked to conserve their water use because all the draining water is inundating our sewer system. And in Nebraska, the State Patrol said at least one rural bridge appeared to have been destroyed and that large ice blocks had washed down from rivers and covered highways.","Martin Thompson cleared snow from a sidewalk on Wednesday in Casper, Wyo. The storm brought blizzard conditions to parts of Colorado, Wyoming, Montana, Nebraska and South Dakota.",2019-03-14T23:15:30Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","No, Winter Isn’t Over. Hitting the Plains: A Flood and a Blizzard.",https://www.nytimes.com/2019/03/14/us/bomb-cyclone-floods-midwest.html,https://static01.nyt.com/images/2019/03/14/us/14Floods-1/14Floods-1-facebookJumbo.jpg,the-new-york-times,The New York Times,levee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRIS STANFORD,"• What we’re reading Albert Sun, an assistant editor, recommends this presentation from ProPublica and Reveal: “The two news organizations hired engineers to build scale models of different levee systems and to test rising water levels. The conclusions are clear: These flood prevention systems can actually make floods worse.” In the song “Imagine,” John Lennon sang about a world with no religion. But religion was at the center of a controversy involving the Beatles guitarist, who apologized on Aug. 11, 1966, for favorably comparing his band’s popularity to that of Jesus. John Lennon in 1964. Credit Harry Benson, via Getty Images “Christianity will go,” Mr. Lennon had said in an interview published five months earlier. “It will vanish and shrink. I needn’t argue about that; I know I’m right and I will be proved right. We’re more popular than Jesus now. I don’t know which will go first — rock &amp; roll or Christianity.” The profile ran in a British newspaper without controversy. But when a teen magazine in the U.S. reprinted the quote in late July — just before the Beatles embarked on a U.S. tour — Americans took the slight to heart. Radio stations, particularly in the South, refused to play the Fab Four’s music. Members of the Ku Klux Klan picketed the tour, and conservative groups burned their records. Mr. Lennon apologized at the start of the tour — which ended up being the Beatles’ last — but it was clear he was frustrated by the outrage: “I suppose if I had said television was more popular than Jesus, I would have got away with it. I am sorry I opened my mouth.”",Supporters of Argentina’s move to legalize some abortions comforted one another in Buenos Aires today after senators narrowly rejected the bill.,2018-08-09T09:44:02Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","Chris Collins, Argentina, Bill Hybels: Your Thursday Briefing",https://www.nytimes.com/2018/08/09/briefing/chris-collins-argentina-bill-hybels.html,https://static01.nyt.com/images/2018/08/09/world/09USBriefing-amcore/09USBriefing-Argentina-facebookJumbo.jpg,the-new-york-times,The New York Times,levee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,"OMAHA, Neb. (AP) Authorities were using boats and large vehicles on Saturday to rescue and evacuate residents in parts of the Midwest where a recent deluge of rainwater and snowmelt was sent pouring over frozen ground, overwhelming creeks and rivers, and killing at least one person.
Rescue efforts in eastern Nebraska were hampered by reports of levee breaches and washouts of bridges and roads, including part of Nebraska Highway 92, leading in and out of southwest Omaha. Authorities confirmed that a bridge on that highway that crosses the Elkhorn River had been washed out Saturday. In Freemont, west of Omaha, the Dodge County Sheriffs Office issued a mandatory evacuation for some residents after floodwaters broke through a levee along the Platte River. And in Mills County, Iowa, authorities ordered people in some rural areas to evacuate after the Missouri River overtopped levees.
The flooding followed days of snow and rain record-setting, in some places that swept through the West and Midwest. The deluge pushed some waterways, including the Missouri River, to record levels in Nebraska, South Dakota, Iowa and Minnesota. The flooding was the worst in nearly a decade in places.
The family of farmer James Wilke, 50, of Columbus, Nebraska, said he was killed Thursday when a bridge collapsed as he was using his tractor to try to reach stranded motorists on Thursday. His body was found downstream, his cousin Paul Wilke told the Columbus Telegram. Gass Haney Funeral Home confirmed James Wilkes death.
At least two other people were missing in floodwaters in Nebraska. Officials said a Norfolk man was seen on top of his flooded car late Thursday before being swept away in the water and another man was swept away by waters when a dam collapsed on the Niobrara River.
Officials in Sarpy County, south of Omaha, said Saturday that power may be shut off to communities along the Missouri, Platte and Elkhorn rivers for safety reasons. They warned those who choose to ignore calls to evacuate that rescues would be attempted only during daylight hours. Some cities and towns, such as North Bend on the banks of the Platte River, were submerged. Others, such as Waterloo and Freemont, were surrounded by floodwaters, stranding residents in virtual islands with no access in or out.
There is no way out of here unless youve got a helicopter or a boat, the Rev. Mike Bitter, pastor of Christian Church of Waterloo, told the Omaha World-Herald.
Officials in western Iowa and eastern Nebraska were urging people not to drive unless necessary. In Iowa, a section of northbound Interstate 29 that runs parallel to the Missouri River was closed due to flooding. Authorities were rerouting motorists at Kansas City, Missouri, using a detour that took people almost 140 miles (225 kilometers) out of the way.
Farther east, the Mississippi River saw moderate flooding in Illinois from Rock Island south to Gladstone. Meteorologist Brian Pierce with the National Weather Services Quad Cities office in Davenport, Iowa, said flooding on the Mississippi could get worse a few weeks as more snow melts in Minnesota and Wisconsin.
What were having now is the dress rehearsal for the main event thats going to happen in early April, he said of the flooding on the Mississippi.
Rising waters along the Pecatonica and Rock rivers flooded some homes in the northern Illinois cities of Freeport, Rockford and Machesney Park. The National Weather Service said record crests were possible along the rivers, with water levels forecast to continue to rise over the next several days and remain above flood stage through most of the weekend.
Freeport resident Mary Martin told the (Freeport) Journal-Standard that she went to the store to get milk and bread when she saw floodwaters were rising Friday.
Within an hour of going to the store, I could not get back in. Thats how fast the water was coming up, Martin said.
___
Associated Press reporter Caryn Rousseau contributed from Chicago.",Rescue efforts in eastern Nebraska were hampered by reports of levee breaches and washouts of bridges and roads.,2019-03-16T20:36:58Z,"{'id': None, 'name': 'Huffpost.com'}","One Dead, Multiple Missing After Extreme Floodwaters Overwhelm Nebraska, Midwest",https://www.huffpost.com/entry/nebraska-midwest-snowmelt-rains-flooding_n_5c8d5c67e4b03e83bdc1a491,https://img.huffingtonpost.com/asset/5c8d5e0d23000035006bf93e.jpeg?cache=uwpx5kpo8l&ops=1910_1000,,Huffpost.com,levee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARRY MEIER,"The report estimated that the typical six-year delay in starting large building projects costs the country $3.7 trillion in lost economic activity, more than twice the amount needed to address the most urgent infrastructure needs. Along with roadblocks to speedy federal approval, the report blamed delays on such factors as fear of litigation and overly broad environmental reviews on all levels of government. “They have embraced some of the goals and core ideas” in our report, said Philip K. Howard, who heads Common Good and is a lawyer at Covington &amp; Burling in Manhattan. He had been a member of President Trump’s Strategic and Policy Forum, which disbanded in August after Mr. Trump’s remarks about the racial violence in Charlottesville, Va. An analysis by the Congressional Research Service found that some of the claims in Common Good’s report, including the $3.7 trillion estimate, lacked a statistical basis, though the group had defended its work. Infrastructure experts say that a lack of public and private funding, rather than bureaucratic delays, is the principal reason infrastructure projects stall. (In its budget proposal, the Trump administration has issued a six-page fact sheet about infrastructure funding, including private investment.) Still, they agree that the permitting process can be improved and streamlined. In addition to federal reviews, states and local governments must also approve major proposals — frequently a fraught process — and residents and other interest groups often use the courts to block or delay construction. Several recent projects illustrate the pitfalls new proposals confront and the challenge Mr. Trump faces in breaking the logjams. Politicians Want It Their Way, Or No Way Photo A New Jersey Transit train arriving at Penn Station. Credit Dave Sanders for The New York Times Long-overdue maintenance this summer to the train tracks leading to Pennsylvania Station in Manhattan came against the backdrop of a much more ambitious project that never happened. The plan, known as Access to the Region’s Core, or ARC, would have created a new tunnel underneath the Hudson River for New Jersey Transit trains. First unveiled during the 1990s, it was promoted as the nation’s biggest public transportation infrastructure project and was supposed to cost $9 billion, create thousands of construction jobs and was funded by the federal government, New Jersey Transit and the Port Authority of New York and New Jersey. After years of environmental reviews, drilling of the ARC tunnel was underway in 2009. But construction stopped for a reason that has doomed other projects — disagreements among the various governments. In this case, it was New Jersey. Gov. Chris Christie, who originally supported the tunnel, killed it in 2010 for what he cited were issues related to potential cost overruns. Today, nearly a decade and a thousand train delays later, the concept behind the ARC tunnel has re-emerged in a reconfigured form as the Gateway Program, a $20-billion design that also involves a new rail tunnel below the Hudson River and the rehabilitation of an existing one. It would be used by New Jersey Transit and Amtrak trains. A small portion of tunnel drilling for ARC will be used in Gateway New York and New Jersey officials support the project, and the environmental review for it took only two years rather than the usual four, said John D. Porcari, the project’s interim executive director. If all goes as planned, the Gateway project is anticipated to be completed in 2026. But there is still one hang-up: The Trump administration has yet to climb onboard. Local Governments Have Ideas of Their Own Photo The Competitive Power Ventures power plant under construction near Middletown, NY. Credit Allyse Pulliam/Times Herald-Record The law generally does not allow the federal government to pre-empt permitting decisions made by state and local officials. So even before federal delays might come into play, some projects are dead — or close to it — on arrival. An exception, experts say, involves areas overseen by the Federal Energy Regulatory Commission, or FERC, which has jurisdiction over projects such as natural gas pipelines and electric power lines. FERC’s authority recently came into play during a dispute in New York State over a relatively small project: a proposed $38 million plan to build a 7.8-mile-long branch off an existing natural gas pipeline to connect it with a power plant near Middletown, N.Y. When the Millennium Pipeline Company announced the project in 2015, it drew opposition from communities opposed to hydraulic fracking, a controversial method of extracting natural gas that is banned in New York. State officials also jumped into the dispute, arguing in court that FERC had failed, among other things, to account for the environmental impacts of added greenhouse gas emissions from the power plant before approving the pipeline. But in June, a federal judge agreed with Millennium’s argument that state officials had failed to voice their objections in a timely fashion and referred the issue back to FERC, which has since issued a waiver to allow the company to proceed. State officials have asked FERC to review the case. The expected cost of the pipeline extension has since risen to $57 million based on actions that the company said it had taken to address the state’s concerns. Mr. Howard, the lawyer from Common Good, has argued that Congress should enact legislation that would give the federal government more authority to overrule state and local permitting reviews. No such proposal exists in Congress. The Federal Government Is a Bystander Photo Trucks hauling containers from the Port of Los Angeles. Credit Nick Ut/Associated Press Some projects that are big drivers of the economy do not involve federal approvals. Delays result from state and local decisions, and Mr. Trump — or any federal official for that matter — does not have the standing to intervene. A good illustration is the long-delayed effort by the BNSF Railway to build a new intermodal facility in Southern California. The facility would transfer cargo containers arriving on ships from Asia to freight trains headed east to cities such as Denver and Chicago. BNSF says it has invested about $50 million for such things as studies needed to comply with the permitting process. Currently, cargo containers arriving at the Ports of Long Beach and Los Angeles are picked up by tractor-trailers and driven to an existing BNSF site in downtown Los Angeles for transfer to trains. BNSF estimates show that it is a journey of 24 miles that 1,000 trucks make daily. In 2005, BNSF announced a proposal to build a transfer point just four miles from the ports that would reduce truck travel, highway congestion and air pollution, according to the company. In 2013, Los Angeles approved the company’s environmental impact report and issued a construction permit. But an environmental group and a local air quality district challenged that decision, citing the facility’s potential impact on nearby residential communities. In 2016, a California state judge upheld that challenge and ordered BNSF to expand its review to include a broader regional study assessing the facility’s environmental impact. The company has appealed that decision and expects a decision in coming months. Environmental Worries Carry the Day Photo A Mojave Desert Tortoise. Credit Smith Collection/Gado/Getty Images Building of any sort has environmental consequences, and big building can have big consequences, making environmental objections a central factor in delaying federal projects. Such a case is playing out in Utah. A proposed highway, known as the Northern Corridor, is intended to ease future congestion around St. George, one of this country’s fastest-growing metropolitan areas. But the seven-mile-long highway also raises an environmental dilemma because a portion of it would run through federally owned land that is home to a protected species, the Mojave desert tortoise, which can live up to 50 years. The dispute over the highway has been underway for more than a decade. Local officials have argued that they could build the road without endangering the tortoises, and in 2009, a federal law directed the Bureau of Land Management to identify a possible route. But when the bureau released a plan last year, the agency was skeptical of the route favored by local officials because of its potential impact on sensitive habitat. Soon afterward, Representative Chris Stewart, a Republican of Utah, introduced legislation that would require federal agencies, including the bureau, to approve the route if it met all other permitting requirements. In July, the bill passed a House committee and may be taken up by the full House later this year or next. Federal Agencies Don’t Always Get Along Photo Rising waters flood a farm in the spillway of Missouri farmland after the U.S. Army Corps of Engineers breeched the levee at Birds Point New Madrid Floodway near Cairo, Ill., to relieve pressure from the rising Mississippi River in 2011. Credit E. Jason Wambsgans/Chicago Tribune, MCT, via Getty Images Farmers in southern Missouri, who experience severe flooding, have long supported a plan to close a quarter-mile gap in a large levee along the Mississippi River. And since 1975, the Army Corps of Engineers has offered a variety of ways to plug the levee. But that would also drain wetlands and potentially increase flooding elsewhere, causing officials with the United States Fish and Wildlife Service to put on the brakes. In 2007, a federal judge blocked further development on the $161 million project, which is known as the St. Johns Bayou and New Madrid Floodway, finding that the Army Corps had failed to use sound science to examine its environmental impact. The agencies then said they would work together to resolve their differences. But by 2013 the gridlock remained so intense that Senator Roy Blunt, Republican of Missouri, placed a temporary hold on Gina McCarthy’s nomination to head the E.P.A. in an effort to resolve the standstill. Last year, President Obama’s Council on Environmental Quality, the White House office, sided with the opponents. It held that efforts by the Army Corps to mitigate the project’s impacts, while extensive, were not enough. That, however, might not be the final word. The environmental council left the door open to resolution of concerns, and President Trump’s nominee to head the Army Corps, Rickey Dale James, owns a business in the area and has been a longtime supporter of the project. A version of this article appears in print on November 19, 2017, on Page A16 of the New York edition with the headline: Big Projects, And an Array Of Obstacles To Match. Order Reprints | Today's Paper | Subscribe Continue reading the main story","President Trump, with Treasury Secretary Steven T. Mnuchin and Transportation Secretary Elaine L. Chao, announcing the “streamlining” of permitting requirements for infrastructure projects.",2017-11-18T19:05:07Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","Trump Wants More Big Infrastructure Projects. The Obstacles Can Be Big, Too.",https://www.nytimes.com/2017/11/18/business/trump-wants-more-big-infrastructure-projects-the-obstacles-can-be-big-too.html,https://static01.nyt.com/images/2017/11/19/science/10reg-infrastructure-sub2/16FLOOD2-facebookJumbo.jpg,the-new-york-times,The New York Times,levee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corpus Christi Caller Times, Beatriz Alvarado, Corpus Christi Caller Times","Journalists from the USA TODAY NETWORK flew and drove the entire length of the U.S.-Mexico border in search for answers. This is what they found. USA TODAY Gaps in the U.S.-Mexico border fence like this one near Jacumba, Calif., just east of San Diego, appear in places along the nearly 2,000-mile border, especially where the terrain begins to get rough. (Photo: Nick Oza/USA TODAY Sports) A $145 million contract has been awarded to start the construction of a border wall along the U.S. Mexico border in Texas. U.S. Customs and Border Protection and the U.S. Army Corps of Engineers awarded a contract to construct about six miles of levee wall system in the Border Patrols Rio Grande Valley sector in Hidalgo County, a CBP news release states. The project is being funded by a share of this year's appropriations to Customs and Border Protection. The contract was awarded to SLS Co. Ltd. on Wednesday, the release states. Construction is scheduled to begin in February 2019. More: Idaho teachers get paid leave after dressing as border wall, Latinos for Halloween More: Federal authorities moving forward with 16 miles of border barriers in Texas More: A 2,000-mile journey in the shadow of the border wall The project dubbed RGV-03 includes: Construction and installation of tactical infrastructure including a reinforced concrete levee wall to the height of the existing levee 18 feet tall steel bollards installed on top of the concrete wall Vegetation removal along a 150-foot enforcement zone throughout the approximately six miles of levee wall system The enforcement zone also will include detection technology, lighting, video surveillance, and an all-weather patrol road parallel to the levee wall, the release states. ""Once constructed, this levee wall system will serve as a persistent impediment to transnational criminal organizations, while still allowing river access for property owners, other federal/state/local officials, local emergency responders, and USBP,"" the news release states. Last Slide Next Slide Read or Share this story: https://www.usatoday.com/story/news/nation-now/2018/11/05/immigration-trumps-wall-construction-begin-texas-mexico-border/1889794002/",A $145 million contract has been awarded to start the construction of a border wall along the U.S. Mexico border in Texas.,2018-11-05T14:01:40Z,"{'id': None, 'name': 'Caller.com'}",Construction of President Donald Trump's border wall to begin in February,https://www.caller.com/story/news/texasregion/2018/11/02/construction-trumps-border-wall-begin-february/1861864002?utm_source=google&utm_medium=amp&utm_campaign=speakable,"https://www.gannett-cdn.com/presto/2018/09/17/PIND/8f659bcc-9f6c-430a-914b-442c91c4ae9c-INIBrd_09-20-2017_Star_1_A001__2017_09_19_IMG_Main_1_2_1_I3JM22VF_L1102053278_IMG_Main_1_2_1_I3JM22VF.jpg?crop=3332,1866,x0,y0&width=3200&height=1680&fit=bounds",,Caller.com,levee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
