author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
Matt Simon,"Actions have consequences, as our parents likely told us as kids. But inaction has consequences, too. Life or death consequences, in the case of Californias new normal of massive, climate-change-driven wildfires.
After a series of devastating fires over the last few years, critics have turned their ire toward PG&amp;E, a utility that brings electricity to 5.4 million households and businesses in Northern California. Its equipment has been blamed for 17 of 21 major fires in 2017 alone. Facing the prospect that itll be officially implicated in last Novembers Camp Fire, which virtually destroyed the town of Paradise and killed 86, the utility has announced that its seeking bankruptcy protection.
What happens to PG&amp;E nextwhether it sells off bits of the business to survive, or the state forces the company to split up, or its turned into a public utilityisnt clear. But safety will haunt the utility no matter what. They have a failed track record, says California State Senator Jerry Hill. They have no safety culture today.
Preventing electrical equipment from sparking fires is not some arcane art. But it does have its complications, and forcing a utility to get its act together might require forceful regulation of the kind typically reserved for a railroad baron.
The biggest threat to the electric grid is wind. In California this becomes particularly problematic in the fall, when seasonal winds tear in from the east. These winds are hot and dry, and desiccate the vegetation, making ignition all but certain.
High wind not only makes the fire spread very fast, but it also knocks all those power lines and knocks all the equipment, which can generate explosions of sparks, whether that's arcing between lines or transformers exploding, says Michael Gollner, a fire protection engineer at the University of Maryland. It's almost always due to either collapse of power utility poles or contact between different lines.
Those complications arent necessarily a problem if the equipment is surrounded by pavement. But miles upon miles of power lines are strung through the wildlands of California, where they are surrounded by unkempt brush.
Even before these seasonal winds arrive, the lines are a major liability. We hit these really, really dry periods throughout the west in the summertime, says fire ecologist Robert Gray. That means a whole lot of air conditioners running. There's more juice running through the line and it sags closer to lower vegetation.
One fix is to bury the lines, but that doesnt work in much of California, where a lot of rock sits at the surface. You could do it, but it would be enormously expensive. Even if lines were buried where theres dirt, digging them up to do repairs is still pricey.
Then why dont utilities just cut power to lines when they know strong winds are coming? They do, actually, but that call is far from simple. You also cut off certain communities from vital services, says Gollner. You can turn off medical equipmentthere's all sorts of things to consider when you make those decisions. They have to weigh both liabilities, which is bizarre.
The best thing to do now, experts say, is to take a page from the era of railroad barons and rein in the utilities. From the 19th century well into the 1920s, America had a serious problem with railway fires. Burning coal or wood threw sparks out of the engine, which easily ignited vegetation around the tracks. It was like dragging a flare across the countryside.
Then regulators said: Yeah, thats going to have to stop. They made the railroads adopt spark arrestors. They required inspections for brakes, says wildfire historian Stephen Pyne. There were laws passed.
Regulators dragged the railroads into court if they didnt comply. A century ago, this was a huge industry, big money, big political clout, says Pyne. That's not unlike the power line situation.
First and foremost: lines simply have to be kept away from brush. That means a whole lot of money spent in fuel management, which California has been historically terrible at. In California, utilities are legally liable for any fire their equipment starts, even if they arent deemed to be negligent, so they better be damn sure that that equipment is clear of brush. That costs money, but its a tiny investment compared to paying for the ravages of wildfiresPG&amp;E says its facing a liability of $30 billion from just two years worth of conflagrations. Hence bankruptcy.
(PG&amp;E declined to comment for this story, pointing instead to a press release that says it will make investments in system safety as it works with regulators, policymakers and other key stakeholders to consider a range of alternatives to provide for the safe delivery of natural gas and electric service for the long-term in an environment that continues to be challenged by climate change.)
Utilities know full well how to manage their risk. Both Pyne and Hill point to San Diego Gas &amp; Electric, which regulators found liable for the Witch Fire of 2007, as a model of current safety practices. For instance, it created a weather center that monitors for fire conditions. They created a new industry standard that has been ignored by PG&amp;E almost in every regard,"" says Hill. ""Ignoring those basic practices I believe resulted in the fires of 2017 and 2018.
In the long term, though, the solution may be for communities to become more independent about their power. Its not hard to foresee a future (however far off) in which electricity is much more decentralized: Instead of power coming from massive plants dotted throughout California, neighborhoods could establish their own hubs, using solar or wind power to charge large batteries throughout town. Outfitting your home with solar panels still aint exactly cheap, sure, but that price will continue to drop as the technology evolves. And decentralization in California very much depends on PG&amp;Es fate: If the state ends up breaking the utility into smaller entities, that might make things easier.
It's burying lines where we can, where it's feasible and appropriate,"" says Gray. ""It's decentralizing the hub so if you do have a power outage it doesn't impact huge areas. But it's also a system that uses a multitude of different sources of energy.
This is scary new era of climate-change-driven wildfires. But by reining in the utilities, just as we reined in the once-almighty railroads, perhaps we can help avoid catastrophes like Paradise.
More Great WIRED Stories",PG&E’s electrical equipment likely caused California’s massive Camp Fire. That’s particularly maddening because science knows full well how to stop that.,2019-01-17T11:00:00Z,"{'id': 'wired', 'name': 'Wired'}","To Prevent Wildfires, Treat Utilities Like Railroad Barons",https://www.wired.com/story/to-prevent-wildfires-treat-utilities-like-railroad-barons/,https://media.wired.com/photos/5c3fae389f7d4c2cf990b7d4/191:100/pass/pge-1072296408.jpg,wired,Wired,wildfires,0
CARL ZIMMER,"For early studies of fire refugia, ecologists hiked through forests and grasslands, inspecting islands that withstood surrounding flames. Now researchers are scrutinizing fire refugia from space. With nearly 50 years of satellite data, theyre starting to piece together the recent history of these sanctuaries. After a fire wipes out a forest, fire refugia stand out as green jewels scattered across the blackened land. Depending on the forest, up to 25 percent of it may survive in refugia, Dr. Krawchuk estimated. Sometimes a forest refugium survives a particular blaze thanks to luck. We might have a change of wind, it cools down at night, and the fire might not grab that patch of forest, said Arjan Meddens, a fire ecologist at the University of Idaho and lead author of the BioScience review. But when researchers look at satellite images from other years, they see that some refugia are different. There are some places in the landscape that seem to avoid fire time and time again, said Dr. Krawchuk. The most interesting thing is why, she added. What makes that green spot stay that way? There are probably many factors at work. In the Northern Hemisphere, the north sides of mountains favor refugia. The plants there get less sunlight that their south-facing counterparts. They often hold more water in their trunks and roots, and they grow in moister soil that can tamp down fires. Fire refugia dont have to endure for centuries to be ecologically important. Even a fleeting shelter can be important for local biodiversity.","The Delta Fire burning in the Shasta-Trinity National Forest in California last month. When the fires eventually die, refugia will be essential to recovery of the forest.",2018-10-12T20:50:38Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Matter: ‘Lifeboats’ Amid the World’s Wildfires,https://www.nytimes.com/2018/10/12/science/wildfire-biodiversity.html,https://static01.nyt.com/images/2018/10/16/science/16SCI-ZIMMER1/16SCI-ZIMMER1-facebookJumbo.jpg,the-new-york-times,The New York Times,wildfires,0
Matt Simon,"Nestled in the foothills of Californias Sierra Nevada Mountains is the quaint Gold Rush town of Nevada City. Surrounded by unkempt brush, the old, highly flammable city is in danger: with Californias wildfires raging with unprecedented ferocity in recent years, one spark could doom Nevada City to the same fate that neighboring Paradise met in November.
But not if the goats get there first. Realizing its predicament, Nevada City has launched a crowdfunding campaign to pay goats (or, more accurately, their herders) to clear brush at the edges of town. Its called, yes, Goat Fund Me. And its part of an ungulate awakening: All across the state, business is booming for herders as panicked homeowners and towns reckon with the wildfire menace.
There is no single explanation for why Californias wildfire problem has gotten so bad. Climate change is oneless rain in the fall means dryer brush, which in turn coincides with seasonal winds that fan massive blazes. More cities encroaching on wildlands is another.
Yet a third factorthe one most pertinent to the interests of goatsis the fact that California has been really, really bad about clearing the brush that turns into tinder. For comparison, the southeastern US, an area only five times bigger than California, did prescribed burns on 5.5 million acres last year, 100 times more than the Golden State. Prescribed burns are expensive, and a huge chunk of Californias fire money goes to battling ever-larger blazes.
Goats, though? A herd's work is relatively cheap, around $1,000 an acre (200 goats can tear through an acre a day). I realized money was an issue, says Nevada City vice mayor Reinette Senum, who launched Goat Fund Me. We can go out and pursue grants but that takes months, and we don't have months. The best time for the goats to do their thing is in the winter, before new growth blooms during the rains of spring. That and the ranchers already have their goats rented out for the rest of the year.
The first step is to identify the most prone areas with the help of the fire chief, then reach out to residents there to tell them that there might soon be a special scent in the air. You've got to let neighbors know: for a couple days you might get a smell, says Senum. Your dogs might be disturbed because they're smelling goats and may want to go after them.
To be clear, the goats dont work alone. They have human handlers and their own muscle in the form of a big white dog. They're fiercely protective, says Brad Fowler, owner of the vegetation management company The Goat Works, which is working with the city. In California we've got mountain lions and coyotes and recently wolves. The dogs, just by their presence and their bark, discourage predators to go somewhere else.
The operation doesnt simply amount to letting goats loose on a property. Basically we have a mobile ranch, says Fowler. We're taking a ranch essentially with all the infrastructure that's included in that to every place we go. The team sets up solar-powered electric fences to keep the goats penned in a particular area. If possible they hunt down local creeks or ponds, but they may also truck in their own water.
But for the most part, once theyre in place, the goats are self-starters. Theyre highly efficient vegetation managers, since they convert a plants solar energy into protein and poop, which nourishes the ecosystem, whereas human crews have to cart off what they clear. Theyll eat most plants from the shoulder up, so dead grasses and such. (If you want to really clear grass, sheep are your best bet.) Nevada City has a particular problem with out-of-control blackberry bushes, whose thorns are no problem for the goats. They've got really nimble lips, says Fowler. It's funny to watch them. They'll hold the branch with their lips and reach in and bite it off with their back teeth.
Being goats, though, they dont necessarily abide by human notions of containment. A bad day would be, you get a call that all your animals are two miles away from where they're supposed to be, says Fowler. The good news is when that happens, people don't get as upset about it as they would if, say, your bulldozer got loose and ran over a bunch of houses. As long as they stay out of traffic, Im OK.
On their own, goats only do part of the job; theyre more of an advance party. They get in there and strip out the brush enough for human crews to come in with chainsaws to cart away the bigger branches and such. Of particular convenience is the fact that goats will happily eat poison oak. They're cute little things, but it's only one little piece, says Senum. Who doesn't love a goat?
Still, the firefighting ruminant business is booming in California, beyond Nevada City. It seems like everybody kind of woke up with these big fires, says Fowler. And I tell you what, there's a huge opportunity. If somebody wants to get into the business, now would be a good time.
More Great WIRED Stories","Spooked by massive wildfires, a California city launches a crowdfunding campaign to hire goats to clear brush at the edges of town.",2019-01-10T12:00:00Z,"{'id': 'wired', 'name': 'Wired'}","Nevada City, California's 'Goat Fund Me' to Prevent Fires",https://www.wired.com/story/one-california-towns-plan-to-fight-wildfires-with-goats/,https://media.wired.com/photos/5c36790741433e76e10a9db6/191:100/pass/goat-1028574840.jpg,wired,Wired,wildfires,0
Beth Skwarecki,"Our President, garbling something the Finnish president said about forest management, believes that the snowy country has fewer wildfires than California because they rake up leaves in the wilderness. Shockingly, this is not true. President Donald Trump stood near the charred remains of Paradise, California on Saturday (he Read more Read As the New York Times reports, Finnish forests benefit from a combination of luck and non-stupid forest management: Finland is cold and snowy, while California is mostly hot and dry. (Finlands summer temperatures rarely get above 60 degrees Fahrenheit, and around this time of year the weather tends to be wet.) Logging roads crisscross Finlands forests, slowing down fires while giving firefighters easy access. Aviation clubs are paid to do fire surveillance, looking for fires from the air. Finnish forest managers remove some of the dead trees (not, uh, leaves) to remove a small percentage of the flammable material. Perhaps we could learn from Finlands strategies, but no amount of raking will make California wetter or slow down the Santa Ana winds that fan the flames, nor will it eliminate forest fires in places that are, like Malibu, not actually made of forests.","Photo: Justin Sullivan (Getty Images) Our President, garbling something the Finnish president said about forest management, believes that the snowy country has fewer wildfires than California because they rake up leaves in the wilderness. Shockingly, this is …",2018-11-19T21:30:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Why California Has More Wildfires Than Finland,https://lifehacker.com/why-california-has-more-wildfires-than-finland-1830546028,"https://i.kinja-img.com/gawker-media/image/upload/s--sRaDq-1c--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/h3uwpcqgnkey5u0i7v7k.jpg",,Lifehacker.com,wildfires,0
THE EDITORIAL BOARD,"When a cautious, science-based and largely apolitical group like the United Nations Intergovernmental Panel on Climate Change says the world must utterly transform its energy systems in the next decade or risk ecological and social diaster, attention must be paid. The panel, created in 1988, synthesizes the findings of leading climate scientists, an undertaking for which it received the 2007 Nobel Peace Prize. It is not in the habit of lecturing governments. But its latest report, issued near Seoul on Monday, is very different. One United Nations official described it as a deafening, piercing smoke alarm going off in the kitchen an alarm aimed directly at world leaders. Frankly, weve delivered a message to the governments, said Jim Skea, a co-chairman of the panel and a professor at Imperial College, London. Its now their responsibility to decide whether they can act on it. Unfortunately, no alarm seems loud enough to penetrate the walls of the White House or the cranium of its principal occupant. President Trump had nothing substantive to say about the report, preferring, his staff said, to focus on celebrating the elevation of Brett Kavanaugh to the Supreme Court. Having already announced that he would withdraw the United States from the 2015 Paris agreement on climate change, having also rolled back a suite of Obama-era efforts to reduce greenhouse gas emissions, Mr. Trump thus reaffirmed his sorry role as an outlier in the global struggle against climate change a struggle few believe can be won without the enthusiastic participation of the United States. The report, written by 91 scientists from 40 countries, came about at the request of several small island nations that took part in the Paris talks, where 195 countries pledged their best efforts to limit increases in global warming to 3.6 degrees (2 degrees Celsius) below preindustrial levels. Fearing that their countries might someday be lost to rising seas, they asked the intergovernmental panel for further study of a lower threshold, 2.7 degrees Fahrenheit (1.5 degrees Celsius). The panels report concluded that the stricter threshold should become the new target. The alternative is catastrophe mass die-offs of coral reefs, widespread drought, famine and wildfires, and potentially conflict over land, food and fresh water.",New research has found that wildfires are likely to worsen if steps are not taken to combat climate change.,2018-10-09T22:35:49Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","‘A Deafening, Piercing Smoke Alarm’",https://www.nytimes.com/2018/10/09/opinion/climate-change-ipcc-report.html,https://static01.nyt.com/images/2018/10/09/opinion/09climateWeb/09climateWeb-facebookJumbo.jpg,the-new-york-times,The New York Times,wildfires,0
Beth Skwarecki,"The Camp Fire in northern California has just become the deadliest in the states history; the Woolsey fire in the south is engulfing Malibu; and our president is tweeting obliquely about the logging industry. Welcome to 2018. Everyone from firefighters to the CNN weather guy knows this is wrong, wrong, wrong, so lets break it down: These arent all forest fires The Camp fire did start in a forested area, but the southern California fires did not. As the Pasadena Fire Association replied, these are better described as urban interface firesin other words, ones that start in places where homes are built among flammable vegetation. Wildland fire is a more accurate term, which encompasses brush fires, rangeland fires, and more. So if you imagine nothing but trees burning, youve got the wrong image in your head to start with. There is one big reason for these massive, deadly and costly wildland fires Climate change. We really have to go over this again? Of Californias 10 most destructive fires, nine have been in the last 15 years. Five are from 2017 and 2018. The recipe for these fires requires a few common ingredients : Houses very close to flammable vegetation Dry weather making that vegetation extra flammable High-pressure winds from the jet stream, which occur around this time of year. The hotter California gets, the drier it gets. And the extreme dryness makes the vegetationnot just trees, but also brush and grassesburn more easily. The drier the land, the smaller a spark it takes to catch fire. Then, hot, dry gusts of wind suck up even more moisture, and they push fires forward, throwing embers onto houses and other fuel in their path. Watch this exasperated meteorologist explain it better than I can. President Donald Trump tweeted some incredibly ignorant things over the weekend about the wildfires Read more Read Forest management may be a dog whistle for the logging industry Politicians including Interior Secretary Ryan Zinke have been advocating for fuels reduction management. The thinking seems to be: remove the forest, and you cant have forest fires. In effect, this means opening up lands to logging. But, as Outside explains here, logging isnt effective at removing the kinds of fuel that wildfires thrive on. Loggers want to take the biggest, most commercially valuable trees, and leave the saplings and brush. Guess what catches fire really well? Yeah. Saplings and brush. Funding is necessary for preventing fires and helping affected communities Its not clear what federal funding you could remove from the picture and make fire management better. Much of the area thats burning is federal land anyway. And until 2020, the US Forest Service still has to cannibalize its own fire prevention budget to find the money to put out fires that are already burning. (The practice, called fire borrowing, was finally ended with a bill that Congress passed earlier this year.) Putting out wildfires costs more every year, as fires get worse. Just another exciting aspect of living in 2018.",The Camp Fire in northern California has just become the deadliest in the state’s history; the Woolsey fire in the south is engulfing Malibu; and our president is tweeting obliquely about the logging industry. Welcome to 2018. Read more...,2018-11-12T21:45:00Z,"{'id': None, 'name': 'Lifehacker.com'}",What Trump Gets Wrong About California's Wildfires,https://lifehacker.com/what-trump-gets-wrong-about-californias-wildfires-1830391393,"https://i.kinja-img.com/gawker-media/image/upload/s--R731f7xW--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/fse8aw2l5fyvp2cvshkx.jpg",,Lifehacker.com,wildfires,0
NIRAJ CHOKSHI,"Photo Kyle Field worked on his property in Ventura, Calif., as rain fell on Monday. Mr. Field’s home was destroyed in the Thomas Fire late last year. Credit Anthony Plascencia/The Ventura County Star, via Associated Press Drenching rain soaked Southern California early Tuesday morning, with mudslides and floods threatening lives and property in a region that faced destruction from wildfires just weeks ago. Rain fell at rates as high as an inch and a half per hour, bringing down power lines and trees and forcing closures along several roads and highways, including a stretch of Highway 101 along the coast south from Santa Barbara, according to the National Weather Service. #CAstorm - FF’s tend to a woman on Hot Springs Road while waiting for an ambulance. The woman was pulled by FF’s from a debris pile in Montecito caused by heavy rain runoff. pic.twitter.com/cNdf5kV5jq — SBCFireInfo (@EliasonMike) Jan. 9, 2018 At least 20,000 people were without power on Tuesday morning, according to Southern California Edison. Flash floods also threatened parts of Santa Barbara, Ventura and Los Angeles Counties; flooding in and around the area scarred by last month’s Thomas wildfire, the largest on record in California, posed the “greatest threat,” according to the Weather Service. “Residents living in or immediately downstream should take immediate precautions to protect life and property,” it said in a pre-dawn statement. “Quickly move away from the burn area only if it is safe to do so, otherwise shelter in place and move to a second story or the highest location in your home to stay out of the path of fast-moving water and debris flows.” pic.twitter.com/sImokst56P — Caltrans District 7 (@CaltransDist7) Jan. 9, 2018 By 5 a.m., about five inches of rain had fallen north of Ojai, in Ventura County, though totals were lower along the coast and other areas, according to the Weather Service. The worst of the rain had passed by about 7 a.m., though showers and thunderstorms were still possible throughout the day. In Montecito, the authorities contended with waist-deep mudflows in some areas as they were called in to make multiple rescues, Mike Eliason, spokesman for Santa Barbara County Fire Department, said on Twitter. Some homes were torn off their foundations, according to KEYT News. #CAstorm - Santa Barbara county FF’s rescue two men and a woman from flood water/debris flow of Hot Springs Rd. in Montecito. Multiple rescues are underway throughout the area. pic.twitter.com/bT5WAoAvf8 — SBCFireInfo (@EliasonMike) Jan. 9, 2018 At one point early on Tuesday, a rain gauge in the area recorded a quarter-inch of rain falling in as little as five minutes, according to the National Weather Service. Continue reading the main story","A downpour caused flooding and mudslides, shutting down roads and highways in a portion of Southern California ravaged by wildfires weeks earlier.",2018-01-09T15:54:43Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Rain Soaks California Region Scarred by Wildfires,https://www.nytimes.com/2018/01/09/us/california-mudslides.html,https://static01.nyt.com/images/2018/01/09/us/10xp-mudslides2/10xp-mudslides2-facebookJumbo.jpg,the-new-york-times,The New York Times,wildfires,0
ADAM NAGOURNEY and INYOUNG KANG,"Punk has a storied history in Los Angeles. Detachment from mainstream life and culture prompted generations to adopt new attitudes in the late 1970s. At the time, the scene was mostly white, teenage and male. These days, L.A.s punk culture is largely Latino, reflecting population shifts on both the state and county level. The new music scene is being defined by young Latinos on the outlying areas of the city who are bound by a shared sense of place and disaffection with mainstream culture. When I first heard punk, I heard the Germs, I was blown away, and I knew I could bring what I learned on the guitar into writing punk songs, said Martin Castro, 17, the guitarist in a band called Diversity. Its a reiteration of the story that punk has told for decades: Alienation breeds creativity breeds community. And through music, young people are finding an honest way to communicate and a place where they are heard. Read the full article and view the photos here. California Today goes live at 6 a.m. Pacific time weekdays. Tell us what you want to see: CAtoday@nytimes.com. California Today is edited by Julie Bloom, who grew up in Los Angeles and graduated from U.C. Berkeley.","Monday: What’s at stake in California on Tuesday, who’s more at risk from wildfires, and the new face of punk in Los Angeles.",2018-11-05T14:03:49Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",California Today: ‘It’s Really About the State for Me’: Dianne Feinstein on Running Again,https://www.nytimes.com/2018/11/05/us/california-today-dianne-feinstein.html,https://static01.nyt.com/images/2018/11/05/us/05californiatoday-feinstein/05californiatoday-feinstein-facebookJumbo.jpg,the-new-york-times,The New York Times,wildfires,0
TRIP GABRIEL,"The League of Conservation Voters is spending $60 million on races this year, twice as much as in 2014. Gene Karpinski, president of the group, said it would target up to 20 tossup House districts by seeking to motivate suburban women and independents to vote Democratic. Its ads attack Representative Mike Coffman of Colorado for voting faithfully with Mr. Trump, the worst polluter of all, and Representative Dana Rohrabacher of California, with video of him claiming global warming is a fraud. Around the country, there are exceptions to the rule that cautious candidates downplay climate change. Sean Casten, a scientist and clean-energy businessman challenging Representative Peter Roskam, Republican of Illinois, calls out Mr. Trump in an ad for labeling climate change a hoax. Mike Levin, an environmental lawyer running in coastal Southern California, launched his candidacy by pressing a book, Climate Change for Beginners on Representative Darrell Issa, a Republican, at a town hall. Mr. Issa decided to retire and Mr. Levin is in a contest with a Republican, Diane Harkey, who argues Californias aggressive pollution regulations go too far. Mr. Levin said that climate change is no longer an abstraction in California after record droughts, year-round wildfires and extreme weather have become familiar. In Florida, which is also seeing the quickening tempo of climate disruption, Representative Carlos Curbelo, whose district includes the Everglades and Florida Keys, is a rare Republican who makes climate an issue. He has introduced a House bill to tax carbon, anathema to his party. I bring up this issue even when Im not asked about it, said Mr. Curbelo. Back in North Carolina, the climate denialism of some hurricane-battered residents in the Ninth District was echoed by Mr. Harris, the Republican candidate, a former Baptist minister. He credited divine intervention, not man-made climate change, with altering the storms impact, noting that Florences winds dropped to 90 miles per hour from 140 before hitting land. I see the power of prayer and see Gods hand in that, he said.","The Cape Fear River flooded surrounding neighborhoods in North Carolina during Hurricane Florence. The environment has not been a major political issue in the 2018 midterm campaign, however.",2018-10-02T09:00:09Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Floods. Wildfires. Yet Few Candidates Are Running on Climate Change.,https://www.nytimes.com/2018/10/02/us/politics/environment-climate-elections.html,https://static01.nyt.com/images/2018/09/28/us/politics/00enviropolitics-3/00enviropolitics-3-facebookJumbo.jpg,the-new-york-times,The New York Times,wildfires,0
MITCH SMITH,"“We may not be able to feed the cows enough to gain weight,” said Michael Kelsey of the Oklahoma Cattlemen’s Association, which has been taking donations to provide hay and other supplies. “But if we can feed the cows enough to maintain, we’re in good shape. That’s just the reality of the disaster.” Rhett Smith’s ranch on a gravel road outside Taloga, Okla., was directly in the flames’ path. Unlike some of his neighbors, Mr. Smith saved his house and his 100 cows. But his grass was gone. So when two tractor-trailers carrying 64 bales of hay rolled down Mr. Smith’s winding driveway, a sense of relief washed over him. The hay would be enough to feed his cattle and his neighbors’ herds for at least a few weeks. The trucks were driven by Levi Smith and his brother, Blake, who raise cattle about 100 miles from Vici, along the Kansas-Oklahoma border. The brothers had never met Rhett Smith before — and are no relation to him — but they said they empathized with all he was going through. Their family’s land burned last year, the brothers said. And donated hay had gotten their cattle through it. Photo Eddie Fahley tossed a strap to Matt Schaller in Vici, Okla., as they secured a load of hay for a rancher whose land burned. Credit Mitch Smith/The New York Times “They think it can’t get any worse,” Levi Smith said, “but when these loads of hay come in, it gives you hope.” In the sparsely populated counties where cattle roam, people rely on neighbors and take pride in giving help without being asked. Signs around Vici (which is pronounced “Vy-Sigh”) offer free meals, free clothes, free care for orphaned calves. In nearby Lenora, hay bales are stacked along the side of a road for whoever might need them. As eager as people are to assist, they also seem reluctant to receive. “Nobody wants to take any help if they don’t have to,” said Nick Campbell, a town trustee in Vici. “We’re trying to get them to understand that we’re there for them, whatever they need.” The Oklahoma fires, which burned an area about the size of Chicago and New York City put together, made relatively few national headlines. But in agricultural circles — and especially in places that have seen their own fires — word of the destruction spread swiftly. Prairie fires are a fact of life on the Great Plains, but recent years have brought a series of unusually strong, multiday blazes that set records and spread out of control. When Travis Brown lost much of his pasture in Montana’s fires last summer, other ranchers sent hay. Photo Firefighters struggled to fight a fire near Seiling, Okla. Credit Nick Oxford/Reuters So when Mr. Brown heard about the new fires in Oklahoma, he and three other Montana ranchers paid about $940 each to send more than 100 hay bales to Oklahoma. “I remember the feeling of just being overwhelmed after seeing so much of our livelihood burned,” Mr. Brown said. “The smoke hadn’t event cleared away yet, and people are saying, ‘You’re going to be O.K.’” Around Vici and Taloga, where drivers greet passing trucks with a wave and the skyline is dotted with wind turbines and oil pumpjacks, the flames have subsided. But the damage remains. The fire’s timing was especially cruel, coming in the midst of an extreme drought. Dead cows appear along roadsides, hooves pointed to the sky. Driveways lead to piles of rubble. When the wind blows, it smells a bit like a campfire. “You can see across the river and just see the black as far as you can see,” said Lori White, a Putnam, Okla., rancher who lost a calf and about a third of her pasture in the fire, and who has been helping coordinate hay deliveries for ranchers who fared worse. Last weekend, as a much-needed rainstorm tamped down the last of the flames, Matt Schaller delivered hay to ranchers around Vici. Mr. Schaller, who works on a grain farm, had driven more than 1,100 miles from Michigan with a load of donated bales, part of a nonprofit group he helped start last year after making deliveries during the Kansas fires. “It’s just what you do,” Mr. Schaller said. Continue reading the main story","Wildfires burned Oklahoma grazing land, leaving ranchers struggling to feed their cattle. Then the truckloads of hay showed up from faraway states.",2018-04-29T15:23:21Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","In Fire-Scorched Oklahoma, Help Comes One Bale at a Time",https://www.nytimes.com/2018/04/29/us/oklahoma-wildfires-hay-cattle.html,https://static01.nyt.com/images/2018/04/27/us/00hay1/merlin_136987938_cc92260c-4bc7-4943-9665-5876f9898012-facebookJumbo.jpg,the-new-york-times,The New York Times,wildfires,0
