author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster,,,,,,,,,,,,,,,,,
BRAD PLUMER,"The Battery area of Charleston, S.C., after Hurricane Matthew in October 2016. Companies are seeking better climate forecasts to assess the risks of operating in the area. Credit Sean Rayford for The New York Times In Charleston, S.C., where the ports have been expanding to accommodate larger ships sailing through the newly widened Panama Canal, a real-estate developer named Xebec Realty recently went looking for land to build new warehouses and logistics centers. But first, Xebec had a question: What were the odds that the sites it was considering might be underwater in 10 or 20 years? After all, Charleston has repeatedly suffered major floods that can paralyze cargo operations. And scientists warn that flooding will worsen as sea levels rise and storms strengthen with climate change. Yet detailed information about the city’s climate risks proved surprisingly hard to find. Federal flood maps are based on historical data, and won’t tell you how sea-level rise could exacerbate flooding in the years ahead. Scientific reports on global warming, such as the National Climate Assessment, can tell you that heavy rainstorms are expected to increase in the Southeast, but they won’t tell you whether specific roads leading to a given warehouse might be unusable during those storms. So Xebec turned to a Silicon Valley start-up called Jupiter, which offered to analyze local weather and hydrological data and combine it with climate model projections to assess the potential climate risks Xebec might face in Charleston over the next few decades from things like heavier rainfall, sea level rise or increased storm surge. Although Jupiter’s forecasting skill remains unproven, Xebec was eager to participate in a pilot project. “If we could have reliable predictive analytics in this area, that’s a huge impact for our business,” said Scott Hodgkins, an executive vice president at Xebec. As companies around the world grow concerned about the risks of climate change, they have started looking for clarity on how warming might disrupt their operations in the future. But governments in the United States and Europe have been slow to translate academic research on global warming into practical, timely advice for businesses or local city planners. Now some private companies, like Jupiter, are trying to fill the gap. This remains a young and untested field, and it’s unclear whether Jupiter or others can succeed as profitable enterprises. Scientists caution that predicting short-term climate effects in specific locations remains rife with uncertainty. Jupiter will have to persuade potential customers that its forecasts are reliable enough to give companies a competitive edge. “In economics, information has value if you would make a different decision based on that information,” said Matthew E. Kahn, an economist who studies climate adaptation at the University of Southern California. “Is that the case here?” Some insurance companies, such as FM Global, already study climate risks and consult with clients on how to make their buildings more resilient to hurricanes that may get stronger in the future. In 2014, a start-up called Coastal Risk Consulting opened in South Florida to offer flood assessments to homeowners nervous about rising seas. Jupiter, founded in 2017 by Rich Sorkin, a longtime tech entrepreneur, wants to go a step further. The start-up has received $10 million in venture capital so far and has been hiring climate scientists, weather modelers and data experts from places like the National Oceanic and Atmospheric Administration. Its co-founders include Todd D. Stern, the lead climate envoy in the Obama administration, and Jeff Wecker, the chief data officer for Goldman Sachs. The company is developing a variety of predictive tools, some of which look much like Google Maps, that it hopes will allow paying customers to zoom down to the city block level to get a better sense of the potential risks they face from storms, heat waves, wildfires or other climate-change effects in the coming decades. A map of Charleston generated by Jupiter that forecasts flooding from storm surges that have a 1 percent probability of occurring annually by 2030 under a high-end emissions scenario. Credit Jupiter Intel “We know the planet’s getting warmer and sea levels are rising, but on a hyperlocal basis, the quality of those predictions can be much better than it is,” Mr. Sorkin said. To create its flood maps, for instance, Jupiter looks not just at public data like satellite-based observations of rainfall and ocean currents, but also how changes in the urban landscape affect how water flows through cities. It then aims to harness recent advances in cloud-based supercomputing to combine that data with the latest climate model projections. The company’s scientists plan to continually test their forecasts against observations — to see, for instance, how well they predict flooding from major storms — and publish their research in scientific journals. In theory, the United States government could cobble much of this information together and present it in a usable way. But federal agencies tend to focus their resources on shorter-term weather predictions, and Congress has generally underfunded initiatives such as those at the Federal Emergency Management Agency to incorporate climate change into its federal flood maps. “If you want a full picture of flooding risk, you need expertise in weather, but also climate and hydrology and engineering and running complex models on the latest computer hardware,” Mr. Sorkin said. “All of those specialized disciplines are usually heavily siloed within the public sector or the scientific community.” Jupiter’s scientists will have to grapple with a number of technical challenges. While current climate models can provide broad statistical projections of how average temperatures and rainfall patterns are likely to shift across large regions over the coming century, it remains difficult to predict such shifts precisely over shorter time scales — which is what companies are often most concerned about. “Forecasting at 10-20 year time periods is perhaps the most difficult period to forecast,” Simon Mason, a climate scientist at Columbia University’s International Research Institute for Climate and Society who is not involved with Jupiter, wrote in an email. “If that is not enough, trying to predict severe weather events rather than long-term averages is even harder still!” Past efforts to provide what are known as “climate services” have struggled with this issue. In 2009, the German government established the Climate Service Center to provide information about global warming risks to cities and businesses. But Guy P. Brasseur, a climate scientist who helped start the center, said potential clients were often disappointed with the uncertainty in the resulting forecasts. “One airline wanted to know how often the airport in Frankfurt would be closed because of snowstorms next year,” Dr. Brasseur said. “We were unable to answer a question like that.” Jupiter, which acknowledges the uncertainties in climate forecasting, will have to prove that a market exists. But at least one firm in the insurance industry sees potential value in the company’s approach, particularly after flooding and other disasters caused $306 billion in damages last year in the United States and record losses by insurers. “That certainly raised the stakes in terms of trying to get the best possible science on your side when you’re pricing risk,” said John Drzik, president of global risk at Marsh, one of the world’s largest commercial insurance brokers, which is currently in talks with Jupiter to explore what types of data and risk analyses might be most useful to its clients. Mr. Drzik noted that many of the traditional catastrophic risk models used by the insurance industry are rooted largely in historical data and don’t always grapple fully with how climate change could shift those risks in the future. While his company is still evaluating whether Jupiter’s climate-oriented models are useful enough to be worth paying for, “it grabbed us as something that had a lot of promise.” As global warming advances, experts say that governments will ultimately have to invest more in their own local climate prediction tools to help cities and industries adapt. But they also see a role for private climate forecasters, much as weather companies have sprung up to supplement the work the National Weather Service does. “The federal government could be doing a lot more,” said James L. Buizer, who studies climate adaptation at the University of Arizona. “But there’s still an important role for the private sector. If companies are going to benefit from this information, they ought to be paying for it. After all, it’s their infrastructure that’s going to get trashed.”","The Battery area of Charleston, S.C., after Hurricane Matthew in October 2016. Companies are seeking better climate forecasts to assess the risks of operating in the area.",2018-02-23T10:00:33Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",What Land Will Be Underwater in 20 Years? Figuring It Out Could Be Lucrative,https://www.nytimes.com/2018/02/23/climate/mapping-future-climate-risk.html,https://static01.nyt.com/images/2018/02/14/science/00CLI-JUPITER1/00JUPITER1-facebookJumbo.jpg,the-new-york-times,The New York Times,Hurricane Matthew,1,,,,,,,,,,,,,,,,,
DAMON WINTER,"Hurricane Michael, the strongest hurricane ever to come ashore on the Florida Panhandle, is expected to move Thursday through North Carolina. Fair Bluff, N.C., a small town on the banks of the Lumber River, has been turned upside down by a succession of once in a lifetime storms. It was devastated by Hurricane Florence less than a month ago, having never fully recovered from Hurricane Matthew in 2016, and the new storms predicted path will take it within 100 miles of town. These photographs, showing Fair Bluff reflected in the stagnant floodwater, demonstrate what many there feel is the new normal.","Main Street in Fair Bluff, N.C., as reflected in floodwaters from the Lumber River after Hurricane Florence.",2018-10-11T19:02:58Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",A Small Town Braces for Another Storm,https://www.nytimes.com/2018/10/11/opinion/hurricane-michael-north-carolina.html,https://static01.nyt.com/images/2018/10/11/opinion/11winterNew/11winterNew-facebookJumbo.jpg,the-new-york-times,The New York Times,Hurricane Matthew,1,,,,,,,,,,,,,,,,,
THE NEW YORK TIMES,"Waterways across the Carolinas and beyond swelled to record-breaking levels this week, with several rising more than 20 feet above their averages, according to National Weather Service data. The Cape Fear and Lumber Rivers were forecast to rise as high or even higher than they did during Hurricane Matthew in 2016, North Carolina officials said. Christian Dreyer has seen this kind of flooding before, and he knows that the worst is yet to come. As a volunteer member of a New Jersey search-and-rescue team, he helped pull people from rushing floodwaters in this part of North Carolina after Hurricane Matthew. Now he’s back with the same group, New Jersey Task Force 1, helping rescue people from their flooded homes in Washington, N.C., just north of New Bern. The crew got some people out in vehicles, but in other cases, they had to drive boats up to their front doors. The flooding right now is caused mostly by storm surge, as the swollen ocean pushes rivers over their banks. It’s slow moving, Mr. Dreyer said, especially compared to the rushing floodwaters that will soon come from the opposite direction, down the rivers, as up to 40 inches of rain falls inland. “A surge is like a bathtub flooding,” said Mr. Dreyer, who is also a sergeant first class with the New Jersey State Police, as tornado warnings went off in the background. “When it comes down from the mountains, it’s all gravity. It’s going to be much faster and more dangerous.” Several deaths have been reported Continue reading the main story","Fierce rains were likely to produce “catastrophic flash flooding and prolonged significant river flooding,” the National Hurricane Center said.",2018-09-15T09:45:30Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Hurricane Florence Live Updates: Heavy Rains Drenching the Carolinas,https://www.nytimes.com/2018/09/15/us/hurricane-florence-path.html,https://static01.nyt.com/images/2018/09/11/us/hurricane-florence-tracking-map-promo-1536673849664/hurricane-florence-tracking-map-promo-1536673849664-facebookJumbo-v33.png,the-new-york-times,The New York Times,Hurricane Matthew,1,,,,,,,,,,,,,,,,,
Victoria Rodriguez,"Hurricane Michael was one of the most powerful hurricanes to hit the continental U.S. in almost 50 years, according to the Associated Press. The hurricane made landfall in Mexico Beach, Florida, as a Category 4 storm on Wednesday and then weakened as it moved through Georgia. Now designated a tropical storm, Michael is headed toward North and South Carolina, which were both recently devastated by Hurricane Florence. SEE ALSO: Photos show widespread destruction in the aftermath of Hurricane Michael Although the full scope of the damage is still being evaluated, preliminary reports have included power outages, uprooted trees, flooding, and demolished homes. At least six people have died as a result of the hurricane. CoreLogic, a financial data company, estimates insured storm losses could reach $4.5 billion. Recovery work has started in Florida, so if you'd like to help the survivors there and in Georgia, here's our list of ways you can provide support: 1. Donate to disaster-relief organizations. The nonprofit Charity Navigator, which evaluates charities, compiled a list of organizations providing general aid and relief, as well as food, shelter, medical care, and other necessities. If you want to ensure that your donation goes directly to Hurricane Michael relief, check first with the nonprofit about how they earmark financial gifts. Here are the organizations listed by Charity Navigator: GlobalGiving, International Relief Teams, International Medical Corps, Save the Children, Direct Relief, American Kidney Fund, DonorsChoose.org, World Help, American Red Cross, LeSea Global Feed the Hungry, SBP, Americares, Good360, World Hope International, First Book, Christian Relief Fund, World Vision, Matthew 25: Ministries, Heart to Heart International, Catholic Charities Diocese of St. Petersburg, Big Cat Rescue, Feeding the Gulf Coast, and Feeding Tampa Bay. Though not featured on Charity Navigator's list, Habitat for Humanity is taking donations to carry out their recovery plan following the storm. Portlight Inclusive Disaster Strategies, which receives donations, is working to assist people with disabilities, older adults, and other people with access and functional needs. 2. Help provide emergency supplies. Several of the above organizations are focused on meeting the urgent need for food, water, clothing, and shelter. World Vision, a Christian humanitarian organization, is delivering supplies, such as food, hygiene kits, clean water, blankets, diapers, and other personal care items to those affected and displaced by Hurricane Michael. You can donate here. Global Giving, an international crowdfunding community that supports local nonprofits, launched a Hurricane Michael relief fund to provide emergency supplies as well as long-term assistance. 3. Donate to GoFundMe campaigns. GoFundMe has created a general relief fund to raise $50,000. The funds will be managed by The Direct Impact Fund, an independent nonprofit that distributes funds to verified campaigns and aid organizations. GoFundMe has also created a hub for verified individual campaigns related to Michael. If you're looking for additional resources on how to assess nonprofits and their work providing relief aid, consider consulting Charity Navigator or other charity watchdogs, like GuideStar, Charity Watch, and BBB Wise Giving Alliance.","Hurricane Michael was one of the most powerful hurricanes to hit the continental U.S. in almost 50 years, according to the Associated Press. The hurricane made landfall in Mexico Beach, Florida, as a Category 4 storm on Wednesday and then weakened as it moved…",2018-10-11T21:27:45Z,"{'id': 'mashable', 'name': 'Mashable'}",How to help Hurricane Michael survivors,https://mashable.com/article/hurricane-michael-how-to-help-victims/,https://i.amz.mshcdn.com/_m4PLcfmWPsQL1DKs6SvWddS83k=/1200x630/2018%2F10%2F11%2Fd5%2F673ed81a0ebc471ab3c4222ffa8fc829.673cd.jpg,mashable,Mashable,Hurricane Matthew,1,,,,,,,,,,,,,,,,,
ALAN BLINDER,"A spokesman for the House Speaker, Tim Moore, did not respond to messages seeking comment. Mr. Moore, a Republican who has toured disaster areas in recent weeks, has said that lawmakers were prepared to ensure that relief money actually gets out to where its supposed to be a sign that Raleigh was already raw with hurricane politics even before Florence. Mr. Coopers administration has faced heavy pressure, and no small amount of outrage, over how it managed the aftermath of Hurricane Matthew, which struck in 2016. Frustrated Republicans set up a special legislative subcommittee in August to conduct further examination of the issues concerning the administration and management of Hurricane Matthew recovery efforts. Democrats, furious, saw the move as a nakedly partisan attack on Mr. Cooper, who did not take office until nearly three months after the storm ravaged the state. It is my hope that the executive branch has learned some lessons from how things were handled in the aftermath of Matthew, Mr. Berger, the Senate leader, said. A lot of the difficulties weve had with the executive branch have been differences of philosophy. It is my hope that we all share the same philosophy with reference to trying to get peoples lives back to normal. South Carolina, the other state hardest hit by Florence, is almost guaranteed to have an easier time politically with its recovery efforts. Gov. Henry McMaster and the lawmakers who control the State Legislature are all Republicans and do not seem to wake up each morning with their knives already sharpened, as their counterparts appear to in Raleigh. Mr. McMaster is on the November ballot, but Mr. Coopers term in North Carolina runs another two years, and there are few marquee state races this year. The main prizes at stake in November are the supermajorities the Republicans hope to retain in the Legislative Building.","Political leaders say they hope for a cooperative effort on storm relief measures, but there are already signs of tooth-and-claw partisanship rearing up again.",2018-09-29T13:19:29Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Florence Silenced North Carolina’s Political Rancor. But for How Long?,https://www.nytimes.com/2018/09/29/us/hurricane-florence-north-carolina-politics.html,https://static01.nyt.com/images/2018/09/30/us/30recovery-politics1-print/merlin_144004074_f5cf6452-fef1-4762-b16f-0d77b6685560-facebookJumbo.jpg,the-new-york-times,The New York Times,Hurricane Matthew,0,,,,,,,,,,,,,,,,,
Reuters Editorial,"(Reuters) - Florence is expected to become a major hurricane on Monday morning and to remain one through Thursday, the U.S. National Hurricane Center (NHC) said on Monday. The category 2 hurricane was located about 535 miles (860 km) north-northeast of the northern Leeward Islands with maximum sustained winds of 105 miles per hour (165 km/h), it added. The center of Florence will move over the southwestern Atlantic Ocean between Bermuda and the Bahamas Tuesday and Wednesday, and approach the southeastern coast of the United States on Thursday, the NHC said. Reporting by Harshith Aranya in Bengaluru; Editing by Matthew Mpoke Bigg","Florence is expected to become a major hurricane on Monday morning and to remain one through Thursday, the U.S. National Hurricane Center (NHC) said on Monday.",2018-09-10T09:24:37Z,"{'id': 'reuters', 'name': 'Reuters'}",Florence to become a major hurricane Monday morning: NHC,https://www.reuters.com/article/us-storm-florence-nhc/florence-to-become-a-major-hurricane-monday-morning-nhc-idUSKCN1LQ120,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,reuters,Reuters,Hurricane Matthew,0,,,,,,,,,,,,,,,,,
Patrick Rucker,"FAIR BLUFF, N.C. (Reuters) - When Hurricane Matthew submerged the small town of Fair Bluff, North Carolina, two years ago, Eve Waddell thought she had witnessed a once-in-a-lifetime disaster. “You’ll never see that again,” she reassured her daughter Ella, then 4, after floodwaters surged over the banks of the Lumber River, inundating Fair Bluff with several feet of water and damaging her house. As Hurricane Florence barreled toward the state on Wednesday, Waddell packed up her family to seek shelter with relatives and said she was ready to leave town for good - just as many businesses and hundreds of residents did after Matthew in 2016. “This old town’s had it,” said her husband, Anthony Spivey, the police chief in a nearby municipality. Meteorologists warn the menacing storm could stall out over the Carolinas, dumping enormous amounts of rainfall and creating massive flooding. That was the case with Matthew, a less powerful hurricane that did most of its damage inland, producing catastrophic levels of flooding throughout low-lying eastern North Carolina and causing billions of dollars in damages. Rural, low-income communities like Fair Bluff - already beset by economic difficulties - were hardest hit and remain most at risk this week. Approximately 125 miles (200 km) south of Raleigh, Fair Bluff is 38 percent white and 60 percent African-American, with a median household income of $17,000, according to state figures. Its downtown district has been a virtual ghost town since Matthew, with a dozen empty storefronts still bearing the marks of the storm’s fury. A grimy scar cuts across retail windows, marking the height of the flooding. In a furniture shop, neatly arranged bedroom sets moldered; an abandoned hardware store was still stocked with ovens, washing machines and refrigerators. Before the storm, Fair Bluff had nearly 1,000 residents, said Al Leonard, the town’s part-time administrator. He estimated more than a quarter left and have not returned since Matthew. “We base our calendar on B.C. or A.D.,” Leonard said. “In Fair Bluff, they base their calendar on Before Matthew and After Matthew. Matthew changed everything.” Eve Waddell, daughter Ella, 6, and her husband, acting police chief of Chadbourn, North Carolina, Anthony Spivey, take stock out in the backyard of their home ahead of Hurricane Florence in Fair Bluff, North Carolina, U.S., September 12, 2018. REUTERS/Patrick Rucker RURAL DEVASTATION Other rural communities around the state’s eastern half tell a similar story. Lumberton, a larger nearby town of approximately 21,000 people along the Lumber River, saw nearly 900 homes severely damaged by Matthew, including hundreds of low-income renters who lost their residences, according to a state report. In Princeville, known as the oldest community settled by freed slaves in the United States, hundreds of homes were severely damaged by flooding from the Tar River. The agricultural community of Goldsboro, along the Neuse River, saw hundreds of homes and substantial livestock destroyed. Many low-income communities were already buffeted by a decline in manufacturing and agriculture, as well as the aftermath of the 2007-09 recession, according to Barry Ryan, vice president of the nonprofit NC Rural Center, which helps support rural counties. “These communities are aging rapidly,” he said. “There’s been a general market downturn - somewhat driven by population loss, somewhat driven by economic restructuring.” Jeff Axelberg, a member of Fair Bluff’s Chamber of Commerce who markets sweet potatoes, said the farmers he works with are worried because Florence is arriving so early in the season, with only about 10 percent of the crop in. “They’re working day and night to get what they can out of the ground,” he said. Long-term solutions are elusive. Some in town have suggested recruiting a canoe operator or other tourist draw to Fair Bluff, turning the river from a liability into an opportunity, Axelberg said. Residents and business owners have often found it challenging to navigate state and federal bureaucracies in search of recovery and repair funds. In many communities, homeowners are only now starting to receive money through the state’s hazard mitigation grant program to sell, elevate or rebuild their homes. The smallest towns are also hamstrung by a lack of administrative capacity. Leonard, Fair Bluff’s administrator, also serves as the town’s water system supervisor, town planner and budget director. He spends one day per week in Fair Bluff because he also holds the position of town administrator for four other nearby municipalities. On Wednesday, he watched as laborers laid brick for a police office extension off the back of Fair Bluff’s town hall, which officials moved to just outside the flood zone after Matthew. “Last time, this was high ground,” Leonard said. “We’ll just have to wait and see.” Reporting by Patrick Rucker in Fair Bluff, North Carolina; Additional reporting and writing by Joseph Ax in New York; Editing by Colleen Jenkins and Lisa Shumaker","When Hurricane Matthew submerged the small town of Fair Bluff, North Carolina, two years ago, Eve Waddell thought she had witnessed a once-in-a-lifetime disaster.",2018-09-12T23:55:42Z,"{'id': 'reuters', 'name': 'Reuters'}",Looming Florence heaps despair on rural U.S. towns ravaged by 2016 storm,https://www.reuters.com/article/us-storm-florence-rural/looming-florence-heaps-despair-on-rural-u-s-towns-ravaged-by-2016-storm-idUSKCN1LS398,https://s4.reutersmedia.net/resources/r/?m=02&d=20180912&t=2&i=1303730513&w=1200&r=LYNXNPEE8B2B9,reuters,Reuters,Hurricane Matthew,1,,,,,,,,,,,,,,,,,
"Maddie Stone on Earther, shared by Andrew Couts to Gizmodo","When Hurricane Michael flattened entire communities in the Florida Panhandle last fall, most Americans and media outlets responded with an appropriate level of horror and empathy. A few, however, engaged in a pretty ugly form of victim-blaming; observing that the conservative districts that suffered damage voted for politicians who deny climate sciencethe implication being these Americans got what was coming.
At the time, Earther called out this sort of victim shaming as wrong and counterproductive. But we didnt have much evidence for how widespread such attitudes are. Now, a social scientist to whom we posed that question last October has gone and taken a first stab at answering it, and the result is both alarming and unsurprising: A lot of people think this way.
As scientists warnings about climate change become increasingly dire, our conversations about
Read more Read
In fact, roughly a third of Americans who understand that climate change is real and driven by human activities agree with the idea that climate deniers get what they deserve when disasters strike their communities, according to the new research, which hasnt yet been peer-reviewed.
 We were not too surprised though we are a bit disappointed, Matthew Motta, a postdoctoral researcher studying science communication at the University of Pennsylvania and co-author on the study, told Earther.
Motta and his colleagues from Washington University in St. Louis and Emory University used an online survey tool to poll 4,056 individuals. Respondents were first asked to identify their political leanings on a 7-point scale. The poll then asked whether they think climate change is real and human-driven. Those who answered yes were asked whether they agree with the sentiment that people who dont believe in climate change get what they deserve when natural disasters strike.
Of the 54 percent of respondents who were on board with the scientific consensusa fraction that tracks other national surveys but is a bit lower than one published last weekthe authors found that more than a third think climate deniers are getting their due when a hurricane flattens their town or a wildfire engulfs their city. Nearly 70 percent of these victim-blamers identified as Democrats, with more ideologically liberal respondents tending to dish the blame more. 
 While previous research has shown that people who hold strongly partisan views tend to dislike the other side more, this finding takes things a disturbing step further. As the authors put it, a substantial number of Americans are wishing, or at least accepting, physical harm as a sort of political retribution. And lest any right-of-center readers see this as vindication that the libs are a bunch of assholes, Motta pointed out that this sort of victim blaming likely isnt limited to Democrats. 
I think it would go the other way as well, he told Earther, citing violent crime as a potential issue that might engender ill will from conservatives if, for instance, the victim was opposed to carrying weapons. Thats a hypothesis he and his colleagues are planning to explore in future work, but one need look no further than Trumps awful tweets on Californias wildfires for evidence that partisan victim blaming is bi-directional.
While the findings should be taken with a grain of salt until the study is published in a peer-reviewed journal, if the truth is anywhere close to these survey results, its bad news. Not only is it deeply shitty to spit on others suffering, blaming people for their misery is, in Mottas extremely evenhanded assessment, not a solid science communication strategy. Communications experts often cite discussing shared values and common ground as effective strategies when talking about climate change with a skeptical audience. Shaming people for their beliefs is kind of the opposite.
Theres also the reality that those who suffer most from natural disasters generally have the least power to effect change in our global fossil fuel-driven energy system. With only a handful of years left to rein in the worst consequences of a warming climate, the only people we should be shaming are the oneswho got usinto this mess in the first place.","When Hurricane Michael flattened entire communities in the Florida Panhandle last fall, most Americans and media outlets responded with an appropriate level of horror and empathy. A few, however, engaged in a pretty ugly form of victim-blaming; observing that…",2019-01-28T20:58:00Z,"{'id': None, 'name': 'Gizmodo.com'}","Alarming Number of Americans Think Climate-Change Deniers Deserve to Get Hit by Natural Disasters, Survey Finds",https://earther.gizmodo.com/alarming-number-of-americans-think-climate-change-denie-1832129432,"https://i.kinja-img.com/gawker-media/image/upload/s--HRy4ZyPp--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/pvpml8vx057u4xigyfj8.jpg",,Gizmodo.com,Hurricane Matthew,1,,,,,,,,,,,,,,,,,
KENDRA PIERRE-LOUIS,"The remains of a house in Perryville, Mo., after a tornado. Credit Jon Durr/Getty Images Extreme weather events caused a total of $306 billion in damage in the United States last year, making 2017 the most expensive year on record for natural disasters in the country, the National Oceanographic and Atmospheric Administration said Monday. A trio of major hurricanes, Harvey, Irma and Maria, contributed hundreds of billions to the total. But the year was seemingly mired in disaster, from a freeze in the Southeast that damaged fruit crops in March, to hail storms that whipped across Colorado, Oklahoma and other central states in May, to the tornadoes that struck the Midwest in June. Unusual consequences of extreme weather could be found all over the map. Thirteen cows died in a field in Pennington County, S.D., after ingesting anthrax spores from the soil; they had changed their grazing patterns during a drought that lasted much of the year in South Dakota, North Dakota and Montana. The cows’ demise was a small part of the $2.5 billion of damage that struck the three states. In all, there were 16 natural disasters that caused more than $1 billion of damage in 2017. In 1980, when NOAA first started tallying records, there were three, adjusted for inflation. Scientists cannot always say with certainty that a given natural disaster was influenced by climate change. But some may be related to warming, and the contiguous United States experienced its third-warmest year on record in 2017. The temperature average was 2.6 degrees Fahrenheit above the 20th century average, said Jake Crouch, a climate scientist from NOAA’s National Climatic Data Center. Here are the 16 billion-dollar disasters from 2017: Some made headlines for weeks, and some were simply overtaken in the public’s consciousness by the next one. Rockport, Tex., after Hurricane Harvey. Credit Mark Ralston/Agence France-Presse — Getty Images A damaged road in Toa Alta, west of San Juan, Puerto Rico Credit Ricardo Arduengo/Agence France-Presse — Getty Images A house slid into the Atlantic Ocean in the aftermath of Hurricane Irma in Ponte Vedra Beach, Fla. Credit Luke Sharrett for The New York Times Fires raged near Bonsall, Calif., in December. Credit David Mcnew/Getty Images Hail covered Coors Field in Denver, Colo., as preparations began for a game. Credit Matthew Stockman/Getty Images",A blow by blow of the cost of the major weather-related disasters this year.,2018-01-08T20:33:05Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",These Billion-Dollar Natural Disasters Set a U.S. Record in 2017,https://www.nytimes.com/2018/01/08/climate/2017-weather-disasters.html,https://static01.nyt.com/images/2018/01/09/climate/09cli-disasters-tornado/merlin_132031337_5170d572-7870-420f-97de-eb61ec8ad785-facebookJumbo.jpg,the-new-york-times,The New York Times,Hurricane Matthew,1,,,,,,,,,,,,,,,,,
"RICHARD FAUSSET, CAMPBELL ROBERTSON and DAVID ZUCCHINO","Around lunchtime, Steven Swank, 23, was packing a few cases of water into a little sedan. In 1999, the Grid was inundated by river flooding after Hurricane Floyd, and Mr. Swank wanted none of it. He and his girlfriend were going to his sister’s house for a while. “She lives over behind the Cracker Barrel, not near any water,” he said. “We don’t want to be stuck here.” Worries were running equally high in inland South Carolina. Fifteen miles northwest of the gaudy spectacle of Myrtle Beach sits the quiet county seat of Conway, a nearly 290-year-old town shaded by live oaks and straddling the Waccamaw River. Time and again — in Hurricanes Floyd and Matthew, to name just two occasions — Myrtle Beach has been spared the worst damage, while Conway has taken a heavy hit: flash floods with the storm itself, then river floods in the days that followed. “The water collects really quickly, and people think that’s the flooding, but it’s flash flooding,” said Le Hendricks, the Conway fire chief. “That goes down pretty quick, and then they think they’re free. B ut then what happens is, the Waccamaw River gets backed up.” Chief Hendricks described a kind of hydrological traffic jam: Water trying to leave the Waccamaw meets flooded waterways and a surging ocean at capacity. The river has nowhere to go but over its banks, onto highways and roads and into people’s homes. This kind of flooding might not happen at its worst until two days after the hurricane hits, but when it does, the water can sit for weeks. Meanwhile, places on the coast might have already begun rebuilding from any damage wrought by the winds and the initial surge. “Myrtle Beach, they did fairly will during Matthew,” Chief Hendricks said. “They had damage but were back up and running within a couple of days.” Conway, at first, thought it had dodged a bullet, as well, he said. “But it was the flooding. And it took about 18 days for us to get back out of that.”","The storm surge in the Carolinas could be deadly. But for inland towns, it’s the water that will fall afterward that could really bring disaster.",2018-09-13T23:01:34Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","As the Winds Come, Towns in Hurricane Florence’s Path Fear the Floods",https://www.nytimes.com/2018/09/13/us/hurricane-florence-path.html,https://static01.nyt.com/images/2018/09/14/us/14florence1/merlin_143693679_50f57439-6617-455b-b73e-74822882553e-facebookJumbo.jpg,the-new-york-times,The New York Times,Hurricane Matthew,1,,,,,,,,,,,,,,,,,
