author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
Kate Clark,"After four months “on the beach,” per his LinkedIn profile, Uber’s former global head of business and corporate development has a new gig. Lime has hired David Richter (pictured) as its first-ever chief business officer and interim chief financial officer. Based in San Francisco, Richter will be overseeing the bike- and e-scooter-sharing startup’s business operations. Richter spent more than four years at Uber leading the ride-hailing giant’s global business development, corporate development, experiential marketing, autonomous vehicle alliances and brand relevance teams. He left in May after expressing frustrations with a series of departures in his group, according to The Information. As Lime continues to grow, David will bring in unparalleled expertise, particularly in the realm of business development and corporate partnerships, as well as in managing our overall business strategy and deal flow, Lime co-founder and chief executive officer Toby Sun said in a statement. His leadership experience, coupled with his keen understanding of the fast-moving shared mobility industry will be a huge advantage to our company as we continue to expand our global footprint. Lime is said to be completing the fundraising circuit right now, asking investors for a valuation north of $3 billion. The company, which entered the unicorn club in June, has raised a total of $467 million to date from GV, Andreessen Horowitz, IVP, Section 32, GGV Capital and more. The company is using the buckets of capital to expand beyond bikes and scooters. Last Monday, rumors emerged that it was planning a brick-and-mortar push. The company confirmed that it would indeed build scooter “lifestyle stores” in major U.S. and international markets, starting with Santa Monica, Calif. The next day on stage at the JD Power Automotive Roundtable, Lime announced its official foray into car-sharing. The company has since applied for a car-sharing permit in Seattle and plans to rent out small electric vehicles, which it’s calling “transit pods,” by the end of the year. According to Axios, Lime plans to spend $50 million on the pods, which will cost $1 for consumers to start, plus an additional 40 cents per minute. “You can expect electric vehicles to be an additional micro-mobility option for Lime riders to choose from within the Lime app soon,” a spokesperson for Lime said in a statement provided to TechCrunch. “More details on timing, specs of the vehicle, locations for the first rollout, etc. will be announced in the coming weeks.” Lime launched in 2017 and has since recorded 11.5 million scooter and bike rides. https://techcrunch.com/2018/10/22/lime-scooter-store/","Lime has tapped David Richter, Uber's former vice president, to lead its business operations.",2018-10-30T02:49:02Z,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Lime hires its first chief business officer amid push into car-sharing,http://techcrunch.com/2018/10/29/lime-hires-its-first-chief-business-officer-amid-push-into-car-sharing/,https://techcrunch.com/wp-content/uploads/2018/10/David-Richter-headshot-2018.jpg?w=600,techcrunch,TechCrunch,Richter,0
Nick Douglas,"A recent Flow State selection: Vivaldi recomposed by Max Richter
Every morning Flow State emails subscribers a set of background music, mostly wordless, to soundtrack your work day. And theyre pretty good at digging up non-obvious music, some of which isnt even available on major streaming services (though almost all of it is on YouTube). Past artists include Max Richter, Olivier Messiaen, Debussy, Johann Johannsson, Tangerine Dream, Kaoru Inoue, Brian Eno, and William Basinski. (Yep, almost all men, sorry.) Occasionally theres a DJ mix that incorporates several artists.
Until today, this newsletter cost $30 a year. Now its free, and $30 a year will get you access to Monday mixes created in-house, as well as a database of previous featured artists. Most editions of the newsletter include several albums or sets by an artist, plus a recommendation or two for expanding your own search.
Ive found this newsletter helpful in eliminating one of my common work distractions: picking what music to play, then switching two or three times as I find each choice too distracting. (Most of my job is reading and writing, which is hard to do with a lot of popular music, especially if I havent worn it down with a few months of steady listening.) Its nice to have a stream of new work-ready music, like fresh running water.
Flow State | Substack","Every morning Flow State emails subscribers a set of background music, mostly wordless, to soundtrack your work day. And they’re pretty good at digging up non-obvious music, some of which isn’t even available on major streaming services (though almost all of …",2019-02-04T18:00:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Get Free Ambient Work Music With Flow State,https://lifehacker.com/get-free-ambient-work-music-with-flow-state-1832267396,"https://i.kinja-img.com/gawker-media/image/upload/s--3fYErxX7--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/hlzksnwgojeimwnoeanc.jpg",,Lifehacker.com,Richter,0
JONATHAN BLAUSTEIN,"lens Following two and a half days of White Tantric Yoga, yogis in New Mexico take a walk with their eyes closed. Credit Andy Richter Given the partisan tumult of 2017, many Americans probably feel like they could use a cold shower or a hot bath. In stressful times like these, it can help to find a relaxation regimen, which might explain the popularity of Eastern traditions like tai chi, qigong and yoga. The photographer Andy Richter, a Minnesota native and former ski patrolman, has been devoted to his yoga practice since 2004. In 2012, he set out on a mission to deeply explore yoga, including visiting with many masters. “The time were living in, there’s a lot of pressure on us that is really nonstop,” he said. “We need tools and ways to be able to control our inner state. I’m not just there trying to illustrate a posture or pose. I’m trying to tune into what’s going on before me, and really transmit this inner experience that the yogi in front of me is having.” Bhandari Baba, a yogi who has been silent over 10 years, meditating in his cave in the foothills above Rishikesh, India. Credit Andy Richter A bound asana during a morning class taught by Saraswathi Jois, an instructor, in Mysore, India. Credit Andy Richter Students during a weekly yoga class for pregnant teenagers at Thomas Riley High School in Los Angeles. Credit Andy Richter After five years of travel — and likely some sore muscles — during which he photographed everyone from enlightened beings to pregnant teens, his resulting project, “ Serpent in the Wilderness,” was published by Kehrer Verlag and will be on view in several exhibitions this year. He spent time in India, where yoga originated, but also photographed in places like Denver, Colo.; Encinitas, Calif.; and a longtime Sikh community in northern New Mexico. Together, the photographs present a diverse look at an ancient practice that has been adapted to our contemporary times. It is also a personal perspective. ""These pictures represent my own walk through yoga,” he said. “They’re not all-encompassing, or representing yoga all around the world in all of its forms. It’s my own exploration, my own contemplation, and where I’ve been led to. I feel grateful for opportunity to have been in the presence of all of these amazing people.” Petals of devotion flow with the Yamuna River near Keshi Ghat in Vrindavan, India. Credit Andy Richter Swami Yogananda, 104, in supta padangusthasana during the International Yoga Festival at Parmarth Niketan Ashram in Rishikesh. Credit Andy Richter Thousands of yogis practice asana during a early morning class at Red Rocks Amphitheater near Morrison, Colo. Credit Andy Richter The book is rendered in warm, glowing colors: yellows, tangerines and ochres. Whether they show richly-hued cotton robes, vibrant flower petals or light reflecting off the Ganges, the series of photographs is stunning. While yoga has been associated with wisdom for more than 5,000 years, in American society, it has often been co-opted and commodified. But Mr. Richter thinks its greatest benefit is priceless, in more ways than one. “None of this is bought or sold, what we’re talking about here,” he said. “None is even available for any cost. It requires us to slow down, to still our minds, and to find a way to get our senses under control.” He is trying to veer away from this commercial view, which often is a humorously-expected-vision of yoga. Students at Miri Piri Academy in Amritsar, India, practice kundalini yoga, and are reflected in an image of Yogi Bhajan. Credit Andy Richter A yogi lies in savasana, or ""’corpse pose,” at Yogi Yoga in Beijing. Credit Andy Richter Yogis chant mantras at the close of their ashtanga practice with Saraswathi Jois, a daughter of the late yoga master Sri K. Pattabhi Jois, in Mysore, India. Credit Andy Richter ""Often in photographs, it is a beautiful woman in soft light, in a studio context, with certain branded attire on,” he said. “It’s not representing anything, in terms of what depth of what yoga is.” One image in the series depicts almost the exact opposite of that stereotype. In 2016, during one of his many trips to India, Mr. Richter found himself in a situation that sounds like something out of a storybook. He was in a cave, photographing a silent hermit who lived there, isolated from the world. They’d known each other for years, so he made sure to bring tobacco, fruit, and milk, along with his tripod and cable release. ""It was pretty incredible to be sitting there with this silent yogi, who basically wears a loin cloth, and lives in the forest,” he said. “We’re listening to music from all over world on my phone. I’ve been waiting for a long time for anything like this to happen. He’d never done yoga for me. He’d never meditated. It was amazing, and it happened very fast.” Fittingly, given the almost postmodern nature of this tale, despite yoga’s health benefits, after 15 minutes of practice, the silent yogi was pooped. ""He did all these yoga poses, these headstands, and more dramatic asana, and then he was huffing and puffing,” he recalled. “So he lay down, and lit up a cigarette, and was like, that’s it.” A young devotee blesses pilgrims along the Govardhan Parikrama, a sacred path where the Hindu god Krishna is believed to have spent much of his youth. Credit Andy Richter Meditating on the Yamuna River at Keshi Ghat in Vrindavan. Credit Andy Richter Bathing at sunrise in the Ganges during Mauni Amavasya Snan, the primary bathing day of the Maha Kumbh Mela celebration, in Allahabad. Credit Andy Richter Practices plavini pranayama, a breathing exercise, while floating on the Shipra River during the Kumbh Mela celebration in Ujjain, India. Credit Andy Richter Jonathan Blaustein is an artist and writer based in New Mexico. He contributes regularly to the blog A Photo Editor. Follow @ nytimesphoto on Twitter. You can also find Lens on Facebook and Instagram.","Following two and a half days of White Tantric Yoga, yogis in New Mexico take a walk with their eyes closed.",2018-03-12T08:00:18Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Lens: Contemplating Yoga Around the World,https://www.nytimes.com/2018/03/12/lens/contemplating-yoga-around-the-world.html,https://static01.nyt.com/images/2018/03/12/lens/12-yoga1/12-yoga1-facebookJumbo-v2.jpg,the-new-york-times,The New York Times,Richter,0
TIM HERRERA,"Ive recommended white noise machines before, and always for the same reason: Theyre incredible. (A tweet from a married friend this week joking-not-joking said it saved her marriage.) White noise machines are great because they block out all the noise that keeps you awake and sends you down spirals of wondering why youre still awake and ugh, O.K., if I fall asleep now Ill still get six hours and 33 minutes of sleep, which is still not bad, I can do that, O.K., down to six hours and four minutes, but thats doable, wait, O.K. Anyway. Wirecutters pick for a white noise machine is the LectroFan by ASTI. Sleep tight. If youd prefer to sleep in total silence, however, the right pair of earplugs will do the trick. Wirecutter recommends Macks Slim Fit Soft Foam Earplugs. In a sort of hybrid solution, Bose offers a pair of earbuds that acts as an in-between solution to mask noises while youre sleep: the Sleepbuds. Our consumer tech reporter, Brian X. Chen, tried them out, and had mixed findings. But in the end, he recommends trying the Sleepbuds if you have sleep problems with many caveats. One of the major caveats? The price: The Sleepbuds will cost you $250. Getting hard data to back up or demolish your theories about your own sleep habits can be truly enlightening. A sleep-tracking app like the one I use, SleepCycle provides that and more, showing you when you fall asleep, how you wake up, the duration of each sleep and overall trends about how your habits. Wirecutters favorite is Sleepscore.",A man asleep on one of the many beds set up at Spring Studios for the “Sleep” performance by Max Richter in New York City in May.,2018-10-31T22:39:10Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",5 Cheap(ish) Things to Help You Sleep Better,https://www.nytimes.com/2018/10/31/smarter-living/5-cheap-ish-things-to-help-you-sleep-better.html,https://static01.nyt.com/images/2018/11/01/health/01sl-newsletter/01sl-newsletter-facebookJumbo.jpg,the-new-york-times,The New York Times,Richter,0
Jessica Conditt,"The legendary vampire hunter Simon Belmont comes to Super #SmashBrosUltimate from the #Castlevania series! pic.twitter.com/q1L6wc7Aol — Nintendo Versus (@NintendoVS) August 8, 2018 Simon and Richter have their classic weapons, including the Holy Whip, axe, cross, holy water and melee attacks, while their Final Smash is the Grand Cross. Along with the new characters, Dracula's Castle will be a fresh level in Super Smash Bros. Ultimate, dubbed the ""darkest stage"" in the game. Alucard joins the party as an Assist Trophy. On top of the new Castlevania characters and stages, 34 music tracks from the classic games will make their way to Super Smash Bros. Ultimate, pushing the total number of songs past 800. Nintendo is highlighting the music this time around and introducing some interesting new features along the way -- Smash Bros. Ultimate players will be able to create playlists and listen to songs even when the Switch screen is off (and in handheld mode, of course). Nintendo introduced a few more new characters during today's livestream: King K. Rool, Donkey Kong's crocodile-king foe, will be a playable fighter, while Fire Emblem 's Chrom and Metroid 's Dark Samus are two new echo characters (for Roy and Samus, respectively).","Nintendo just murdered Luigi during a livestream about Super Smash Bros. Ultimate. Killing beloved characters is the point of Smash Bros., after all, and Nintendo took the opportunity to add two more to the list: Simon and Richter Belmont, stars of the Castle…",2018-08-08T14:56:00Z,"{'id': 'engadget', 'name': 'Engadget'}",'Castlevania' is coming to 'Super Smash Bros. Ultimate',https://www.engadget.com/2018/08/08/castlevania-is-coming-to-smash-bros-ultimate/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fs.aolcdn.com%2Fhss%2Fstorage%2Fmidas%2Fa0794e8d2545b010f061e963f0f1b0e4%2F206581125%2FDkFSsA-UUAAwvkq.jpg&client=cbc79c14efcebee57402&signature=149734b2a59df916e33397145e957e3c5c4e299a,engadget,Engadget,Richter,0
JASON FARAGO,"The Venetian masters hold on the great skeptic of contemporary painting is the subject of Titian/Gerhard Richter: Heaven on Earth, an idiosyncratic and wonderfully challenging exhibition on view at the Palazzo Te, a 16th-century palace in Mantua, Italy, 90 miles west of Venice. (The palace attracts tens of thousands of visitors a year, many drawn to its massive Mannerist frescoes by Giulio Romano, which date from slightly before Titian.) The exhibition includes the 1539 Annunciation that so inspired Mr. Richter, as well as a grander and looser painting of the same subject that Titian made in 1558-59. The show was also meant to include Mr. Richters Annunciations, but loans fell through at the last minute. Mr. Richter stepped in, lending a print on aluminum of Annunciation After Titian that he made in 2015, and a dozen other works some with figurative imagery, many abstract and never before exhibited. The absence of the original copy Mr. Richter made in 1973 is in some ways a lucky accident, as it lets this show escape a one-on-one face-off between the Annunciations and explore deeper, less direct interplays between Renaissance and contemporary art. Mr. Richters pictures of his wife, Sabine, and his daughters, Betty and Ella, are usually treated by curators as intentionally, almost sarcastically banal. Alongside Titians religious paintings, as well as an arresting 1559 drawing of Gabriel melting into a cloud of charcoal, the Richter portraits appear far less ironic. The anachronistic hang lets you see the family portraits as coherent with a Counter-Reformation painterly tradition, in which saints were depicted as recognizable humans on the cusp of divine transformation.",An idiosyncratic exhibition in northern Italy pairs the leading artist of Renaissance Venice with contemporary Germany’s master of the blur.,2018-10-18T13:02:58Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","Art Review: Titian and Gerhard Richter: Keeping Faith With Painting, 5 Centuries Apart",https://www.nytimes.com/2018/10/18/arts/design/titian-gerhard-richter-palazzo-te.html,https://static01.nyt.com/images/2018/10/18/arts/18richter3/18richter3-facebookJumbo-v2.jpg,the-new-york-times,The New York Times,Richter,0
GIOVANNI RUSSONELLO,"Welcome to Best of Late Night, a rundown of the previous nights highlights that lets you sleep and lets us get paid to watch comedy. If youre interested in hearing from The Times regularly about great TV, sign up for our Watching newsletter and get recommendations straight to your inbox.
Conan OBrien returned after a long hiatus, sporting a more casual outfit (This is how I dress in real life I call my look hip biology teacher), a new set backdrop (It looks like a strip club in Grand Theft Auto! his sidekick Andy Richter complained), and the same old self-deprecating sense of humor.
The new version of his TBS show which OBrien decided to alter after hitting his 25th year in late night in 2018 is just 30 minutes long. After the crowds welcoming applause died down, OBrien joked, Thank you very much, ladies and gentlemen. We did not have time for that. Thats it good night, everybody! He then squeezed in a quick monologue, a This Is Us parody skit with Richter as OBriens worried wife, and a long, chummy interview with Tom Hanks.
And OBrien did something sneakily revolutionary in the Trump era of late night: He barely mentioned the president. (Although he did welcome his audience with an unveiled reference: It is great to be back. I am happy to announce right now that the three-month Conan shutdown is officially over.)","Returning from hiatus with a shortened, half-hour format, O’Brien interviewed Tom Hanks and stayed away from jokes about President Trump.",2019-01-23T10:03:17Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","Best of Late Night: Conan O’Brien Has a New Look, but a Familiar Approach",https://www.nytimes.com/2019/01/23/arts/television/conan-obrien-new-show-debut.html,https://static01.nyt.com/images/2019/01/23/arts/23latenight1/23latenight1-facebookJumbo.png,the-new-york-times,The New York Times,Richter,0
JOSHUA BARONE,"Some people stood in the center aisle to pose for photos, with the band — comprising Mr. Richter, members of the American Contemporary Music Ensemble and the soprano Grace Davidson — visible behind them. Spring Studios’ floor-to-ceiling windows offered the cityscape as an alluring backdrop for pajama-clad selfies. For some reason, water wasn’t available at the bar. I put away my notebook and tried to listen to “Sleep” as Mr. Richter intended. For the first half-hour, it was just him at the piano, playing a slow, pulsing lullaby. His rhythmic precision was admirable, given that his score was just stretches of whole notes; he played with the focus of a dyed-in-the-wool Minimalist. Composers from that movement were Mr. Richter’s earliest inspirations. As a boy in small-town Britain in the 1970s, he would get records from his family’s milkman, an artist who was tapped into the music of La Monte Young, Terry Riley and Philip Glass. He fell in love with Satie’s furniture music, and, eventually, the ambient soundscapes of Brian Eno. All of this factored into “Sleep,” which was first released in 2015. But the piece is also a homage to Bach’s “Goldberg” Variations. (The two works have the same number of sections.) While aware that the piece’s origin story is apocryphal, Mr. Richter was intrigued that the “Goldbergs” were supposedly written for a count with insomnia. Bach, it needs be said, this ain’t. “Sleep” is rife with the hallmarks of Mr. Richter’s style: a clarity that can seem like superficiality; an earnestness and emotionality that often come off as more ersatz and manipulative than personal. And it’s difficult to buy into an eight-hour exercise in mindfulness when, against Mr. Richter’s best intentions, it opened itself to being more of a social media sensation. Photo Mr. Richter playing the piano at the performance. Credit Vincent Tullo for The New York Times Asked whether the performance could fall victim to the very thing it was trying to resist, Mr. Richter said, “It’s fraught with ironies.” But he said he also hoped that the piece could help a community build toward “a silence.” Silence did reign in the middle of the night, when the piece reached its enchanting apex. Around me people slept, or lay awake as if in a trance. The lofts and office towers of TriBeCa rested, too. There were no stars in the sky, but the lights twinkled in the choppy waves of the Hudson River. I fell asleep, and dreamed that someone was walking among the mattresses, handing out water. Photo Our reporter, Joshua Barone, asleep on the job. Credit Vincent Tullo for The New York Times Around 5:30 in the morning, the sun began to rise, gradually filling the room with light as the “Sleep” orchestra played obvious music to match it: an increasingly loud, radiant major chord. If the earlier lullaby music had been purposefully low and mantralike, based on scientific research into what puts us to sleep, this gentle reveille also had an experimental basis: Higher frequencies wake us up. As people awoke, they grabbed their phones to capture the sunrise. A couple kissed and said good morning, as if at home and not surrounded by 100 strangers. “Sleep” ended with a fade-out, immediately followed by the voice of a Beautyrest staff doctor, guiding the audience through meditation with the phlegmatic voice “Saturday Night Live” actors use to parody NPR. “Our motivation resets over the course of the symphony of the night,” she said. “What will you do today? What will you achieve today?” It was difficult not to feel cynical as I walked out of the performance — the break from being sold stuff that I’d been promised — to have Beautyrest representatives handing me branded energy drinks. But then I met John Carl and Mary VandeRiet, two thirtysomething filmmakers. They had been awake most of the night, thinking it a waste to sleep through something so transcendental and peaceful. Ms. VandeRiet said she had never seen musicians onstage “so entirely connected to the music.” “It was just perfect,” she said. Indeed, during the performance Mr. Carl had asked Ms. VandeRiet to marry him. “We’ve listened to this album as we’ve slept,” he said. “We’ve listened to it at important moments in our lives. I had to do this.” Follow Joshua Barone on Twitter: @joshbarone. A version of this article appears in print on May 8, 2018, on Page C7 of the New York edition with the headline: As the Band Played On (and On), Zzzzs. Order Reprints | Today's Paper | Subscribe Continue reading the main story",Groups of people laid out on branded beds for an all-night performance of Max Richter’s “Sleep” in Manhattan.,2018-05-07T17:35:40Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","On the Mattress for ‘Sleep,’ an 8-Hour Lullaby",https://www.nytimes.com/2018/05/07/arts/music/max-richter-sleep-new-york.html,https://static01.nyt.com/images/2018/05/08/arts/08SLEEP-MUSIC6/08SLEEP-MUSIC6-facebookJumbo.jpg,the-new-york-times,The New York Times,Richter,0
Kate Clark,"The scooter startups are taking over the world — or trying to. Earlier this week, Bird debuted its electric scooters in London’s Queen Elizabeth Olympic Park; today, Lime is announcing its foray into the land down under with the launch of a three-month scooter pilot at Monash University in Melbourne, Australia. Lime has also released several hundred of its dockless electric bikes in Sydney and plans to introduce its scooters there, as well as in Brisbane, soon. Sydneys need for innovative transport solutions, which cater to the first and last mile, gives us confidence we will see high uptake of Lime electric bikes within the community, said Mitchell Price, Lime’s director of government affairs and strategy in Australia and New Zealand. The company is also announcing that it’s clocked in 20 million rides just two months after it surpassed 10 million. Using the nearly half a billion dollars it’s raised to date, Lime is rapidly expanding across the globe and filling out its C-suite. Last week, it brought on David Richter as its first-ever chief business officer, followed by the appointment of GV general partner Joe Kraus as its chief operating officer. Headquartered in San Francisco, the startup is backed by GV, Andreessen Horowitz, IVP, Section 32, GGV Capital and more.",Lime has launched its e-scooters and e-bikes in Melbourne and Sydney.,2018-11-08T13:00:35Z,"{'id': 'techcrunch', 'name': 'TechCrunch'}",The scooters arrive in Australia,http://techcrunch.com/2018/11/08/the-scooters-arrive-in-australia/,https://techcrunch.com/wp-content/uploads/2018/11/Lime-in-New-Zealand.jpg?w=600,techcrunch,TechCrunch,Richter,0
George Dvorsky,"Archaeologists have uncovered the earliest evidence of bread-making at a site in northeastern Jordan. Dating back some 14,400 years, the discovery shows that ancient hunter-gatherers were making and eating bread 4,000 years before the Neolithic era and the introduction of agriculture. So much for the “Paleo Diet” actually being a thing. Bread-making predates agriculture, according to a new study published today in Proceedings of the National Academy of Sciences. That’s quite the revelation, given the conventional thinking that bread only appeared after the advent of farming. The discovery means that ancient hunter-gatherers were using the wild ancestors of domesticated cereals, such as wild einkorn and club-rush tubers, to make flatbread-like food products. What’s more, the new paper shows that bread had already become an established food staple prior to the Neolithic period and the Agricultural Revolution. A research team led by Amaia Arranz-Otaegu from the University of Copenhagen analyzed fragments of charred food remains found at a Natufian hunter-gatherer site in northeastern Jordan called Shubayqa 1. The remains of the burnt bread, found in two ancient basalt-stone fireplaces, were radiocarbon dated to 14,400 years ago, give or take a couple of hundred years. This corresponds to the early Natufian period and the Upper Paleolithic era. The Natufian culture lived in the Levant, a region in the Eastern Mediterranean, from around 14,600 to 11,600 years ago. Prior to this discovery, the oldest known bread came from the 9,500-year-old settlement of Çatalhöyük, located in Anatolia, Turkey. Çatalhöyük dates back to the Neolithic era, a time when ancient humans had already settled in permanent villages and developed farming. The bread found at Shubayqa 1 pre-dates the Çatalhöyük bread by around 5,000 years, and it’s now the oldest example of bread-making in the archaeological record. For the study, the researchers analyzed 24 charred fragments of bread from the Shubayqa 1 excavation site using a Scanning Electron Microscope (SEM). Using SEM, the researchers were able to obtain the high resolution images required for studying the fine structures embedded within the charred materials. These images were compared to experimentally produced bread, allowing the researchers to identify the archaeological specimens. SEM analysis is quite time consuming, and the researchers only managed to analyze 24 fragments out of a total of 600 pieces that appear to be bread or bread-like remains. Tobias Richter, an associate professor at the University of Copenhagen and a co-author of the new study, said the discovery was surprising on a number of levels. “First, that bread predates the advent of agriculture and farming—it was always thought that it was the other way round,” Richter told Gizmodo. “Second, that the bread was of high quality, since it was made using quite fine flour. We didn’t expect to find such high-quality flour this early on in human history. Third, the hunter-gatherer bread we have does not only contain flour from wild barley, wheat and oats, but also from tubers, namely tubers from water plants (sedges). The bread was therefore more of a multi-grain-tuber bread, rather than a white loaf.” Richter said the method used for identifying the bread fragments is new, and that other researchers should use the technique to re-analyze older archaeological collections to search for even earlier examples of bread production. “I think it’s quite important to recognize that bread is such a hugely important staple in the world today,” said Richter. “That it can now be shown to have started a lot earlier than previously thought is quite intriguing, I think, and may help to explain the huge variety of different types of breads that have evolved in different cultures around the world over the millennia. Dorian Fuller, an archaeobotanist at the University College London and a co-author of the new study, said it’s highly plausible that hunter-gatherers were able to make bread without the benefit of agriculture. “Bread at it its most basic is flour, water, and dry heat. The flour should also ideally include some protein, such as gluten, that occurs in wheat to hold the batter together and provide elasticity,” Fuller told Gizmodo. “So this requires a suitable flour, and wild wheats and barleys contain gluten.” In addition, the necessary equipment to produce flour, like stone tools to pulverize grains, were already in existence by the time this ancient bread was made, as some of the oldest examples date back 25,000 years or more. “So the fact that people would have ground stuff to process it is not surprising,” said Richter. Lastly, the third element to making bread—dry, baking heat—would likely exist in a culture without ceramics, which describes this particular culture at the time. Ehud Weiss, an archaeobotanist at Bar-Ilan University who wasn’t involved with the new study, says the new paper describes a significant discovery. “One of the interesting aspects of reconstructing our ancestors’ diet is the technology they used,” Weiss told Gizmodo. “Here, it is clear these people grinded and mixed several types of foodstuff, cereals, and root food to create a baked product.” Weiss says it’s important to remember that caloric return was a major issue with hunter-gatherers’ diet, especially in challenging environments. Ground and baked foodstuffs have a higher glycemic index (GI) than raw food, where GI is a relative ranking of carbohydrates in foods according to how they affect blood glucose levels. “Today, we use GI as a tool to avoid food that will add too much sugars to our blood stream,” said Weiss. For hunter-gatherers who struggle in hostile environments to gain more energy from their food, the situation is, of course, the opposite. The ability to increase the caloric return from their food is, therefore, an important step in the development of human nutrition.” Francesca Balossi Restelli from the Sapienza University of Rome, also not involved with the new study, wasn’t surprised by the finding, saying a discovery of this nature was expected. “Certainly, finding charred remains of flour products is the much-needed demonstration of what the large quantity of mortars, pestles, and moulders were already showing us,” Restelli told Gizmodo. “If people were cultivating plants, if they had mortars, then they must have been baking ‘bread-like’ foods. The discovery described in the PNAS article is thus certainly extremely meaningful, but not totally unexpected. It is very nice news, as it confirms today’s trend of thought and research.” University of Cambridge archaeobotanist Martin Jones is excited about the new paper, both for what it tells about about the dietary habits of paleolithic humans, and in the use of a new technique to study the bits and pieces of plant material left behind by ancient humans. “If we listen to many of the familiar narratives about how humans ate before the advent of agriculture, we hear a great deal about animals, and a bit about seafood,” Jones told Gizmodo. “We have got nowhere near as far with understanding how they worked with plants, and it is beginning to come clear that plant-based cuisine is very old indeed, and very significant.” “Looking at pulverized plant material is still quite novel,” Jones said. “We archaeobotanists understandably feel more confident about identifying plants before they have been mashed to a pulp. But the SEMs here show how much cellular pattern is still discernible, and how fruitful it can be to persevere and give it a closer look.” As a final note, this study reminds us, yet again, that the so-called Paleo Diet isn’t an actual thing, or at the very least, not a coherent, unified diet that existed across multiple populations of paleolithic peoples. What’s more, this study doesn’t tell us which particular ancestral diet was the “healthiest,” and it’s doubtful that archaeology can tells us anything meaningful in this regard. When it comes to a balanced, healthy diet, you should listen to the experts : Eat lots of vegetables and fruit, choose whole grains, get your protein, and avoid highly processed foods, especially those with added sugar. [ PNAS ]","Archaeologists have uncovered the earliest evidence of bread-making at a site in northeastern Jordan. Dating back some 14,400 years, the discovery shows that ancient hunter-gatherers were making and eating bread 4,000 years before the Neolithic era and the in…",2018-07-16T19:00:00Z,"{'id': None, 'name': 'Gizmodo.com'}","Discovery of 14,000-Year-Old Toast Suggests Bread Can Be Added to Paleo Diet",https://gizmodo.com/discovery-of-14-000-year-old-toast-suggests-bread-can-b-1827631358,"https://i.kinja-img.com/gawker-media/image/upload/s--Z6apVf_U--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/jnwitqilr5l5coqjqtqt.jpg",,Gizmodo.com,Richter,0
