author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
Patrick Allan,"Flash floods can strike with almost no warning, so it pays to be prepared. It doesn’t take much for rain to escalate from a light drizzle to a deadly emergency situation. In the event the dry land around you transforms into a raging river, these tips can keep you from being swept away. In the video above, we’ll explain how to know when a flood is coming your way. You’ll also learn the difference between a flood watch and a flood warning, and see why it’s best to avoid any water during a flash flood, even if you’re in a car. Plus, we’ll explain the importance of seeking higher ground, what to do if flood waters reach your home, and how to escape a car trapped in deep water. And if you do get knocked off your feet by the mighty force of an impromptu river—you’ll be surprised how little water it takes—you’ll learn how to float safely until you can grab something and wait for help. Flood waters may not look all that threatening on TV, especially if you’re a skilled swimmer. But… Read more Read Wherever you find yourself during a flash flood, it’s important to remember to get to higher ground, wait for the waters to subside, then make your way to safety. If you want to read more about navigating the dangers of flash floods, you can check out our survival guide here.","Flash floods can strike with almost no warning, so it pays to be prepared. It doesn’t take much for rain to escalate from a light drizzle to a deadly emergency situation. In the event the dry land around you transforms into a raging river, these tips can keep…",2018-06-11T19:00:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Here's Everything You Need to Know to Survive a Flash Flood,https://lifehacker.com/heres-everything-you-need-to-know-to-survive-a-flash-fl-1826733229,"https://i.kinja-img.com/gawker-media/image/upload/s--6pgMnfBz--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/uarymjnzizdz5mfinycx.jpg",,Lifehacker.com,flash-flood,1
ALEXANDRA S. LEVINE,"When: Officials will send high-priority warnings during tsunamis, blizzards, tornadoes, hurricanes, extreme wind conditions, storm surges, snow squalls and flash floods. In New York, flash flood warnings are the most common, said Nelson Vaz, a warning coordination meteorologist for the Weather Service. On days like today, the Weather Service’s forecasters are constantly monitoring rainfall rates and the affected environments. “If they feel the rainfall rates are going to exceed the ability of the ground to absorb that rainfall, and you’re going to see a threat to life and property from flooding, that’s when the forecaster will issue a flash flood warning,” Mr. Vaz explained. How: The warnings are issued from the National Weather Service’s offices in Upton, N.Y., using computer software called WarnGen, which allows the forecasters to create the text of the message — describing the location and hazards, for example — and to target the geographic area where the flooding is expected to happen. The technology, called Wireless Emergency Alerts, is the same tool that can push out Amber Alerts or emergency warnings from the president. (At 2:18 p.m. on Oct. 3, the Trump administration is planning to send a test presidential alert.)","Tuesday: Food for thought during today’s heavy rain, and Open House New York.",2018-09-18T10:00:01Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",New York Today: New York Today: Flash Flood Warnings,https://www.nytimes.com/2018/09/18/nyregion/new-york-today-flash-flood-warnings.html,https://static01.nyt.com/images/2018/09/18/nyregion/18nytoday/18nytoday-facebookJumbo.jpg,the-new-york-times,The New York Times,flash-flood,1
https://www.facebook.com/bbcnews,"Image copyright AFP Image caption The Zoicu canyon is near Soccia, a mountain village A flash flood in a canyon has killed a father, his seven-year-old daughter and two other people on the French island of Corsica. A fifth person in the French hiking group - a woman - is still missing. Rescuers resumed a search for her near Soccia on Thursday. Seven tourists were canyoning with a guide when a wave about 3m (12ft) high hit them, a Corsican prosecutor said. The guide was among those killed. Two were rescued from the torrent. Image copyright AFP Image caption Firefighters resumed a search for the missing woman early on Thursday French media report that the seven were abseiling (rappelling) into the Zoicu canyon, a famous beauty spot, parts of which are only accessible with ropes. The canyon is at an altitude of 1,000m (3,280ft) in a mountainous area, and is a popular spot for hiking, kayaking and canyoning, which can involve ropework, technical climbing and swimming. There was a storm alert in place at the time of the flood on Wednesday, and five other hikers, including the seven-year-old's mother, had turned back earlier. The French news website Le Point (in French) reports that a guide from another hiking group threw a rope into the torrent to rescue two from the group in trouble. AFP news agency says it is France's worst canyoning tragedy since March 2010, when four people died in an accident on the Indian Ocean isle of Reunion.",A canyoning trip proved fatal for a seven-year-old girl and three adults on the French island.,2018-08-02T09:48:01Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Corsica flash flood kills four in French canyoning group,https://www.bbc.co.uk/news/world-europe-45043778,https://ichef.bbci.co.uk/news/1024/branded_news/14E55/production/_102798558_canyonsocciaafp1aug18.jpg,bbc-news,BBC News,flash-flood,1
Shannon Connellan,"Residents and local press in Maryland posted frightening footage of destructive flash flooding on Sunday, following heavy rain across the state. Particularly affected was Ellicott City, located about 14 miles west of Baltimore, which suffered intense flash flooding along its Main Street — the very same street that was turned into a raging river amidst a torrential flood in 2016, which killed at least two people. SEE ALSO: Fighting climate change could save the world trillions of dollars The videos and images are quite devastating, especially for a community that endured this only two years ago. DEVELOPING: Flash flooding, water rescues reported in Maryland as heavy rain soaks much of the state. https://t.co/CfWjWkGHWA Video shows water rushing down Main Street in Ellicott City, just outside Baltimore. It's the same street devastated by flash flooding in July 2016. pic.twitter.com/b3DMOcVswi — ABC News (@ABC) May 27, 2018 On Sunday afternoon, the National Weather Service issued multiple flash flood warnings for areas across the state of Maryland. The NWS alert reported heavy rain had fallen across the area in the afternoon, with estimated amounts of 3 to 6 inches in southern Baltimore City and Baltimore County, causing rising waters, especially in streams, some at a rapid pace. According to the Baltimore Sun, NWS meteorologist Brian LaSorsa reported about 8 inches fell in Ellicott City over a six-hour period. He could not confirm to the publisher whether the flood was worse than that of 2016. VERY heavy rain continues to fall across #EllicottCity at this hour. Radar estimates over half a foot of rain now and still coming down just west of downtown. No sign of stopping anytime soon. pic.twitter.com/nPD990z80W — Mike Thomas (@MikeTFox5) May 27, 2018 Governor Larry Hogan declared a State of Emergency in response to the severe flooding in Ellicott City, and areas across the state. The executive order allows the state of Maryland to coordinate support to local jurisdictions experiencing flooding conditions. “Less than two years ago, the citizens of Howard County and Ellicott City went through a horrific ordeal, and sadly, they are facing a similar emergency today,” said Governor Hogan in a statement. “Our administration is closely monitoring the situation and working in partnership with local officials, including Howard County Executive Allan Kittleman, to respond to this extreme weather as quickly and efficiently as possible.” “The immediate focus is ensuring everyone is safe and secure. The state will continue to provide all available resources to assist Howard County with their response to this extremely dangerous and ongoing situation. I strongly urge all Marylanders to monitor the weather, heed all warnings, and avoid the affected areas.” After the floodwaters had receded, the Baltimore Sun reports that emergency officials announced no injuries, fatalities or missing persons as of Sunday night, following safety checks throughout Main Street and surrounding areas. Exceptionally active on Twitter during the flooding, Howard County Fire &amp; EMS posted that rescues, some using rescue swimmers, were under way in Ellicott City, and that in some areas, water had risen to the first floor of buildings. ""If you are trapped, we are coming,"" the team tweeted. #ECFlood | Reports of building collapses in #Ellicott City | Collapse rescue teams en route | In some areas, water is above the first floor of buildings. — Howard Co Fire &amp; EMS (@HCDFRS) May 27, 2018 Howard County Government requested locals stay off the roadways and out of Ellicott City, recommending that people find higher ground. @HoCoGov continues to monitor the situation. We continue to ask folks to PLEASE STAY OUT OF #EllicottCityMD #HoCoMD. Until these storms move through the area, we are also asking folks to please stay off the roadways. #ECFlood — Howard County Gov't (@HoCoGov) May 27, 2018 If you're affected by the storm and in need of non-emergency assistance, you can call Howard County Police Department at 410-313-2200. Want to help from where you are? The Ellicott City Partnership (ECP) has updated their website HelpEllicottCity.com and is accepting donations to help business owners, property owners and residents recover from the flood.","Residents and local press in Maryland posted frightening footage of destructive flash flooding on Sunday, following heavy rain across the state. Particularly affected was Ellicott City, located about 14 miles west of Baltimore, which suffered intense flash fl…",2018-05-28T02:58:16Z,"{'id': 'mashable', 'name': 'Mashable'}",Maryland residents post frightening videos of flash flooding after heavy rain,https://mashable.com/2018/05/27/maryland-flooding-ellicott-city/,https://i.amz.mshcdn.com/KZmofza_p0g-upCisZ3ebA_POk0=/1200x630/2018%2F05%2F28%2Fd3%2F08b097ea68d5494cb0384251d5b3d393.f10fa.jpg,mashable,Mashable,flash-flood,1
"Holly Yan, CNN","(CNN) Deserts aren't supposed to get much rain, but Tropical Storm Rosa is flipping the script. Rosa is forecast to make landfall early Tuesday with more than 11 million people under a flash flood watch in the Southwest, CNN meteorologist Michael Guy said. It'll drench Baja California with 3 to 6 inches of rain, with some spots getting up to 10 inches, the National Hurricane Center said. As it moves northeast, Rosa will also dump 2 to 4 inches of rain on much of Arizona, with up to 6 inches in the mountains. A flash flood watch is in effect for parts of Arizona until Wednesday as the storm's remnants move across the state, the National Weather Service said. ""These rainfall amounts may produce life-threatening flash flooding,"" the National Hurricane Center said. ""Dangerous debris flows and landslides are also possible in mountainous terrain."" Historically, it's unusual for the US Southwest to get pummeled by a hurricane or tropical storm. But ""these events have begun to increase in recent years,"" CNN meteorologist Gene Norman said. Research indicates that global warming contributes to tropical storms getting ""more intense, bigger and longer-lasting, thereby increasing their potential for damage,"" said Kevin Trenberth, senior scientist at the National Center for Atmospheric Research. While there might not be a direct link between global warming and the recent increase of severe storms in the US Southwest, ""it is possible that this could be a side effect of climate change,"" Norman said. ""Warmer oceans are allowing eastern Pacific storms to reach higher latitudes,"" he said. ""This was not the case earlier. It was quite rare for an eastern Pacific storm to even reach Baja California, and this is now becoming more common."" Rosa was about 75 miles (125 kilometers) North of Punta Eugenia, Mexico, late Monday night, with maximum sustained winds of 40 mph (65 km/h). CNN's Brandon Miller and Judson Jones contributed to this report.","Deserts aren't supposed to get much rain, but Tropical Storm Rosa is flipping the script. The storm is expected to dump up to 6 inches of rain on parts of Arizona.",2018-10-02T04:17:32Z,"{'id': 'cnn', 'name': 'CNN'}",Tropical Storm Rosa threatens 11 million people with flooding in the Southwest,https://www.cnn.com/2018/10/02/weather/tropical-storm-rosa-wxc/index.html,https://cdn.cnn.com/cnnnext/dam/assets/180930072857-01-hurricane-rosa-graphic-0930-730am-super-tease.jpg,cnn,CNN,flash-flood,1
Linh Ta,"Sgt. Paul Parizek stresses the importance of heeding flash flood warnings during a media briefing at the Polk County Emergency Operations Center. Des Moines Register Flood waters spill over Four Mile Creek on Sunday, July 1, 2018 after flash flooding Saturday night in Des Moines. (Photo: Brian Powers, Rodney White/The Register) Buy Photo Though emergency officials expected a storm in Des Moines on Saturday, the sheer strength of it took people by surprise, according to a news conference on Sunday. ""It’s hard to predict how that water is going to rise and how quickly it’s going to come,"" said Sgt. Paul Parizek, spokesman for Des Moines police. ""The speed and how long that rain fell caught us by surprise."" For the near future, the heavy rain has ended across central Iowa, according to Kelsey Angle, meteorologist with the National Weather Service in Des Moines. Between 3 to 8 inches of rain fell rapidly across the Des Moines metro Saturday, contributing to ""catastrophic flooding,"" Angle said. Walnut Creek at 63rd Street recorded the highest crest on record just over 19 feet, Angle said. Take a look from above as water spills over the banks of Walnut Creek in Windsor Heights. Rodney White and Michael Zamora, The Register The Saylorville Lake reservoir is forecast to crest at about 888 feet by next weekend — a depth that is above the lip of the concrete emergency spillway, according to the U.S. Army Corps of Engineers on Sunday. On Sunday, 20,500 cubic square feet was flowing out. ""We are not anticipating a flood release that is uncontrolled out of Saylorville,"" said Des Moines Mayor Frank Cownie. Much of the Des Moines area got 6 to 7 inches of rain in less than three hours Saturday, and the flash flooding resulted in one death, rescues of people stranded in their vehicles, apartment evacuations and a house explosion in Urbandale. At least 100 people have been displaced, according to the American Red Cross. As of 9 a.m. on Sunday, the Saylorville Lake reservoir stands at 878.39 feet, according to the Army Corps of Engineers. It increased over 2 feet in the last 24 hours. Saylorville Lake reached 866.6 feet above sea level Tuesday afternoon, an increase of more than 15 feet in just five days. The top of the dam's spillway is at 884 feet; that figure can be increased to 890 feet with the use of pneumatic crest gates. When in use, the inflatable pneumatic crest gate pushes water back from the lake's spillway dam and allows engineers to keep channeling it through the dam's main gates. This helps control erosion on the spillway. Last Slide Next Slide Saylorville Lake hit a historic high level on July 11, 1993, when it crested at 892 feet above sea level. On June 12, 2008, the lake level rose to 891 feet above sea level. The most heavily damaged areas in the Des Moines area are along Fourmile Creek and Walnut Creek in the metro, said A.J. Mumm, Polk County Emergency Management Director. The worst flooding damages are along the Fourmile Creek from East Douglas Avenue all the way to Pleasant Hill, until it meets the Des Moines River. Damage is along Walnut Creek through Urbandale, Clive, Windsor Heights and Des Moines. Walnut Creek flooded at record levels during Saturday's deluge. A little east of Clive, the creek at 63rd Street in Des Moines set a record when it crested at 11:45 p.m. at 19.08 feet. The previous high was 18.7 in 2015. ""We've seen truly historic crests on both of the waterways,"" Mumm said. Fleur Drive in Des Moines appears to be safe as of Sunday morning, but residents in the eastern side of town should use caution near the Fourmile Creek area, where numerous buildings were evacuated Sunday because of record flooding, said Chad Christensen, Des Moines Public Works flood systems engineer. How to deal with a flooded home: The latest forecast from the National Weather Service in Des Moines shows the Raccoon River cresting at 16.5 feet near Fleur Drive — just on the brink of when water comes on to the road. If no additional rain hits the metro, the road will not have to close, Christensen said. Public works is focusing its attention along the Fourmile Creek area, which was hit with 6 to 10 inches of rain along its base, Christensen said. Drivers are advised to stay away. Road damage has been reported along Second Avenue, where water peeled and displaced the asphalt. Birdland Drive and Prospect Road are also closed. The city closed the gate that’s a part of the Birdland levee across from Saylor Road as a precaution. It’s been all-hands-on-deck in the public works department as crews survey and fix damages since 8 p.m. Saturday, Christensen told the Register. A report from Polk County Emergency Management outlines the hazards that occurred overnight and remain Sunday morning: Buy Photo Grand Ave closed at 63rd Street in Des Moines, Iowa, after heavy rain Sunday, July 1, 2018. (Photo: Rodney White and Michael Zamora/The Register) Des Moines road closures: Fourmile Creek area: Hubbell Avenue Euclid Avenue Easton Boulevard Williams Drive East 42nd Street, north of Easton Boulevard Sailor road by birdland marina Prospect road Birdland Drive George Flagg SW 30th Search and rescue: Emergency officials across the metro conducted several boat rescues, particularly from stalled vehicles. Officials also rescued residents from buildings in Clive, Elkhart, Johnston, Grimes, Pleasant Hill and Urbandale. Des Moines reported two structural collapses. Evacuations occurred at Pleasant Valley Mobile Home Park in Pleasant Hill and Parkside East Apartments in Des Moines. Transportation: Multiple roads are closed across the metro. Drivers will also find abandoned and flooded vehicles on roads across the metro Sunday. Some tow companies are reporting a three-day wait to clear all vehicles. The overhead floodgate at 63rd Street and Grand Avenue has been closed. Many Des Moines Area Regional Transportation routes are on temporary detours due to flooding. Routes will return to normal as roads reopen throughout the day. Expect delays and call 283-8100 with questions. Fourmile Creek on Des Moines' east side reached a record breaking 17.47 feet on Sunday morning, July 1, 2018, after heavy rain overnight. Wochit Shelters: Residents impacted by flooding can seek shelter at the Urbandale, West Des Moines, Elkhart and Clive fire departments. Tenants at the Parkside East Apartments at 3560 East Douglas Ave. were evacuated and moved to a neighboring apartment complex. Hospitals/medical care: Residents at the UnityPoint Taylor House Hospice at 3401 E. Douglas Ave. were evacuated due to flooding at Fourmile Creek. Residents who required power for medical devices needed assistance. Cell phone video provided by Mychael Thomas shows flood waters filling the aisles at the Hy-Vee at 3330 Martin Luther King Jr Pkwy, in Des Moines. Mychael Thomas, Special to the Register Sandbags: Sandbags and sand are being provided for Bondurant residents. Power outages: MidAmerican is reporting 1,181 houses and businesses without power as of 7:30 a.m. Sunday. While the outages are spread across the metro, they're most concentrated around Des Moines. More coverage of Des Moines flooding: Larry Cotlar, Des Moines sports broadcaster for decades, dies in flash flood | Randy Peterson: Drake Bulldogs radio personality Larry Cotlar, Mr. Positive, 'almost too nice for sports radio' In Clive, floods filled buildings 'like a bathtub' as Walnut Creek swelled Fourmile Creek's record rise 'hit and it hit quick' Clive allows business owners, residents to return to certain areas No walls left standing after Urbandale duplex floods, then explodes Resident: Des Moines motorists deserve 'stupidity tickets' for driving in floodwaters Speed of rain, heavy amounts 'caught us by surprise,' Des Moines police say This is how much it rained in the Des Moines metro Saturday night Here are the closed trails and recreation in Des Moines metro Resident: Des Moines motorists deserve 'stupidity tickets' for driving in floodwaters Read or Share this story: https://dmreg.co/2tT9cew","DesMoinesRegister.com Des Moines flooding: Speed of rain, heavy amounts 'caught us by surprise,' police say DesMoinesRegister.com Sgt. Paul Parizek stresses the importance of heeding flash flood warnings during a media briefing at the Polk County Emergency Op…",2018-07-01T19:29:26Z,"{'id': None, 'name': 'Desmoinesregister.com'}","Des Moines flooding: Speed of rain, heavy amounts 'caught us by surprise,' police say - DesMoinesRegister.com",https://www.desmoinesregister.com/story/weather/2018/07/01/des-moines-flooding-road-closures-record-river-levels-and-evacuations-occur-overnight/748978002/?utm_source=google&utm_medium=amp&utm_campaign=speakable,https://www.gannett-cdn.com/-mm-/e89891738c31b91f5a58737da52b68465335b871/c=0-207-2996-1900/local/-/media/2018/07/01/IAGroup/DesMoines/636660455163670757-0701-DesMoinesFlooding-20.JPG?width=3200&height=1680&fit=crop,,Desmoinesregister.com,flash-flood,1
MIHIR ZAVERI,"Tropical Storm Lane drenched parts of Hawaii with about four feet of rain as it crept past the state on Saturday, causing flash floods and prompting evacuations even as it dissipated over the islands’ rugged slopes. The storm had weakened over several days from a Category 5 storm, with maximum winds now reaching up to 60 miles per hour, according to the National Weather Service. But its plodding pace — just 3 m.p.h. — prolonged the rains. Some 46 inches fell on the eastern side of the Island of Hawaii, where landslides shut down roads and search-and-rescue efforts were underway. Flash flood warnings were still in effect on Saturday morning. Kelly Wooten, a spokeswoman for the Hawaii County Civil Defense, which has been coordinating the emergency response in hard-hit areas on Hawaii Island, said the agency had not yet been able to assess the damage from the storm. She said police, fire and other departments were working to keep people off the roads, as some areas were still under water. Ms. Wooten said no injuries or deaths had been reported so far. The county would be clearing debris and opening closed roads over the next few days, she added, as it recovered from a series of landslides.","Although Lane was downgraded to a tropical storm and its winds are forecast to weaken, rainfall totals are increasing, and the authorities warn of dangerous flash flooding.",2018-08-25T18:45:23Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","Hurricane Lane, Now a Tropical Storm, Batters Hawaii With Heavy Rain",https://www.nytimes.com/2018/08/25/us/hawaii-hurricane-lane-tropical-storm.html,https://static01.nyt.com/images/2018/08/26/us/26hawaii/26hawaii-facebookJumbo.jpg,the-new-york-times,The New York Times,flash-flood,1
MARY WILLIAMS WALSH,"Yet inland flooding is in some ways more perilous. A study by the National Hurricane Center found that more than half the Americans killed by flooding during hurricanes and tropical storms over a 30-year period had died after the storms moved inland, presenting hazards like flash floods and mudslides and sweeping motorists off flooded roads. And it’s many of the people affected by those hazards who don’t have flood insurance. People near the coasts tend to know their risks. Owners of expensive beach houses often buy even more flood insurance than they have to, because the government’s mandatory coverage is capped at $250,000 per house plus $100,000 for the contents. On top of that, additional “layers” of coverage can be purchased from private insurers. In the Carolinas, a quarter to half of the households near the coast are insured, said Ray Lehmann, a member of SmarterSafer, a coalition of taxpayer groups, environmental organizations, insurers and others that has pushed for flood-insurance reform. Further inland, it’s another story. “We’re talking about places in North Carolina where the coverage is less than 1 percent,” said Mr. Lehmann, also the director of finance, insurance and trade policy at the R Street Institute, a think tank that promotes free-market policies.","Flood waters inundated Lumberton, N.C., on Tuesday following Hurricane Florence. The town is some 70 miles from the coast.",2018-09-19T19:47:06Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","Millions of Carolina Homes Are at Risk of Flooding. Only 335,000 Have Flood Insurance.",https://www.nytimes.com/2018/09/19/business/flood-insurance-florence.html,https://static01.nyt.com/images/2018/09/20/business/20floodinsurance-1/20floodinsurance-1-facebookJumbo.jpg,the-new-york-times,The New York Times,flash-flood,1
AFP,"Tehran: The death toll of floods that have swept across most Iranian provinces has risen to 18 with more than 70 injured, the country's emergency services said Monday.National Emergency Service chief Pirhossein Koolivand said the casualty toll in the southern city of Shiraz was 17 dead and 74 injured, while another person was killed in Sarpol-e Zahab in the western province of Kermanshah, the service said on its website.
Iran has been facing unprecedented floods in 25 of its 31 provinces, the country's Crisis Management Organisation said. 
 The latest floods have struck mostly west and southwest Iran and follow major flooding on March 19 in the northeast's Golestan and Mazandaran provinces, for which no official casualty toll has been issued. 
Emergency services have been hampered by Iranian New Year holidays, with many employees on vacation.The police have advised against road trips in the coming days, with many roads blocked by flooding or landslides caused by heavy rains.
The Crises Management Organisation and the health ministry, in charge of hospitals, have cancelled all leave and been placed on full alert, while provincial chiefs have been ordered to remain at their posts.
Iran's meteorological service has warned that the rains will carry on into Wednesday.","At Least 18 Dead as Floods Sweep Iran: Emergency Services News18 Watch: Devastating flash floods in Southern Iran kill at least 19, dozens injured Scroll.in Iran flood: Dozens killed and homes damaged after heavy rain - BBC News BBC News At Least 18 Killed in…",2019-03-25T16:15:38Z,"{'id': None, 'name': 'News18.com'}",At Least 18 Dead as Floods Sweep Iran: Emergency Services - News18,https://www.news18.com/news/world/at-least-18-dead-as-floods-sweep-iran-emergency-services-2077653.html,https://images.news18.com/ibnlive/uploads/2018/08/Monsoon-Rain-Flooding-Landslides-Kill-Many-1.jpg,,News18.com,flash-flood,1
Andrew Freedman,"A devastating flash flood event in mid-April caused widespread damage on the lush Hawaiian island of Kauai. Now comes word that during the 24-hour period between April 14 and 15, a staggering 49.69 inches of rain fell at a rain gauge about 1 mile west of Hanalei. If this amount is verified by the National Climatic Extremes Committee, which is part of the National Oceanic and Atmospheric Administration (NOAA) and serves as a sort of Guinness Book of World Records for weather and climate, it would be the heaviest 24-hour rainfall total ever recorded in the U.S. SEE ALSO: The National Weather Service had to add a new color to its maps to show Harvey's rainfall The current record is 43 inches, set on July 25-26, 1979, in Alvin, Texas. It would also crush the state record of 38 inches, which was also set in Kauai, back in 1956. The committee members will review the rain gage to determine if it was functioning properly at the time of the rainstorm. This particular gage is operated by a nonprofit organization called the WAIPA Foundation. It's possible that the committee will conclude that the amount of rain was actually less than recorded, or conversely, that it underestimated the rainfall total. It's not surprising that a national rainfall record would come from Kauai, since it's rugged terrain contains some of the wettest landscapes on Earth. Mt. Waialeale, for example, receives about 460 inches of rain per year, and is the wettest place in the country. The April rains, though, were unusually intense and widespread, causing flash flooding throughout the island and forcing thousands to evacuate. Homes, businesses, and infrastructure was damaged or destroyed in a disaster that few in the continental U.S. heard of. This rainstorm is in keeping with climate change trends, as global warming is already making extreme precipitation events both more frequent and intense. No studies have yet been done on this particular event to see how climate change affected it, but other research has shown that global warming has made heavy rainfall events, including Hurricane Harvey, which was the most extreme rainstorm on record in the U.S., much more likely.","A devastating flash flood event in mid-April caused widespread damage on the lush Hawaiian island of Kauai. Now comes word that during the 24-hour period between April 14 and 15, a staggering 49.69 inches of rain fell at a rain gauge about 1 mile west of Hana…",2018-04-26T14:23:08Z,"{'id': 'mashable', 'name': 'Mashable'}","Epic deluge in Kauai may have broken all-time U.S. rainfall record, with 4 feet in 24 hours",https://mashable.com/2018/04/26/kauai-24-hour-rainfall-record/,https://i.amz.mshcdn.com/miloxJ0_FhCcVCrh5J0xzAlgCW8=/1200x630/2018%2F04%2F26%2Faa%2Fb2d90977027b492fa9db5a8aa7de0115.18529.jpg,mashable,Mashable,flash-flood,1
