author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
Jon Fingas,"The Battle Pass will cost 1,000 Platinum (about $10, if you're paying outright). You can also pay to advance levels for 200 Platinum (about $2) if you're just that impatient. You can also expect significant changes to the existing progression system. You'll no longer earn new Backpacks or Chests, for instance, and id is adjusting free-to-earn Shards so that they'll unlock items and new characters. The update won't just revolve around economics. The creators are reviving Capture the Flag after a long absence in the Quake franchise, and there's a new CTF-focused map (Citadel) launching at the same time. Champions ' progression change isn't surprising. The game has been free-to-play for a while, but you've typically had to pay if you wanted to unlock many of the fighters (you could also pay to unlock all of them at once). A Fortnite -like Battle Pass not only provides a steadier stream of money for the developers, it gives you an incentive to keep playing. With that said, not everyone is happy -- there are concerns among players that the team is more interested in ways to monetize the game than addressing technical issues and adding more raw content.","Even the developers of a back-to-basics shooter like Quake Champions can't resist the siren's call of Fortnite 's business model, it seems. Bethesda and id Software are rolling out a December update that introduces a ""totally new"" progression system for the c…",2018-12-05T17:58:00Z,"{'id': 'engadget', 'name': 'Engadget'}",'Quake Champions' cribs from 'Fortnite' with a paid Battle Pass,https://www.engadget.com/2018/12/05/quake-champions-battle-pass/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D1600%252C900%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C900%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-uploaded-images%252F2018-12%252F897599e0-f8a8-11e8-8ef2-c002f990b08c%26client%3Da1acac3e1b3290917d92%26signature%3D9d1615c09494f9c12b3493b60800a02f827d7b63&client=amp-blogside-v2&signature=f5899bb659dedcf2c088507c1c1adfc84f5fd03e,engadget,Engadget,quake,1
Megan Molteni,"You heard it here first, folks; Stephen Quake is coming for the colonoscopy. The scientist has made a career of replacing invasive, painful, and dangerous procedures with simple, cheap tests that can be performed almost anywhere. Just this year, a blood panel he developed to detect genetic birth defects has been taken by more than three million women, replacing the need for amniocentesis and giant, uterus-puncturing needles. At the WIRED25 Summit Monday morning, Quake pronounced, perhaps jokingly, that colonoscopies were next. Vigorous applause ensued. He was referring to the burgeoning field of liquid biopsies cheap, noninvasive cancer screening that could become a part of routine care. Blood can be drawn anywhere and sent to a lab to be tested, points out Quake. If we can return that kind of information to anyone, it will be a big step forward toward creating more equity in health care. Its a technique enabled by massive data collection, and using big data to cure disease is at the heart of Quakes work. As a professor of bioengineering and applied physics and Stanford University and copresident of the Chan Zuckerberg Biohub, hes one of the people the Facebook founder ( and Bill Gates ) hope will cure everything that ails humanity before the end of the century. Stephen Quake wants to replace invasive, painful, and dangerous procedures with simple, cheap tests that can be performed almost anywhere. Doing so will require a much deeper understanding of how genetics influence disease on a cellular level, and for decades, Quake has been developing technologies to single out individual cells, crack them open, and peer inside. One of the Biohubs biggest projects is supporting the Human Cell Atlas, an ambitious international effort to catalog all 37 trillion cells in the human body. Just last week, Quakes group published its first big contribution to the projecta collection of data from nearly 100,000 mouse cells from 20 organs and tissues. Mice are the most important model organism scientists use to understand human disease, and this whole-organism map will help elucidate how cells talk to each other, and what happens when things go wrong. I really look at 23andMe as a data company, says 23andMe CEO Anne Wojcicki. WIRED founder Jane Metcalfe led the onstage conversation with Quake and 23andMe CEO Anne Wojcicki, who emphasized the role of data in consumer-facing DNA technology as well. I really look at 23andMe as a data company, said Wojcicki. But its taken the genetic testing provider more than a decade to get there. After an initial round of positive press and a spate of spit parties back in 2006, sales of 23andMe kits dropped precipitously, down to 20 a day. We realized we were going to have to prove out what you could do with this information, said Wojcicki. 23andMe began providing risk reports for diseases like Parkinsons and Alzheimers. Then the US Food and Drug Administration slammed the door. It wasnt until last year that 23andMe regained the right to provide people with health predictions. Since then, it has garnered additional approvals, and shows no signs of slowing down. The company has now amassed genetic, health, and behavioral data on more than five million people, a data trove that helped it net a $300 million investment from one of the worlds biggest drugmakers, GlaxoSmithKline, earlier this year. The pharma company also inked a five year exclusive data-sharing agreement to discover new targeted treatments. While some customers were dismayed by the move, Wojcicki defended it on Monday, saying that 23andMes mission has always been about deriving benefits from the human genome.Finding a cure or a treatment for you, is one of the clearest ways to show a benefit. More Great WIRED Stories","Onstage at WIRED25, 23andMe CEO Anne Wojcicki and bioengineer Stephen Quake focused on unlocking the secrets hidden in blood and spit.",2018-10-15T23:23:35Z,"{'id': 'wired', 'name': 'Wired'}","Big Data and the End of Painful, Invasive Medical Procedures",https://www.wired.com/story/wired25-stephen-quake-anne-wojcicki/,https://media.wired.com/photos/5bc513fba2e356302119fc78/191:100/pass/amy-lombard-WIRED_MG_9481.jpg,wired,Wired,quake,1
https://www.facebook.com/bbcnews,"A 7.1-magnitude earthquake has left two people dead and 65 people injured in south-west Peru, the Peruvian government said. The earthquake occurred at 04:18 local time (09:18 GMT) on Sunday. The epicentre was in the Pacific Ocean and tremors could be felt over 36km (22 miles) away, according to the US Geological Survey. Peruvian officials initially said there were unconfirmed reports of 17 missing miners. Peru's health minister, Abel Salinas, said a rescue team have arrived at the mine to access the damage. The government also said strong tremors had been felt in the town of Lomas, some 26km from the epicentre. The Arequipa regional governor, Yamila Osorio, said on Twitter (in Spanish) that a man had died in the town of Yauca, after being hit by a rock. A second person died in the town of Bella Union after a building collapsed, the head of the Peruvian National Institute of Civil Defence told a radio station. The Institute of Civil Defence has said that 65 people were injured in the Arequipa, Ica and Ayacucho regions. Regional authorities said homes had been destroyed in a number of small towns.",A 7.1 magnitude quake struck off the south-west coast of Peru on Sunday morning.,2018-01-14T14:26:29Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Peru: Earthquake leaves two dead and dozens injured,http://www.bbc.co.uk/news/world-latin-america-42682496,https://ichef-1.bbci.co.uk/news/1024/branded_news/17B5F/production/_99591179_peruarequipaicayauca02012018.png,bbc-news,BBC News,quake,1
https://www.facebook.com/bbcnews,"A 7.5 magnitude quake has struck close to New Caledonia in the Pacific, with a tsunami alert issued for coasts within 1,000km (620 miles). The quake struck at a depth of about 10km at 04:18 GMT, the US Geological Survey reports. The epicentre was recorded as 168km east-south-east of Tadine, a town on one of New Caledonia's Loyalty Islands. New Caledonia is part of the Pacific's ""ring of fire"", where many earthquakes occur. It is a special collectivity of France with a population of about 270,000. New Zealand's ministry of civil defence and emergency management tweeted that there was no tsunami threat to the nation's coasts. The USGS also recorded a 5.9 magnitude aftershock at 04:30 GMT.",The 7.5 magnitude quake struck east of the French territory in the Pacific Ocean.,2018-12-05T04:57:27Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Tsunami alert after New Caledonia quake,https://www.bbc.co.uk/news/world-asia-46450848,https://ichef.bbci.co.uk/news/1024/branded_news/4288/production/_104623071_newcal9761218.png,bbc-news,BBC News,quake,1
https://www.facebook.com/bbcnews,"Image copyright Reuters Image caption Landslides have cut off some of the worst-affected areas Tens of thousands of people in Papua New Guinea are in urgent need of supplies after last Monday's powerful earthquake, aid agencies say. Landslides and damaged roads have made it impossible to reach the worst-affected communities in isolated areas. Many people are thought to be living under canvas roofs in the rubble of damaged buildings. The 7.5-magnitude quake rattled villages and a large gold mine in the country's Enga province. US seismologists said it struck 90km (56 miles) south of Porgera at 03:45 local time on Monday (17:45 GMT on Sunday). There have been dozens of aftershocks, including a 5.7 quake on Tuesday afternoon. Local reports say dozens of people have been killed but there has been no official confirmation. ""The challenge is road access; it's still not accessible to trucks and four-wheel drives,"" Udaya Regmi, of the International Red Cross, told Reuters news agency. ""Big trucks cannot go there. It's one of the reasons the food is becoming less and less. There are no fears of starvation yet but we've not got the full picture."" Mr Regmi - who is based in the country - said that 147,000 people were in severe need of food, water and sanitation. A state of emergency has been declared but the full scale of the damage will not be clear until relief workers can complete a full assessment. In a statement, Darian Clark, of the Australian High Commission in Papua New Guinea, described the extent of the damage. ""This was the biggest earthquake in 100 years and it spread 150km across the fault line,"" he said. ""A number of urban settlements, as well as villages, have been affected, many in the form of landslides and landslips, which means that roads have been cut off, water contaminated and power knocked out."" Image copyright Reuters Image caption The 7.5-magnitude quake damaged rural villages The governor of Hela province, Philip Undialu, told local media the damage was ""extensive"". ""Our police station, courthouse, hospital... even private houses have been ripped apart or sunk into the ground,"" Mr Undialu said from the country's capital, Port Moresby. Earthquakes are common in Papua New Guinea, which sits on the so-called Pacific Ring of Fire, a hotspot for seismic activity. Part of the country's northern coast was destroyed by a tsunami in 1998, caused by a 7.0 earthquake. Some 2,200 people were killed.","Aid agencies struggle to reach isolated areas in Papua New Guinea, nearly a week after a large quake.",2018-03-04T12:34:26Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Papua New Guinea earthquake: Tens of thousands need urgent aid,http://www.bbc.co.uk/news/world-asia-43277013,https://ichef-1.bbci.co.uk/news/1024/branded_news/12C4C/production/_100267867_hi045188452.jpg,bbc-news,BBC News,quake,1
James Vincent,"AI agents continue to rack up wins in the video game world. Last week, OpenAI’s bots were playing Dota 2 ; this week, it’s Quake III, with a team of researchers from Google’s DeepMind subsidiary successfully training agents that can beat humans at a game of capture the flag. As we’ve seen with previous examples of AI playing video games, the challenge here is training an agent that can navigate a complex 3D environment with imperfect information. DeepMind’s researchers used a method of AI training that’s also becoming standard: reinforcement learning, which is basically training by trial and error at a huge scale. DeepMind’s bots learned by playing 450,000 games against themselves Agents are given no instructions on how to play the game, but simply compete against themselves until they work out the strategies needed to win. Usually this means one version of the AI agent playing against an identical clone. DeepMind gave extra depth to this formula by training a whole cohort of 30 agents to introduce a “diversity” of play styles. How many games does it take to train an AI this way? Nearly half a million, each lasting five minutes. As ever, it’s impressive how such a conceptually simple technique can generate complex behavior on behalf of the bots. DeepMind’s agents not only learned the basic rules of capture the flag (grab your opponents’ flag from their base and return it to your own before they do the same to you), but strategies like guarding your own flag, camping at your opponent’s base, and following teammates around so you can gang up on the enemy. To make the challenge harder for the agents, each game was played on a completely new, procedurally generated map. This ensured the bots weren’t learning strategies that only worked on a single map. Unlike OpenAI’s Dota 2 bots, DeepMind’s agents also didn’t have access to raw numerical data about the game — feeds of numbers that represents information like the distance between opponents and health bars. Instead, they learned to play just by looking at the visual input from the screen, the same as a human. However, this does not necessarily mean that DeepMind’s bots faced a greater challenge; Dota 2 is overall a much more complex game than the stripped-down version of Quake III that was used in this research. To test the AI agents’ abilities, DeepMind held a tournament, with two-player teams of only bots, only humans, and a mixture of bots and humans squaring off against one another. The bot-only teams were most successful, with a 74 percent win probability. This compared to 43 precent probability for average human players, and 52 percent probability for strong human players. So: clearly the AI agents are the better players. Credit: DeepMind A graph showing the Elo (skill) rating of various players. The “FTW” agents are DeepMind’s, which played against themselves in a team of 30. However, it’s worth noting that the greater the number of DeepMind bots on a team, the worse they did. A team of four DeepMind bots had a win probability of 65 percent, suggesting that while the researchers’ AI agents did learn some elements of cooperative play, these don’t necessarily scale up to more complex team dynamics. As ever with research like this, the aim is not to actually beat humans at video games, but to find new ways of teaching agents to navigate complex environments while pursuing a shared goal. In other words, it’s about teaching collective intelligence — something that has (despite abundant evidence to the contrary) been integral to humanity’s success as a species. Capture the flag is just a proxy for bigger games to come.","Playing video games is a big challenge for AI agents, and now bots from the Google-owned DeepMind lab have conquered a stripped-down version of capture the flag in Quake III. Teaching AI to play video games helps them learn cooperation and strategy.",2018-07-04T11:00:40Z,"{'id': 'the-verge', 'name': 'The Verge'}",DeepMind’s AI agents exceed ‘human-level’ gameplay in Quake III,https://www.theverge.com/2018/7/4/17533898/deepmind-ai-agent-video-game-quake-iii-capture-the-flag,https://cdn.vox-cdn.com/thumbor/T8JdiV9cQVd2fAlTUqCW0sgp3m4=/63x54:1793x1022/fit-in/1200x630/filters:fill(ffffff)/cdn.vox-cdn.com/uploads/chorus_asset/file/11641945/deepmind_capture_the_flag_quake_iii_crop.png,the-verge,The Verge,quake,1
https://www.facebook.com/bbcnews,"More than 90 people have been killed and hundreds injured by an earthquake which hit the Indonesian island of Lombok on Sunday. Many in Lombok's main city of Mataram were sent running from their homes and onto the streets as the 7.0-magnitude earthquake hit the island. The extent of the damage became clear on Monday, with houses, mosques and schools among the thousands of buildings destroyed. Many residents fled their homes, some carrying along the belongings they were able to salvage. Some worshippers might still be trapped inside collapsed mosques, the head of North Lombok district told AFP. Patients were tended to in makeshift wards set up under tents after hospital buildings were also damaged. The quake was also felt in the nearby resort island of Bali, where makeshift emergency tents were also set up to treat patients. On Gili Air, one of three islands that make up the Gili islands off the north-west coast of Lombok, crowds of tourists wait as they prepare to be evacuated. About 1,000 foreign and domestic tourists have already been evacuated in boats from the Gili islands, according to a spokesman. There were long lines at Lombok's airport, which is still operating, as tourists scrambled to leave. Indonesia is prone to earthquakes because it lies on the seismically active Ring of Fire. Just a week ago, after another quake hit Lombok, a popular tourist island that is known for its hiking trails. That quake killed at least 16 people.",Pictures from Indonesia show the extent of the damage after Sunday's deadly quake.,2018-08-06T04:47:39Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Lombok earthquake: Destruction and death in Indonesia,https://www.bbc.co.uk/news/world-asia-45080138,https://ichef.bbci.co.uk/news/1024/branded_news/16516/production/_102841419_9a9d304a-2357-4ef5-bc17-e07cc4c03c73.jpg,bbc-news,BBC News,quake,1
https://www.facebook.com/bbcnews,"A tsunami alert has been issued after an 8.0-strength earthquake was recorded off the southern Alaskan coast in the US. The quake struck some 300km south-east of Kodiak at a depth of 10km at 09:31 GMT, the US Geological Survey said. The US National Weather Service said the alert was in effect for areas including California and the coasts of British Columbia and Alaska. The alert told people to seek refuge on higher grounds in affected areas. The NWS Pacific Tsunami Warning Center said that, based on the preliminary earthquake parameters, ""widespread hazardous tsunami waves were possible"".",A tsunami alert is issued after an 8.0-strength earthquake off the southern Alaska coast.,2018-01-23T09:56:03Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Alaska quake prompts tsunami alert,http://www.bbc.co.uk/news/world-us-canada-42786107,https://ichef-1.bbci.co.uk/news/1024/branded_news/170A2/production/_99707349_usalaskakodiak9760118.png,bbc-news,BBC News,quake,1
Mark Kaufman,"At 3:00 a.m., when everyone was sleeping, a violent earthquake struck 65 miles from Turkey's capital in August 1999. The 7.6-magnitude quake collapsed entire apartment buildings on top of unsuspecting people, killing at least 20,000. Known as the Izmit quake, in 2011 scientists said they found convincing evidence of a precursor to the tragic temblor: A series of often small, unnoticeable quakes — known as foreshocks — occurred in the same area for around 44 minutes before the major quake struck. This, the scientists argued, was evidence of something unique happening before the massive earthquake. And if this foreshock activity could somehow be reliably detected, perhaps we could predict future earthquakes with plenty of notice for people in any given area — an ability that has completely eluded scientists. SEE ALSO: Can Your iPhone Double as a Cutting-Edge Earthquake Detector? But seven years later, earthquake researchers have put a damper on this optimism. In a study published Monday in Nature Geoscience, scientists found that these series of small quakes were not a unique sign of a looming earthquake, but instead a domino-effect of tremors that happened to have ultimately triggered a far bigger one. ""They’re knocking down the idea that something happens before earthquakes,"" Duncan Agnew, a geophysicist at Scripps Institution of Oceanography at the University of California, San Diego, said in an interview. Foreshocks are earthquakes, emphasizes Angew, but they only earn the title “foreshock” when they happen before a big one. A leveled apartment building in Istanbul in November 1999. Image: Anja Niedringhaus/EPA/REX/Shutterstock “They are something you can only see in retrospect,” Angew, who had no role in the study, said. “There’s absolutely no way to tell them apart otherwise. That’s like trying to predict the weather, except you can’t see anything.” ""For decades, people have been thinking about how we can distinguish foreshocks from ordinary earthquakes,"" William Ellsworth, a Stanford University geologist and lead author of the study, said in an interview. ""They [2011 researchers] made this rather bold suggestion that the foreshocks were different — we just came up with the opposite result."" By analyzing additional measurements from the 1999 quake, Ellsworth and coauthor Fatih Bulut, a geologist at Turkey's Kandilli Observatory and Earthquake Research Institute, found that a series of foreshocks before the quake did not all happen in one place, as previously suggested. Instead, “we found that none of them were at the same spot,” said Ellsworth, adding that more than two dozen imperceptible quakes “popped off all over the place.” From this, the study's authors conclude that nothing special was happening, but a “cascade-like” effect of small earthquakes rippled around the area, until one happened to have triggered massive underground movement — and, ultimately, a tragedy. The fault comparison between the infamous San Andreas fault in California, and the fault in Turkey. Image: USGS However, perhaps there's something else still happening before earthquakes that geologists haven’t yet discovered, or been able to measure. “It’s possible there are clues out there that we don’t know yet,” John Vidale, Director of the Southern California Earthquake Center who had no role in the study,” said in an interview. “We don’t know what we don’t know.” Or, there could be no clues at all — no true, precursor of a coming quake. “It may not be there — that’s the thing we don’t know,” said Ellsworth. But even so, we do have a solid grasp of areas that are earthquake prone, and when a region is overdue for a large quake. Digging into the ground along fault lines — cracks in the Earths’ crust where pressure builds and eventually slips — gives scientists a good understanding of how often big quakes have happened in the past, and whether or not we’re due for another one. “If it’s been a long time since the last one, the odds are somewhat higher now,” said Vidale. Though, “somewhat” is the key word here. Geologists know we can’t predict quakes, but are well aware they can hit at any time — sometimes with small foreshocks, and sometimes without. “If it happens in the next 20 minutes I won’t be surprised,” said Angew, of the next big rupture of the San Andreas fault in California. “If it doesn’t happen in my lifetime, I won’t be surprised.” A boy stands in front of his destroyed home in Adapazari, Turkey, in 1999. Image: Kerim Oekten/EPA/REX/Shutterstock In the end, while earthquake prediction is a much-desired ability, perhaps it doesn’t matter as much as we think it does. “It really doesn’t matter when they happen if we’re prepared,” said Ellsworth. “We’ll get through them.” For those that live in quake country, this means heeding the advice of the U.S. Geologic Survey. And on a larger scale, it also means building structures that are safe during earthquakes. In the case of Turkey two decades ago, many buildings simply weren’t built to withstand a big quake. “Turkey has very good building codes,” said Ellsworth. “The problem is buildings were not being built to the code.” “Earthquakes don’t kill people, buildings kill people,” he added. Scientists will still keep searching for the elusive clues that might foreshadow a looming quake, perhaps giving people 10 or 20 minutes to prepare. Today, the best we have are early warning systems, like that being tested in California and in use in Mexico City. These don’t predict earthquakes, but can give people perhaps 30 seconds notice that a big quake has happened, and that seismic waves will soon hit their area. For now, preparation isn’t just the smart option — it remains the only option. There’s much that isn’t known about what happens before earthquakes, and that isn’t likely to change soon. “What we want to know about is buried under miles of solid rock,” said Ellsworth.","At 3:00 a.m., when everyone was sleeping, a violent earthquake struck 65 miles from Turkey's capital in August 1999. The 7.6-magnitude quake collapsed entire apartment buildings on top of unsuspecting people, killing at least 20,000. Known as the Izmit quake,…",2018-06-04T15:44:24Z,"{'id': 'mashable', 'name': 'Mashable'}","We still don't know how to predict major earthquakes, and it's possible we never will",https://mashable.com/2018/06/04/earthquake-prediction-impossible-study/,https://i.amz.mshcdn.com/6ZYAp7BM_4bNLa137cwztabsgP0=/1200x630/2018%2F06%2F04%2F1e%2F88bdd6ac8ed3428086e5dd74533cce1c.5319f.jpg,mashable,Mashable,quake,1
GERRY MULLANY,"A major earthquake struck 170 miles off the coast of Alaska early Tuesday, prompting a tsunami warning along the coastline. The #earthquake was enough to wake you. The #tsunami alert alarm gets you out of bed. Magnitude 8.2 #alaska #nosleepnow pic.twitter.com/UQN86rGEvg — JoLynn Lund (@aksnowlover) Jan. 23, 2018 The magnitude 8.2 quake was reported at 12:31 a.m. local time in the Gulf of Alaska, according to the United States Geological Survey. Tsunami sirens going off in Kodiak right now — Emily Russell (@EmilyRussellAK) Jan. 23, 2018 There were no immediate reports of damage. The United States National Tsunami Warning Center issued a tsunami alert for areas that included the coast of Alaska to British Columbia and the border with Washington State, and a tsunami watch all the way down to the border of Mexico and the coast of Hawaii. Continue reading the main story",The quake in the Gulf of Alaska registered 8.2 magnitude. There were no immediate reports of damage.,2018-01-23T10:16:01Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Alaska Earthquake Prompts Tsunami Warning,https://www.nytimes.com/2018/01/23/us/earthquake-tsunami-alaska.html,https://static01.nyt.com/images/icons/t_logo_291_black.png,the-new-york-times,The New York Times,quake,1
