author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
Josh Ocampo,"Whats the worst part of social media? Seeing friends on tropical vacations, baking under the sun, while youre seated in a cubicle seething under harsh fluorescent lighting.
If youre in need of a vacation (and a warmer climate), JetBlue is now rewarding the selected few for committing to a digital detoxwith a year of free flights.
Whether you travel once per year or every month, theres value to joining an airlines frequent
Read more Read
Yes, its true. JetBlue, the airline with Terra blue chips, is offering three lucky entrants (and a companion for each) a year of flights, with one conspicuous rule: you must rid yourself of Instagrams past.
Why? Likely, its because you will become a year-long influencer/advertisement for the airline. But lets be honest, if there was a price for anyones integrity, itd likely be a year of free flights.
There are a couple of catches, however. As the Points Guy noted, youll still have to pay for those pesky bag fees and taxes. Youll also have last-seat availability, which means you wont have much stake in where you sit when you book a flight. Still, freeflights!
How can you enter? To join JetBlues All You Can Jet contest, youll have to delete all photos through March 8, the contests deadline. You also have the option of archiving them instead. Archiving is easy and saves all your photos, but if you have a lot of them, itll take some time (you can check out how to archive and re-share them with our handy Instagram guide).
But thats not allyoull also have to post a single photo. That photo must demonstrate the vacation youre in desperate need of (a beach? a mountain? a cave?). You must tag JetBlue and use the #AllYouCanJetSweepstakes hashtag. The photo also must contain the prompt, All you can __. You can upload the photo of your choice to JetBlues website, which will spit out your photo with the prompt automatically.
For more details on the contest, check out JetBlues website. Winners will be announced in March, while I sit at my desk, continuing to seethe.
For more from Lifehacker, be sure to follow us on Instagram @lifehackerdotcom.","What’s the worst part of social media? Seeing friends on tropical vacations, baking under the sun, while you’re seated in a cubicle seething under harsh fluorescent lighting. Read more...",2019-02-27T17:30:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Get a Year of Free Flights For Deleting Your Instagram Photos,https://lifehacker.com/get-a-year-of-free-flights-for-deleting-your-instagram-1832928979,"https://i.kinja-img.com/gawker-media/image/upload/s--3isMQY6D--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/xhxxrawacyflnbgfwakq.jpg",,Lifehacker.com,tropical,0
Nick Douglas,"The further south you go in Florida, the more it feels like the North. TV Tropes names Orlando as the northern edge of this more tropical, citified part of the state. (TV Tropes also names Orlando as the setting of Ernest Saves Christmas and Sharknado 3.) Each Monday on Hack Your City, we ask readers for your best tips on a city: driving tips, restaurant recs, things to do, and any other advice for visitors and locals. Then on Thursday, we present the best comments. We’re working our way around the U.S. and around the globe. As America’s youths head south for spring break (woo), let’s hear your tips for visiting Orlando. Where’s good to eat, to drink, to play? What’s overlooked or overrated? What customs and laws should visitors know? What’s the best way to get around town? What can Orlando’s many business travelers do while they’re in town? What can visitors enjoy if they broaden their horizons past the theme parks? Speaking of which, we don’t need many details about Disney World itself for now; we’ll cover that in its own special Hack Your City this May. But we could use tips on staying in Orlando during a trip centered around Disney World, SeaWorld, or Universal. We also need tips on how to live in Orlando long-term. How do you make your home in a metropolitan area of 2 million that sees over 68 million visitors a year? Where do you go to escape the tourists? And what do you do when you want to get out of town for the weekend? Locals, what did you only learn after spending years in Orlando? What makes you love or hate it? If you do hate it, how do you cope? Comment below, and come back Thursday for a review of the best tips.","The further south you go in Florida, the more it feels like the North. TV Tropes names Orlando as the northern edge of this more tropical, citified part of the state. (TV Tropes also names Orlando as the setting of Ernest Saves Christmas and Sharknado 3.) Rea…",2018-03-12T13:00:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Tell Us Your Orlando Tips,https://lifehacker.com/tell-us-your-orlando-tips-1823656712,"https://i.kinja-img.com/gawker-media/image/upload/s--YGvOieYU--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/m7onprfcbkvfpkja9n9s.jpg",,Lifehacker.com,tropical,0
"Brian Kahn on Earther, shared by Andrew Couts to Gizmodo","Things that look unintentionally like dicks will never not be funny. And so I present to you, dear reader, the map above that depicts the odds of topical storm-force winds from Tropical Storm Walaka. This is truly the only funny thing on this horrible Friday so lets enjoy it. And while youre here, lets talk about how Alaska could improbably be hit by the dongicaneor at least its remnantsearly next week. Tropical Storm Walaka already occupies a special place in history as the last named storm on Central Pacifics list. But Walaka could go out with a bang by pursuing a weird track. After shooting to the west of Hawaii, the storm has continued its run northward. Walaka will tilt northeast over the weekend, which is how you end up with the phallic-shaped map of wind probabilities pointed squarely at Alaska. Its expected to transition to an extratropical storm or even just remnants as it cruises into the Gulf of Alaska, but Walaka seems very likely to hit the state in some form. The National Weather Service office in Juneau is forecasting that it will reach the state late this weekend with winds near 34 mph. Because it will still have a tap of tropical moisture, it should also bring a good amount of rainfall to the southern panhandle, though theres still some uncertainty. Typhoons in the northwest Pacific regularly make a huge C-shaped curve from China and Japan back toward Alaska, generating some of the Bering Seas most explosive storms. But storms like Walaka, which formed in the central Pacific, rarely find their way this far north or curving back this far east. You have to have a perfect confluence of conditions, Brian Brettschneider, a climate researcher with the University of Alaska Fairbanks, told Earther. You need a strong hurricane west of Hawaii that is tracking north. The position of the subtropical ridge has to be just right to cause the storm to recurve north and northeast. It has to be picked up by an upper-level trough but without being absorbed right away. Waters in the Gulf of Alaska are also nice and toasty for this time of year, running up to 5.4 degrees Fahrenheit (3 degrees Celsius) above normal. That will also lend a hand to Walakas strength and longevity. Bettschneider highlighted the remnants of hurricanes Ana and Ignacio in 2014 and 2015, respectively, as storms that made the trip from the eastern Pacific to Alaska. But an unnamed storm in 1975 and Hurricane Oho in 2015 are among the only storms on record from the central Pacific to reach the Last Frontier, both as extratropical storms. That 1975 storm was closest a tropical storm has come to Alaska. So Walaka is in rare territory, which is pretty cool. But also, the wind map looks like a dick.","Things that look unintentionally like dicks will never not be funny. And so I present to you, dear reader, the map above that depicts the odds of topical storm-force winds from Tropical Storm Walaka. Read more...",2018-10-05T19:35:00Z,"{'id': None, 'name': 'Gizmodo.com'}",Tropical Storm Could Fuck Alaska,https://earther.gizmodo.com/tropical-storm-could-fuck-alaska-1829557930,"https://i.kinja-img.com/gawker-media/image/upload/s--ZggzAVVV--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/mqtut4fgfxncs6ggaxpy.png",,Gizmodo.com,tropical,0
https://www.facebook.com/bbcnews,"Image copyrightReutersImage caption
 The storm had earlier caused destruction in Mozambique
A tropical storm has swept away bridges and homes in eastern Zimbabwe, killing at least 24 people, officials say.
Cyclone Idai cut off power and communications in parts of Manicaland province on the border with Mozambique. Some 40 people are missing.
People fled from their homes to the slopes of mountain and were waiting to be rescued, but strong winds have hampered helicopter flights.
In Mozambique, where Idai made landfall on Thursday, at least 19 people died.
Flooding across the rest of the country had already killed nearly 70 people before the storm's arrival.
Zimbabwe's information ministry said the town of Chimanimani had been cut from the rest of Manicaland province. The country's national army was leading the rescue efforts, it added.
The death toll was expected to rise as authorities continued to assess the situation.
Jacob Mafume, a spokesman for the opposition Movement for Democratic Change, said a ""serious humanitarian crisis [was] unfolding"" in the east of the country.
The cyclone hit Mozambique with winds of up to 177km/h (106 mph). It cut off more than 500,000 residents in the port city of Beira, one the country's largest cities. Roads were flooded and the airport was shut down.
Mozambique has been struck by severe cyclones in the past, including Eline in 2000, when 350 people died and 650,000 were displaced across the wider region.
Image copyrightReutersImage caption
 Houses were destroyed by the tropical storm in Mozambique
Beira has often seen the worst of the storms and has worked to limit the effects of rising waters brought about by climate change through a series of infrastructure projects.",The tropical storm had already caused death and destruction in neighbouring Mozambique.,2019-03-16T13:03:17Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Cyclone Idai: Many dead in Zimbabwe and Mozambique,https://www.bbc.co.uk/news/world-africa-47595863,https://ichef.bbci.co.uk/news/1024/branded_news/106DE/production/_106049276_de27-1.jpg,bbc-news,BBC News,tropical,0
https://www.facebook.com/bbcnews,"Image copyrightAFPImage caption
 A man injured in the cyclone in Zimbabwe is carried away from a helicopter.
Cyclone Idai, which struck the coastline of Mozambique on 14 March, has caused devastation and heavy loss of life. 
The UN says 1.7 million people in Mozambique lived in the path of the cyclone, with a further 920,000 people affected in Malawi and many thousands more in Zimbabwe. 
So how common is extreme weather in southern Africa, and were these countries sufficiently prepared? 
Tropical cyclones in this part of the Indian Ocean are not that rare. 
Most form in the central Indian Ocean, sufficiently far enough off the coast for some preparations to be made. 
Cyclone Idai was unusual in that it formed in the Mozambique Channel, close to the coastline, giving governments and aid agencies less time to issue warnings and make plans.
""The cyclone was by no stretch of the imagination the most powerful... but what made it so devastating was where and how it hit,"" said Clare Nullis, spokeswoman for the World Meteorological Organization.
""The ocean floor along the coast by Mozambique is conducive to give storm surges, which reached roughly 3.5m-to-4m in the coastal city of Beira - which is absolutely huge.""
The low-lying coastal areas of central Mozambique are highly vulnerable to natural disasters but the budget for preparing and responding to them is very small. 
Last year, the government received support from international donors for a disaster fund of $18.3m (£13.9m) for 2018 and 2019.
This contingency plan is the main source of funding for any disaster response and is intended specifically for search and rescue within the first 72 hours.
For a major disaster such as Cyclone Idai, most of the funds for recovery and reconstruction are raised after a disaster has struck. 
And even without this latest emergency, Mozambique was facing economic strains as a result of a controversial loan deal in 2016 which resulted in a suspension of some international donor aid to the government.
Media captionAerial footage showing the disaster in Mozambique
How much warning?
The meteorological office of Mozambique, Inam, issued weather alerts as the storm developed.
Three days before the cyclone struck, the government raised the alert to the highest possible level, telling people to evacuate threatened areas. 
Some people were moved out by boat beforehand, but many didn't respond to warnings or weren't aware of them. 
""These public alerts were made in a timely fashion but it's always down to actors along the chain to decide how to act on this type of information,"" says Joao de Lima Rego, an adviser at Deltares, a research organisation focusing on coastal regions and river basins that has helped develop a forecasting system in Mozambique. 
As part of the forward planning for severe weather, safe zones had been created in rural areas for evacuation above the flood plain. 
On this occasion, however, the flooding was far more severe than anticipated.
Image copyrightAFPImage caption
 A local sports park provides some high ground above the flood waters in the town of Buzi
Preparations in urban areas
The port city of Beira, with a population of half a million, had introduced measures to strengthen resilience to cyclones and flooding. 
Preparedness has focused on drainage systems, says Dinis Juizo, associate professor of hydrology at the University of Eduardo Mondlane in Maputo. 
Drainage canals and flood-control protection, such as a large water basin, have also been introduced.
However, much of the population of Beira outside the city centre live in informal housing often made of materials unable to withstand severe weather.
""The level of investment has not been high enough for an event of this scale,"" says Dinis Juizo.
Image copyrightGetty ImagesImage caption
 Aid agencies have faced challenges in getting resources to flood-hit areas of Mozambique
Malawi and Zimbabwe
The storm that eventually became Cyclone Idai had caused deaths in Malawi, to the north of Mozambique, in early March.
People in lowland areas were warned, but because warnings about flooding and rainfall are an annual occurrence during the rainy season, many people were reluctant to move and didn't anticipate the extent to which the country would suffer.
In Zimbabwe, there were also warnings about the approaching storm. 
But Zimbabwe's Minister of Defence, Oppah Muchinguri, has said her government failed to anticipate its strength. 
By the time the storm reached Zimbabwe it had weakened considerably and was no longer a tropical cyclone.
Nevertheless, it had a severe impact on the eastern regions of the country.
What do you want BBC Reality Check to investigate? Get in touch
Read more from Reality Check
Follow us on Twitter",The tropical cyclone took governments by surprise and caused widespread destruction across the region.,2019-03-24T00:23:07Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Cyclone Idai: How prepared was southern Africa?,https://www.bbc.co.uk/news/world-africa-47639686,https://ichef.bbci.co.uk/news/1024/branded_news/6C3F/production/_106111772_gettyimages-1131558147.jpg,bbc-news,BBC News,tropical,0
https://www.facebook.com/bbcnews,"Media caption The aftermath of Storm Tembin on Mindanao island Rescuers are searching for victims of a tropical storm in the southern Philippines, where nearly 200 people have died in mudslides and flash floods. Rescue teams have yet to reach some of the affected areas on Mindanao island. Many people are missing after Storm Tembin, with winds up to 80km/h (50mph), swept through the area. The towns of Tubod and Piagapo were badly hit, while the remote Dalama village was wiped out by flash floods. The storm is now moving west. United Nations Secretary General Antonio Guterres said he was saddened by the loss of life, adding that the UN was ready to help. There are fears the death toll will rise further. Tembin, known as Vinta in the Philippines, started lashing Mindanao on Friday, with a state of emergency declared in some areas including the Lanao del Norte and Lanao del Sur regions. Regional officials quoted by the Rappler website said there were 127 fatalities in Lanao del Norte, up to 50 in the Zamboanga peninsula and at least 18 in Lanao del Sur. Tubod police officer Gerry Parami told the AFP news agency that there had been at least 19 deaths in the town, which is in Lanao del Norte. Another official told AFP that at least 10 people had died in the town of Piagapo, 10km east of Tubod. A number of homes in the two towns were buried by boulders. Speaking about Dalama, he said ""the river rose and most of the homes were swept away. The village is no longer there"". Image copyright AFP/Getty Images Image caption The loss of communications is hampering rescue efforts The official added that volunteers were digging through mud to try to recover bodies in the village. ""We've sent rescuers but they're making little progress,"" Saripada Pacasum said. More deaths were reported in Bukidnon, Iligan and Misamis Occidental. Power cuts and the loss of communications have hampered rescue efforts. Andrew Morris, from the UN children's agency Unicef in Mindanao, said in some areas there were big risks of disease, particularly for children, and restoring clean water supplies would be a priority. ""Lanao del Sur province is the poorest in the Philippines, and in the past seven months there have been around 350,000 people displaced in that province because of fighting,"" he told the BBC, referring to battles between government forces and Islamist militants in Marawi. Meanwhile, Richard Gordon, of the Philippines Red Cross, told the BBC: ""We have already provided water and hot food. ""And we're going to be distributing non-food items - certainly blankets, mosquito nets and certainly hygiene kits for those who are in evacuation centres so that we can alleviate the suffering of many of the folks there."" Storm Tembin made a second landfall on Balabac island in the Palawan archipelago and is forecast to travel west, south of the Spratly Islands, reaching southern Vietnam in about three days. A week ago, Tropical Storm Kai-Tak hit the central Philippines, killing dozens. The region is still recovering from Typhoon Haiyan, which killed more than 5,000 people and affected millions in 2013.",Nearly 200 people have been killed after Tropical Storm Tembin brought flash floods and mudslides.,2017-12-24T02:41:07Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Tropical Storm Tembin: Philippines rescuers seek victims,http://www.bbc.co.uk/news/world-asia-42469856,https://ichef.bbci.co.uk/images/ic/1024x576/p05rwy4h.jpg,bbc-news,BBC News,tropical,1
ALEXANDRA S. LEVINE,"New York Today In good company. Credit Rick Loomis for The New York Times Good morning on this sleepy Tuesday. It will be 80 degrees and glowing in New York City today. (Well, at least in one little slice of the Upper West Side.) “It’s like a bright, sunny day in here,” said Hazel Davies, who oversees the Butterfly Conservatory, a lush tropical bubble inside the American Museum of Natural History. “In the winter, it’s warm and it’s full of color and movement.” There are nearly 600 butterflies floating around the vivarium today, and over the course of the eight-month exhibition, tens of thousands of butterflies — from as far away as Australia and Africa — have glided through. “I particularly like butterflies because I think they’re the ambassador insects,” Ms. Davies told us during a recent visit. (Almost on cue, an orange longwing landed on her head to listen.) “Anybody that’s really scared of insects generally likes butterflies because they’re pretty. If we can get people to come and look at them because they think butterflies are beautiful, then we can also tell them lots of other things about insects.” When we stepped off the icy city streets into the conservatory, which is kept at 80 percent humidity to emulate the butterflies’ homes, we almost instantly began sweating through our sweaters. The butterflies, on the other hand, seemed quite relaxed. Green birdwings from Papua New Guinea and Australia, the most exotic of the museum’s collection, basked on nectar plants. Atlas moths from Asia, the largest in the display, dozed peacefully on flowers. Morpho butterflies and Ulysses swallowtails flashed electric blue as they fed on juice from oranges and bananas. A Harmonia Tiger butterfly inside the conservatory. Credit Rick Loomis for The New York Times We wondered: How are these butterflies — thousands of them — transported across oceans? Faraway farms raise the caterpillars until they pupate, or become a chrysalis. This is the ideal time to ship the soon-to-be butterflies because they don’t eat or drink during this stage. The farmers collect the chrysalides, wrap them in soft cotton, foam or toilet tissue, place them in boxes, and send them (DHL Express or FedEx) from their skies to ours. When Ms. Davies receives the parcels — each packed delicately with about 100 chrysalides — she and her team open them inside the museum’s quarantine lab. They check the specimens carefully, like doctors examining their patients, and nurture the healthy ones until the butterflies emerge and can be released in the conservatory to mingle with New Yorkers. “They particularly like to land on people when you get quite sweaty, because they like to take in salts from sweat,” Ms. Davies said. “They love bald men’s heads. They’re looking for a perch, and some of them like legs because they think it’s a tree trunk.” “So if you’d like to come in and just stand here and sweat and feed the butterflies,” she added, “they’d love it.” Here’s what else is happening: Not a bad time to visit a tropical bubble. Temperatures will hover around freezing today and tomorrow, and we may see some flurries on both days. Oh, and things aren’t warming up anytime soon. • A lawyer told a jury that his client had murdered three people, against the client’s request. Now, the Supreme Court will hear arguments as to whether what he did was constitutional. [ New York Times ] Larry English, the lawyer whose decision to go against his client’s wishes will be the subject of a Supreme Court case. Credit Sam Hodgson for The New York Times • Some preservationists are upset that only the exterior of the office building at 550 Madison Avenue might become an official landmark and not the interior. [ New York Times ] • Jumaane D. Williams, a city councilman from Brooklyn, said he was opening an exploratory committee to unseat the current lieutenant governor. [ New York Times ] • Despite accusations from a former staffer that he made unwanted advances toward her, Senator Jeffrey D. Klein has resisted calls for his resignation. [ New York Times ] • After the board of New Jersey Transit rescheduled its monthly meeting for Martin Luther King’s Birthday, a crowd of Hoboken residents showed up to protest. [ New York Times ] • Music therapy is becoming more prevalent in nursing homes and hospices across the city, where it has been shown to improve a patient’s quality of life. [ New York Times ] Kaitlyn Kelly plays music with people at the Hebrew Home, many of whom have only a few months to live. Credit Jeenah Moon for The New York Times • A debate over how to curb wolflike coyotes, or “coywolves,” continues to intensify in the rural New York community of Clarkstown. [ New York Times ] • The Lower East Side’s popular Sunshine Cinema will hold its last screenings, Landmark Theatres confirmed Friday. [ AM New York ] • A Republican candidate for governor wants to legalize recreational marijuana to help fix the subways. [ Daily News ] • It’s now illegal in New Jersey to sell or posses a “bump stock,” the controversial firearm accessory used by the gunman in last year’s Las Vegas massacre. [ NJ.com ] • Today’s Metropolitan Diary: “ Not Quite Fitting the Description ” • For a global look at what’s happening, see Your Morning Briefing. • It’s Day 1 of Broadway Week, with two-for-one tickets to more than a dozen theater productions on Broadway. Showtimes and ticket prices vary. • The New York Jewish Film Festival, hosted by the Film Society of Lincoln Center and the Jewish Museum, continues at Walter Reade Theater on the Upper West Side through Jan. 23. Times vary. [$15] • Visit the Whimsical Winter Wonder photo shoot, where families can take pictures with Wanderlust the Unicorn, the Crescent Moon and other fantasy props, at Poe Park in the Bronx. 2:30 p.m. [Free] • Harlem Stage celebrates the Ella Fitzgerald centennial, honoring her life and work with a performance at Harlem Stage Gatehouse on Convent Avenue. 7 p.m. [$250, tickets here ] • Islanders vs. Devils, 7 p.m. (MSG+). Rangers host Flyers, 7 p.m. (MSG). • Alternate-side parking remains in effect until Feb. 12. • For more events, see The New York Times’s Arts &amp; Entertainment guide. A rally outside of the Supreme Court during the 2017 March for Life in Washington, D.C. Credit Drew Angerer/Getty Images This week marks 45 years since Roe v. Wade. The ruling, one of the most prominent Supreme Court decisions in our country’s history, legalized abortion in the United States on Jan. 22, 1973. (“Roe,” the anonymous plaintiff in the case, was Norma McCorvey of Texas, who was trying to get an abortion there. The defendant, “Wade,” was Henry Wade, then the Dallas County district attorney, who supported a Texas law forbidding abortion unless it would save the mother’s life.) But the landmark ruling has always incited heated debate. In New York, amid worries that the Supreme Court could soon try and overturn the ruling, Gov. Andrew M. Cuomo has proposed writing Roe v. Wade into our state constitution to guarantee that these rights and protections remain in place. You can learn more about the past, present and future of Roe v. Wade tonight at the Brooklyn Historical Society, when reproductive rights experts will lead the discussion “ 45 Years after ‘Roe v. Wade.’” New York Today is a morning roundup that is published weekdays at 6 a.m. If you don’t get it in your inbox already, you can sign up to receive it by email here. For updates throughout the day, like us on Facebook. What would you like to see here to start your day? Post a comment, email us at nytoday@nytimes.com, or reach us via Twitter using #NYToday. Follow the New York Today columnists, Alexandra Levine and Jonathan Wolfe, on Twitter. You can find the latest New York Today at nytoday.com.","Tuesday: A tropical bubble on the Upper West Side, Broadway week, and the anniversary of Roe v. Wade.",2018-01-16T11:00:01Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",New York Today: New York Today: The Warmest Spot in the City,https://www.nytimes.com/2018/01/16/nyregion/new-york-today-butterfly-conservatory.html,https://static01.nyt.com/images/2018/01/16/nyregion/16nytoday1/merlin_132248435_9287bb9d-fda2-489e-802b-28b2a9056997-facebookJumbo.jpg,the-new-york-times,The New York Times,tropical,1
"Brian Kahn on Earther, shared by Andrew Couts to Gizmodo","Weve seen a lot of weird-ass tropical cyclones in recent years. This week, we can add another one to the list.
Typhoon Wutip formed and brushed Guam late last week. That alone made it an oddity in terms of timing and location. But rather than weakening as forecast, the storm blew up into a Category 5 monster over the weekend. That makes Wutip the first Category 5 storm of any kindtyphoon, cyclone, or hurricaneever recorded in the Northern Hemisphere in February.
When we covered Wutip on Friday, all forecasts pointed to the storm wimping out over the weekend. Instead, the storm exploded into a super typhoon, a storm with winds in excess of 150 mph, on Saturday into early Sunday morning. Its sustained winds leaped from from 125 mph to 160 mph in just 12 hours with gusts reaching up to 180 mph, according to the Joint Typhoon Warning Center. That put it well above the previous February record holder, Super Typhoon Higos, which saw winds top out at 150 mph winds in February 2015. It also made Wutip the first February Category 5-equivalent storm to form not just in the Pacific but anywhere in the northern hemisphere.
Wutip also looked the part, with satellite imagery straight out of central casting. The storm had a wide and symmetrical eye at its peak. Both are characteristics of an annular cyclone, storms that tend to be exceptionally strong and usually form over open water. 
Typhoon Wutip as of Tuesday afternoon in a slightly less formidable state.
GIF: Colorado State University
The storm has since weakened as it chugs toward the Philippines, but what caused the power up seems to have been a bit of meteorological luck. The normal recipe for rapid intensification is weak upper level winds and ocean waters warmer than 30 degrees Celsius (86 degrees Fahrenheit). Those conditions are rare in the northern hemisphere in February, though El Niñowhich is currently in effectdoes tilt the odds towards them slightly in parts of the Pacific. In the case of Wutip, upper level winds were moderate and sea surface temperatures were around 29 degrees Celsius (84.2 degrees Fahrenheit), which was slightly warmer than normal.
Not prohibitive for rapid intensification, but also not a slam dunk. It appears Wutip simply beat the odds.","We’ve seen a lot of weird-ass tropical cyclones in recent years. This week, we can add another one to the list. Read more...",2019-02-26T21:10:00Z,"{'id': None, 'name': 'Gizmodo.com'}",The Northern Hemisphere Just Experienced Its First-Ever Category 5 Cyclone in February,https://earther.gizmodo.com/the-northern-hemisphere-just-experienced-its-first-ever-1832908873,"https://i.kinja-img.com/gawker-media/image/upload/s--Oo2vU-i1--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/uis0s2lx7srjacbrfexa.jpg",,Gizmodo.com,tropical,1
"Brian Kahn on Earther, shared by Harrison Weber to Gizmodo","My eastern tropical Pacific sea surface temperatures watchers, get hype. An El Niño Watch is in effect. The climate phenomenon that starts with warmer than normal waters in the eastern tropical Pacific and alters weather around the world has a pretty good chance of forming later this year. According to the National Oceanic and Atmospheric Administration (NOAA), which announced the watch on Thursday, there’s a 50 percent chance El Niño conditions will emerge this fall. The odds go up to 65 percent by the time winter rolls around. The agency issues watches when “when conditions are favorable for the development of El Niño or La Niña conditions within the next six months.” Right now, models are showing a weak-to-moderate El Niño could be in the cards. But it’s way to early to speculate on the flavor of El Niño we could get at this point, which is about as useful as definitively saying where Lebron is going to end up (please let it be the Celtics). But we can talk about why the odds are tipping toward El Niño. For one, ocean temperatures just below the surface are pretty toasty. Subsurface heat content this May was the sixth-warmest on record for the month. Heat below the surface does not an El Niño make, though—you’ve got to get that hot water to the surface. Looking at the average temperatures on the surface of the tropical Pacific shows that things are decidedly neutral right now. However, there are key differences when you look on either side of the equator that could provide an opening for that subsurface heat to peek through. The Pacific is a bit warmer than normal to the north, and cooler than normal to the south. This pattern is the positive phase of what’s known as the Pacific Meridional Mode. And it matters because the trade winds—which blow from east to west along the equator—tend to weaken during this positive phase. That could, in turn, let the warm water beneath the surface work its way east and eventually burble up to the surface It will take months for these processes to play out, which is why we’re only in an El Niño Watch. But if El Niño does emerge, it could be a bit deal, because the pattern has a number of impacts on the world’s weather. If El Niño forms in fall, it could put the kibosh on the tail end of hurricane season: El Niño tends to increase upper level winds that can inhibit hurricane formation in the Atlantic basin. El Niño also generally means more precipitation along the southern tier of the U.S. and drier conditions in the Northwest during the winter.","My eastern tropical Pacific sea surface temperatures watchers, get hype. An El Niño Watch is in effect. Read more...",2018-06-14T19:40:00Z,"{'id': None, 'name': 'Earther.com'}","Welp, We Might Get Another El Niño This Fall",https://earther.com/welp-we-might-get-another-el-nino-this-fall-1826839844,"https://i.kinja-img.com/gawker-media/image/upload/s--MQazPb19--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/ktndpcumlxeihuhakcih.jpg",,Earther.com,tropical,0
https://www.facebook.com/bbcnews,"Image copyright EPA Image caption Locals have been warned to expect more heavy rainfall A cyclone that was predicted to wreak havoc across Queensland has been downgraded to a tropical low, after unleashing 17cm (6.6in) of rain in two hours across the north of the state. Authorities warn that Cyclone Owen could still reform offshore on Monday. Severe weather and flood warnings are in place. Owen hit land as a category 3 cyclone at around 03:00 on Saturday (17:00 Friday GMT), 70km (43 miles) from Kowanyama. ""We were right in the bullseye but then it dipped and went south,"" the town's Mayor Michael Yam said. ""There's no structural damage, a little debris, we're all good and in one piece."" The cyclone's 120km/h (74mph) winds weakened as it moved south-east. Queensland's Emergency Service received 400 calls for help over Friday night, according to local outlet News.com. Rescue services are warning that heavy rainfall and flash floods could still follow between now and Tuesday. ""Please do not be complacent, particularly in that northeast tropics area where the rains will continue,"" Queensland Fire and Emergency Services commissioner Katarina Carroll said. The weather system is expected to reach the North Queensland towns of Ingham and Innisfail by early Sunday. Meteorologists predict it will move back out over water before tracking down the state's east coast. Australia frequently experiences extreme weather, with flash floods, sandstorms and droughts in some areas. Last month, Queensland was hit by destructive bushfires which forced the evacuation of thousands of people.","Cyclone Owen has been downgraded to a tropical low, but storm and flood warnings remain in place.",2018-12-15T23:02:13Z,"{'id': 'bbc-news', 'name': 'BBC News'}","Cyclone Owen downgraded, but could reform off Queensland",https://www.bbc.co.uk/news/world-australia-46580270,https://ichef.bbci.co.uk/news/1024/branded_news/160A0/production/_104827209_queenslandcyclone.jpg,bbc-news,BBC News,tropical,0
