author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
Beth Skwarecki,"Our President, garbling something the Finnish president said about forest management, believes that the snowy country has fewer wildfires than California because they rake up leaves in the wilderness. Shockingly, this is not true. President Donald Trump stood near the charred remains of Paradise, California on Saturday (he Read more Read As the New York Times reports, Finnish forests benefit from a combination of luck and non-stupid forest management: Finland is cold and snowy, while California is mostly hot and dry. (Finlands summer temperatures rarely get above 60 degrees Fahrenheit, and around this time of year the weather tends to be wet.) Logging roads crisscross Finlands forests, slowing down fires while giving firefighters easy access. Aviation clubs are paid to do fire surveillance, looking for fires from the air. Finnish forest managers remove some of the dead trees (not, uh, leaves) to remove a small percentage of the flammable material. Perhaps we could learn from Finlands strategies, but no amount of raking will make California wetter or slow down the Santa Ana winds that fan the flames, nor will it eliminate forest fires in places that are, like Malibu, not actually made of forests.","Photo: Justin Sullivan (Getty Images) Our President, garbling something the Finnish president said about forest management, believes that the snowy country has fewer wildfires than California because they rake up leaves in the wilderness. Shockingly, this is …",2018-11-19T21:30:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Why California Has More Wildfires Than Finland,https://lifehacker.com/why-california-has-more-wildfires-than-finland-1830546028,"https://i.kinja-img.com/gawker-media/image/upload/s--sRaDq-1c--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/h3uwpcqgnkey5u0i7v7k.jpg",,Lifehacker.com,California wildfires,1
Matt Simon,"Nestled in the foothills of Californias Sierra Nevada Mountains is the quaint Gold Rush town of Nevada City. Surrounded by unkempt brush, the old, highly flammable city is in danger: with Californias wildfires raging with unprecedented ferocity in recent years, one spark could doom Nevada City to the same fate that neighboring Paradise met in November.
But not if the goats get there first. Realizing its predicament, Nevada City has launched a crowdfunding campaign to pay goats (or, more accurately, their herders) to clear brush at the edges of town. Its called, yes, Goat Fund Me. And its part of an ungulate awakening: All across the state, business is booming for herders as panicked homeowners and towns reckon with the wildfire menace.
There is no single explanation for why Californias wildfire problem has gotten so bad. Climate change is oneless rain in the fall means dryer brush, which in turn coincides with seasonal winds that fan massive blazes. More cities encroaching on wildlands is another.
Yet a third factorthe one most pertinent to the interests of goatsis the fact that California has been really, really bad about clearing the brush that turns into tinder. For comparison, the southeastern US, an area only five times bigger than California, did prescribed burns on 5.5 million acres last year, 100 times more than the Golden State. Prescribed burns are expensive, and a huge chunk of Californias fire money goes to battling ever-larger blazes.
Goats, though? A herd's work is relatively cheap, around $1,000 an acre (200 goats can tear through an acre a day). I realized money was an issue, says Nevada City vice mayor Reinette Senum, who launched Goat Fund Me. We can go out and pursue grants but that takes months, and we don't have months. The best time for the goats to do their thing is in the winter, before new growth blooms during the rains of spring. That and the ranchers already have their goats rented out for the rest of the year.
The first step is to identify the most prone areas with the help of the fire chief, then reach out to residents there to tell them that there might soon be a special scent in the air. You've got to let neighbors know: for a couple days you might get a smell, says Senum. Your dogs might be disturbed because they're smelling goats and may want to go after them.
To be clear, the goats dont work alone. They have human handlers and their own muscle in the form of a big white dog. They're fiercely protective, says Brad Fowler, owner of the vegetation management company The Goat Works, which is working with the city. In California we've got mountain lions and coyotes and recently wolves. The dogs, just by their presence and their bark, discourage predators to go somewhere else.
The operation doesnt simply amount to letting goats loose on a property. Basically we have a mobile ranch, says Fowler. We're taking a ranch essentially with all the infrastructure that's included in that to every place we go. The team sets up solar-powered electric fences to keep the goats penned in a particular area. If possible they hunt down local creeks or ponds, but they may also truck in their own water.
But for the most part, once theyre in place, the goats are self-starters. Theyre highly efficient vegetation managers, since they convert a plants solar energy into protein and poop, which nourishes the ecosystem, whereas human crews have to cart off what they clear. Theyll eat most plants from the shoulder up, so dead grasses and such. (If you want to really clear grass, sheep are your best bet.) Nevada City has a particular problem with out-of-control blackberry bushes, whose thorns are no problem for the goats. They've got really nimble lips, says Fowler. It's funny to watch them. They'll hold the branch with their lips and reach in and bite it off with their back teeth.
Being goats, though, they dont necessarily abide by human notions of containment. A bad day would be, you get a call that all your animals are two miles away from where they're supposed to be, says Fowler. The good news is when that happens, people don't get as upset about it as they would if, say, your bulldozer got loose and ran over a bunch of houses. As long as they stay out of traffic, Im OK.
On their own, goats only do part of the job; theyre more of an advance party. They get in there and strip out the brush enough for human crews to come in with chainsaws to cart away the bigger branches and such. Of particular convenience is the fact that goats will happily eat poison oak. They're cute little things, but it's only one little piece, says Senum. Who doesn't love a goat?
Still, the firefighting ruminant business is booming in California, beyond Nevada City. It seems like everybody kind of woke up with these big fires, says Fowler. And I tell you what, there's a huge opportunity. If somebody wants to get into the business, now would be a good time.
More Great WIRED Stories","Spooked by massive wildfires, a California city launches a crowdfunding campaign to hire goats to clear brush at the edges of town.",2019-01-10T12:00:00Z,"{'id': 'wired', 'name': 'Wired'}","Nevada City, California's 'Goat Fund Me' to Prevent Fires",https://www.wired.com/story/one-california-towns-plan-to-fight-wildfires-with-goats/,https://media.wired.com/photos/5c36790741433e76e10a9db6/191:100/pass/goat-1028574840.jpg,wired,Wired,California wildfires,1
CARL ZIMMER,"For early studies of fire refugia, ecologists hiked through forests and grasslands, inspecting islands that withstood surrounding flames. Now researchers are scrutinizing fire refugia from space. With nearly 50 years of satellite data, theyre starting to piece together the recent history of these sanctuaries. After a fire wipes out a forest, fire refugia stand out as green jewels scattered across the blackened land. Depending on the forest, up to 25 percent of it may survive in refugia, Dr. Krawchuk estimated. Sometimes a forest refugium survives a particular blaze thanks to luck. We might have a change of wind, it cools down at night, and the fire might not grab that patch of forest, said Arjan Meddens, a fire ecologist at the University of Idaho and lead author of the BioScience review. But when researchers look at satellite images from other years, they see that some refugia are different. There are some places in the landscape that seem to avoid fire time and time again, said Dr. Krawchuk. The most interesting thing is why, she added. What makes that green spot stay that way? There are probably many factors at work. In the Northern Hemisphere, the north sides of mountains favor refugia. The plants there get less sunlight that their south-facing counterparts. They often hold more water in their trunks and roots, and they grow in moister soil that can tamp down fires. Fire refugia dont have to endure for centuries to be ecologically important. Even a fleeting shelter can be important for local biodiversity.","The Delta Fire burning in the Shasta-Trinity National Forest in California last month. When the fires eventually die, refugia will be essential to recovery of the forest.",2018-10-12T20:50:38Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Matter: ‘Lifeboats’ Amid the World’s Wildfires,https://www.nytimes.com/2018/10/12/science/wildfire-biodiversity.html,https://static01.nyt.com/images/2018/10/16/science/16SCI-ZIMMER1/16SCI-ZIMMER1-facebookJumbo.jpg,the-new-york-times,The New York Times,California wildfires,1
Beth Skwarecki,"The Camp Fire in northern California has just become the deadliest in the states history; the Woolsey fire in the south is engulfing Malibu; and our president is tweeting obliquely about the logging industry. Welcome to 2018. Everyone from firefighters to the CNN weather guy knows this is wrong, wrong, wrong, so lets break it down: These arent all forest fires The Camp fire did start in a forested area, but the southern California fires did not. As the Pasadena Fire Association replied, these are better described as urban interface firesin other words, ones that start in places where homes are built among flammable vegetation. Wildland fire is a more accurate term, which encompasses brush fires, rangeland fires, and more. So if you imagine nothing but trees burning, youve got the wrong image in your head to start with. There is one big reason for these massive, deadly and costly wildland fires Climate change. We really have to go over this again? Of Californias 10 most destructive fires, nine have been in the last 15 years. Five are from 2017 and 2018. The recipe for these fires requires a few common ingredients : Houses very close to flammable vegetation Dry weather making that vegetation extra flammable High-pressure winds from the jet stream, which occur around this time of year. The hotter California gets, the drier it gets. And the extreme dryness makes the vegetationnot just trees, but also brush and grassesburn more easily. The drier the land, the smaller a spark it takes to catch fire. Then, hot, dry gusts of wind suck up even more moisture, and they push fires forward, throwing embers onto houses and other fuel in their path. Watch this exasperated meteorologist explain it better than I can. President Donald Trump tweeted some incredibly ignorant things over the weekend about the wildfires Read more Read Forest management may be a dog whistle for the logging industry Politicians including Interior Secretary Ryan Zinke have been advocating for fuels reduction management. The thinking seems to be: remove the forest, and you cant have forest fires. In effect, this means opening up lands to logging. But, as Outside explains here, logging isnt effective at removing the kinds of fuel that wildfires thrive on. Loggers want to take the biggest, most commercially valuable trees, and leave the saplings and brush. Guess what catches fire really well? Yeah. Saplings and brush. Funding is necessary for preventing fires and helping affected communities Its not clear what federal funding you could remove from the picture and make fire management better. Much of the area thats burning is federal land anyway. And until 2020, the US Forest Service still has to cannibalize its own fire prevention budget to find the money to put out fires that are already burning. (The practice, called fire borrowing, was finally ended with a bill that Congress passed earlier this year.) Putting out wildfires costs more every year, as fires get worse. Just another exciting aspect of living in 2018.",The Camp Fire in northern California has just become the deadliest in the state’s history; the Woolsey fire in the south is engulfing Malibu; and our president is tweeting obliquely about the logging industry. Welcome to 2018. Read more...,2018-11-12T21:45:00Z,"{'id': None, 'name': 'Lifehacker.com'}",What Trump Gets Wrong About California's Wildfires,https://lifehacker.com/what-trump-gets-wrong-about-californias-wildfires-1830391393,"https://i.kinja-img.com/gawker-media/image/upload/s--R731f7xW--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/fse8aw2l5fyvp2cvshkx.jpg",,Lifehacker.com,California wildfires,1
Matt Simon,"Actions have consequences, as our parents likely told us as kids. But inaction has consequences, too. Life or death consequences, in the case of Californias new normal of massive, climate-change-driven wildfires.
After a series of devastating fires over the last few years, critics have turned their ire toward PG&amp;E, a utility that brings electricity to 5.4 million households and businesses in Northern California. Its equipment has been blamed for 17 of 21 major fires in 2017 alone. Facing the prospect that itll be officially implicated in last Novembers Camp Fire, which virtually destroyed the town of Paradise and killed 86, the utility has announced that its seeking bankruptcy protection.
What happens to PG&amp;E nextwhether it sells off bits of the business to survive, or the state forces the company to split up, or its turned into a public utilityisnt clear. But safety will haunt the utility no matter what. They have a failed track record, says California State Senator Jerry Hill. They have no safety culture today.
Preventing electrical equipment from sparking fires is not some arcane art. But it does have its complications, and forcing a utility to get its act together might require forceful regulation of the kind typically reserved for a railroad baron.
The biggest threat to the electric grid is wind. In California this becomes particularly problematic in the fall, when seasonal winds tear in from the east. These winds are hot and dry, and desiccate the vegetation, making ignition all but certain.
High wind not only makes the fire spread very fast, but it also knocks all those power lines and knocks all the equipment, which can generate explosions of sparks, whether that's arcing between lines or transformers exploding, says Michael Gollner, a fire protection engineer at the University of Maryland. It's almost always due to either collapse of power utility poles or contact between different lines.
Those complications arent necessarily a problem if the equipment is surrounded by pavement. But miles upon miles of power lines are strung through the wildlands of California, where they are surrounded by unkempt brush.
Even before these seasonal winds arrive, the lines are a major liability. We hit these really, really dry periods throughout the west in the summertime, says fire ecologist Robert Gray. That means a whole lot of air conditioners running. There's more juice running through the line and it sags closer to lower vegetation.
One fix is to bury the lines, but that doesnt work in much of California, where a lot of rock sits at the surface. You could do it, but it would be enormously expensive. Even if lines were buried where theres dirt, digging them up to do repairs is still pricey.
Then why dont utilities just cut power to lines when they know strong winds are coming? They do, actually, but that call is far from simple. You also cut off certain communities from vital services, says Gollner. You can turn off medical equipmentthere's all sorts of things to consider when you make those decisions. They have to weigh both liabilities, which is bizarre.
The best thing to do now, experts say, is to take a page from the era of railroad barons and rein in the utilities. From the 19th century well into the 1920s, America had a serious problem with railway fires. Burning coal or wood threw sparks out of the engine, which easily ignited vegetation around the tracks. It was like dragging a flare across the countryside.
Then regulators said: Yeah, thats going to have to stop. They made the railroads adopt spark arrestors. They required inspections for brakes, says wildfire historian Stephen Pyne. There were laws passed.
Regulators dragged the railroads into court if they didnt comply. A century ago, this was a huge industry, big money, big political clout, says Pyne. That's not unlike the power line situation.
First and foremost: lines simply have to be kept away from brush. That means a whole lot of money spent in fuel management, which California has been historically terrible at. In California, utilities are legally liable for any fire their equipment starts, even if they arent deemed to be negligent, so they better be damn sure that that equipment is clear of brush. That costs money, but its a tiny investment compared to paying for the ravages of wildfiresPG&amp;E says its facing a liability of $30 billion from just two years worth of conflagrations. Hence bankruptcy.
(PG&amp;E declined to comment for this story, pointing instead to a press release that says it will make investments in system safety as it works with regulators, policymakers and other key stakeholders to consider a range of alternatives to provide for the safe delivery of natural gas and electric service for the long-term in an environment that continues to be challenged by climate change.)
Utilities know full well how to manage their risk. Both Pyne and Hill point to San Diego Gas &amp; Electric, which regulators found liable for the Witch Fire of 2007, as a model of current safety practices. For instance, it created a weather center that monitors for fire conditions. They created a new industry standard that has been ignored by PG&amp;E almost in every regard,"" says Hill. ""Ignoring those basic practices I believe resulted in the fires of 2017 and 2018.
In the long term, though, the solution may be for communities to become more independent about their power. Its not hard to foresee a future (however far off) in which electricity is much more decentralized: Instead of power coming from massive plants dotted throughout California, neighborhoods could establish their own hubs, using solar or wind power to charge large batteries throughout town. Outfitting your home with solar panels still aint exactly cheap, sure, but that price will continue to drop as the technology evolves. And decentralization in California very much depends on PG&amp;Es fate: If the state ends up breaking the utility into smaller entities, that might make things easier.
It's burying lines where we can, where it's feasible and appropriate,"" says Gray. ""It's decentralizing the hub so if you do have a power outage it doesn't impact huge areas. But it's also a system that uses a multitude of different sources of energy.
This is scary new era of climate-change-driven wildfires. But by reining in the utilities, just as we reined in the once-almighty railroads, perhaps we can help avoid catastrophes like Paradise.
More Great WIRED Stories",PG&E’s electrical equipment likely caused California’s massive Camp Fire. That’s particularly maddening because science knows full well how to stop that.,2019-01-17T11:00:00Z,"{'id': 'wired', 'name': 'Wired'}","To Prevent Wildfires, Treat Utilities Like Railroad Barons",https://www.wired.com/story/to-prevent-wildfires-treat-utilities-like-railroad-barons/,https://media.wired.com/photos/5c3fae389f7d4c2cf990b7d4/191:100/pass/pge-1072296408.jpg,wired,Wired,California wildfires,1
Beth Skwarecki,"Pets and livestock got separated from their people in Californias wildfires, and rescuers have been bringing as many animals as they can to safety. If youre looking for a lost pet, many of the rescues have put pet photos online. Unclaimed pets are considered to belong to the county animal services department, so start with the county where the pet was last seen, for example Ventura County (which has sheltered 288 animals from the wildfires) or Los Angeles County (which has sheltered over 800 ). If youre not looking for a pet but would like to help, many of the groups sheltering pets take cash donations. Heres Ventura Countys Amazon wishlist, UC Daviss veterinary catastrophic need fund, and Los Angeles Countys donation page. Also consider whether you might be able to adopt or foster one of the pets that were filling up shelters even before the fire happened.","Pets and livestock got separated from their people in California’s wildfires, and rescuers have been bringing as many animals as they can to safety. If you’re looking for a lost pet, many of the rescues have put pet photos online. Read more...",2018-11-20T21:00:00Z,"{'id': None, 'name': 'Lifehacker.com'}",How to Reunite With Pets Lost in the California Wildfires,https://lifehacker.com/how-to-reunite-with-pets-lost-in-the-california-wildfir-1830571189,"https://i.kinja-img.com/gawker-media/image/upload/s--yWhE2AC9--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/uwune6pxe56f3rateyoe.jpg",,Lifehacker.com,California wildfires,1
TIM ARANGO and INYOUNG KANG,"Experts also worry that not enough attention is given to all the ways people have made the problem of wildfires worse. Population growth in California means there are more people on the roads — cars are a prime culprit in wildfires — and more homes built in wilderness areas. “It would be easy to throw our hands in the air and say it’s just climate change, and we can’t do anything about it,” said Jennifer K. Balch, a professor of geography at the University of Colorado at Boulder and an expert on wildfires. “But actually we are starting the majority of wildfires, and we can do something about it.” Another factor, many experts say, are policies in California that protect forests from timber harvesting and a reluctance to set off controlled fires to burn vegetation. William Stewart, an expert on forestry at the University of California at Berkeley, said that part of the California dream was keeping “nature as it is,” with minimal management of forests. With so many fires burning so often, Stephen Pyne, a fire historian at Arizona State University, worries the public has become accustomed to disaster, unwilling to have difficult conversations about where houses are being built and whether controlled burns are a good idea.","Thursday: How people start or exacerbate blazes, a sudden opportunity for Duncan Hunter’s challenger, and a teetotaler’s guide to Sonoma County.",2018-08-23T13:00:46Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",California Today: California Today: The Human Element in California’s Wildfires,https://www.nytimes.com/2018/08/23/us/california-today-fires-humans.html,https://static01.nyt.com/images/2018/08/22/us/22caltoday/22caltoday-facebookJumbo.jpg,the-new-york-times,The New York Times,California wildfires,1
Aimée Lutkin,"California is battling three simultaneous wildfires, which have destroyed almost 200,000 acres and killed 31 people. More than 250,000 people have been evacuated, according to CBS News, and thousand of homes have burned to the ground. Heres how you can help. Airbnb Are you an Airbnb host within range of the fires? The company is encouraging its hosts with homes nearby to allow evacuees and relief workers to stay for free until November 29, according to Time. So far, about 900 hosts have offer. You join them or look for a place to stay here. Enloe Medical Center The largest fire, called the Camp Fire, has evacuation centers at this hospital located in Chico, reports the New York Times. Donations to Enloe are being used for patients, families and caregivers who have lost their homes or been displaced due to the fire. You can donate here or text CampFireRelief to 91999. Caring Choices Also located in Chico, Caring Choices is organizing volunteers. Certified doctors and nurses are needed for medical care, but they also need people to help with displaced animals and are asking on their site for donations of N95 respirator masks as well as financial aid. Theyre also reminding people that this is a marathon, not a sprint; volunteers will be needed for many weeks to come. North Valley Community Foundation : This nonprofit is organizing efforts in Chico for feeding and sheltering evacuees of the Camp Fire as well. As a local organization, theyre familiar with the churches and community centers in the area that need help. You can donate to them here. Direct Relief This organization works consistently around aid for wildfires; they keep an inventory of necessary gear, like N-95 masks and respiratory medication for healthcare agencies and first responders. You can donate here. California Community Foundations Wildfire Relief Fund The fund opened in 2003, and is provides intermediate and long-term recovery efforts for major California wildfires, as well as preparedness efforts. They help rebuild homes and offer both financial and mental health assistance to those affected by the fires. Learn more here. Salvation Army The Salvation Army is organizing meals at churches, fairgrounds and community colleges according to the NYT, and are located in both the north and south end of the state. More info here. United Way of Greater Los Angeles United Way is specifically raising money to help low-income residents hit by the fires; certain working-class neighborhoods in Malibu and Ventura county were hit, despite the areas reputation for luxury mansions. Donate money to help them get reestablished here. Entertainment Industry Foundation This nonprofit is specifically raising money to help the firefighters and other emergency workers working to put out the wildfires. Theyre partnering with the Los Angeles Fire Department Foundation who need special equipment like hydration backpacks and night vision goggles for helicopter pilots. Theyre also providing money for meals going to workers and evacuees at shelters. Donate here. Humane Society of Ventura County In addition to the people displaced by the wildfires, there are thousands of displaced, lost, or injured animals. The nonprofit is taking in and and helping both domestic pets like dogs, cats and birds, but theyre also saving livestock and horses that are common in the area. Help them with that here. GoFundMe The crowdfunding company has an entire page of fundraising efforts directed towards the victims of the California fires. You can even donate to specific families who have lost their homes and belongings, or other campaigns verified by the site here.","California is battling three simultaneous wildfires, which have destroyed almost 200,000 acres and killed 31 people. More than 250,000 people have been evacuated, according to CBS News, and thousand of homes have burned to the ground. Here’s how you can help.…",2018-11-12T16:00:00Z,"{'id': None, 'name': 'Lifehacker.com'}",How to Help People Affected by the California Wildfires,https://lifehacker.com/how-to-help-people-affected-by-the-california-wildfires-1830381905,"https://i.kinja-img.com/gawker-media/image/upload/s--9doAxqZD--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/h7j4o27dajurn22yr9pq.jpg",,Lifehacker.com,California wildfires,1
NIRAJ CHOKSHI,"Photo Kyle Field worked on his property in Ventura, Calif., as rain fell on Monday. Mr. Field’s home was destroyed in the Thomas Fire late last year. Credit Anthony Plascencia/The Ventura County Star, via Associated Press Drenching rain soaked Southern California early Tuesday morning, with mudslides and floods threatening lives and property in a region that faced destruction from wildfires just weeks ago. Rain fell at rates as high as an inch and a half per hour, bringing down power lines and trees and forcing closures along several roads and highways, including a stretch of Highway 101 along the coast south from Santa Barbara, according to the National Weather Service. #CAstorm - FF’s tend to a woman on Hot Springs Road while waiting for an ambulance. The woman was pulled by FF’s from a debris pile in Montecito caused by heavy rain runoff. pic.twitter.com/cNdf5kV5jq — SBCFireInfo (@EliasonMike) Jan. 9, 2018 At least 20,000 people were without power on Tuesday morning, according to Southern California Edison. Flash floods also threatened parts of Santa Barbara, Ventura and Los Angeles Counties; flooding in and around the area scarred by last month’s Thomas wildfire, the largest on record in California, posed the “greatest threat,” according to the Weather Service. “Residents living in or immediately downstream should take immediate precautions to protect life and property,” it said in a pre-dawn statement. “Quickly move away from the burn area only if it is safe to do so, otherwise shelter in place and move to a second story or the highest location in your home to stay out of the path of fast-moving water and debris flows.” pic.twitter.com/sImokst56P — Caltrans District 7 (@CaltransDist7) Jan. 9, 2018 By 5 a.m., about five inches of rain had fallen north of Ojai, in Ventura County, though totals were lower along the coast and other areas, according to the Weather Service. The worst of the rain had passed by about 7 a.m., though showers and thunderstorms were still possible throughout the day. In Montecito, the authorities contended with waist-deep mudflows in some areas as they were called in to make multiple rescues, Mike Eliason, spokesman for Santa Barbara County Fire Department, said on Twitter. Some homes were torn off their foundations, according to KEYT News. #CAstorm - Santa Barbara county FF’s rescue two men and a woman from flood water/debris flow of Hot Springs Rd. in Montecito. Multiple rescues are underway throughout the area. pic.twitter.com/bT5WAoAvf8 — SBCFireInfo (@EliasonMike) Jan. 9, 2018 At one point early on Tuesday, a rain gauge in the area recorded a quarter-inch of rain falling in as little as five minutes, according to the National Weather Service. Continue reading the main story","A downpour caused flooding and mudslides, shutting down roads and highways in a portion of Southern California ravaged by wildfires weeks earlier.",2018-01-09T15:54:43Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Rain Soaks California Region Scarred by Wildfires,https://www.nytimes.com/2018/01/09/us/california-mudslides.html,https://static01.nyt.com/images/2018/01/09/us/10xp-mudslides2/10xp-mudslides2-facebookJumbo.jpg,the-new-york-times,The New York Times,California wildfires,1
"Yessenia Funes on Earther, shared by Andrew Couts to Gizmodo","California is burning. The state’s wild-ass wildfires are becoming the norm, but this change is something many communities in California can’t afford. These wildfires degrade the air quality—and towns near and far are feeling it. Right now, nearly 20 fires are ablaze in the state. The Mendocino Complex Fire has quickly risen to the state’s second-largest wildfire in modern history. The still-raging Carr Fire, meanwhile, is the state’s sixth most destructive. Hell, even Yosemite National Park is on fire due to the Ferguson Fire, which has been burning for 24 days and counting. “If you are near the fire or downwind of the fire, you will be impacted.” The smoke billowing out of these fires has been on the move, posing health threats to communities that might’ve not been worried about the fires at all. Smoke from the Ferguson Fire has traveled about 100 miles to Reno, Nevada, where air quality advisories are on. The smoke created when flames ignite trees and organic matter is nasty stuff full of particulate matter that can lodge itself in people’s lungs and eventually make its way to the heart. Once in our bodies, it can cause lung disease, lung cancer, and heart disease. And the toxic compounds in these particles are worse than the smoke spewing out of cars, said Greg Huey, the chair of Georgia Tech University’s Earth and Atmospheric Sciences department who’s researched the topic. “Car ignitions have a lot of emissions controls on them,” he told Earther. “Even a coal-fired power plant, which we might normally think of as dirty has quite a bit of emission control compared to wildfires. You have a lot of smoldering fires. You can see a lot of brown and black smoke, so you can see quite a range of products that come out of fires. It’s just a much dirtier combustion.” That smoke moves quickly as winds shift, and the people who lie in its path bear the consequence, said Tom Flannigan, a spokesperson with the Bay Area Air Quality Management District. “Our mountains and our microclimates are such that some areas might not be feeling any of the impact at all while others are disproportionately impacted,” he told Earther, “That is very well due to the topography of our state, but most of what we see is that if you are near the fire or downwind of the fire, you will be impacted.” Much of the air throughout the state, as well as neighboring states like Nevada and Oregon, is currently in the “unhealthy for sensitive groups” range. Where the fires have concentrated, southeast of Sacramento near the Nevada state border, the air quality is straight up unhealthy and even hazardous in some areas—for everyone. “It’s a serious public health concern that we have.” California cities already deal with some of the highest levels of air pollution in the country, especially in the state’s Central Valley, where many of its oil refineries are located. The people poised to suffer the most are the low-income families and communities of color that already deal with poor air quality on the daily due to their vicinity to industry. These fires aren’t helping. “It’s a serious public health concern that we have, so we work to let people know that they should do what they can to limit their exposure,” Flannigan said. A study published last month found that extreme air pollution days have gotten worse in the last 30 years for states from Nevada to Montana, and wildfires are largely to blame. And the situation will continue to get worse in the face of climate change. While California used to have a distinct fire season, today it’s more of a year-round thing, Flannigan said. That’s bad news for human health, Huey at Georgia Tech emphasized. “The more fires you have, the more acreages burned, the more emissions you have,” Huey said. “You’re going to raise the levels [of particulate matter] that people can be exposed to.”","California is burning. The state’s wild-ass wildfires are becoming the norm, but this change is something many communities in California can’t afford. These wildfires degrade the air quality—and towns near and far are feeling it. Read more...",2018-08-06T17:30:00Z,"{'id': None, 'name': 'Gizmodo.com'}",California's Wildfires Are Creating an Air Pollution Nightmare,https://earther.gizmodo.com/californias-wildfires-are-creating-an-air-pollution-nig-1828133732,"https://i.kinja-img.com/gawker-media/image/upload/s--mVE_x0r2--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/nuejdeyqlnzqtlxdfheo.jpg",,Gizmodo.com,California wildfires,1
