author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
https://www.facebook.com/bbcnews,"Image copyrightFlorida Department of StateImage caption
 Michael Ertel served as Florida's secretary of state for only a few weeks
Florida's Secretary of State Michael Ertel has resigned after photos emerged of him in blackface dressed as a victim of Hurricane Katrina.
The images, printed by the Tallahassee Democrat newspaper, were allegedly taken at a Halloween party in 2005.
Mr Ertel - wearing a bandana and a shirt with ""Katrina Victim"" written on the front - was a local supervisor of elections at the time.
Hurricane Katrina killed nearly 2,000 people, many in Florida.
The secretary's of state's responsibilities include overseeing elections in Florida and promoting its economic interests around the world.
Mr Ertle was appointed in the role in December by Republican Governor Ron DeSantis.
""There's nothing I can say,"" Mr Ertel said when approached by the Tallahassee Democrat for comment about the photos.
He resigned hours after the paper shared them with the Florida governor's office. 
Mr Ertel has deleted his Twitter account and was also not available for comment.
Mr Ertel was Seminole County supervisor of elections for 14 years, winning four elections to the role.
He received numerous awards within Florida for increasing voter registration.",Michael Ertel quits his top post after pictures of him dressed as a Hurricane Katrina victim emerge.,2019-01-25T00:14:40Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Senior Florida official quits after blackface images emerge,https://www.bbc.co.uk/news/world-europe-46995485,https://ichef.bbci.co.uk/news/1024/branded_news/11C1D/production/_105333727_5b62a47d-941a-42f7-b46d-4aacb212f6bc-ertel-1.jpg,bbc-news,BBC News,Hurricane Katrina,1
ADEEL HASSAN,"[For more coverage of race, sign up here to have our Race/Related newsletter delivered weekly to your inbox.]
Theres nothing I can say, Mr. Ertel told The Democrat.
Mr. Ertel, 49, was the supervisor of elections for Seminole County from February 2005 until Governor DeSantis appointed him secretary of state in December.
As part of his duties as secretary of state, Mr. Ertel was in charge of the states effort to restore voting rights to 1.4 million ex-felons under Amendment 4, which Florida voters approved in November.
He had received many awards for his work on increasing voter registration, including a prize named for Martin Luther King Jr. given by the city of Longwood in Seminole County.",Michael Ertel resigned after a newspaper obtained photos from 2005 showing him dressed for a Halloween party as a “victim” of Hurricane Katrina.,2019-01-24T22:09:49Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Florida Secretary of State Resigns After Blackface Photos Surface,https://www.nytimes.com/2019/01/24/us/michael-ertel-blackface-halloween-florida.html,https://static01.nyt.com/images/2019/01/25/us/25ertel/25ertel-facebookJumbo.jpg,the-new-york-times,The New York Times,Hurricane Katrina,1
STEPHEN HILTNER,"To be sure, Village de l’Est is still home to a vibrant array of Vietnamese traditions, many of which revolve around three cultural pillars: religion, family and food. It’s hard to overstate the centrality of religious life. An overwhelming majority of the Vietnamese community here is Roman Catholic, and the local church, Mary Queen of Vietnam, serves the residents in ways that extend far beyond the liturgical. “All kinds of social issues come to the church, and to the pastor,” said Tony Tran, 54, a longtime parish coordinator. “Political, social, medical issues — the whole nine yards.” In its early days, he said, the church even helped to educate residents about, and translate, the state’s electrical codes. The church hosts the community’s annual Tet festival, a celebration of the Lunar New Year — an event that includes firework displays and dragon dances. The church was also instrumental in helping to begin a community development corporation, MQVN, that since 2006 has advocated a range of development programs, including those tied to health care, education, housing, social services and economic development.","Forty-three years after the fall of Saigon and almost 13 years after Hurricane Katrina, many residents wonder if their long-resilient community is nearing another — quieter — inflection point.",2018-05-05T09:00:09Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Surfacing: Vietnamese Forged a Community in New Orleans. Now It May Be Fading.,https://www.nytimes.com/2018/05/05/us/vietnamese-forged-a-community-in-new-orleans-now-it-may-be-fading.html,https://static01.nyt.com/images/2018/05/05/us/05vietnamese15/05vietnamese15-facebookJumbo.jpg,the-new-york-times,The New York Times,Hurricane Katrina,1
ISAAC OLIVER,"ANDY COHEN I remember being home when I made the call, on Horatio Street. I was excited. COOPER Within 45 seconds, he said, “Your mom is Gloria Vanderbilt.” COHEN So bad. I wanted to date the Vanderbilt boy. COOPER I imagined him on a Bluetooth headset, walking around, gesticulating a lot. COHEN By the way, you weren’t exactly Mr. Personality on that call, either. COOPER No, I wasn’t. I was very depressed. It was a bleak time. I was trying to figure out my way at ABC. I started as a one-man band; a guy I worked with when I was a fact-checker made a fake press pass for me, and I borrowed a camera and started going to wars. I’d been working at Channel One for three years. I’d never worked at a network. I didn’t know what I was doing. We never had the date. COHEN We started running into each other at the Roxy. He would be dancing around. COOPER I wouldn’t be dancing around. I was like, that’s the guy who said, “your mom is Gloria Vanderbilt.” COHEN We both knew Barry Diller, and we wound up in this group that would travel together, him and his friends. COOPER DVF — Diane [von Furstenberg]. Billie Lourd, she was very young. Sandy Gallin. COHEN We went to Turkey. Photo Mr. Cooper and his former New Year’s Eve co-host, Kathy Griffin, in 2015. Credit Carlo Allegri/Reuters COOPER I remember going up some waterway in a slow-moving boat, talking to you, sort of entranced. Andy, even before he was on TV, was the life of the party. COHEN I thought he was a little standoffish. But I liked making him laugh. That was my goal: Maybe I can crack this guy up, and that’s where we can come together. COOPER He did this whole “Maniac” dance. Flashdance - She's a Maniac [HD] Video by Vientaneva COHEN Oh, yes, from “Flashdance.” We were on the boat, it’s a very fast dance, and I was barefoot. Didn’t I cut my foot? COOPER It made me giggle uncontrollably. That’s the first time I remember being like, “You’re funny.” COHEN Then we would have dinner occasionally, or be at the same party. We went to Croatia in 2005. I was at Bravo then. COOPER I started working later at night, so our chances for hanging out were limited. COHEN Our shows are so different, but we have commonalities because we’re both on every night. I worked in news —— why are you laughing? Excuse me, I worked at CBS News for 10 years. COOPER You absolutely did, but the advice you would give me was not —— I was in Croatia with him when I got the call about Hurricane Katrina. I turned to Andy and said, “I gotta go,” and, Andy, as a newsman, what was it you said? COHEN I said: “This is ridiculous. They just want you outside at some rainstorm so they can get ratings.” COOPER Needless to say, I was on the next flight out. But one of the things I don’t think Andy has gotten enough credit for is he’s been an openly gay man in this industry from the very beginning. I was out at work —— COHEN He was out to everybody. Everyone at CNN knew your partner. COOPER And I was out at the Roxy. COHEN Yeah, with your flaming-white hair, like Katniss Everdeen. COOPER It was more about not discussing it publicly. But I told you I was going to be making a statement. COHEN He never asked me for advice, but we did talk about it. COOPER I don’t think there’s anything I’ve not discussed with him. It’s nice to have someone who pokes fun at you. If I’m in a dangerous place, he’ll text me something funny. Photo Mr. Cohen last year on his Bravo show, “Watch What Happens Live,” with Bethenny Frankel, a guest from “The Real Housewives of New York City.” Credit Michael Nagle for The New York Times COHEN I do get worried when he’s like, “I’m on my way to Egypt.” I’m like: “Are you kidding me? When are you coming home?” You’re not eating your eggs. Do you not like them? COOPER No, I like them. COHEN Are you going to eat your toast? COOPER I’m going to nibble. COHEN Do you want some jelly? COOPER No. COHEN He is a very fussy eater. We were in the Dallas airport two weeks ago. Tell what you were eating for breakfast. COOPER Panda Express. COHEN He was eating orange chicken at 9 a.m. It was so gross. COOPER We took a trip to Brazil five years ago. It was me; my partner, Benjamin [Maisani]; a friend of ours; and Andy. I brought them to Trancoso, this town I’d always heard about. I booked the hotels, I booked the flights — the one thing I asked Andy to do was check the bags in. COHEN I lost Anderson’s luggage. It was terrible. COOPER That was the first time I’ve ever gotten angry at Andy. And when I get angry, I get silent. COHEN Prickly ice-cold monster. You have to navigate his moods. I know exactly when to stop talking to him. COOPER We’re both sensitive in reading other people’s emotions. I know instantly when he’s lost interest in a conversation on the phone. We work all the —— see, he’s checking —— COHEN I’m rolling my sleeve up. COOPER I think he was secretly about to check his watch. COHEN No, I wasn’t. Look, you know people when you travel with them. It’s intimate. COOPER When his second book came out, he asked me to do an interview with him at the 92nd Street Y. My agent was in the crowd, and she was like, “You guys should take this on the road.” COHEN We looked at each other, and, immediately, were like, “Oh, my God, we can travel the country together.” COOPER We’ve done 30-something shows. COHEN New Year’s will be a good continuation. It’s going to be really fun. Amy Sedaris is coming by. We’re going to play games. COOPER We want people to feel like they’re hanging out with us for a night. COHEN I’m going to bring alcohol. COOPER I would expect nothing less. COHEN Just so you know. COOPER I’d rather not know the details. Continue reading the main story","The hosts of New Year’s Eve on CNN banter about Panda Express, gay nightclubs, Mr. Cooper’s angry silences and Mr. Cohen’s advice about Hurricane Katrina.",2017-12-27T10:00:26Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",When They Met: That Time Andy Cohen Asked Anderson Cooper Out (and About His Mom),https://www.nytimes.com/2017/12/27/arts/television/anderson-cooper-andy-cohen.html,https://static01.nyt.com/images/2017/12/28/arts/28whentheymet1/28whentheymet1-facebookJumbo.jpg,the-new-york-times,The New York Times,Hurricane Katrina,1
Rachel Becker,"Climate change is already making devastating hurricanes wetter — and similar storms are likely to unleash more rain and faster winds by the end of the century, new research says. When Hurricanes Harvey, Irma, and Maria struck the US in rapid succession in the fall of 2017, the storms and their aftermaths killed thousands of people and caused an estimated $265 billion in damage. Harvey became the second costliest storm after Hurricane Katrina, which devastated New Orleans in 2005. Now, new research published today in the journal Nature suggests that climate change made Irma, Maria, and Katrina drop more rain than they would have in a pre-industrial world. The study also predicts that in a warmer future, these storms would be even wetter and windier. A second paper (also published today in Nature) took a closer look at Hurricane Harvey. It shows another way people may have made the storm’s rain and flooding more severe: by building cities. Hurricanes should, theoretically, be more intense and wetter on a hotter planet. After all, warm ocean water fuels hurricanes, and warmer air holds more moisture — which means more rain. Recent studies back that up; analyses of Hurricane Harvey, for instance, reported that 15 percent or more of the rainfall could be attributed to global warming. “It’s a very important confirmation.” Today’s paper provides yet more evidence about the ways in which climate change shapes extreme weather events, says Dim Coumou, an atmospheric scientist at the Potsdam Institute for Climate Impact Research who was not involved in the study. “It’s a very important confirmation of our understanding of how hurricanes change with global warming.” Climate scientist Michael Mann says that some of the results make perfect sense. “We expect greater rainfall and flooding from hurricanes as ocean surface temperatures and atmospheric moisture content increases in a warming world.” But he cautions that the papers use a single climate model, so “it is difficult to draw other general conclusions from these studies.” The study started because Christina Patricola, a climate scientist at Lawrence Berkeley National Laboratory, wanted to find out how exactly climate change fit into the recent spate of devastating storms. So she simulated more than a dozen hurricanes, including Hurricane Katrina. She and her co-author Michael Wehner plugged in ocean temperature, atmospheric conditions, and watched the simulated storms spin toward land. The models weren’t perfect, the study acknowledges: the simulations didn’t quite capture Hurricane Maria’s track, or the rapid intensifications of Katrina, Maria, and Irma. But the models were close — and that’s where the experiments could start. Patricola tweaked the conditions to watch what would happen if Katrina, Irma, and Maria had unfolded in a pre-industrial world, and found that global warming boosted the deluge by between 4 and 9 percent. The team also analyzed wind speeds, but didn’t see much of a contribution of global warming for the recent storms. That could change in the future. Patricola found that if we continue to burn fossil fuels unchecked through the year 2100, some of those same storms would drop 25 to 30 percent more rain, and the winds would blow up to 33 miles per hour faster. It’s a thorough, convincing study, Coumou says — but there are still some big questions left to answer. The study doesn’t examine how climate change might alter the speed at which hurricanes travel along their paths, for example, or how future hurricane rainfall and storm surge might combine to drive heavy flooding. The question of flooding is where today’s second study comes in. Hydrologist Gabriele Villarini at the University of Iowa and his colleagues at Princeton University took a close look at Hurricane Harvey, which dumped five feet of rain on Houston and killed at least 93 people. Previous studies analyzed at how much of that rainfall could be attributed to global warming, and found it was around 15 precent or more. And we’d expect that when developers slap down impermeable surfaces like concrete and asphalt, the amount of water slicking off those surfaces increases. “The skyline, the tall buildings, the city footprint — we don’t know which one is more important.” But Villarini’s team took a slightly different tack and looked at how the city’s footprint and skyline might have changed both runoff and the rain. They modeled how much rain the hurricane would have dropped on the city had the buildings been replaced with farm fields. And they found that the rough texture of the city with its buildings and complicated skyline snagged and slowed down the humid air flowing over it, boosting conditions for precipitation. To be clear, Hurricane Harvey would have dropped rain over Houston no matter what was there. But the presence of the city exacerbated the flooding across Houston by about 21 times, on average, the study says. The team doesn’t know precisely why. “The skyline, the tall buildings, the city footprint — we don’t know which one is more important,” Villarini says. They also don’t know if these findings are specific to Harvey, or whether they’d hold up when another storm hits a different city. “I don’t think there’s one single way of dealing with this problem.” Still, the findings suggest that urbanization could make the flooding impacts of hurricanes worse, and in multiple different ways. “This is, as far as I know, a new result and, as the authors point out, has important implications for urban planning,” Kerry Emanuel, a professor of atmospheric science at MIT who was not involved in the study, says in a statement emailed to The Verge. Together, the two studies show that we need to be ready for the complex ways a warmer world could change extreme weather events. And preparing for these events won’t be easy, according to Villarini. Politicians, urban developers, and engineers will all have to be involved, and will have to work together to figure out ways for their communities to survive future storms. “I don’t think there’s one single way of dealing with this problem,” he says.","New research published in the journal Nature suggests that climate change made Hurricanes Irma, Maria, and Katrina drop more rain than they would have in a pre-industrial world. The study also predicts that in a warmer future, these storms would be even wette…",2018-11-14T19:03:54Z,"{'id': 'the-verge', 'name': 'The Verge'}",How humans are transforming the hurricanes of the future,https://www.theverge.com/2018/11/14/18095236/hurricane-climate-change-harvey-maria-irma-katrina-flooding-rainfall,https://cdn.vox-cdn.com/thumbor/GGOIGr881shxz8iZaUFFP612t5M=/0x146:2048x1218/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/13442671/36724564692_dcd3c0ebb0_o.jpg,the-verge,The Verge,Hurricane Katrina,1
JOHN SCHWARTZ,"So what did we miss? The city was too corrupt in a state that was too corrupt. We let education get away from us; our kids were being educated in awful buildings, and they werent learning very much. Although crime and the murder rate continue to go down, its still way too high. Income inequality continues to plague us. So if the citys going to succeed like all great cities Detroitll survive, Chicago, which was in a bad place in the 60s, has come back you need a good couple of generations of really good leadership. The citys got a long way to go. Its still one of the great cities of the world. But from an infrastructure perspective, were in a really bad situation. MR. BAQUET Are there places that shouldnt be rebuilt? Im not just talking about New Orleans. Ive spent six years in California there are places where the wildfires are that people once didnt live. Do you rebuild all of New Orleans East? Do you rebuild the parts of San Juan that are going to get whacked in the next storm? MR. LANDRIEU Were going to get hit by a lot of stuff. In the West, youre going to continue to get wildfires; youre going to get earthquakes. In the heartland, youre going to get tornadoes. In the East,youre going to get hurricanes. Eighty-five percent of the people in this country live in and around what we would call vulnerable areas. If climate change continues to do what it does, in 30 or 40 years New Orleans is going to be an island protected by the $14.6 billion levy barrier that we have, and everything south of I-10 is going to be compromised. If you back up a little bit and dont get too afraid within 100 years, the parallel where Austin and Atlanta are, is going to be the southern part of the country. That requires you to do a lot of thinking about prevention, about where people can live, where to put massive infrastructure investments. And the countrys really not having an honest discussion about that.","Water spilled over a levee along the Inner Harbor Navigation Canal, also known as the Industrial Canal, in New Orleans on Aug. 30, 2005, in the aftermath of Hurricane Katrina.",2018-12-13T07:15:07Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","After a Natural Disaster, Is It Better to Rebuild or Retreat?",https://www.nytimes.com/2018/12/13/us/after-a-natural-disaster-is-it-better-to-rebuild-or-retreat.html,https://static01.nyt.com/images/2018/12/13/autossell/13city-dean2/merlin_14104013_c188ab69-e199-480d-bfbd-563806c9ddfd-facebookJumbo.jpg,the-new-york-times,The New York Times,Hurricane Katrina,1
MARY HUI,"The Times, in other words Heres an image of todays front page, and links to our Opinion content and crossword puzzles. What were reading Jennifer Jett, a senior staff editor, recommends this essay in Stat : When Doreen Carvajal, a former Times reporter, learned she had a form of peritoneal cancer that strikes women in stealthy fashion, male doctors told her it was incurable. Rebelling, she found a female oncologist who put her in an immunotherapy trial, and today she is cancer free. A key date in feline history just slunk past. On Oct. 7, 1982, the musical Cats opened on Broadway, little more than a year after its debut on Londons West End. Scored by Andrew Lloyd Webber, the show had a script drawn from a playful volume of poetry, T.S. Eliots Old Possums Book of Practical Cats. It told a loose story about Jellicle cats gathered for a junkyard ball. The musical Cats, scored by Andrew Lloyd Webber, opened on Broadway 36 years ago this past Sunday. Credit Krista Schlueter for The New York Times The New York show received mixed reviews (Whatever the other failings and excesses, even banalities, of Cats, Frank Rich wrote in The Times, it believes in purely theatrical magic). But it ran for 18 years. A revival in 2016 ran for about a year and a half. Next stop: Hollywood. In December 2019, Cats makes its movie debut, with Steven Spielberg and Mr. Lloyd Webber executive producing. Shooting starts in Britain next month ; James Corden, Jennifer Hudson, Ian McKellen and Taylor Swift are among those slated to prowl the screen. I think the key to the Cats movie is going to be: What do they look like? Mr. Lloyd Webber said last year.","Lakefront Airport in New Orleans was heavily damaged during Hurricane Katrina. Despite FEMA recovery assistance, its protection from storm surge is not much better than before.",2018-10-08T10:22:48Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","Tropical Storm Michael, Limousine Crash, Nobel in Economics: Your Monday Briefing",https://www.nytimes.com/2018/10/08/briefing/tropical-storm-michael-limousine-crash-nobel-economics.html,https://static01.nyt.com/images/2018/10/08/us/08us-ambriefing-fema-AMCORE/merlin_144827682_e99e0fcd-90c5-46e1-bc7b-10285b666c15-facebookJumbo.jpg,the-new-york-times,The New York Times,Hurricane Katrina,1
JULIA JACOBS,"One day at the beginning of September, the three black men crossed the barricade on their way to the ferry landing, prompting Mr. Bourgeois to open fire. After the men fled, Mr. Bourgeois bragged that he had got one and promised to kill the man, referring to him with a racial slur, according to the court documents.
Mr. Bourgeois also told a neighbor, Anything coming up this street darker than a brown paper bag is getting shot, the documents said. One of the men was struck in the neck and back, while the other two were hit in the arms, back and legs.
The court documents said Mr. Bourgeois showed others a baseball cap with blood on it that had fallen from the head of one of the injured men.
Hurricane Katrina, a Category 5 storm, killed more than 1,800 people and left much of New Orleans in ruins. In the days after the hurricane struck, a narrative based on rumors emerged, in many cases blaming poor black residents and looters for the chaos and violence. But in the months and years since, the fuller picture of the aftermath involved white vigilante violence, police killings and official cover-ups.
Hurricane Katrina was a tragic chapter in the history of our city, Peter G. Strasser, the United States attorney for the Eastern District of Louisiana, said in the news release. Hopefully this plea brings some measure of finality to those directly affected by this crime and to this great city that endured so much in the days following this calamity.","In 2005, Roland J. Bourgeois Jr., 55, opened fire at three young men crossing through his neighborhood to reach an evacuation site.",2019-02-15T01:05:18Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",White Man Sentenced to 10 Years for Shooting Black Men After Hurricane Katrina,https://www.nytimes.com/2019/02/14/us/hurricane-katrina-roland-bourgeois.html,https://static01.nyt.com/images/2019/02/15/us/15xp-katrina/15xp-katrina-facebookJumbo.jpg,the-new-york-times,The New York Times,Hurricane Katrina,1
Mark Kaufman,"The tumultuous 2017 Atlantic hurricane season proved to be one of the most active years on record, with 17 named storms and six major hurricanes. But it can get quite a bit stormier than that. In a study published Wednesday in the journal Science Advances, researchers looked at hurricane seasons dating back to 1851 and found that it's quite unlikely any Atlantic hurricane season will surpass the 28 named storms and 15 hurricanes produced during the 2005 season, infamous for the deadly Hurricane Katrina that struck the Gulf Coast. SEE ALSO: A landmark climate change ruling could go up in smoke after Justice Kennedy retires ""To me, it makes sense that 2005 is about as many as you can get,"" Phil Klotzbach, an atmospheric scientist at Colorado State University who had no role in the study, said in an interview. Using sophisticated weather models, the research team ran over 6,000 simulations of a wide range of weather conditions — such as temperature, winds, and air pressure — that our present climate can produce. They found that there's less than a 3.2 percent chance that any combination of conditions might result in more than 28 storms forming in any given year, which they took to mean 28 cyclones is pretty much the Atlantic Ocean's maximum storm potential. Hurricane Katrina makes landfall in 2005. Image: nasa This could be useful information for both Atlantic nations and the Bermuda Institute of Ocean Sciences’ Risk Prediction Initiative, the natural catastrophe research group that funded the study. But, it's not really the number of storms that matters for people on the ground. ""At the end of the day, if you have 28 weak pieces of junk, no one cares,"" said Klotzbach. ""It's the Irmas people care about."" Last year, Hurricane Irma made landfall several times in the Caribbean, including leveling 95 percent of the structures on the island of Barbuda, before hitting Florida and causing severe flooding. Wind and water damage from the storm in the U.S. alone amounted to an estimated $50 billion, and, in total, Irma killed 47 people, though many more indirect deaths were reported. It could be a quiet storm year overall, said Klotzbach, but ""obviously all it takes is one or two high-profile storms to make the headlines and cause a lot of damage."" How about future storms in a changing climate? This study looked exclusively at what our present climate could produce in the Atlantic. Running sophisticated models on powerful computers has time and budget constraints, so the researchers restricted their research to the present. ""Of course, future climate is very important to consider,"" Sally Lavender, the study's lead author and researcher at Australia's Commonwealth Scientific and Industrial Research Organization's Division of Marine and Atmospheric Research, said over email. Yet, a changing climate doesn't necessarily mean more hurricanes, like it does more heat waves and wildfires. Massive Hurricane Irma passing the eastern end of Cuba on September 8, 2017. Image: nasa ""Based on work by others it is not at all clear if we could expect an increase in the numbers of tropical cyclones in the North Atlantic,"" said Lavender. Klotzbach agrees. ""Most models don’t show the number of storms increasing,"" said Klotzbach. ""In general, the number of storms is probably not going to change that much."" Still, future storms may carry more water, noted Klotzbach, or they may bring stronger winds, said Lavender. There's also strong evidence that storms are slowing down, which would mean considerably more flooding and destruction over the unlucky regions the storms stall over. Even so, Klotzbach emphasized that we might as well focus on preparing for what could happen today. In the 1940s, for example, five Category 4 and 5 storms (the highest rated storms) pummeled Florida over the course of six years. And with coastal development and massive population increases since then, we're not prepared to deal with that sort of storm onslaught, said Klotzbach. ""We’re not prepared for what we have now,"" he said. ""When Category 5's start hitting Florida again, it's going to be bad.""","The tumultuous 2017 Atlantic hurricane season proved to be one of the most active years on record, with 17 named storms and six major hurricanes. But it can get quite a bit stormier than that. In a study published Wednesday in the journal Science Advances, re…",2018-08-22T18:01:00Z,"{'id': 'mashable', 'name': 'Mashable'}",We may never see a hurricane season worse than the one that brought us Katrina,https://mashable.com/2018/08/22/number-of-hurricanes-atlantic/,https://i.amz.mshcdn.com/jJQkPao372m7zwbh_sd0yy4HK5M=/1200x630/2018%2F08%2F22%2Fe5%2F2d98154d8a4549b1be74b8113538d7a7.5b219.jpg,mashable,Mashable,Hurricane Katrina,1
Andrew Freedman,"A disastrous hurricane season combined with wildfires and other extreme weather events inflicted a record-setting toll on the U.S. in 2017, with 16 billion-dollar weather and climate events costing a total of $306 billion in damage. These events caused 362 direct deaths. These figures come from a new report from the National Oceanic and Atmospheric Administration (NOAA), released on Monday morning. The previous costliest year for the U.S. was 2005, when losses totaled $215 billion, largely due to the three major hurricane strikes of Hurricanes Katrina, Rita, and Wilma. SEE ALSO: Disastrous 2017 Atlantic hurricane season ends, with hard-hit areas still reeling The number of billion-dollar events tied 2011 for the most such disasters in a single year. The Western wildfire season alone, which scorched California in particular, cost at least $18 billion, NOAA said, tripling the previous record annual wildfire cost. Hurricane Harvey, which caused the most extreme rainstorm ever observed in the U.S., had total costs of $125 billion, just behind Hurricane Katrina in the 38-year period of record for billion-dollar disasters. Insurance companies are still tallying the damage for some of these events, so these costs may yet rise further. Hurricanes Maria and Irma had total costs of $90 billion and $50 billion, respectively, and Hurricane Maria, which demolished Puerto Rico's power grid, ranks as the third-costliest weather and climate disaster on record for the nation. The spike in costs for 2017 isn't directly tied to global warming, but numerous recent studies have found that extreme heat, wildfire, and rainfall events are becoming more likely and more severe due to climate change. This could, in turn, make such disasters more expensive, depending on how vulnerable the impacted areas. In deluging Houston with up to 60 inches of rain in just a few days time, Hurricane Harvey, for example, hit one of the most flood-prone metro areas in the U.S., where rampant urban development did not take into account the threat of heavy rainfall. Third-warmest year for the U.S. The NOAA report also found that 2017 was the third-warmest year on record for the lower 48 states, with an average annual temperature that was 2.6 degrees Fahrenheit above the 20th Century average. This was slightly cooler than 2012 and 2016, but it marks the 21st straight warmer-than-average year for the country. In other words, if you were born in the U.S. in 1997 and remained here since, you've never experienced a cooler-than-average year in the U.S. In fact, the globe has not experienced a cooler-than-average month since December of 1984. Strikingly, the five warmest years on record for the contiguous U.S. have all occurred since 2006, NOAA found. This year, every state across the lower 48 and Alaska had an above-average annual temperature, and five states — Arizona, Georgia, New Mexico, North Carolina, and South Carolina — had their warmest year on record. Thirty-two additional states, including Alaska, had a top-10 warmest year. One way that NOAA measures extreme weather is via the Climate Extremes Index, which takes into account temperatures, precipitation, tropical storms and hurricanes, and other factors. In 2017 it had the second-highest value in the 108-year period of record, which was more than double the average. Only 2012 had a higher value on this index, NOAA said. Extremes in warm maximum and minimum temperatures, one-day precipitation totals, days with precipitation and landfalling tropical cyclones contributed to the elevated extremes index, NOAA found. According to NOAA, during the past 38 years, the U.S. has sustained 219 weather and climate disasters where the overall damage costs reached or exceeded $1 billion. The cumulative costs for these 219 events exceed $1.5 trillion.","A disastrous hurricane season combined with wildfires and other extreme weather events inflicted a record-setting toll on the U.S. in 2017, with 16 billion-dollar weather and climate events costing a total of $306 billion in damage. These events caused 362 di…",2018-01-08T15:57:40Z,"{'id': 'mashable', 'name': 'Mashable'}",Weather and climate disasters cost the U.S. a record $306 billion in 2017,http://mashable.com/2018/01/08/2017-record-year-billion-dollar-disasters-third-warmest/,https://i.amz.mshcdn.com/9Bd5P2i9U988cKNWHddNG7MNTRY=/1200x630/2018%2F01%2F08%2F22%2F2bcdcb78a4474d06bbd63d35dfde6836.bd3d5.png,mashable,Mashable,Hurricane Katrina,1
