author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
Eric Niiler,"The record-setting floods deluging the Midwest are about to get a lot worse. Fueled by rapidly melting snowpack and a forecast of more rainstorms in the next few weeks, federal officials warn that 200 million people in 25 states face a risk through May. Floodwaters coursing through Nebraska have already forced tens of thousands of people to flee and have caused $1.3 billion in damage.
The National Oceanic and Atmospheric Administration issued its spring flood outlook Thursday, predicting that two-thirds of the country is at risk of ""major to moderate flooding,"" from Fargo, North Dakota on the Red River of the North down to Nashville, Tennessee, on the Cumberland River. The floods from the past two weeks have compromised 200 miles of levees in Nebraska, Iowa, Missouri, and Kansas, according to the US Army Corps of Engineers.
The rains and floods are expected to continue through May and become more dire, according to Ed Clark, director of NOAAs National Water Center in Tuscaloosa, Alabama. This is shaping up to be a potentially unprecedented flood season, Clark said, with more than 200 million people at risk for flooding in their communities.
A combination of heavy snowfall in late February, tropical rains and wet snow from the bomb cyclone that swept across the country a week ago and frozen or saturated ground surfaces have set the stage for the floods. Ice jams on top of frozen waterways are adding to the problem by diverting floodwaters out of river channels and sending them onto land. Its not looking like we are going to see any dry stretches anytime soon, says Thomas Graziano, director of the water prediction center at the National Weather Service.
Officials say the entire Mississippi River basin has received 3 times as much rainfall as in a normal year.
And it's not done falling yet. More rainstorms are expected to hit the Midwest over the next eight to 10 days. That precipitation will be like water running over concrete, Graziano says. Graziano says he expects this years flood levels to top the disastrous floods that hit the Missouri River in May 2011 and the Red River in North Dakota and Minnesota in 2009.
This winters big snowpack is fueling the floods. In the eastern Dakotas and Minnesota, more than 20 inches of snow remains on the ground. The Missouri, Ohio and Mississippi Rivers drain the central United States, but it takes several weeks for the water to travel downstream. In the meantime, emergency officials are warning local residents to make an evacuation plan as well as purchase flood insurance in certain areas.
Climate scientists say it's too early to tell exactly to what degree human-induced climate change has affected this spring flood cycle, but they note that the watery disaster is following a pattern of extreme weather events across the United States. There's about 10 percent more moisture available in the environment as a result of global climate change, says Kevin Trenberth, a senior scientist at the National Center for Atmospheric Research in Boulder, Colorado.
Under the right conditions, that extra moisture can be amplified into 30 percent more rainfall during an extreme weather event such as a hurricane, bomb cyclone or the series of storms that has hit the Midwest, Trenberth explains.
""The extra fuel from global warming is what keeps [a storm] going,"" he says. ""And it's what turns it from a billion-dollar disaster to a $10 to $50 billion disaster.""
More Great WIRED Stories","The intense snow and rainfall and of the last several weeks have saturated the ground and rivers, leaving little room for yet more upcoming rain.",2019-03-22T12:00:00Z,"{'id': 'wired', 'name': 'Wired'}","Those Midwestern Floods Are Expected to Get Much, Much Worse",https://www.wired.com/story/those-midwestern-floods-are-expected-to-get-much-much-worse/,https://media.wired.com/photos/5c942d99f14e4c4f224ef74c/191:100/pass/midwestflood-1137166344.jpg,wired,Wired,River floods,1
Adam Rogers,"Our in-house Know-It-Alls answer
questions about your interactions with science and technology.
Q: What is an atmospheric river?
A: Join me in song.*
three-four!
Dont know why its raining this wayAll this water and skies are so grayPack an umbrella; wear some Gore-TexYou havent seen the worst of it yetI wanna knoooooow you wont tell meThis rains gonna stay
Atmospheric river, drops on us the waterAtmospheric river, pours even more waterWashing us down, washing us down
Has this song been stuck in the heads of every Californian for a month? Kind of. But they know the drill. Atmospheric rivers, the so-called Pineapple Express, are a feature of almost every coastline in the worldcausing half the extreme wind events and dropping more than half of the water those coasts see in rainfall. They can be 300 miles wide and 1,000 miles long, and even though just 2.8 percent of the rainfall hours in California between 2004 and 2010 were atmospheric river hours, they dropped 60 percent of the states rain.
More hyperbolic stats? Sure, we got em. More snow in a day than Boston got all winter. More rain in eight hours in Palm Springs than in the previous eight months. San Jose breaks a century-old rainfall record. Sonoma County got 20 inches of rain in two days (and yes, there were floods). Half of Californias water supply is now frozen as snow in the Sierras (thats good; its literally cold storage).
I dont know why youre raining so hardAll this wind makes you a blowhardYouve dropped an ocean, a flood, a delugeA lot of water that, sure, we can useI wanna knoooooow you wont tell meThis rains gonna stay
Atmospheric river, drops on us the waterAtmospheric river, pours even more waterWashing us down, washing us
What causes them? The river part isnt just a metaphor; warm, moisture-laden air in the tropospherefrom the ground to between 6 to 12 miles up over the tropics blows eastward. The flow eventually hits mountains (in this case, the Sierras) that deflect it upward, where the air cools offand drops all that moisture. The key number is called Integrated Vapor Transport: the amount of water getting pushed. According to a recently devised scale, any storm that moves more than 250 kilograms of water per meter per second and lasts more than a day is an atmospheric river.
Soak me, spatter me, splash me, splatter meTill I cant, till I cant, till I cant take no moreDrop down more water, atmospheric riverRain down more water, atmospheric riverWashing us down, washing us down
I dont know why you snow and you rainWish my galoshes would fit on my brainFifty inches of rain is a slogAnd now I still have to go walk the dog
While its true that atmospheric rivers bring floods, mudslides, sinkholes, and a generalized emotional greying of the Golden State, they also are the monsoons that typically end Californias dry seasons and break the states frequent droughts. But even that upside-down might be turning into a frown. Climate change means that atmospheric rivers are getting warmer at higher altitudes, dropping rain instead of snow. Without that snowpack, the states people and agriculture dont have enough water. The rivers will flow, but the droughts wont end.
Atmospheric river, dont just drop waterAtmospheric river, we need more snowa lot-terKeep washing us down, washing us down.
*With apologies to Al Green, Mabon Lewis Hodges, Talking Heads, and music generally.
Adam Rogers is a native Californian, so this all seems pretty normal. He writes about science for WIRED.
What can we tell you? No, really, what do you want one of our in-house experts to tell you? Post your question in the comments or email the Know-It-Alls.
More Great WIRED Stories","The so-called Pineapple Express is dumping rain down all over California, for one thing. An explanation in the form of a song. (With apologies to the Talking Heads.)",2019-02-27T20:31:26Z,"{'id': 'wired', 'name': 'Wired'}",What Is an Atmospheric River?,https://www.wired.com/story/the-know-it-alls-what-is-atmospheric-river/,https://media.wired.com/photos/5c75dc83cf58fb286d37e610/191:100/pass/Atmospheric-River.png,wired,Wired,River floods,1
Patrick Allan,"Flash floods can strike with almost no warning, so it pays to be prepared. It doesn’t take much for rain to escalate from a light drizzle to a deadly emergency situation. In the event the dry land around you transforms into a raging river, these tips can keep you from being swept away. In the video above, we’ll explain how to know when a flood is coming your way. You’ll also learn the difference between a flood watch and a flood warning, and see why it’s best to avoid any water during a flash flood, even if you’re in a car. Plus, we’ll explain the importance of seeking higher ground, what to do if flood waters reach your home, and how to escape a car trapped in deep water. And if you do get knocked off your feet by the mighty force of an impromptu river—you’ll be surprised how little water it takes—you’ll learn how to float safely until you can grab something and wait for help. Flood waters may not look all that threatening on TV, especially if you’re a skilled swimmer. But… Read more Read Wherever you find yourself during a flash flood, it’s important to remember to get to higher ground, wait for the waters to subside, then make your way to safety. If you want to read more about navigating the dangers of flash floods, you can check out our survival guide here.","Flash floods can strike with almost no warning, so it pays to be prepared. It doesn’t take much for rain to escalate from a light drizzle to a deadly emergency situation. In the event the dry land around you transforms into a raging river, these tips can keep…",2018-06-11T19:00:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Here's Everything You Need to Know to Survive a Flash Flood,https://lifehacker.com/heres-everything-you-need-to-know-to-survive-a-flash-fl-1826733229,"https://i.kinja-img.com/gawker-media/image/upload/s--6pgMnfBz--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/uarymjnzizdz5mfinycx.jpg",,Lifehacker.com,River floods,1
Adam Rogers,"You can see it on satellite imagery—a chaotic blur of wind and water shaped like a giant alien starfish over Australia, extending a tentacle diagonally across the Pacific and right into the Golden Gate. It’s called an atmospheric river, over a thousand miles of water and wind. This weekend is going to be as wet as an entire typical April. On the official scale, the storm will probably top out at “strong”—it might have enough water vapor transport to rate as “extreme,” but probably won’t reach “exceptional,” the real freak-out level of flood danger. That means several inches of rain. This is how California gets most of its disastrous floods, but also most of its drinking water. It’s a crazy way to do business, but understanding these atmospheric rivers might be the key to making sure the human race doesn’t die of thirst. Atmospheric rivers come ashore on nearly every west-facing coastline on Earth. A few times a year one of them does what this weekend’s storm will do: shotguns over Hawaii and into Northern California. “It tails all the way back into the tropics, almost to the date line,” says Michael Anderson, the California State climatologist. “It’s going to come through pretty quick.” Onshore, the fast, wet air from one of these so-called Pineapple Expresses ricochets upward off the coastal mountain ranges like a tennis ball catching the top of the net. The air rises; the water falls. That’s called “orographic enhancement,” and it’s how you get massive bursts of rain and floods. Somewhere between 30 and 60 percent of California’s entire water supply comes from atmospheric river storms. And they are intense. In one study of six years of California rainfall, monitored hour-by-hour, just 1,460 hours qualified as atmospheric river storms. But that scant 2.8 percent of time accounted for over 50 percent of the rainfall the researchers measured. California hoards more than half of that rain as snowfall on the tops of the Sierras. The rest it tries to save in reservoirs—a dozen big ones and about 150 littler ones scattered up and down the state. In the rainy winter months, the reservoirs fill up—ideally—leaving space for the snowmelt to come in the summer. Ideally. During the winter, all the reservoirs stay empty enough to absorb flood waves from storms. “But on April 1, that reserve space starts being relaxed so they can capture snowmelt,” Anderson says. “With a storm this time of year, you still have that flood reserve space, so there’s room for the reservoirs to catch that water. The question will be, as that reserve space is being relaxed, can that water be kept for the conservation pool?” It’s a balance—hold onto water for a rain-free summer and possible drought, be ready to capture snowmelt, but leave enough room to store a flood wave during the storm season. Every reservoir has a rule curve that says how much water is too much. But atmospheric rivers can make it tough to know when to apply those rules. In November and December of 2012, the Lake Mendocino Reservoir absorbed water from two atmospheric river events, enough so that the water encroached into the “flood pool,” which is supposed to stay empty for emergencies. “So the reservoir operators released the water. It was the prudent thing to do,” says F. Martin Ralph, a research meteorologist at UC San Diego's Scripps Institution of Oceanography. “But nobody knew that there would be no more atmospheric rivers basically for the rest of the year, and that was the beginning of the drought. They never had a chance to refill the reservoir in the spring.” So Ralph, along with the Sonoma County Water Agency (which regulates the drinking water in Lake Mendocino), the US Army Corps of Engineers (which operates the flood prevention aspects of the reservoir), and the National Oceanic and Atmospheric Administration (which monitors the salmon fishery that’s part of the lake’s hydrology) are all working on a finer-grained system. “It’s possible that with modern weather prediction we can see with some certainty these atmospheric rivers coming a few days ahead, so hypothetically one could consider keeping some of that extra water temporarily, and every day looking at the forecast to see if there’s an atmospheric river,” Ralph says. “If there’s not, the chance of there being a flood problem is essentially zero.” The idea’s still in a planning stage; Ralph’s group is now trying these “forecast-informed reservoir operations” at Mendocino and Prado in southern California. (It's still status quo ante at other reservoirs, like Like Oroville—where the people in charge will be trying out their new spillway, rebuilt since the old one crumbled during last year's rains. But if the new approach works—and so far it seems like it may—reservoirs can keep the water for a not-rainy day. That day may be coming. Or it might not. Water in the American west was variable and unpredictable even before humans started pumping enough carbon into the atmosphere that it’d change the climate. A warmer atmosphere holds more water vapor. That by itself would strengthen atmospheric rivers. But a warmer atmosphere means warmer poles, which reduces the temperature difference between the middle of the planet and the ends. That means weaker winds and weaker ARs. “However, there’s a big asterisk on that. It’s inevitable that some storms will be just as strong in terms of wind as they are today, and they will have available to them more water vapor,” Ralph says. “There could be a class of atmospheric river storms that are a lot stronger than we’ve seen in the past.” Ralph’s ideas for managing reservoirs better might end up being a necessary adaptation to a changed climate —and not just in California. The northwestern US gets a quarter to a third of its annual rainfall from atmospheric rivers, and they cause floods there, too. Arizona’s and Idaho’s big winter floods are often due to atmospheric rivers; a few years ago one even caused major flooding in Nashville. They are the drivers of flood and drought around the world. So understanding those ocean-spanning tendrils on satellite maps may be the solution to what’s arguably going to be humanity’s most pressing problem: figuring out what to do when the rains come, and when they don’t.",An atmospheric river means this weekend is going to be as wet as an entire typical April.,2018-04-06T17:30:46Z,"{'id': 'wired', 'name': 'Wired'}",An Atmospheric River Will Hit California With a Month's Worth of Rain,https://www.wired.com/story/a-months-worth-of-rain-will-hit-california-this-weekend/,https://media.wired.com/photos/5ac6bb0b19970475a8fa4ab4/191:100/pass/sfrain_623351114208.jpg,wired,Wired,River floods,1
George Dvorsky,"From floods and rain to droughts and unseasonably warm conditions, here’s the weather that Americans can expect in the coming months. The National Oceanic and Atmospheric Atmospheric Administration (NOAA) has released its long term weather forecast for Spring 2018, the period running from April until the end of June. Importantly, NOAA’s projections are just that: projections. They’re based on probabilities churned from intense number crunching and historical data. As always, stay tune to local weather conditions for more accurate reports as the season unfolds. Temperatures are expected to be above average for the southern two-thirds of the continental United States, extending from California to the central Plains and into the Northeast. Places most likely to be warmer than usual this spring include an area extending from the southwest across Texas and into the Gulf Coast. The northern half of Alaska and Hawaii should also be warmer than usual. Only the northern rockies will see temperatures below the norm. Right now, more than a quarter of the United States is experiencing drought, including southern California, the southwest, the northern and southern High Plains, and parts of the Southeast. NOAA expects drought to continue in most of these places, and even expand by June. On the positive side, drought conditions should wane in the northern Plains and the lower Missouri Valley owing to the usual spring rains. Speaking of rain, those of you in the northern United States can expect wetter-than-average conditions this spring, from the northern High Plains through to the Great Lakes region, Ohio Valley, and into the mid-Atlantic and Northeast. Hawaii and northern Alaska are also expected to see a bit more rain than usual. Below average precipitation is expected in the west and south, including California, the south-central plains—and in Texas and areas of Oklahoma where drought conditions are in effect. Spring hasn’t arrived, but heavy rainfall has already triggered flooding in the Ohio and Mississippi River basins, and record flooding has been recorded in the lower Great Lakes region. Until the end of May, folks in the lower Mississippi Valley, the Ohio River Basin, the Illinois River Basin, and in parts of the lower Missouri River Basin, should expect moderate flooding. People living near the Columbia River and upper Missouri River Basin aren’t off the hook, either, where minor flooding is possible thanks to the heavy snowpack that built up this winter. Mike Halpert from NOAA’s Climate Prediction Center can tell you a bit more about what to expect this spring in this video. Again, stay tuned to local weather conditions, and be prepared for changing conditions. [ NOAA ]","From floods and rain to droughts and unseasonably warm conditions, here’s the weather that Americans can expect in the coming months. Read more...",2018-03-15T21:05:00Z,"{'id': None, 'name': 'Gizmodo.com'}",What Weather Is in Store for the United States This Coming Spring,https://gizmodo.com/what-weather-is-in-store-for-the-united-states-this-com-1823809188,"https://i.kinja-img.com/gawker-media/image/upload/s--gyvh5fFz--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/x72yubcyawjsygt6lyyu.jpg",,Gizmodo.com,River floods,1
"Catie Keck on Earther, shared by Catie Keck to Gizmodo","California was hit this week with a massive atmospheric river, with the state bracing for potential mudslides and flooding. By Thursday, multiple counties were reporting record rainfall amid chaotic road closures and unprecedented flash floods.
A highway in Riverside County outside of Los Angeles was completely eroded by flooding in staggering footage shared by the California Department of Transportation on Thursday. As of early Friday morning, road closures were still in effect throughout the region, and authorities cautioned drivers against attempting to drive through flooded areas.
Palm Springs also saw significant flooding, with the Palm Springs Desert Sun reporting that several people needed to be rescued after floodwaters left them stranded. According to the National Weather Service San Diego, Palm Springs was walloped by its third all-time rainfall in a 24-hour period and its wettest Valentines Day on record.
San Diego reported record moisture in the atmosphere, according to the National Weather Service, and San Diegos Palomar Observatory was hit with a historic 10 inches of downpour for its rainiest day since it began keeping a record. Road closures were reported throughout the area as the result of fallen trees and debris as well as other issues related to the storm.
Up north, a mudslide in Sausalito resulted in one home sliding down a hill and smashing into another house, the Associated Press reported, and more than four dozen properties needed to be evacuated as a result of the storm.
During the incident, a woman was reportedly buried under mud and debris for two hours while a rescue crew worked to free her. According to the Los Angeles Times, rescuers found her after noticing her hand poking out from under part of the wreckage.
Surprisingly, she was in great condition, Southern Marin Fire District Captain Doug Paterson told the Los Angeles Times. She was talking to us. She was alert. She was able to tell us exactly what had happened.
In neighboring San Francisco, the torrential downpour resulted in the cancellation or delay of hundreds of flights. According to the National Weather Service Bay Area, several flood warnings and advisories remained in effect as of early Friday morning.
[Twitter]","California was hit this week with a massive atmospheric river, with the state bracing for potential mudslides and flooding. By Thursday, multiple counties were reporting record rainfall amid chaotic road closures and unprecedented flash floods. Read more...",2019-02-15T07:35:00Z,"{'id': None, 'name': 'Gizmodo.com'}",California Battles With Intense Flash Floods and Mudslides Amid Record-Breaking Rainfall,https://earther.gizmodo.com/california-battles-with-intense-flash-floods-and-mudsli-1832642488,"https://i.kinja-img.com/gawker-media/image/upload/s--PGYsOFxZ--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/h1dz9nr183dexfsk1nek.jpg",,Gizmodo.com,River floods,1
TRIP GABRIEL,"The League of Conservation Voters is spending $60 million on races this year, twice as much as in 2014. Gene Karpinski, president of the group, said it would target up to 20 tossup House districts by seeking to motivate suburban women and independents to vote Democratic. Its ads attack Representative Mike Coffman of Colorado for voting faithfully with Mr. Trump, the worst polluter of all, and Representative Dana Rohrabacher of California, with video of him claiming global warming is a fraud. Around the country, there are exceptions to the rule that cautious candidates downplay climate change. Sean Casten, a scientist and clean-energy businessman challenging Representative Peter Roskam, Republican of Illinois, calls out Mr. Trump in an ad for labeling climate change a hoax. Mike Levin, an environmental lawyer running in coastal Southern California, launched his candidacy by pressing a book, Climate Change for Beginners on Representative Darrell Issa, a Republican, at a town hall. Mr. Issa decided to retire and Mr. Levin is in a contest with a Republican, Diane Harkey, who argues Californias aggressive pollution regulations go too far. Mr. Levin said that climate change is no longer an abstraction in California after record droughts, year-round wildfires and extreme weather have become familiar. In Florida, which is also seeing the quickening tempo of climate disruption, Representative Carlos Curbelo, whose district includes the Everglades and Florida Keys, is a rare Republican who makes climate an issue. He has introduced a House bill to tax carbon, anathema to his party. I bring up this issue even when Im not asked about it, said Mr. Curbelo. Back in North Carolina, the climate denialism of some hurricane-battered residents in the Ninth District was echoed by Mr. Harris, the Republican candidate, a former Baptist minister. He credited divine intervention, not man-made climate change, with altering the storms impact, noting that Florences winds dropped to 90 miles per hour from 140 before hitting land. I see the power of prayer and see Gods hand in that, he said.","The Cape Fear River flooded surrounding neighborhoods in North Carolina during Hurricane Florence. The environment has not been a major political issue in the 2018 midterm campaign, however.",2018-10-02T09:00:09Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Floods. Wildfires. Yet Few Candidates Are Running on Climate Change.,https://www.nytimes.com/2018/10/02/us/politics/environment-climate-elections.html,https://static01.nyt.com/images/2018/09/28/us/politics/00enviropolitics-3/00enviropolitics-3-facebookJumbo.jpg,the-new-york-times,The New York Times,River floods,1
https://www.facebook.com/bbcnews,"Image copyright Getty Images Image caption Lokoja, where the Niger and Benue rivers meet Heavy seasonal rains are a regular feature of life in Nigeria and towns close to the country's main rivers are particularly vulnerable. This year floods have killed at least 100 people with many thousands displaced, according to the National Emergency Management Agency (NEMA). A state of emergency has been declared in four of the worst-hit states: President Muhammadu Buhari has pledged $8.2m (£6.2m) for relief efforts. The NEMA has activated five local operation centres to coordinate emergency responses. Flooding regularly wreaks havoc in Nigeria: In 2017, floods affected 250,000 people in the eastern-central region In 2016, 92,000 were displaced and 38 died In 2015, more than 100,000 were displaced, with 53 deaths In 2012, devastating flooding forced two million Nigerians from their homes and 363 died, according to authorities ""Floods have become a perennial challenge with increasing intensity each year, leaving colossal losses and trauma,"" the Nigerian Meteorological Agency says. So why does Nigeria keep flooding, and is it getting worse? Affected areas Image copyright Getty Images Image caption Flooding near Kaduna River Nigeria hosts two of West Africa's great rivers: the Niger which enters the country from the north-west the Benue, which flows into Nigeria from its eastern neighbour Cameroon These two immense waterways meet in central Nigeria and then flow south as a single river on to the Atlantic Ocean. Much, though by no means all, of Nigeria's flooding occurs along these two rivers as their banks overflow in the rainy season. In 2012, hundreds of thousands of acres of land were flooded in Nigeria when the Benue and Niger over-spilled. That year, the Niger River reached a record-high level of 12.84m (42ft). In 2018, levels reached 11.06m, with fears that the heavy rain, expected to continue through October this year, could lead it to approach similar heights. There has also been extensive damage to farmlands, according ACAPS, a humanitarian data-analysis organisation, which is the mainstay of most livelihoods in the affected regions. Flooding is also caused by: the tidal movements of coastal waters, such as in the Delta region of the south-east saturated drainage systems, such as in the country's largest city, Lagos, in the south-west Are Nigeria's rains causing the floods? Heavy rainfall has certainly increased the likelihood of rivers overflowing and flash floods. And there's evidence to suggest increasing rainfall over time. Data from the Nigerian Meteorological Agency from 1981-2017, analysing 13 affected locations, reveals a rising trend in annual rainfall, which it says is likely to be a significant factor responsible for floods. But it's not just rain falling in Nigeria itself. Heavy precipitation upstream on the Benue and Niger rivers - in Cameroon, Mali and the country of Niger - contributes large volumes of water to Nigeria's river system, according to Zahrah Musa at the IHE Delft Institute for Water Education. Troublesome dams Another factor in Nigeria's flood problem are dams. Image copyright Getty Images Image caption Kainji dam Nigeria's three main electricity-generating dams, at Kainji and Jebba on the Niger river and the Shiroro dam on the Kaduna River, ""have become bloated"" by the heavy rains and excess water has had to be released downstream over the past month, says Hussaini Ibrahim, of the Niger State Emergency Management Agency (NSEMA). The uncompleted Zungeru dam, in Niger state, which is part-funded by the Chinese government, is also believed to be affecting areas once free from flooding. On the Benue River, the main concern is the Lagdo Dam, in neighbouring Cameroon, which has previously caused the river to swell by releasing water. In 2012, water flowing in from the Lagdo dam was blamed for 30 deaths in Nigeria. The Cameroonian authorities have yet to allow water to pour out from Lagdo during the current rainy season - but there are concerns in Nigeria that this might happen. Poor town planning Nigeria's population is expanding rapidly, currently estimated at 186 million, and the lack of proper town planning can make flooding worse in urban areas. ""Town planning in Nigeria is very weak,"" says Aliyu Salisu Barau, of Bayero University. ""These areas are affected by a lack of drainage networks."" The city of Lokoja, for example, at the meeting-point of Benue and Niger rivers, is particularly prone to flooding. Image copyright Getty Images Image caption A man in a town near Lokoja, a heavily flooded area ""If you go to Lokoja, you see massive developments along the Niger River,"" says Mr Barau. These developments are almost always unregulated, with people building on floodplains, reducing the surface areas for water to travel, and without constructing drainage systems. Because of the unregulated nature of town planning, there's also limited information on how much land has been built on and therefore little assessment of the impact. In the city of Makurdi, for example, on the Benue river, Mr Barau says, ""one can see all forms of informal activities"" along the river bank. New land developments along the Niger River has more than doubled in Nassarwa and Kogi States, according to estimates. The dumping of waste in the streets can also prevent the steady flow of water and put pressure on the few urban drainage systems. It's also common, after the floods, for people to come back and start rebuilding in the same vulnerable areas. Hussaini Ibrahim, of the NSEMA, also points the finger at deforestation, which he says is happening across Nigeria. It's a resource that people use for fuel or to sell - but trees play an important role in storing rain-waters. Future floods If the impact of flooding is to be reduced in the future, the consequences of rapid urbanisation and poor urban planning need to be addressed. And greater co-operation with Nigeria's neighbours in the control of river levels will need to be achieved in order to avoid dangerous surges in water levels during the periods of heavy rain. The wider issue of the increasing rainfall levels identified by the Nigerian Meteorological Agency is one that some in Nigeria have attributed to climate change.",An estimated 100 people have died in floods. Why does it keep happening?,2018-09-26T23:26:42Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Why does Nigeria keep flooding?,https://www.bbc.co.uk/news/world-africa-45599262,https://ichef.bbci.co.uk/news/1024/branded_news/74DF/production/_103591992_gettyimages-1033290230.jpg,bbc-news,BBC News,River floods,1
HENRY FOUNTAIN,"About three-quarters of the land at Dos Rios was owned by a dairy farmer who was tired of dealing with flooding and sold it in 2012 to River Partners, with various state and federal agencies financing the $21.8 million cost. An adjacent farmer then sold his land to the group in 2014 for $9.3 million. The result is 2,100 acres, including three miles of frontage along the Tuolumne River and four and a half along the San Joaquin. River Partners is removing berms along the riverfront that the owners formed from earth and rubble to keep the smallest floods out. A higher, more permanent levee, built by the United States Army Corps of Engineers in the 1950s, protects about 1,000 acres in the core of the project, back from the rivers. Modifications will allow water to enter, so the area will serve as a giant bathtub, holding up to 10,000 acre-feet of floodwater. This will not only reduce river levels, but as the water percolates into the land it should provide another benefit, helping to recharge aquifers that have been depleted statewide because of pumping for agriculture. About 600 acres inside the levee have been converted from farmland to riparian woodlands, and another 700 acres inside and outside the levee are in the process of being restored. The entire project should be finished by the middle of next decade, Mr. Carlon said. River Partners plants many species — trees like cottonwood and black willow, shrubs like golden currant and valley elderberry and a variety of grasses — all of which can recover after being underwater for months. The planting, much of which is done by young workers with the state-run California Conservation Corps, is done with all the precision of modern agriculture. A field about to be restored looks much like any cropland, with furrows and markings where the various young plants are to be placed, all determined ahead of time.",The state expects drier dry years and wetter wet ones in the decades ahead. That means projects to restore river habitats now serve another purpose: battling the coming floods.,2018-07-15T10:00:04Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",California Is Preparing for Extreme Weather. It’s Time to Plant Some Trees.,https://www.nytimes.com/2018/07/15/climate/california-is-preparing-for-extreme-weather-its-time-to-plant-some-trees.html,https://static01.nyt.com/images/2018/07/02/climate/xxcli-floodplain-conservationcorps/xxcli-floodplain-conservationcorps-facebookJumbo.jpg,the-new-york-times,The New York Times,River floods,1
Nick Douglas,"Let’s just straight-up steal the epigraph from the TV Tropes page for New Orleans, taken from journalist A. J. Liebling’s book The Earl of Louisiana : New Orleans resembles Genoa or Marseilles, or Beirut or the Egyptian Alexandria, more than it does New York.... New Orleans is within the orbit of a Hellenistic world that never touched the North Atlantic.﻿ Also, you can drink alcohol outside with a plastic cup. Each Monday on Hack Your City, we ask readers for your best tips on a city: driving tips, restaurant recs, things to do, and any other advice for visitors and locals. Then on Thursday, we present the best comments. We’re working our way around the U.S. and around the globe. That TV Tropes page has a couple of tips: Don’t try to fake the regional pronunciation “Nawlins,” and expect to get travel directions that refer to the curve of the Mississippi River cutting through the city, not to the cardinal directions. As Wikitravel puts it, the four directions in New Orleans are up, down, river, and lake. New Orleans residents and visitors, what are your tips? What’s good and bad in the city, what should a tourist do, and what should a permanent resident do? What’s key to a good time during Mardi Gras, and what’s the best time to visit in the off-season? How do you handle floods, and how do you handle hurricane season? What’s the dumbest thing a visitor could do? What’s the smartest? What local laws and customs should people know about? What do you wish someone had told you when you first showed up? If you’ve lived there all your life, what have you learned from that? We’ll highlight the best tips in the comment section, then feature some of them in a new post on Thursday.","Let’s just straight-up steal the epigraph from the TV Tropes page for New Orleans, taken from journalist A. J. Liebling’s book The Earl of Louisiana : Read more...",2018-02-12T14:00:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Tell Us Your New Orleans Tips,https://lifehacker.com/tell-us-your-new-orleans-tips-1822884394,"https://i.kinja-img.com/gawker-media/image/upload/s--y6MgpUIC--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/ziwgilimlqrx9q8ialn3.jpg",,Lifehacker.com,River floods,1
