author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
Ron Miller,"Adobe announced a record quarter yesterday with $2.01 billion in revenue for Q42017. That represents a healthy 25 percent year over year increase for the company, but about half of that continues to come from Creative Cloud. Experience Cloud, which includes Adobe Marketing Cloud, Adobe Analytics Cloud and Adobe Advertising Cloud in many ways represents promise for even greater revenue in the future. Creative Cloud, which includes popular tools like PhotoShop and InDesign, took in $1.16 billion for the quarter as it continues to be the chief revenue cash cow for the company. That’s not to say the other parts of the company did poorly, but it has to be troubling to Adobe that Creative Cloud represents so much of its revenue with so many enterprise products in other categories. Last quarter CEO Shantanu Narayen was not happy with the Experience Cloud’s overall performance. Narayan actually called it out in the Q3 Earnings Call saying, “Despite this success with global enterprise customers, we were disappointed with our Experience Cloud bookings in Q3 but remain confident in our ability to execute against this large opportunity,” he said. He’s right. In many ways, the Experience Cloud set of products represents a much bigger potential opportunity than even Creative Cloud, as it is aimed at a much more lucrative enterprise market. While the Experience Cloud generated record revenue of its own in Q4 with $535 million reported, an 18 percent year over year increase, you can’t help but notice that it represents about half the amount of quarterly revenue the Creative Cloud division brought in. While Narayan has to be happy to see the growth after calling the division out last quarter, he has to know that there is still a substantial untapped opportunity in Experience Cloud that could be much larger than half a billion dollars. Adobe is the 11th biggest software company in the world, according to the list compiled by PWC. Yet it has the potential to be so much bigger if Experience Cloud could begin generating a similar amount of revenue that the company garners from the Creative Cloud. In spite of the record quarter, the stock price was down.60 cents this morning as of this writing. Featured Image: Adobe","Adobe announced a record quarter yesterday with $2.01 billion in revenue for Q42017. That represents a healthy 25 percent year over year increase for the company, but about half of that continues to come from Creative Cloud. Experience Cloud, which includes A…",2017-12-15T15:41:03Z,"{'id': 'techcrunch', 'name': 'TechCrunch'}","Adobe had a record quarter, but still has substantial untapped potential",https://techcrunch.com/2017/12/15/adobe-had-a-record-quarter-but-still-has-substantial-untapped-potential/,https://tctechcrunch2011.files.wordpress.com/2017/12/adobe-headquarters.jpg,techcrunch,TechCrunch,cloud,1
Patrick Lucas Austin,"Got an email address? Use a computer? Is that a smartphone in your pocket? Then you need to get yourself some cloud storage. Having an always-accessible repository of your most important photos and files makes sharing files with friends less of a hassle and grants you peace of mind. With options from every major tech company, you might find yourself drawn to one or another based on the tech you use on a daily basis and what each service offers. Each option offers both desktop apps and at least one mobile app, and all will automatically upload your photos for safe keeping. Some come bundled with office suites while others are able to function as a primitive backup solution for the lazy. Whatever your preference, here are the cloud storage services you should consider before your computer’s hard disk decides to kick the bucket. Google Drive Platform: PC, Mac, iOS, Android, Web Starting price per month: $1.99 (100GB) Storage Options: 100GB, 1TB, 10TB, 20TB, 30TB Google Drive is my personal choice for cloud storage thanks to the ecosystem in which it exists. In fairness, I also rely on Gmail, but every other aspect of Google Drive is appealing no matter who your email provider is. Every Google account comes standard with 15GB of cloud storage spread across all your Google services (think Gmail file attachments, full-resolution videos and images in Google Photos, and files stored in Google Drive). Google Drive also works across nearly every platform (Linux users can use the third-party Insync app to get Google Drive on their desktop), and offers syncing options that surpass its competition. You can use Google Drive offline to edit your Google Docs, Sheets, and Slides by installing the Google Docs offline Chrome extension or by syncing your Docs, Sheets, Slides, and Drawing files in your Google Drive settings page. Its web interface is good enough for some basic file management and sharing with other users, but if you’re dealing with lots of large files (like full-resolution images) you might notice a slowdown in your browser. On the desktop, Google’s Backup &amp; Sync app for PC or Mac can back up particular folders on your own machine, no matter where it is on your hard drive. That means you won’t have to drag and drop your folder of family photos or your repository of GIFs into your computer’s Google Drive folder to keep them synced and secure. You can simply pick and choose which folders and files to keep synced and available in the cloud. You can squeeze a few more megabytes of storage out of your plan by changing how you store certain items. Items in Google’s office suite (Docs, Sheets, Slides, Forms, Sites), along with files shared with you by someone else, do not count against your storage limit. Photos stored as “High Quality” images in Google Photos are also exempt from your storage cap, though images larger than 16MP will be resized to 16MP, and high resolution videos will be converted to 1080p videos. If you care about fidelity, store your photos and videos in “Original Quality” mode (and get ready to buy more storage). That space-saving image storage feature might make 15GB just enough storage for you to use it for free without worry. Microsoft OneDrive Platform: PC, Mac, iOS, Android, Web Starting price per month: $1.99/5GB Storage Options: 5GB, 50GB, 1TB Microsoft OneDrive is perfect for Windows 10 users, or at least people who swear by Microsoft Office. For starters, every Premium OneDrive subscription (starting at $6.99 per month) comes bundled with an Office 365 subscription and 1TB of storage, allowing for collaboration with other Office 365 users. OneDrive’s web interface is similar to the Google Drive web layout, albeit a bit cleaner. You can automatically upload photos taken on your iOS or Android device (though OneDrive will not upload iOS photos when they are optimized for iCloud). While you can sign up for a free 5GB plan or pay $1.99 per month for a 50GB storage plan, neither includes the very capable Office 365, and Google’s 15GB of free storage is triple Microsoft’s free offering. Might as well pay the $6.99 per month for 1TB of cloud storage and an Office 365 subscription. Apple iCloud Drive Platform: PC, Mac, iOS, Web Starting price per month: $0.99/50GB Storage Options: 50GB, 200GB, 2TB Apple’s iCloud Drive is, of course, the company’s cloud storage option aimed at macOS and iOS users. Much like every other cloud storage option, apps for PC and Mac are available, although Android users are out of luck (unless they want to manage their iCloud Drive storage through a web browser, I guess). Mac users, hello! Let’s argue about which side of your screen is best for your dock. (PC users,… Read more Read You’ll probably be storing mostly photos taken with your iOS device. If that’s the case, first consider Apple’s My Photo Stream, which syncs up to 1000 images taken over the last 30 days across your iCloud-connected devices, and does not count against your standard (and pitifully small) 5GB storage cap. It’s perfect for those who don’t take many photos, or use another cloud storage service. Most iOS users should sign up for the 50GB storage plan. At a buck a month, it’s worth the cost of admission to easily store the entirety of your photo library using iCloud Photo Library (which stores all photos instead of the last month’s worth) without worrying about their expiration date. Upgrading your storage lets you store even more files and photos, and if you sign up for the 200GB or 2TB plan you can share the extra storage with family members part of your Family Sharing feature, which lets you share apps, music, iCloud storage, and location with up to six people in your household. You can snag 2TB for $9.99 per month, undercutting Google Drive’s 1TB offering for the same price. On your iOS device, you can get to your stored iCloud files in the Files app, which lets you manage both your iCloud Drive files as well as files stored in other cloud storage services (like Google Drive or OneDrive), or locally on your iOS device. At WWDC 2017 Apple announced iOS 11, and with it a slew of space-saving features for smaller… Read more Read So, which one do you get? For most users, no matter their device, the platform-agnostic Google Drive is the option I recommend. It’s bundled with a suite of free productivity tools, offers the most storage at no cost, and lets you sync files stored in places besides your Google Drive folder. If you’re a fan of Apple devices of all sorts, and don’t rely on Google for anything more than its search functionality, iCloud Drive is the way to go. Windows users, whether relying on iOS or Android devices on the go, should turn to OneDrive for its seamless integration with Windows 10, along with its willingness to play nice with other competing platforms like iOS and Android, unlike Apple’s iCloud Drive.",Got an email address? Use a computer? Is that a smartphone in your pocket? Then you need to get yourself some cloud storage. Having an always-accessible repository of your most important photos and files makes sharing files with friends less of a hassle and g…,2018-02-06T18:30:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Which Cloud Storage Service Should You Use?,https://lifehacker.com/which-cloud-storage-service-should-you-use-1822761662,"https://i.kinja-img.com/gawker-media/image/upload/s--XFqD5huJ--/c_fill,fl_progressive,g_center,h_450,q_80,w_800/aq86dojk2rjjxej62or6.jpg",,Lifehacker.com,cloud,1
Frederic Lardinois,"Cloud Foundry, the open source platform-as-a-service project that more than half of the Fortune 500 companies use to help them build, test and deploy their applications, launched well before Kubernetes existed. Because of this, the team ended up building Diego, its own container management service. Unsurprisingly, given the popularity of Kubernetes, which has become somewhat of the de facto standard for container orchestration, a number of companies in the Cloud Foundry ecosystem starting looking into how they could use Kubernetes to replace Diego.
The result of this is Project Eirini, which was first proposed by IBM. As the Cloud Foundry Foundation announced today, Project Eirini now passes the core functional tests the team runs to validate the software releases of its application runtime, the core Cloud Foundry service that deploys and manages applications (if that’s a bit confusing, don’t even think about the fact that there’s also a Cloud Foundry Container Runtime, which already uses Kubernetes, but which is mostly meant to give enterprise a single platform for running their own applications and pre-built containers from third-party vendors).
“That’s a pretty big milestone,” Cloud Foundry Foundation CTO Chip Childers told me. “The project team now gets to shift to a mode where they’re focused on hardening the solution and making it a bit more production-ready. But at this point, early adopters are also starting to deploy that [new] architecture.”
Childers stressed that while the project was incubated by IBM, which has been a long-time backer of overall Cloud Foundry project, Google, Pivotal and others are now also contributing and have dedicated full-time engineers working on the project. In addition, SUSE, SAP and IBM are also active in developing Eirini.
Eirini started out as an incubation project, and while few doubted that this would be a successful project, there was a bit of confusion around how Cloud Foundry would move forward now that it essentially had two container engines for running its core service. At the time, there was even some concern that the project could fork. “I pushed back at the time and said: no, this is the natural exploration process that open source communities need to go through,” Childers said. “What we’re seeing now is that with Pivotal and Google stepping in, that’s a very clear sign that this is going to be the go-forward architecture for the future of the Cloud Foundry Application Runtime.”
A few months ago, by the way, Kubernetes was still missing a few crucial pieces the Cloud Foundry ecosystem needed to make this move. Childers specifically noted that Windows support — something the project’s enterprise users really need — was still problematic and lacked some important features. In recent releases, though, the Kubernetes team fixed most of these issues and improved its Windows support, rendering those issues moot.
What does all of this mean for Diego? Childers noted that the community isn’t at a point where it’ll hold developing that tool. At some point, though, it seems likely that the community will decide that it’s time to start the transition period and make the move to Kubernetes official.
It’s worth noting that IBM today announced its own preview of Eirini in its Cloud Foundry Enterprise Environment and that the latest version of SUSE’s Cloud Foundry-based Application Platform includes a similar preview as well.
In addition, the Cloud Foundry Foundation, which is hosting its semi-annual developer conference in Philadelphia this week, also announced that it has certified its first to systems integrators, Accenture and HCL, as part of its recently launched certification program for companies that work in the Cloud Foundry ecosystem and have at least ten certified developers on their teams.","Cloud Foundry, the open source platform-as-a-service project that more than half of the Fortune 500 companies use to help them build, test and deploy their applications, launched well before Kubernetes existed. Because of this, the team ended up building Dieg…",2019-04-02T13:00:38Z,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Cloud Foundry ❤ Kubernetes,http://techcrunch.com/2019/04/02/cloud-foundry-kubernetes/,https://techcrunch.com/wp-content/uploads/2019/04/img_20180420_113201.jpg?w=644,techcrunch,TechCrunch,cloud,1
Devindra Hardawar,"While early attempts at game streaming have crashed and burned, like OnLive, it's still an intriguing market. Sony's PlayStation Now service is still alive and kicking on the PS4 and PC, and NVIDIA is doubling down on game streaming with GeForce Now. The latter is still just a beta test though -- even the graphics card giant hasn't figured out how to charge for high-end game streaming. Microsoft isn't saying much about what the new gaming cloud division is working on yet, but its leader, Kareem Choudhry, hints that they're exploring ways to bring content to gamers on any device.","With little fanfare, Microsoft has announced that it's launching a new gaming cloud division, a move that would set the company up to enter the world of game streaming. As The Verge reports, it's something Microsoft been building up for a while with the acqui…",2018-03-15T14:16:00Z,"{'id': 'engadget', 'name': 'Engadget'}",Microsoft forms a new gaming cloud division,https://www.engadget.com/2018/03/15/microsoft-unveils-a-new-gaming-cloud-division/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fs.aolcdn.com%2Fhss%2Fstorage%2Fmidas%2F88f98eca05b4d7e4294c35bf092b93ff%2F206217000%2FXbox%2BOne%2BX%2Breview%2Bgallery%2B11.jpg&client=cbc79c14efcebee57402&signature=cdb7c92f47e61eafec604c1f3546e96d6eb2cb34,engadget,Engadget,cloud,1
David Murphy,"Google launched its new “Google One” cloud storage plans back in May and started rolling its paid storage customers over to the new service. Today, Google is opening up Google One for new customers. Here’s what you get and how Google’s new cloud storage offerings stack up against the competition. This post was originally published in May 2018 and was updated with new information about Google One in August 2018. Google One: Way better than older Google Drive storage plans Let’s talk storage. Here’s how Google One changes up what the company previously offered for Google Drive: 15GB: Still free. Keep going crazy. 100GB: $2/mo 200GB: $3/mo ( new! ) 1TB: $10/mo ( gone! ) 2TB: $20/mo $10/mo 10TB: $100/mo 20TB: $200/mo 30TB: $300/mo In addition to that, Google One subscribers can share their storage allotment with up to five family members—or roommates, if you want to go that route, so long as one person doesn’t mind being responsible for the bill. (And, no, the account owner won’t be able to see or access files that “family” members store on the cloud). Google One subscribers also get access to dedicated customer service from Google, which they can call up and pepper with questions about any Google service they’re struggling with. If you’re the tech resource for members of your family, spending $24 a year to give them the cheapest Google One plan—and someone else to bother with questions about their Gmail accounts—might be worth it. On top of that, Google is also dropping in special “perks” for Google One subscribers—whether you’re a $2/month customer or $300/month customer—that include hotel discounts and Google Play credits. Google representatives said that Google One customers will enjoy more more perks going forward, but didn’t have specifics to share. Google One versus everyone else Google’s tweaks drop the price of its 2TB plan to the former price of its 1TB plan—effectively doubling your storage for free, especially since the 1TB plan is now gone. Google’s new $3-for-200GB plan is actually a slightly better deal, on a dollar-per-gigabyte basis, than its $2-for-100GB plan, but its $10-for-2TB plan now has the best price-to-storage ratio of all. And here’s how Google One stacks up against the competition— Amazon, Apple, Box, Dropbox, Mega, and OneDrive / Office 365 : Free 😐Amazon: 5GB 😐Apple: 5GB 🔥Box: 10GB (250MB limit on all individual files) ❌Dropbox: 2GB 🔥Google: 15GB 🤔Mega: 50GB (1GB transfer limit for every six hours) 😐OneDrive: 5GB Winner: Google (transfer limits are annoying) Best plan &lt;$5 monthly 😐Amazon: 100GB for $1/mo 🔥Apple: 200GB for $3/mo ❌Box: DNE ❌Dropbox: DNE 🔥Google: 200GB ($3/mo) ❌Mega: DNE (200GB for 5€/mo, so your final price in USD, as of when we wrote this, is just around $6/mo) ❌OneDrive: 50GB ($2/mo) Winner: Apple or Google (tie) Best plan &lt;$10 monthly 🔥Amazon: 2TB for $10/mo 🔥Apple: 2TB for $10/mo ❌Box: 100GB for $10/mo ❌Dropbox: 1TB for $10/mo 🔥Google: 2TB for $10/mo ❌Mega: 200GB for 5€/mo (around $6/mo) 😐OneDrive/Office 365: 1TB for $7/mo Winner: Amazon, Apple, or Google (tie) Best plan &lt;$20 monthly 🔥Amazon: 4TB for $20/mo 🔥Apple: 2TB for $10/mo ❌Box: 100GB for $10/mo 😐Dropbox: 2TB for $16.50/mo 🔥Google: 2TB for $10/mo ❌Mega: 1TB 10€/mo (around $12/mo, and a 4TB plan is around $22/mo) 😐OneDrive/Office 365: 1TB for $7/mo Winner: Amazon (with Apple and Google a close second)","Google launched its new “Google One” cloud storage plans back in May and started rolling its paid storage customers over to the new service. Today, Google is opening up Google One for new customers. Here’s what you get and how Google’s new cloud storage offer…",2018-08-15T17:39:00Z,"{'id': None, 'name': 'Lifehacker.com'}","Google One Is Now Open for Everyone, But Is It a Good Deal?",https://lifehacker.com/google-one-is-now-open-for-everyone-but-is-it-a-good-d-1826049257,"https://i.kinja-img.com/gawker-media/image/upload/s--cNbMqYC8--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/u0fexuikon5zqckgtdwm.jpg",,Lifehacker.com,cloud,1
Ron Miller,"It was a stormy Monday for cloud stocks today with the general trend pointing way down. Okta stock took the biggest beating, down over 15 percent to $48.67 and even mighty Salesforce had its worst day since 2016, according to CNBC, down 8.7 percent to $121.01. Wall Street was apparently disenchanted with just about every cloud company, large and small and in between. Nobody it seemed was spared investor’s wrath. Box was down 6.93 percent to $16.66 Workday was down 7.57 percent to $124.07 Twilio was down 13.76 percent to $76.90 Amazon (which of course includes AWS) was down 5.09 percent to $1,512.29 That’s just a smattering of the cloud stocks, and it didn’t take any cherry picking to give you the idea. It was a bad day, but there really is no rhyme or reason for this drubbing. The cloud is in high growth mode. Amazon just reported cloud revenue accounted for $6.68 billion up 46 percent in its most recent earnings report. That’s a run rate of almost $25 billion just for the cloud business. Salesforce? In August, it reported $3.28 billion for the quarter. That’s 27% year-over-year and puts them on a run rate of over $13 billion. It wasn’t that long ago the company stormed through a $10 billion revenue goal and set its sights on 20. As for Okta, it’s reporting in a couple of weeks, but in its most recent report, it announced $94.6 million, which accounted for 57% year-over-year growth with subscription revenue growing 59% year-over-year. None of these sound like companies in trouble, do they? John Dinsdale, chief analyst and research director at Synergy Research, a firm that tracks cloud market share said it was a case of today’s short-term snapshot of the market simply not matching the forecasted growth of the cloud in the coming years. “Well, there is logic and then there is the stock market; and often the two have little in common,” Dinsdale told TechCrunch. “In terms of ongoing market growth and future prospects, absolutely nothing has changed. The market forecasts remain extremely healthy. Indeed, if anything our next forecast update will likely result in us nudging up our forecast growth rates a little,” he said. In general, the cloud market continues to grow, according to Synergy’s latest reports (which is inline with other market projections). “The Q3 growth rate of 45% compares with a full-year 2017 growth rate of 44% and a 2016 growth rate of 50%. Public IaaS and PaaS services account for the bulk of the market and those grew by 51% in Q3,” Synergy wrote in their October 25th report. Perhaps this is just a case of one bad day as the stock market continues its overall volatility of the last couple of months, but whatever the reasons, cloud stocks really took it on the chin today.","It was a stormy Monday for cloud stocks today with the general trend pointing way down. Okta stock took the biggest beating, down over 15 percent to $48.67 and even mighty Salesforce had its worst day since 2016, according to CNBC, down 8.7 percent to $121.01…",2018-11-19T23:05:10Z,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Cloud stocks take a beating,http://techcrunch.com/2018/11/19/cloud-stocks-take-a-beating/,https://techcrunch.com/wp-content/uploads/2018/11/GettyImages-57422133.jpg?w=600,techcrunch,TechCrunch,cloud,1
Frederic Lardinois,"Last July, at its Cloud Next conference, Google announced the Cloud Services Platform, its first real foray into bringing its own cloud services into the enterprise data center as a managed service. Today, the Cloud Services Platform (CSP) is launching into beta.
It’s important to note that the CSP isn’t — at least for the time being — Google’s way of bringing all of its cloud-based developer services to the on-premises data center. In other words, this is a very different project from something like Microsoft’s Azure Stack. Instead, the focus is on the Google Kubernetes Engine, which allows enterprises to then run their applications in both their own data centers and on virtually any cloud platform that supports containers.As Google Cloud engineering director Chen Goldberg told me, the idea here it to help enterprises innovate and modernize. “Clearly, everybody is very excited about cloud computing, on-demand compute and managed services, but customers have recognized that the move is not that easy,” she said and noted that the vast majority of enterprises are adopting a hybrid approach. And while containers are obviously still a very new technology, she feels good about this bet on the technology because most enterprises are already adopting containers and Kubernetes — and they are doing so at exactly the same time as they are adopting cloud and especially hybrid clouds.
It’s important to note that CSP is a managed platform. Google handles all of the heavy lifting like upgrades and security patches. And for enterprises that need an easy way to install some of the most popular applications, the platform also supports Kubernetes applications from the GCP Marketplace.
As for the tech itself, Goldberg stressed that this isn’t just about Kubernetes. The service also uses Istio, for example, the increasingly popular service mesh that makes it easier for enterprises to secure and control the flow of traffic and API calls between its applications.
With today’s release, Google is also launching its new CSP Config Management tool to help users create multi-cluster policies and set up and enforce access controls, resource quotas and more. CSP also integrates with Google’s Stackdriver Monitoring service and continuous delivery platforms.
“On-prem is not easy,” Goldberg said, and given that this is the first time the company is really supporting software in a data center that is not its own, that’s probably an understatement. But Google also decided that it didn’t want to force users into a specific set of hardware specifications like Azure Stack does, for example. Instead, CSP sits on top of VMware’s vSphere server virtualization platform, which most enterprises already use in their data centers anyway. That surely simplifies things, given that this is a very well-understood platform.","Last July, at its Cloud Next conference, Google announced the Cloud Services Platform, its first real foray into bringing its own cloud services into the enterprise data center as a managed service. Today, the Cloud Services Platform (CSP) is launching into b…",2019-02-20T17:00:41Z,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Google’s managed hybrid cloud platform is now in beta,http://techcrunch.com/2019/02/20/googles-managed-hybrid-cloud-platform-is-now-in-beta/,https://techcrunch.com/wp-content/uploads/2019/02/GettyImages-910201616.jpg?w=618,techcrunch,TechCrunch,cloud,1
Ron Miller,"As Google Cloud Next opened today in San Francisco, Accenture announced its intent to acquire Cirruseo, a French cloud consulting firm that specializes in Google Cloud intelligence services. The companies did not share the terms of the deal.
Accenture says that Cirruseos strength and deep experience in Google’s cloud-based artificial intelligence solutions should help as Accenture expands its own AI practice. Google TensorFlow and other intelligence solutions are a popular approach to AI and machine learning, and the purchase should help give Accenture a leg up in this area, especially in the French market.
The addition of Cirruseo would be a significant step forward in our growth strategy in France, bringing a strong team of Google Cloud specialists to Accenture, Olivier Girard, Accentures geographic unit managing director for France and Benelux said in a statement.
With the acquisition, should it pass French regulatory muster, the company would add a team of 100 specialists trained in Google Cloud and G Suite to the an existing team of 2600 Google specialists worldwide.
The company sees this as a way to enhance its artificial intelligence and machine learning expertise in general, while giving it a much strong market placement in France in particular and the EU in general.
As the company stated there are some hurdles before the deal becomes official. “The acquisition requires prior consultation with the relevant works councils and would be subject to customary closing conditions,” Accenture indicated in a statement. Should all that come to pass, then Cirruseo will become part of Accenture.","As Google Cloud Next opened today in San Francisco, Accenture announced its intent to acquire Cirruseo, a French cloud consulting firm that specializes in Google Cloud intelligence services. The companies did not share the terms of the deal. Accenture says th…",2019-04-09T18:50:11Z,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Accenture announces intent to buy French cloud consulting firm,http://techcrunch.com/2019/04/09/accenture-announces-intent-to-buy-french-cloud-consulting-firm/,https://techcrunch.com/wp-content/uploads/2019/04/GettyImages-1127512492.jpg?w=600,techcrunch,TechCrunch,cloud,1
Frederic Lardinois,"Google today announced the launch of four new certifications and training programs for cloud developers and engineers: Professional Cloud Developer, Professional Cloud Network Engineer (beta) and Professional Cloud Security Engineer (beta), as well as a new G Suite certification.
The G Suite certification stands out a bit because its cheaper ($75) and far less technical than its counterparts in today’s release, but as Google notes, the overall idea here to address the ‘cloud skills crisis.’ The reason for the G Suite course, Google says, is that the “key to a successful cloud transformation is developing skills throughout the organization.” To ensure this, the G Suite exam tests your knowledge in key features of Gmail, Docs, Sheets, Drive and other G Suite tools. If you’re highly technical, that may seem unnecessary, but for many, making the move from Office to G Suite is surely quite a challenge.
The other exams, like the Cloud Developer certifications, test your ability to design, build, test, manage and secure applications on the Google Cloud Platform . They tend to cost around $200 and come in the form of multiple choice exams. To prepare for them, you can study with the help of both on-demand and instructor-led courses from Coursera and other Google partners.
Google notes that IT managers have a hard time finding candidates with the right skills, so it’s trying to address this with these new certification programs and the accompanying training tools.
The new certifications join Google’s existing ones, which include the Professional Cloud Architect, Professional Data Engineer, and Associate Cloud Engineer certifications.","Google today announced the launch of four new certifications and training programs for cloud developers and engineers: Professional Cloud Developer, Professional Cloud Network Engineer (beta) and Professional Cloud Security Engineer (beta), as well as a new G…",2019-01-24T17:00:34Z,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Google launches new certification courses for cloud developers and engineers,http://techcrunch.com/2019/01/24/google-launches-new-certification-courses-for-cloud-developers-and-engineers/,https://techcrunch.com/wp-content/uploads/2019/01/IMG_20181211_160812.jpg?w=533,techcrunch,TechCrunch,cloud,1
Ron Miller,"A couple of years ago, Dropbox shocked a lot of people when it decided to mostly drop the public cloud, and built its own datacenters. More recently, Atlassian did the opposite, closing most of its datacenters and moving to the cloud. Companies make these choices for a variety of reasons. When Atlassian CTO Sri Viswanath came on board in 2016, he made the decision to move the company’s biggest applications to AWS. In part, this is a story of technical debt — that’s the concept that over time your applications become encumbered by layers of crusty code, making it harder to update and ever harder to maintain. For Atlassian, which was founded in 2002, that bill came due in 2016 when Viswanath came to work for the company. Atlassian already knew they needed to update the code to move into the future. One of the reasons they brought Viswanath on board was to lead that charge, but the thinking was already in place even before he got there. A small team was formed back in 2015 to work out the vision and the architecture for the new cloud-based approach, but they wanted to have their first CTO in place to carry it through to fruition. Shifting to microservices He put the plan into motion, giving it the internal code name Vertigo — maybe because the thought of moving most of their software stack to the public cloud made the engineering team dizzy to even consider. The goal of the project was to rearchitect the software, starting with their biggest products Jira and Confluence, in a such a way that it would lay the foundation for the company for the next decade — no pressure or anything. Photo: WILLIAM WEST/AFP/Getty Images They spent a good part of 2016 rewriting the software and getting it set up on AWS. They concentrated on turning their 15-year old code into microservices, which in the end resulted in a smaller code base. He said the technical debt issues were very real, but they had to be careful not to reinvent the wheel, just change what needed to be changed whenever possible. “The code base was pretty large and we had to go in and do two things. We wanted to build it for multi-tenant architecture and we wanted to create microservices,” he said. “If there was a service that could be pulled out and made self-contained we did that, but we also created new services as part of the process.” Migrating customers on the fly Last year was the migration year, and it was indeed a full year-long project to migrate every last customer over to the new system. It started in January and ended in December and involved moving tens of thousands of customers. Photo: KTSDesign/Science Photo Library First of all, they automated whatever they could and they also were very deliberate in terms of the migration order, being conscious of migrations that might be more difficult. “We were thoughtful in what order to migrate. We didn’t want to do easiest first and hardest at the end. We didn’t want to do just the harder ones and not make progress. We had to blend [our approaches] to fix bugs and issues throughout the project,” he said. Viswanath stated that the overarching goal was to move the customers without a major incident. “If you talk to anyone who does migration, that’s a big thing. Everyone has scars doing migrations. We were conscious to do this pretty carefully.” Surprisingly, although it wasn’t perfect, they did manage to complete the entire exercise without a major outage, a point of which the team is justifiably proud. That doesn’t mean that it was always smooth or easy. “It sounds super easy: ‘we were thoughtful and we migrated,’ but there was warfare every day. When you migrate, you hit a wall and react. It was a daily thing for us throughout the year,” he explained. It took a total team effort involving engineering, product and support. That included having a customer support person involved in the daily scrum meetings so they could get a feel for any issues customers were having and fix them as quickly as possible. What they gained As in any cloud project, there are some general benefits to moving an application to the cloud around flexibility, agility and resource elasticity, but there was more than that when it came to this specific project. Photo: Ade Akinrujomu/Getty Images First of all it has allowed faster deployment with multiple deployments at the same time, due in large part to the copious use of microservices. That means they can add new features much faster. During the migration year, they held off on new features for the most part because they wanted to keep things as static as possible for the shift over, but with the new system in place they can move much more quickly to add new features. They get much better performance and if they hit a performance bottleneck, they can just add more resources because it’s the cloud. What’s more, they were able to have a local presence in the EU and that improves performance by having the applications closer to the end users located there. Finally, they actually found the cloud to be a more economical option, something that not every company that moves to the cloud finds. By closing the datacenters and reducing the capital costs associated with buying hardware and hiring IT personnel to maintain it, they were able to reduce costs. Managing the people parts It was a long drawn out project, and as such, they really needed to think about the human aspect of it too. They would swap people in and out to make sure the engineers stayed fresh and didn’t burn out helping with the transition. One thing that helped was the company culture in general, which Viswanath candidly describes as one with open communication and a general “no bullshit” policy. “We maintained open communication, even when things weren’t going well. People would raise their hand if they couldn’t keep up and we would get them help,” he said. He admitted that there was some anxiety within the company and for him personally implementing a project of this scale, but they knew they needed to do it for the future of the organization. “There was definitely nervousness on what if this project doesn’t go well. It seemed the obvious right direction and we had to do it. The risk was what if we screwed up in execution and we didn’t realize benefits we set out to do.” In the end, it was a lot of work, but it worked out just fine and they have the system in place for the future. “Now we are set up for the next 10 years,” he said.","A couple of years ago, Dropbox shocked a lot of people when it decided to mostly drop the public cloud, and built its own datacenters. More recently, Atlassian did the opposite, closing most of its datacenters and moving to the cloud. Companies make these cho…",2018-04-02T11:51:11Z,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Atlassian’s two-year cloud journey,http://techcrunch.com/2018/04/02/atlassians-two-year-cloud-journey/,https://techcrunch.com/wp-content/uploads/2018/04/gettyimages-825887190.jpg?w=537,techcrunch,TechCrunch,cloud,1
