author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
Matt Simon,"Cape Town is withering. If current projections hold, the South African city of 4 million will run out of water on May 11, known as Day Zero. It’s been three long years of drought—we're talking a once every 1,000 years kind of problem that Cape Town's water infrastructure just wasn't built for. The irony is that a whole sea of water laps at the shores of the coastal city. But if you wanted to drink it, you’d have to build an expensive, energy-intensive desalination facility. Cape Town is indeed rushing to bring such projects online, at least on a temporary basis, and in so doing is exposing a dire reality: Pockets of humanity around the world may have to rely on the sea to survive drought in the very near future. Because it’s likely that climate change is exacerbating this drought. Models show that for certain parts of the world, things are going to get real hot and real dry. The American South, for instance, could see a tripling of 95-degree-plus days per year by 2050. “Cape Town is a warning shot for us,” says Michael Kiparsky, director of the Wheeler Water Institute at UC Berkeley. “What we can see is that it's very possible for water crises—which emerge all the time around the world—to get close to the point of real, massive human disaster.” The key to managing water is diversifying. Think of it like stocks—if you’re all in on Enron and Enron implodes, so does your money. But invest in a range of companies and you can hedge against uncertainty. Same goes for water sources. Dams, however ecologically terrible their impacts, let you save up a stock of water. You may even decide to treat wastewater to boost your supply. And you’ll of course want to convince your populace to save water, even in times of plenty. Cape Town does not have a stellar portfolio. “The diversification of our water sources would have helped a whole lot earlier,” says environmental scientist Kevin Winter of the University of Cape Town. “It's difficult to do that because you need sometimes these triggers to be able to change the budgetary system and be able to think differently about a long-term strategy.” The city is certainly triggered now. (The local government was unable to provide comment before this story published.) And what it’s been able to do in recent months is pretty remarkable, at least from a public education perspective: A city that once consumed 290 million gallons of water a day now uses 160 million gallons. But that’s still a whole lot of water in a region where rain just refuses to fall. So Cape Town is turning to desalination to tackle the shortfall. Specifically, temporary reverse osmosis plants that’ll spin up in the coming months and provide fresh water. Not much of it in the grand scheme of things—4 million gallons a day—but still a start. Desalination is not a new idea. For decades now, researchers have been doggedly exploring the technology, which comes in two flavors. The first you can do at home if you like, just boiling water to collect steam and leave salt behind. The second is reverse osmosis, and involves forcing water through a permeable membrane to filter out the salt. Problem is, boiling water takes a ton of energy, as does pumping water. The technology is improving. Fancy new materials, like membranes just an atom thick, are making reverse osmosis more efficient. (That is, making it easier to push that water through.) “Desalination technology is going to change considerably in the coming years,” says Winter. “I think what the city is currently doing right now is to go slowly with its experiments and it will start to ratchet those up in time.” Which has some scientists crying foul. Late last year, a group of researchers published a paper detailing how desalinated water could theoretically be tainted by sewage piping into the waters off Cape Town. In their samples of sea water they found 15 pharmaceutical and household chemicals, as well as nasty microbes like E. coli. These are not things you’d want to suck into a desalination plant and turn into drinking water without some serious testing and purification if necessary. On top of the potential pollutants coming out of a desalination plant, there’s also the byproduct of brine (lots and lots of salt), which is pumped back out to sea, potentially disrupting ecosystems. That and desalination plants can kill sea critters by hoovering them up. “It doesn't make sense to me to solve one ecological problem by creating a whole lot more,” says the University of Cape Town’s Lesley Green, co-author of the paper, “which is saltier sea water and not managing the discharge of medicinal compounds and persistent organic pollutants.” Desalination may also present unexpected social costs in Cape Town, because not every citizen would benefit from it. “At home I have water, it flows out of the tap,” says the University of Cape Town’s Tom Sanya, an architect who specializes in sustainable design. “But we have a significant number of people in the informal settlements of Cape Town who don't have water flowing in their homes. If the city has up to now failed to supply each individual resident in Cape Town with water, then I can't be convinced that after investing heavily in technologies we’ll have enough money left to invest in distribution.” Still, in Cape Town, the ecological and social costs of desalination may pale in comparison to the consequences of not turning to the sea for help. The energy costs of the technology are still huge, but Israel has proven it can be done on a massive scale: The nation now makes more freshwater than it needs. And as certain parts of the world descend into a new era of heat and dryness, desalination is going to look like a mighty tempting solution. “It kind of depends on how bad you need the water,” says engineer Amy Childress of the University of Southern California. “And that's exactly where South Africa is, and it's where California would have been if we didn't have a rainy last year. It really is pure and simple—how bad you need the water and how unlucky you are with the drought.” Cape Town has been very, very unlucky. But it’s taking steps to diversify its water portfolio, and the rest of the world would be wise to follow. Otherwise it’ll be Enron for the lot of us.",Pockets of humanity may have to rely on desalination to survive drought in the very near future.,2018-02-09T12:00:00Z,"{'id': 'wired', 'name': 'Wired'}","Facing Water Crisis, Cape Town Turns to Desalination",https://www.wired.com/story/cape-town-sets-out-to-de-salt-the-sea/,https://media.wired.com/photos/5a7ca47691799c50c824e6a3/191:100/pass/capetowndrought-913645188.jpg,wired,Wired,drought,1
Mark Kaufman,"Out West, the future is dry.
Amid an unprecedented 19-year drought in the expansive Colorado River Basin which supplies water to 40 million Americans seven Western states have acknowledged that the 21st century will only grow drier as temperatures continue to rise. And that means less water in the 1,450-mile Colorado River. On Tuesday, water managers from states including California, Utah, and New Mexico announced a drought plan (formally called a Drought Contingency Plan), which cuts their water use for the next seven years until an even more austere plan must be adopted.
Already, the drought has left water levels at Lake Mead the nearly 250-square-mile reservoir that's held back by the formidable Hoover Dam at their lowest levels in half a century. The water shortage has left telltale, white mineral ""bathtub rings"" around the basin, well over 100 feet high. 
""This is a long anticipated step that clearly needed to happen,"" Brad Udall, a senior water and climate research scientist at Colorado State University who had no role in the plan, said in an interview. 
""The bad news is we still have a lot of work left,"" added Udall. ""As the climate continues to change and warm in the Southwest, all science shows that the river is expected to decline in the future.""
""We all recognize were looking at a drier future,"" Tom Buschatzke, Director of the Arizona Department of Water Resources, said in a call with reporters on Tuesday. 
Lake Powell, another massive, low Colorado River reservoir.
Image: Shutterstock / GagliardiPhotography
The Colorado River and its reservoirs though certainly not yet low enough to imperil millions of Westerners are gradually evaporating while the desert land grows ever drier. The West is still expected to see yearly fluctuations in extreme precipitation, though the region can't escape the consequences of a steadily rising thermostat. ""We'll continue to see odd and unusual climate extremes, both wet and dry,"" said Udall. ""But these warmer temperatures just add an environmental load onto the system in very harmful ways.""
Just how much are the West's rising temperatures and associated heat waves so hot that they have grounded commercial jetliners in Arizona drying out the winding Colorado River basin? A study coauthored by Udall last year found that climate change was responsible for half the Colorado River's flow declines over the last century (with other factors like less rain accounting for the other drops). Though, a 2017 study found this number to be a bit lower, at around one-third. 
Either way, the climate effect is substantial and only expected to grow more potent: Over the last 40 years, Earth has experienced an accelerated warming trend and civilization's heat-trapping carbon emissions probably won't even peak for at least 10 more years. Already, the planet's carbon dioxide levels are likely the highest they've been in 15 million years.  
""It's projected to continue to get warmer,"" said Ursula Rick, Managing Director of the University of Colorado Boulders Western Water Assessment, in reference to the Colorado River Basin. 
SEE ALSO: The Green New Deal: Historians weigh in on the immense scale required to pull it off
Accepting the reality of hotter climes, the latest drought plans will manage the total supply of water, so that levels at the two greatest reservoirs, Mead and Powell, don't drop to levels that would trigger automatic water restrictions and a takeover by the federal government. Lake Mead currently sits at around 1,089 feet. If it ever fell to 1,075 feet, water rationing would go into effect. 
""Theyre [drought plans] meant to avoid a crisis on the river,"" Bureau of Reclamation Commissioner Brenda Burman said in a Tuesday call with reporters.
One important part of the plan allows upper basin states like Colorado to keep more water in Lake Powell (which generates great amounts of electricity and lowers their utility bills), rather than being required to send this water to the depleted Lake Mead but only as a reward if upper basin states slash their water use. Meanwhile, lower basin states like Arizona and California are expected to cut their water use, too. 
The Colorado River Basin.
Image: USGS
Today's water woes are a significant departure from the 1980s and 1990s, fruitful times when Lake Mead even reached its storage capacity. The lake's levels were nearly 140 feet higher back then. 
""We've never seen 19 years like this. It's unprecedented,"" said Udall. ""The old ways of managing water in the West arent working and wont work in the 21st century.""
Although this latest drought contingency plan which must now get approved by Congress averts a near-term crisis, there's still a gaping hole in the scheme. California's thirsty agricultural Imperial Valley which claims rights to a whopping 70 percent of all the Colorado River water the Golden State is afforded each year did not agree to the plan. First, the Imperial Irrigation District wants $200 million in taxpayer dollars to fix the nearby environmental catastrophe that is the vanishing Salton Sea. (It's California's largest and often stinkiest lake, created by accident over a century ago, and is a long, winding water fiasco of its own.) 
But in the future, with water only growing more limited, the powerful water district will almost certainly have to slash its ample share of water consumption. ""They're going to have to contribute,"" said Udall. 
Western state temperatures compared to the historic average between 2000 and 2015.
Image: epa
The fate of the West over the coming decades, however, won't only be determined by water cuts and humanity's efforts to stymie climate change. It's dependent upon how many people choose to settle in the seemingly-idyllic, sun-blanketed Western world. ""The growth of the region is a big unknown,"" noted the Western Water Assessment's Rick. 
What's more, the ability of water to sustain the region is dependent on how people will want to live, said Rick. ""Will they want yards? Will they want their food to be locally grown?"" she asked. 
In a warmer world, the state and federal government can intervene like they're doing now to avert water crises and maintain societal desires. Though, at some point, water demand may be too great for a burgeoning, thirsty West. ""They can reduce demand but only to a certain point,"" said Rick. 
""The old ways of managing water in the West arent working and wont work in the 21st century.""
Now, states are watching the drought intently. It's evident that water managers see a water-limited future, stoked by climate change. Back in 2003, Udall noted that when he gave talks on future climate impacts to the water management community, he was sometimes given ""dirty looks."" 
But 10 years later, that changed. By 2013, the unprecedented drought caused Colorado River reservoirs to plummet. A truly unsettling drought had set in. And it hasn't gone away.
""Somewhere around 2013 I think the light went on,"" said Udall, describing how many water managers began to accept the scientific realities of long-term drought and climate change. ""The light went on that climate change is here, and now we gotta prepare for it.""","Out West, the future is dry. Amid an unprecedented 19-year drought in the expansive Colorado River Basin — which supplies water to 40 million Americans — seven Western states have acknowledged that the 21st century will only grow drier as temperatures continu…",2019-03-21T10:00:00Z,"{'id': 'mashable', 'name': 'Mashable'}","The West accepts its drought-ridden future, slashes water use",https://mashable.com/article/colorado-river-drought-plans-climate-change/,https://mondrian.mashable.com/2019%252F03%252F20%252F79%252F0be8231a0eb549b397ecdd86fee7b885.70c27.jpg%252F1200x630.jpg?signature=HSYpTuEuWnE8M3kOk4T4lb6Egjg=,mashable,Mashable,drought,1
LAUREN MARKHAM,"Outside a youth refugee facility in Sicily, a group of teenagers from Gambia who had crossed the Mediterranean from Libya told me that farming had become too difficult to sustain in their country as the semiarid Sahel region spreads ever wider across the continent, drying up people’s land. In Yemen, years of water scarcity helped lead to the country’s brutal conflict. El Salvador, one of the world’s most murderous countries, is just now recovering from a devastating drought, which only heightens the stakes and scope of the violence. In my book about youth migration from El Salvador, “The Far Away Brothers,” I write about a family that ended up on the wrong side of a gang-protected man in town. The family’s teenage twin brothers left because there was a price on their heads, but the challenges persisted for those who remained behind. The family’s fields produced less and less. The tomatoes took on a pallid, sickly color; other crops failed to grow at all. The family couldn’t survive from farming anymore, so more of the children considered going north. They haven’t yet, but nearly every day, one of the daughters tell me, she considers making arrangements to leave. Many things are exacerbating the effects of the drought in Central America, including pervasive deforestation and farmers overtaxing their land. But according to Climatelinks, a project of the United States Agency for International Development, the average temperature in El Salvador has risen 2.34 degrees Fahrenheit since the 1950s, and droughts have become longer and more intense. The sea has risen by three inches since the 1950s, and is projected to rise seven more by 2050. Between 2000 and 2009, 39 hurricanes hit El Salvador, compared with 15 in the 1980s. This, too, is predicted to get worse. When reporting a story among migrants living in the shadows of a Kenyan slum, I asked a group of men why they left their homes in rural Ethiopia. They were farmers there, like many generations before them, but they told me they could no longer make a living off their crops or even adequately feed their families. The rains had changed — it wasn’t just that they had lessened but that they had become more erratic; no rain when the crops needed it to grow, and then, when it was time for harvest, it would rain suddenly and terribly, ruining the crops. The men had left for Kenya to find work and send money back to feed their families. Like El Salvador, Gambia, Bangladesh and Guatemala, Ethiopia has been hit hard by climate change, though it is not even in the top 100 emitters of greenhouse gases. But the problem with climate change, of course, is that it is a problem that crosses borders. The anti-immigrant rhetoric of the Trump administration has made for elaborate and bombastic theater — but with real, and sometimes deadly, human consequences (see again the children separated from their parents at the border). But Mr. Trump means what he says: He wants immigration from poor countries to stop. He sees the problems in those countries as theirs, not ours — never mind the centuries of catastrophic foreign intervention in places like El Salvador and the rest of the Americas, the Arab world and sub-Saharan Africa, or the growing menace of the changing climate. If President Trump really wants to curb “illegal” migration to the United States for the long haul, he’d better get serious about climate change. The Trump administration can continue to eviscerate the E.P.A. and thumb its nose at global efforts to protect the climate. Or he can work responsibly to try to curb international migration by addressing the challenges of a warming planet. He can’t have it both ways.",Gang violence and lack of jobs are reasons people head to the United States. But so is drought.,2018-06-29T10:00:09Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","If You Really Want to Curb Migration, Get Serious About Climate Change",https://www.nytimes.com/2018/06/29/opinion/sunday/immigration-climate-change-trump.html,https://static01.nyt.com/images/2018/07/01/opinion/sunday/01markham/01markham-facebookJumbo.jpg,the-new-york-times,The New York Times,drought,1
Laura Mallonee,"If you drove through the Hamoun Wetlands of southeastern Iran centuries ago, you would have found an oasis. In the rainy season, lakes and marshes have drenched its more than 1,500 square miles, sustaining deer, flamingos and even leopards. Humans made a decent life for themselves by tending cattle, catching fish and cultivating the fertile ground. But when Hashem Shakeri drove through this year, he found a desert. A 20-year drought and poor water management have destroyed the wetlandsalong with wildlife, agriculture and whole villages they once sustained in modern Sistan and Baluchestan Province. Shakeri documented this loss for his haunting series An Elegy for the Death of Hamun. Wherever I went, people talked about the drought, he says. They believed that Hamoun had taken life away with itself. The Hamoun Wetlands have always suffered dry spells, but this one is particularly brutal. Trouble began in the early 1950s, when Afghanistan built a dam on the Helmand River, which feeds the wetlands, tamping its flow to Iran. The decline spiraled through the 1990s, when water diversions and a drought that hit in '98 triggered a full-blown water crisis. Animals and crops died. Fisheries closed. And nearly 100 towns were buried in sand whipped up by dustbowl winds. This had dire consequences for Sistan and Baluchestan Province, a 70,000-square-mile region home to 2.8 million people, mostly Sunnis. Many people lack basic access to clean water, food and education, subsisting on government handouts of just $10 per month. With unemployment at nearly 13 percent, some have turned to smuggling fuel and drugs. Humans have become hardened in their battle with the nature, Shakeri says. They are fighting tooth and nail to survive. It's a battle Shakeri has long followed from Tehran, a two-hour flight from Sistan and Baluchestan. He's wanted to document the drought for years but lacked the resources to do so until this year, when the International School of Media and Journalism in Aarhus, Denmark lent him a medium format camera. During two trips in May and October, he drove more than 850 miles through the region, accompanied by fixers who helped him communicate with locals, many of whom speak Baluchi instead of Persian. Shakeri focused on capturing scenes directly related to the droughtwhether dusty riverbeds, abandoned fishing boats or shriveled palms. He exposed his color film several stops over to soften the intense sunlight; it gives the images a washed-out, dreamy feel that captures the sense of disappointment, exhaustion, and stasis he encountered at every turn. ""To me, the poetry and narration of the image are very important,"" he says. ""At the height of bitterness and pain, I like to take beautiful pictures."" Unfortunately, the project is now on pause, since renewed US sanctions against Iran have made it impossible to find the 120 color film Shakeri uses. The sanctions also make life even harder in Sistan and Baluchestan. Though the United Nation Development Program has been working with Iran and Afghanistan on a deal to restore the wetlands, that will take years. In the meantime, relief seems as distant as the oasis that once was. More Great WIRED Stories",Hashem Shakeri documents the loss of the Hamoun Wetlands in Sistan and Baluchestan Province*.,2018-12-11T19:06:43Z,"{'id': 'wired', 'name': 'Wired'}",Photo Gallery: A Look at 20 Years of Drought Ravaging Southeast Iran,https://www.wired.com/story/photo-gallery-iran-drought/,https://media.wired.com/photos/5c0ee56533b7db2d65e12581/191:100/pass/01.jpg,wired,Wired,drought,1
https://www.facebook.com/bbcnews,"Image copyright Reuters Image caption The drought has affected 99% of New South Wales Australia's Prime Minister Malcolm Turnbull has warned that the country has become a ""land of drought"" as he announced further measures to help stricken farmers. The new package will provide an extra $140m (£154m) for lump sum payments to farmers and for mental health support. It brings the total amount of government funding to $576m. Although it is still winter, parts of eastern Australia are experiencing the worst drought in living memory. Ninety-nine percent of New South Wales, which is the country's most populous state and provides around a quarter of the country's agricultural output, is currently in drought. Announcing the additional funding from a farm in the state, Mr Turnbull said: ""Now we are the land of droughts and flooding rains, we recognise that. ""It's a very volatile and often capricious climate and Australian farmers are resilient, they plan for drought, they are good managers but it can become really overwhelming."" ABC News showed Mr Turnbull comforting a local charity worker, who wept as she described the ""dire"" situation. ""I worry every day I go to visit farming families that I'm going to get to someone and it's going to be hours too late, it's literally that bad,"" she said.",Prime Minister Malcolm Turnbull has announced new measures to help farmers affected by the drought.,2018-08-05T13:48:26Z,"{'id': 'bbc-news', 'name': 'BBC News'}","Australia's Turnbull: ""Now we are the land of droughts""",https://www.bbc.co.uk/news/world-australia-45075838,https://ichef.bbci.co.uk/news/1024/branded_news/7CDB/production/_102836913_c421661d-ea63-4647-9946-5db7b7826cd5.jpg,bbc-news,BBC News,drought,1
https://www.facebook.com/bbcnews,"Image copyrightMansi ThapliyalImage caption
 Water shortage is a familiar story in Maharashtra
Drought has been declared in the western Indian state of Maharashtra, despite an ambitious government scheme to replenish ground water supplies. So what went wrong? BBC Marathi investigates.
""This year we received rains for only two days. But this is unlikely to last us for the next 15 days. The government will have to provide us water via tankers,"" says Nana Dudhare, the head of Akhatwada village in Khultabad district. 
Khultabad is among 151 administrative blocks in the state where drought was officially declared on 31 October last year.
Water shortage is a familiar story in Maharashtra.
In 2016 severe drought prompted the government to ask local municipalities to stop supplying water to swimming pools - in an unprecedented move, a train carrying half a million litres of drinking water was sent to the area of Latur.
But this year was meant to be different. 
A ground water conservation scheme that cost the government millions of rupees was expected to yield results. The Jalyukta Shivar Abhiyan, as it is known, has been touted as the solution to Maharashtra's water problems. 
Image copyrightReutersImage caption
 The search for water can be long and arduous
The scheme aims to take advantage of years with good rainfall - by storing and conserving the rain water it hopes to create perennial sources of water in every village. It specifies nine methods of conservation, including digging farm ponds, deepening small streams and constructing small dams. It has another ambitious goal too: make 5,000 villages free of water scarcity every year.
It has been implemented in 16,522 villages across the state so far, including Akhatwada and the rains were reasonably better last year. Yet, the scheme does not seem to have had much of an impact given that many of these villages are already facing severe water shortage. The situation is only expected to worsen as the hot summer months approach. 
Much of the reason for this appears to be the programme itself.
Villagers in Akhatwada, for instance, complain that they were not consulted about the best methods to conserve water under Jalyukta Shivar.
""The government has its own set methods of doing the work, and we don't have a say. They decided which ponds and streams should be deepened and then abandoned most of them halfway. The machines were pulled out before the work was complete,"" says Somnath Kamte, a farmer who saw a pond dug in his property. 
Image copyrightBBC/NITESH RAUTImage caption
 Villagers complain that work has been only half-completed
He says that even the pond in his own farm is likely to run out of water in the coming days. 
Prof HM Desarda, an agricultural economist based in Maharashtra, has been one of the programme's biggest detractors. He filed a petition in the Bombay High Court in 2015 when the scheme was first announced, calling it ""unscientific"" and alleging that its implementation was faulty.
He says that the programme's method of water conservation is ""conceptually and operationally flawed"" and ""lacks a holistic approach"".
""In their anxiety to show that they have invented something out of the box, the government has gone ahead and implemented a programme with no basic understanding of the science of hydrology or even ecology,"" he told the BBC. 
He says that the proper way to carry out hydrology schemes was to examine the sources of water and adopt ""macro approaches"" to conserving it. By merely going to villages and digging ponds and deepening streams, he argues, you end up damaging fragile eco-systems and not solving the underlying problem. 
The Bombay High Court asked a panel to investigate Prof Desarda's objections, but he contested the findings, which upheld the ""scientific"" approach of the scheme, asking why the committee only visited nine villages when the programme had been implemented in more than 16,000. 
Media playback is unsupported on your device
Media captionThe BBC's Yogita Limaye finds villagers risking their lives for water in 2016
In February, the court refused to scrap the programme in what was seen as a major relief for the government. 
The state water resources minister, Vijay Shivtare, says his government stands by the scheme. 
""A water-audit is undertaken before we begin any work in any village. Information like the amount of water needed, how much water is available to the animals, how much water is there for irrigation, the capacity of the storage pond in the village, the level of deficiency - all this information is gathered and submitted to local authorities,"" he told the BBC. 
A state parliamentarian too says that the programme was a ""top class scheme and no-one should criticise it"".
Mr Shivtare adds that it was unfair to call the programme a failure when the real issue was a lack of rain. He says that although there had been higher rainfall last year compared to previous years, it was still not enough for the programme to succeed. 
""The structure of Jalyukta Shivar was created on the assumption that a certain amount of rain will be received on average. If the rains do not come close to that, what do we do? The scheme never promised that water would come from the earth. It is meant to conserve the water falling from the sky,"" he told the BBC. 
Read the original story on BBC Marathi",A drought-hit Indian state spent millions to replenish ground water. So why didn't it work?,2019-03-19T00:10:17Z,"{'id': 'bbc-news', 'name': 'BBC News'}",The ambitious water project that failed to prevent drought,https://www.bbc.co.uk/news/world-asia-india-46341433,https://ichef.bbci.co.uk/news/1024/branded_news/14EF4/production/_89384758__mg_2825.jpg,bbc-news,BBC News,drought,1
https://www.facebook.com/bbcnews,"Image caption The UN estimates that 260,000 Afghans have fled their homes this year due to drought A deadly drought in Afghanistan is causing a humanitarian crisis that has displaced more people this year than the war between the government and the Taliban. The BBC's Secunder Kermani reports from Herat. Shadi Mohammed, 70, wells up with tears as he walks through the makeshift camp on the outskirts of the western city of Herat, where he lives with his family. ""We are thirsty and hungry. We took what little we could with us, but lost most of it on the way. Now we have nothing. Eight of us live in this small tent,"" he says. ""My wife and my brother died. Half of our children are here. The other half were left behind."" Mr Mohammed is one of an estimated 260,000 people who have been forced from their homes in northern and western Afghanistan because of a severe drought in the region. The drought is adding to the misery in the country where levels of violence have been increasing since 2014 when international forces formally ended their combat mission. The Taliban are now reported to control more territory in Afghanistan than at any time since the US led invasion which drove them from power in 2001. But the UN says that this year, the drought has displaced more Afghans than even the conflict between the Taliban and the government. Image copyright AFP Image caption The drought is adding to the misery of Afghans who are already suffering in the war Qadir Assemy from the United Nations World Food Programme (UNWFP) is helping co-ordinate the relief effort in Herat, which has seen an influx of people fleeing their homes. ""It's very challenging because of the scale of the disaster,"" he tells the BBC. The UN is allocating $34.6m to help the 2.2 million people who are estimated to have been affected by the drought. At present, the UNWFP is distributing money for people to buy food. Image copyright AFP Image caption Many Afghans believe their political leaders are too detached from the issues facing them Outside a registration centre, many seem desperate. One woman sitting with four young children tells me she has recently arrived from the northern province of Faryab. ""If we had any money we would have never come here. Our bad luck brought us here,"" she says. ""There was no rain for more than a year. Everything dried up. We didn't even have water to give to our children. On top of that there was fighting between the Taliban and the army. It was chaos."" Others described being forced to sell their livestock or borrow money simply to survive. Agriculture is one of the country's main sources of income. Image copyright AFP Image caption The impending winter could worsen the situation in the refugee camps in Herat The country is currently preparing for long-delayed parliamentary elections scheduled for 20 October. But many Afghans complain that their political leaders are too detached from the issues facing them. The hundreds of thousands of people in Herat certainly have a more pressing concern at hand - the impending arrival of the cold winter months. Mr Assemy believes the cold weather is ""a major concern"" as it seems unlikely that the displaced people will be able to return to their homes in the coming months. ""The weather will be very harsh. This population will not be able to survive in tents,"" he says. ""We haven't seen such a large scale disaster in the last 18 years.""",The UN is allocating $34.6m to help 2.2m people estimated to have been affected by the drought.,2018-10-17T00:21:42Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Afghan drought 'displacing more people than Taliban',https://www.bbc.co.uk/news/world-asia-45872897,https://ichef.bbci.co.uk/news/1024/branded_news/116A0/production/_103882317_screenshot2018-10-16at13.07.03.png,bbc-news,BBC News,drought,1
https://www.facebook.com/bbcnews,"Parts of eastern Australia are suffering their worst drought in living memory as a lack of rainfall in winter hits farms badly. Reuters photographer David Gray captured the view of the dried earth from the air, finding an often surprising collage of colours. Image copyright Reuters A lone tree is the only sign of life near a water trough on a farm outside Walgett in New South Wales. Farm owner May McKeown said she had not seen much rain since 2010. Image copyright Reuters About 98% of New South Wales is drought-stricken, and two-thirds of neighbouring Queensland. As a result, farmers are having to order in food for their livestock, which raises their costs considerably. Image copyright Reuters A cow walks away from a water tank in Tamworth, New South Wales. ""I cant seem to be able to do anything else apart from just feed, and keep things going,"" farmer Tom Wollaston said. ""[The drought] seems to be one step ahead of me all the time."" Image copyright Reuters Image caption ""I have been here all my life, and this drought is feeling like it will be around a while"" A dried-up dam near Gunnedah in New South Wales. The government's aid for drought-hit farmers has now topped A$1bn (£564m; $738m). Image copyright Reuters Sheep eat grain outside Tamworth. Government aid includes funding towards better mental health services for struggling farmers. Image copyright Reuters Parts of Australia saw the second warmest summer on record between December and February, and the country as a whole saw its driest July since 2002. Image copyright Reuters An irrigated paddock next to one that has not been watered. About a quarter of Australia's agricultural output comes from New South Wales, so the drought has hit the industry particularly hard. Image copyright Reuters While touring the worst-hit areas in June, PM Malcolm Turnbull said there was a clear link to climate change. ""I don't know many people in rural New South Wales that I talk to that don't think the climate is getting drier and rainfall is becoming more volatile."" All interviews by Reuters","Parts of eastern Australia are suffering their worst drought in memory, as these aerial images show.",2018-08-02T09:32:41Z,"{'id': 'bbc-news', 'name': 'BBC News'}",In pictures: Australia's drought seen from the air,https://www.bbc.co.uk/news/world-australia-45043299,https://ichef.bbci.co.uk/news/1024/branded_news/518F/production/_102797802_mediaitem102797570.jpg,bbc-news,BBC News,drought,1
https://www.facebook.com/bbcnews,"Image copyright AFP Image caption Pyongyang has seen record temperatures North Korea says a heatwave is threatening a ""natural disaster"" and has called on its citizens to help protect crops from drought. The Korean peninsula is experiencing record temperatures and South Korea has reported 28 deaths from the heat. In the North, which has previously suffered bouts of famine, state media warned that key crops such rice and corn were under threat. It called on citizens to ""join the struggle"" to safeguard harvests. ""This year's high temperature is an unprecedented natural disaster but it is not an insurmountable difficulty,"" it said. ""Officials and working people in all fields and units... should turn out as one and devotedly work out of patriotism in the campaign to prevent damage by high temperature and drought,"" an editorial in the state-run newspaper Rodong said. ""All people should fully display their patriotic zeal in the ongoing campaign."" State news agency KCNA said irrigation equipment was being urgently repaired and new wells and reservoirs created. ""Myriads of water carriers, tractors, trucks and other vehicles have been involved in irrigating croplands together with all the available watering equipment and devices,"" it said. Image copyright Reuters Image caption North Korea leader Kim Jong-un was pictured inspecting a farm in July Temperatures in the capital Pyongyang hit a record high of 37.8C (100F) on Wednesday. The South's capital, Seoul, also recently recorded its hottest ever temperature at 39C. Earlier this year, the head of the UN's World Food Programme made a rare visit to North Korea and said the country was working hard to meet nutritional standards. David Beasley spent two days in the capital, Pyongyang, and two outside it, accompanied by government minders. He said levels of hunger were not as high as in the 1990s. Hundreds of thousands of people are believed to have died in a widespread famine in the North between 1994 and 1998. ""I didn't see starvation like you had in the famine back in the 1990s, that's the good news. But is there a hunger issue, is there under-nutrition? There's no question about it,"" he told the BBC. After a drought in 2017, the UN said seven in 10 North Koreans were relying on food aid, while four in 10 were malnourished. North Korea is under strict UN sanctions over its nuclear and ballistic missile programmes, despite a recent diplomatic rapprochement with the US. Decades of state mismanagement and a lack of infrastructure have left the country vulnerable to natural disasters such as floods and drought.","Citizens are urged to ""join the struggle"" to save precious crops from drought.",2018-08-03T14:55:19Z,"{'id': 'bbc-news', 'name': 'BBC News'}",North Korea warns of 'natural disaster' amid heatwave,https://www.bbc.co.uk/news/world-asia-45062431,https://ichef.bbci.co.uk/news/1024/branded_news/133C7/production/_102819787_048452409.jpg,bbc-news,BBC News,drought,1
JOHN R. ALLEN and DAVID G. VICTOR,"What makes climate change such a pernicious problem is that it increases the odds of those adverse conditions arising especially in places where government already does not function well. When the stress of climate change multiplies, so will the problems the military must handle.
While its always a good idea to look at uncertainties in any scientific assessment, the White House red-teaming is poised to investigate the wrong questions. The scheme, anchored in the climate-denier community, is designed to generate talking points for a president who is skeptical of climate science and thus will focus on whether climate change is happening at all and whether a little warming is all bad news.
A useful red team would investigate uncertainties in the opposite way, by focusing on the evidence that the climate is changing much more rapidly than originally expected. Getting serious about the odds that global warming could be much more harmful than expected could amplify previous assessments for the nations security.
Uncertainty is endemic to climate science because the exact level of future changes in climate are hard to pin down. The pathways that lead from warming to tangible harm to the nations coastlines, crops, military and overseas interests are highly complex. Some of the best scientific studies on these impacts including last falls assessment by 13 federal agencies have begun to look at how uncertainty and complexity interact in ways that make climate dangers look much scarier. Good intelligence estimates must grapple more fully with this as well, but doing that properly will be a lot harder now that the White House is instructing the rest of the government to avoid serious analysis of climate dangers. 
This week, 58 former military and intelligence officials sent a letter to the president warning him that imposing a political test on reports issued by the science agencies, and forcing a blind spot onto the national security assessments that depend on them, will erode our national security.",An Afghan girl forced to move because of drought carrying water containers filled from a tanker truck at a camp for internally displaced people in Afghanistan.,2019-03-07T20:00:03Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","Despite What Trump Says, Climate Change Threatens Our National Security",https://www.nytimes.com/2019/03/07/opinion/climate-change-national-security.html,https://static01.nyt.com/images/2019/03/07/opinion/07allen/07allen-facebookJumbo.jpg,the-new-york-times,The New York Times,drought,1
