author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
Jonathan Shieber,"President Trump is expected to sign into creation the Space Force today, as a special branch of the military overseen by the Air Force Department, according to a report in The Washington Post.
The President’s decision is considered a win for the Air Force and Defense Department broadly, which had argued against setting up an independent military department based on their concerns that it would add new layers of bureaucracy, according to the Pentagon .
Speaking at an event at The Brookings Institute, Air Force chief of staff Gen. David L. Goldfein discussed the decision-making process around the creation of the Space Force — saying that Defense Department officials had discussed a range of options from creating an entire department to establishing a smaller, professional core of personnel, like the Army’s Medical Corps.
With the decision, the Trump Administration is likely to establish a service that looks more like the Marine Corps, which is part of the Navy but unique within it, than an entirely new branch of the military. The Space Force will be led by a four-star general who will have a set on the Joint Chiefs of Staff, but it will not have a secretary-level post, according to the Post report.
Perhaps more significantly, the Trump administration is reviving the U.S. Space Command, which will be headed by a four-star officer and will coordinate military operations in space.
These days, those operations consist of communications, surveillance and satellite defense, but as plans continue to set up more permanent bases on the Moon and eventually Mars, these efforts could expand to protect personnel as well.
The U.S. disestablished the Space Command in 2002 under the George W. Bush administration. Created in 1985 during the Reagan administration’s second term when the “Star Wars” missile defense program was in full swing, the Space Command was tasked with defining strategic objectives for the U.S. in space, and executing them.
When President Trump announced the new Space Command in December, Air Force Secretary Heather Wilson said that the surge in threats to America’s space program warranted the resurrection of the program.
We are shifting to a war fighting culture at the explicit recognition that it is a war fighting domain, Wilson was quoted by Space News as saying at the time. Adversaries are developing capabilities to deny us the use of space in crisis or war. The creation of a unified command puts focus on the ability to protect our assets on orbit and prevail if called upon.","President Trump is expected to sign into creation the Space Force today, as a special branch of the military overseen by the Air Force Department, according to a report in The Washington Post. The President’s decision is considered a win for the Air Force and…",2019-02-19T19:55:38Z,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Space Force will be a Marines-like branch under Air Force authority,http://techcrunch.com/2019/02/19/marines-in-space/,https://techcrunch.com/wp-content/uploads/2019/02/GettyImages-542422910.jpg?w=612,techcrunch,TechCrunch,force,1
"Jaime Green on Offspring, shared by Michelle Woo to Lifehacker","When the Girl Scouts put out a pre-holiday reminder to parents that their daughters don’t owe anyone a hug, even at the holidays, it was taken as a sign of the (dismal) times. “At a time when issues of sexual harassment and consent are in the news,” began the CNN story on the piece. Reactions on Twitter made the connection, too: But it hasn’t just “come to this.” It’s been this for a long time—the advice and the problem it addresses are nothing new. More importantly, this advice isn’t a reaction to the news. It’s about teaching kids the importance of consent and empowering them to speak up for their own needs and desires, which are evergreen lessons. The Girl Scouts’ developmental psychologist Dr. Andrea Bastiani Archibald said, in the Girl Scouts’ post, “the lessons girls learn when they’re young about setting physical boundaries and expecting them to be respected last a lifetime.” This applies to kids of all genders. It lays the groundwork for a strong understanding of consent, and can influence a kid’s relationship with her body—by telling her that she’s in control of who she hugs, you’re also telling her that her body is hers, not for serving other people’s feelings. That has to do with consent, but also body image, too. Enforcing your child’s bodily autonomy isn’t just an investment in her future strength and safety. Dr. Archibald adds, “sadly, we know that some adults prey on children, and teaching your daughter about consent early on can help her understand her rights, know when lines are being crossed, and when to go to you for help.” (Again, this applies to children of all genders.) Reminding your child that she has the power to say “no” to physical contact, even from a beloved relative, is hugely important. Contrarian reactions to this kind of advice (which I won’t link to because anti-consent messaging is harmful bullshit) fall back on the idea that parents need to teach their children good manners, and that kids need to listen to their parents. But no one is saying you can’t tell your child, “Go say hi to Grandpa” or “Thank your aunt for her gift.” Physical intimacy isn’t the only way adults show love and gratitude to other adults, after all! There are plenty of alternatives. Maybe your kid is more comfortable with high fives than hugs—there you go! You can always ask your child, “Do you want to hug Grandma?” This may require dealing with Grandma’s disappointment, but you can always just send her this article. A CNN article from 2015 offers the parental line, “I would like you to hug Grandma, but I won’t make you do it.” (That article’s title, “I Don’t Own My Child’s Body,” is also a good reminder.) There’s a line between polite social interaction and physical contact, and that’s an important lesson to teach early and often. The holidays are the perfect chance.","When the Girl Scouts put out a pre-holiday reminder to parents that their daughters don’t owe anyone a hug, even at the holidays, it was taken as a sign of the (dismal) times. “At a time when issues of sexual harassment and consent are in the news,” began the…",2017-11-22T17:30:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Why You Shouldn’t Force Your Kids to Hug Relatives,https://offspring.lifehacker.com/why-you-shouldn-t-force-your-kids-to-hug-relatives-1820677682,"https://i.kinja-img.com/gawker-media/image/upload/s--YLozm5bO--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/sbyk5eojimakux7bykso.jpg",,Lifehacker.com,force,1
Jon Fingas,"The team is modeled after a merger litigation task force created by FTC Chairman Joe Simons when he was the Bureau of Competition Director in 2002. You can expect ""approximately"" 17 attorneys with expertise in a range of areas, including mobile operating systems, online ads and social networking. There will also be a Technology Fellow who'll provide assistance and know-how to back investigations.
Simons characterized this as necessary when the role of tech ""grows more important every day."" It's important that people ""benefit from free and fair competition,"" he said.
The timing isn't all that coincidental. It's coming as the FTC is in the midst of exploring a flurry of industry practices, including Facebook's data handling policies, Qualcomm's alleged antitrust abuses and even loot boxes in games. This theoretically gives the Commission more opportunity to pursue these cases and, hopefully, a better understanding of the issues at hand.","The FTC is about to step up its scrutiny of tech companies. The Commission has created a task force devoted to investigating competition in the tech industry. It will ""coordinate and consult with"" FTC staff on related subjects, including both potential merger…",2019-02-26T22:55:00Z,"{'id': 'engadget', 'name': 'Engadget'}",FTC task force will investigate tech industry competition,https://www.engadget.com/2019/02/26/ftc-technology-task-force/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D4720%252C3129%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C1061%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-images%252F2019-02%252Fc29771e0-3a15-11e9-afff-15ae1f77da5d%26client%3Da1acac3e1b3290917d92%26signature%3Dc5547f3eb5a83c877902373404b8e09284b136b3&client=amp-blogside-v2&signature=4c14bbfd52ab757238522b02b8d5487e204a67eb,engadget,Engadget,force,1
David Lumb,"""We find ourselves on the leading edge of new industrial and military revolutions, powered by AI; machine learning; and autonomous, unmanned systems and robots,"" Secretary Work said in CNAS' press release. ""The United States must consider and prepare for the associated national security challenges – whether in cybersecurity, surveillance, disinformation, or defense. CNAS' AI Task Force will help frame the policy issues surrounding these unique challenges."" The task force is part of CNAS' larger initiative on AI and global security with a roster full of individuals from the academic and tech communities, including members from Duke, Princeton and George Mason along with Cisco, BAE and PNC Bank. If you're interested, CNAS has a smattering of podcasts about AI that likely overlap with what its task force will address.","Alexa's creepy laugh will probably be the least of our artificial intelligence worries. To properly understand the challenges that AI will bring, defense and foreign policy think tank Center for a New American Security (CNAS) has established a task force head…",2018-03-15T20:44:00Z,"{'id': 'engadget', 'name': 'Engadget'}",Think tank's new task force will forecast AI's challenges,https://www.engadget.com/2018/03/15/think-tanks-new-task-force-will-forecast-ais-challenges/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D8660%252C5773%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C1067%26image_uri%3Dhttp%253A%252F%252Fo.aolcdn.com%252Fhss%252Fstorage%252Fmidas%252F73f9e46100390c9e8d5d46f73bda3b1%252F206218139%252Fdigital-human-brain-covered-with-networks-picture-id870184586%26client%3Da1acac3e1b3290917d92%26signature%3De79a4aeb96cee61169975825154949703ab774b3&client=cbc79c14efcebee57402&signature=07eda2b1eccec9bc22866fc39ad8d086f861c89f,engadget,Engadget,force,1
Nick Summers,"The concept is listed under a section called ""aspirations for PHV (private hire vehicle) services."" It is, therefore, a polite request, rather than a proper rule right now. Still, TfL says cryptically: ""This section also highlights where we will seek further regulatory change in the future."" So there's a chance this policy will be written into law some day. For now, the specifics are unclear — such a move would be controversial, for instance, if passengers could filter based on race and sexuality too. TfL has made clear, however, that its intention is to ""improve safety and customer service."" Uber, if you need a reminder, lost its licence in London last September. The company has appealed the decision -- the resolution could take ""years,"" apparently -- and is free to operate in the meantime. Much of TfL's gripes concern how the company reports serious crime and conducts driver background checks. These are reiterated in its policy statement today. It calls on ride-hailing companies to provide ""clear policies and action for the prevention and reporting of offences,"" and processes so that ""any allegation of crime is reported to the police and TfL in a timely fashion."" To make this a reality, it says ""further change"" may be required to licensing legislation. ""We will consult on proposals to make changes to private hire legislation as appropriate,"" the regulator hints. ""Views will be sought from stakeholders, other taxi and private hire regulators, and the public in 2018.""","Out of the blue, Transport for London (TfL) has issued a ""policy statement"" on ride-sharing services in the capital. Most of it isn't new — the bulk of the six-page document recaps older policy announcements, such as the controversial English language test fo…",2018-02-15T12:35:00Z,"{'id': 'engadget', 'name': 'Engadget'}",London may force Uber to introduce women-only UberPools,https://www.engadget.com/2018/02/15/london-ride-sharing-uber-uberpool-statement/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D3999%252C2667%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C1067%26image_uri%3Dhttp%253A%252F%252Fo.aolcdn.com%252Fhss%252Fstorage%252Fmidas%252Fe2ad4b2ba2418243e3824e54a233aa29%252F206129561%252Fsmartphone-screen-shows-the-completion-of-a-fare-booking-for-the-picture-id897118612%26client%3Da1acac3e1b3290917d92%26signature%3D0bc74b32ed5d17101b61122932ef537f7194bf7d&client=cbc79c14efcebee57402&signature=eacd1d38bdc263bd77b4037fd87dd1d5a14f6b15,engadget,Engadget,force,1
Mallory Locklear,"While the Democrats had enough signatures to call for a vote, they're still one person away from actually overturning the FCC decision. And in order to encourage one more Senator to join every Democrat and the one Republican who have committed to vote for net neutrality, BattleForTheNet.com launched its Red Alert campaign today. A number of companies including Reddit, Tinder, Match.com, OkCupid, TripAdvisor, Tumblr, Etsy, Pornhub, Wikimedia and GitHub are posting red alerts on their sites today urging visitors to contact their Senators and express their support for net neutrality. Today we are officially filing the petition to force a Senate vote protecting #NetNeutrality – the essential foundation of our free, open internet. https://t.co/UkfWOc5wcv — Richard Blumenthal (@SenBlumenthal) May 9, 2018 ""The internet is lighting up in protest once again because this Senate vote will impact the future of the web for years to come,"" Evan Greer, deputy director of Fight for the Future, said in a statement. ""This is the most important moment in tech policy since the FCC repeal and everyone should be paying attention. This is the moment for entire web to come together to fight. Net neutrality is not a partisan issue outside of Washington DC. Now we need to get DC to catch up with the rest of the country."" If they get that last needed vote and successfully overturn the FCC decision, the House of Representatives will have to take a similar measure. Senator Markey said today that there are already 160 Representatives on board, but that's far from the 218 needed for a vote to restore net neutrality. If that effort is successful, Donald Trump could still overturn the measure with a veto. Today is the day. @SenateDems are officially filing the petition that allows us to force a vote on the Senate floor to save #NetNeutrality. But we still need #OneMoreVote to get it done. If you want to protect a free &amp; open internet, make your voices heard before it's too late! pic.twitter.com/L49Pf2rI50 — Senator Cortez Masto (@SenCortezMasto) May 9, 2018 ""Congress is fast approaching one of the most consequential votes on internet policy and free expression this century,"" Demand Progress Director of Communications Mark Stanley said in a statement. ""Lawmakers are going to have to make a choice, and the sides are clear. They can join with big cable companies that want to control the internet for profit. Or they can stand with the millions of Americans who rely on the open internet for news, entertainment and communication, as well as small business owners who depend on it for their livelihoods.""","Today, Senate Democrats filed a petition that will force a vote on the FCC's removal of net neutrality protections. The FCC's decision was published in the Federal Register on February 22nd and as per the Congressional Review Act, the Senate has 60 days from …",2018-05-09T16:37:00Z,"{'id': 'engadget', 'name': 'Engadget'}",Senators force vote in an effort to restore net neutrality,https://www.engadget.com/2018/05/09/senators-force-vote-to-restore-net-neutrality/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fs.aolcdn.com%2Fhss%2Fstorage%2Fmidas%2F481a03d3651267da624e75ce314c6fb2%2F206361160%2Fsenate-ed.jpg&client=cbc79c14efcebee57402&signature=69c18da7264fe171d95f495a4e1160985ffc4230,engadget,Engadget,force,1
Kris Holt,"""Just as we've done in ages past, the United States meet the emerging threats on this new battlefield,"" Pence said, according to the Washington Post. ""The time has come to establish the United States Space Force."" Under the plan, the Pentagon will recruit a civilian Assistant Secretary of Defense for Space, and set up an office to develop tech and buy satellites to help the US in space combat. If Congress gives the green light to Space Force, the sixth branch of the military could officially be formed as early as 2020. President Donald Trump ordered the creation of Space Force in June, turning his admitted joke idea into a reality. Some members of Congress last year floated the idea of forming a Space Corps inside the Air Force, which didn't go anywhere after some military officials opposed the move. Space Force is a more expansive project -- eventually, there could be a new member of the Joint Chiefs of Staff representing the new military branch.","Vice President Mike Pence has detailed a plan to establish Space Force as a new military branch. In a Pentagon speech, he laid out proposals to form a US Space Command (as was previously reported ) that would focus on defending space. White House officials ai…",2018-08-09T16:32:00Z,"{'id': 'engadget', 'name': 'Engadget'}",Vice President Pence lays out plan to create Space Force,https://www.engadget.com/2018/08/09/space-force-plans-pence-military-pentagon/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D5323%252C3587%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C1078%26image_uri%3Dhttp%253A%252F%252Fo.aolcdn.com%252Fhss%252Fstorage%252Fmidas%252F9172b1ce0ec4ff4d07ecf972ae6a2543%252F206583952%252Fvice-president-mike-pence-speaks-about-the-creation-of-a-new-branch-picture-id1013892594%26client%3Da1acac3e1b3290917d92%26signature%3D50d50812bfc8cb0c1165c1892524eae7033350c2&client=cbc79c14efcebee57402&signature=7092bb2c879fe7b41e1fd37ad78a95a213d9995a,engadget,Engadget,force,1
Rob LeFebvre,"Bloomberg reports that the launch, originally scheduled for April of this year and delayed to October, will now happen in December. The Air Force confirmed to the site that the delay will accommodate ""qualification testing"" and a validation of SpaceX's Falcon 9 Block 5, the rocket that will boost the satellite into orbit. As a sixth branch of the US military, Space Force also still has yet to be approved by Congress; the Air Force currently manages all space programs. ""GPS is an essential national security asset and a key component of our nation's infrastructure and economy, but GPS programs have also been plagued by acquisition problems, delays, and cost growth,"" Cristina Chaplain, space systems director for the Government Accountability Office, told Bloomberg in an email.","Vice President Mike Pence laid out plans for the US Space Force on Thursday, calling out an advanced type of satellite, GPS III, that is apparently resistant to tampering. According to Bloomberg, however, this specific orbital machinery has been delayed for t…",2018-08-10T19:21:00Z,"{'id': 'engadget', 'name': 'Engadget'}",GPS satellite essential to Space Force has been delayed again,https://www.engadget.com/2018/08/10/gps-satellite-space-force-delayed-again/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fs.aolcdn.com%2Fhss%2Fstorage%2Fmidas%2Ff9de2282d877ab248661b0c745e0d0f2%2F206586710%2Fspacex-ed.jpg&client=cbc79c14efcebee57402&signature=4455eb89f0d40cd90092726bceb09c3c4c0b2b36,engadget,Engadget,force,1
Andy Greenberg,"In 2019, an indictment of Iranian hackers targeting American government officials barely raises an eyebrow. But in one remarkable case, those hackers had an unusual advantage: the alleged help of an American defector with a top secret clearance.
On Wednesday, the Department of Justice announced charges against Monica Elfriede Witt, a former Air Force counterintelligence officer who, the indictment claims, was recruited by the Iranian government to spill highly classified information, some of which was then used by Iranian hackersfour of whom are also chargedto target Witt's former US government colleagues. The charges represent a rare defection of an American military officer to become an active participant in another country's espionage operations.
Witt allegedly helped exposed the identity of an active US agent, as well as the code name and classified details of a secret US counterintelligence operation, all in service of Iran.
""The case unsealed today underscores the dangers to our intelligence professionals, and the lengths our adversaries will go to identify them, expose them, target them, and in a few rare cases ultimately turn them against the nation they swore to protect,"" assistant attorney general John Demers said in a press conference. ""Espionage by past or current members of the intelligence community poses a threat to our country, and a heightened danger to their former colleagues.""
The indictment against Witt tells the story of an American former military officer and contractor slowly drawn into Iran's influence over the course of several years. Finally, in 2014 and 2015, she allegedly became an active participant in Iranian espionage operations, helping the four hackers named in the indictmentMojtaba Masoumpour, Behzad Mesri, Hossein Parvar, and Mohamad Paryarto hone honeypot attacks via email and social media phishing that targeted eight of her former colleagues.
Switching Sides
Witt spent a decade as an Air Force intelligence specialist, and then two years working for a contractor left unnamed in the indictment. Afterward, in early 2012, Witt allegedly traveled to Iran to attend an all-expenses-paid ""Hollywoodism"" conference held by an Iranian group known as New Horizons, which the Justice Department describes as focused on anti-American propaganda, including anti-semitism and Holocaust denial. According to the organization's website, its conferences focus on topics including ""Muslims in Europe, Islamophobia, Iranophobia, Discriminations, US State hostility towards Afro-Americans, Zionist Lobby,"" and ""911."" Around the same time, the indictment says, Witt appeared in videos broadcast on Iranian TV criticizing the US government and converting to Islam.
Three months later, the FBI says it warned Witt she was a target for Iranian recruitment. Just weeks after that warning, she was hired by an Iranian-American based in Tehranwhom the indictment labels ""Individual A""to work on a film the indictment describes as a documentary with an anti-American bent. The following year, Witt attended the ""Hollywoodism"" conference again. The Treasury Department joined in Wednesday's press conference to announce new sanctions against New Horizons, as well as an unnamed private firm that employed the hackers she aided.
The indictment details messages Witt allegedly sent to Individual A documenting her transition. ""I am endeavoring to put the training I received to good use instead of evil,"" she wrote, adding a smiling emoji. ""Thanks for giving me the opportunity.""
They allegedly created a persona named Bella Wood, in an attempt to trick US agents into installing malware.
After her second trip to the New Horizons conference in 2013, Witt allegedly began telling her Iranian-American contact that she was ready to defect, or, as she described it in messages included in the indictment, become a WikiLeaks-style whistleblower. ""If all else fails, I may just go public with a program and do like Snowden :),"" she wrote. A week later, she allegedly told Individual A she had ""told all"" to representatives in the Iranian embassy in Kabul, Afghanistan. Not long after that, apparently frustrated with the suspicion and lack of action from the Iranians, she described a plan to ""slip into Russia quietly"" and contact WikiLeaks.
Ultimately, it appears that Individual A did help Witt arrange a meeting with Iranian officials in Dubai, and finally defect to Tehran.
Once she'd settled in Iran, Witt worked actively for the Iranian government, the indictment charges, telling them classified details of a sensitive ""special access project""only elliptically described in the indictmentand its specific target. Over the next two years, she allegedly helped search Facebook for details of US agents she had previously worked with, assembled ""target packages"" that provided profiles of the agents for Iranian hackers, and sharing even the name of one active agent in a compromising position, endangering that agent's life, according to assistant attorney general Demers.
Bella Wood
The Iranian hackers, according to the indictment, used Witt's target profiles to send phishing emails and social media messages to her former colleagues, including one based in Afghanistan. They allegedly created a persona named Bella Wood, in an attempt to trick US agents into installing malware that would monitor their computer activities, steal passwords, and access their webcam.
""I'll send you a file including my photos but u should deactivate your antivirus to open it,"" one email from the Bella Wood character read. ""I hope you enjoy the photos I designed for the new year, they should opened in your computer honey."" In other cases, the hackers sent links spoofing news stories at sites they controlled, as well as fake password reset pages in an attempt to steal Facebook passwords, though it's not clear if any of the intended victims fell for those ruses.
The FBIs wanted poster for Witt states only that she may be in Southwest Asiahardly a promising sign that shell ever be arrested by American authorities. But as in the growing stack of cases where the US Department of Justice indicts foreign hackers and spies, the FBI and Justice Department says they intend the charges to telegraph a message to anyone who might attempt to follow in her or her handlers footsteps.
Today should serve as a warning to those who seek out our current and former national security personnel for the sensitive information they have, and to those individuals themselves, said FBI executive assistant director Jay Tabb in Wednesdays press conference. Unlike Witt, we take the oaths we swear seriously, and we will continue to pursue those who do not.
More Great WIRED Stories","In an astonishing indictment, the DoJ details how Monica Witt allegedly turned on her former counterintelligence colleagues.",2019-02-13T19:29:02Z,"{'id': 'wired', 'name': 'Wired'}",US Air Force Defector Allegedly Helped Iran Hack Americans,https://www.wired.com/story/us-air-force-defector-allegedly-helped-iran-hack-americans/,https://media.wired.com/photos/5c644d8d27a9505fee1985e3/191:100/pass/Iran-1095315442.jpg,wired,Wired,force,1
Jon Fingas,"King argued that a law was necessary as officials had ""not seen enough progress"" through the existing approach. Europeans ""cannot afford to relax or become complacent"" in dealing with extremism, he added. The EU is poised to publish the draft legislation in September. The European Parliament and individual member nations would still have to wait for the finished proposal and vote on it before it could take effect, so it may be months later before there's any definitive action. This won't necessarily be a challenge for major sites. YouTube noted that it often catches terrorist videos before authorities have even had a chance to flag them, and these companies are large enough that they can recruit more content moderators if necessary. It could be a more problematic demand for smaller sites, though, as they'll need to respond just as quickly as their larger counterparts without the same. A law could help by encouraging sites to think about anti-extremist strategies from the get go, but it might also create logistical headaches for sites with limited staff and tight budgets.","The European Union is no longer convinced that self-policing is enough to purge online extremist content. The Financial Times has learned that the EU is drafting legislation to force Facebook, Twitter, YouTube and other internet companies to delete material w…",2018-08-20T05:24:00Z,"{'id': 'engadget', 'name': 'Engadget'}",EU draft law would force sites to remove extremist content,https://www.engadget.com/2018/08/20/eu-draft-law-forces-sites-to-remove-extremist-content/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D3725%252C2474%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C1063%26image_uri%3Dhttp%253A%252F%252Fo.aolcdn.com%252Fhss%252Fstorage%252Fmidas%252F8f83317b5de3d8d0b81f72860ed9790c%252F206604894%252Ffacebook-logo-is-seen-on-a-portable-device-with-the-eu-flag-displayed-picture-id874990412%26client%3Da1acac3e1b3290917d92%26signature%3D6777928fe9dd210f2d79613b0630423c473c442d&client=amp-blogside-v2&signature=0860a9eb5a3c9b4dea01b327e4c8a3db1e0cc7fb,engadget,Engadget,force,1
