author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
Jon Fingas,"Fortnite has had its share of map-changing events, but its latest might be the most conspicuous to date. Epic kicked off its Ice Storm event on January 19th through an in-game spectacle where the mysterious ice sphere (added with the recent 7.20 patch) broke open to reveal the Ice King, who promptly blanketed the entire map in snow and populated it with undead Ice Fiends. Unlike some events, it won't matter where you prefer to drop -- you'll be more conspicuous (unless you have the right outfit, that is) and may have to fend off zombie adversaries.","Fortnite has had its share of map-changing events, but its latest might be the most conspicuous to date. Epic kicked off its Ice Storm event on January 19th through an in-game spectacle where the mysterious ice sphere (added with the recent 7.20 patch) broke …",2019-01-21T04:14:00Z,"{'id': 'engadget', 'name': 'Engadget'}",'Fortnite' Ice Storm event blankets the map in snow,https://www.engadget.com/2019/01/20/fortnite-ice-storm-event/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D1600%252C1067%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C1067%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-uploaded-images%252F2019-01%252F5caafb50-1cd2-11e9-beff-7a67c0de5ff1%26client%3Da1acac3e1b3290917d92%26signature%3Dfa7b7069828ff32898aa7280d5973b8c865d7645&client=amp-blogside-v2&signature=2e26c7ec0f330d8ff219116cd8618b5bb4b3a349,engadget,Engadget,ice storm,1
JENNIFER FINNEY BOYLAN,"At first, our family embraced the spectacle with some excitement — school was closed, and the four of us realized we had to depend on ourselves to make it through the storm. We fired up our stoves, chopped wood, moved perishables from the dead refrigerator to the front porch. It was like camping, with furniture. In those days our young sons had a well-established routine for the final couple of hours of the day — after dinner and a bath, they’d watch “Rugrats” on television or a few other shows, including National Geographic’s “Geo Kids,” an educational program featuring a talking galago and a grumpy old chameleon named Uncle Balzac. Now, however, the television was dark, along with the rest of the freezing house. Instead, we read books by candlelight. We played cards. We wore union suits and woolen sweaters and squirrel-fur hats. At one point I invented something called “Human TV,” which involved me sitting in front of the screen as my sons pointed a flashlight at the television, illuminating me. I mounted a live-action version of their evening programs. I was no Uncle Balzac, but I have to admit that there were some moments in “Human TV” that were highly entertaining, not the least of which was my rendition of the chameleon’s song about its changing colors. My sons thought this was more entertaining than the Ringling Bros. circus. In short order they insisted on climbing off the sofa and joining me, leaving my spouse sitting on the couch shining a flashlight on the three of us with a look of fear and wonder. As our second week in the dark began, I saw a line of National Guard trucks rolling into town, and something about it filled me with such an overwhelming sense of our vulnerability, and the fragility of human life, that tears spilled over my eyelashes and ran down my face. On another day, I took Zach to a nearby golf course to go sledding. Just to get to the big hill at the course we had to walk through a frozen archway of trees, and as we did, limbs snapped and fell upon the ice all around us. My son looked at me and said, “Are you sure this is safe?” I didn’t know what to tell him. I wasn’t sure of anything. We climbed to the top of the hill, and we piled into the toboggan. Then we pushed off. I’ll never forget that ride, my arms around my child, the two of us rushing down the hill at a speed that, all these years later, I am willing to admit was probably way too fast. It seemed to last forever, the two of us just gliding. Blinding sunlight reflected off the ice. The frozen air rushed against our cheeks. Whenever I think of my son, now grown and several years out of college, I think of us on that sled. In the wake of the bomb cyclone this week, I fear there will be other families trapped, as we were, in the dark and the cold. I pray that we all make it to the other side of this new storm safe and sound. But I also hope that some people are able, fleetingly, to find what our family found 20 years ago, which was that being cut off from civilization — for a little while, anyway — brought us closer together. When our lights finally came back on, on Day 11, we looked around our house at the almost inconceivable mess it had become during our time in the dark. Dishes were piled high in the sink; the floor was littered with wood chips and dirt. But my son’s first reaction to the restoration of civilization was a look of disappointment. “What?” I said. “Aren’t you glad we have power again?” “Yeah,” Zach said. “But I’m going to miss ‘Human TV.’” That night, we turned off the lamps in the den again, and my sons and I imitated the voices of a galago and a chameleon. My spouse looked on in wonder, shining a light upon us in the dark. Continue reading the main story",The ice storm in Maine in 1998 left more than half of the state’s population without power.,2018-01-04T19:34:59Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","Contributing Op-Ed Writer: Trapped, and Freed, by the Ice",https://www.nytimes.com/2018/01/04/opinion/bombcyclone-blizzard-winter-snow.html,https://static01.nyt.com/images/2018/01/04/opinion/04boylanSub/04boylanSub-facebookJumbo.jpg,the-new-york-times,The New York Times,ice storm,1
JONATHAN WOLFE,"But let’s get you through the next few hours. Here’s what you need to know for your morning commute: • Subways and Long Island Rail Road are running with normal service. • Metro-North Railroad is running on a reduced schedule. The last Hudson Line train from the city will leave Grand Central at 7:59 p.m. • New Jersey Transit has implemented a limited weekday rail schedule and is cross-honoring tickets for rail, buses and private carriers, but not for PATH or NY Waterway ferries. Bus service in North and Central New Jersey may be suspended this afternoon. • Bridges and tunnels are open, and Seastreak and NYC Ferry are operating normally, but may experience delays. • A travel advisory is in effect for all areas east of Interstate 81, essentially, the entire eastern half of New York State. • Amtrak is operating on a modified schedule in the Northeast Corridor. • Check your flight at La Guardia, Kennedy and Newark before you head to the airport. Around 500 flights have been canceled at the three airports so far. The storm should blanket the city unevenly, said Patrick Maloit, a meteorologist at the National Weather Service. Northern Manhattan and the Bronx are expecting seven to 11 inches; Northern Queens, Brooklyn and Staten Island should get seven to nine inches; and Southern Queens is looking at four to seven. “The other wrinkle is that there’s a slight chance of thunder this afternoon,” Mr. Maloit said. “If we get it, anyone who’s underneath the thunder snow could get a rate of two to four inches of snow an hour.” Generally, the snow is going to be heavy, wet and mixed with rain in some areas, Mr. Maloit added. (So pull on your winter boots and pack an extra pair of socks.) Wind gusts are expected to reach 45 miles an hour, well below the destructive gusts seen in Friday’s storm, when eight people were killed and more than two million were left without power. (More than 9,000 customers in the city and Westchester still don’t have power.) A costal flood advisory is in effect along Jamaica Bay. Gov. Andrew M. Cuomo announced a storm assistance hotline to update the public on shelters, warming shelters and power outages. New Yorkers can call (886) 697-2434 for help. Travel safely this morning. Exercise caution and leave extra time for your trip to work. We’ll keep you updated on the storm throughout the morning. Here’s what else is happening: In the News • The jury in the trial of Joseph Percoco said it couldn’t reach a decision. The judge told them to try again. [ New York Times ] Photo One juror wrote, “the only thing we seem to agree on is that we cannot agree.” Credit Holly Pickett for The New York Times • Cynthia Nixon, the “Sex and the City” star and education advocate, has been speaking to political operatives and studying up on policy issues. Is she considering a run for governor? [ New York Times ] • A man who was seriously injured in a Bronx hospital shooting last year is calling for an end to sales of AR-15 rifles, joining the national debate surrounding the weapon. [ New York Times ] • Hearing testimony in the murder trial of an Upper West Side nanny was grisly enough, but now crime-scene photos have emerged. [ New York Times] • After two children were killed at an intersection in Brooklyn, people are asking the mayor to make changes that can better control traffic. [ New York Times] Photo The mayor’s morning workout was disrupted. Credit Theodore Parisienne • Republicans are calling for school safety, and Democrats are calling for gun control. Can Albany find common ground? [ New York Times ] • The Pingry School knew about a former teacher’s record of abuse charges, but never told the students or their families. Now a victim is pressing charges. [ New York Times ] • A federal judge in Brooklyn says if Martin Shkreli can’t pay back the money he made from committing fraud, the government would confiscate his one-of-a-kind Wu-Tang Clan album. [ New York Times ] • This photo album presents you with an uncommon sight: an Orthodox Jewish community in vibrant color, and partying hard. [ New York Times ] • Internal New York Police Department files show that over 300 officers have made offenses serious enough to warrant firing, but all are still employed. [ Buzzfeed ] • As if coping with diabetes weren’t hard enough, the cost of treatment is a challenge in itself. [ WNYC ] • Today’s Metropolitan Diary: “ An Old-School Tradition ” • For a global look at what’s happening, see Your Morning Briefing. Coming Up Today • Explore technology’s relationship to freedom through performances, exhibitions, and discussions at Refest 2.0, through Sunday, at La MaMa Galleria in Lower Manhattan. 6 p.m. [Free] • The author Zack O’Malley discusses his book “ 3 Kings: Diddy, Dr. Dre, Jay-Z and Hip-Hop’s Multibillion-Dollar Rise ” at The Corner Bookstore on the Upper East Side. 6 p.m. [Free] • An evening of Irish electro-folk music at National Sawdust in Williamsburg, Brooklyn. 6 p.m. [$29] • Alternate-side parking is suspended today and tomorrow for snow removal. • For more events, see The New York Times’s Arts &amp; Entertainment guide. And Finally... Photo Is this on your to-do list? Credit Christopher Occhicone for The New York Times We love a good snow day. As the need to go out into the world melts away, so do its distractions. Cooking can be the evening’s entertainment. Binge-watching feels not only guilt-free, but necessary. And we finally get to make time for our favorite snowstorm activity: doing nothing at all. But we’d like to know about your snowy weather rituals. What are your favorite New York activities during a snowstorm, either indoors or outside? Tell us at nytoday@nytimes.com. Please include your full name, age and the neighborhood or city in which you live. We may include your response in an upcoming New York Today column. New York Today is a morning roundup that is published weekdays at 6 a.m. If you don’t get it in your inbox already, you can sign up to receive it by email here. For updates throughout the day, like us on Facebook. What would you like to see here to start your day? Post a comment, email us at nytoday@nytimes.com, or reach us via Twitter using #NYToday. Follow the New York Today columnists, Alexandra Levine and Jonathan Wolfe, on Twitter. You can find the latest New York Today at nytoday.com. Continue reading the main story","Wednesday: The latest on today’s storm, the Ice Theater of New York performs, and your favorite snowstorm activities.",2018-03-07T11:02:22Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",New York Today: New York Today: A Winter Storm Hits the City,https://www.nytimes.com/2018/03/07/nyregion/new-york-today-a-winter-storm-hits-the-city.html,https://static01.nyt.com/images/2018/03/07/nyregion/07nytoday1/07nytoday1-facebookJumbo.jpg,the-new-york-times,The New York Times,ice storm,1
"Maddie Stone on Earther, shared by AJ Dellinger to Gizmodo","Weather watchers may be more preoccupied of late with storms popping off in the Gulf of Mexico and the eastern Pacific, but a very unusual cyclone also spun up over the Arctic this week—and it could spell more bad news for the region’s ailing sea ice. The Arctic is no stranger to cyclones, but the latest no-name storm, which emerged in the Kara sea north of Siberia, has garnered attention both for its size and timing. The storm’s central pressure (a measure of its strength) bottomed out Thursday at about 966 millibars, placing it par with the Great Arctic Cyclone of 2012, one of the most extreme summertime storms in recent memory. That storm reached a minimum central pressure 963-966 millibars, depending on which analysis you trust. The new storm’s occurrence in June is also noteworthy. Big cyclones like this don’t normally start hitting the Arctic until late summer. The Great Arctic Cyclone of 2012 spun up in August as did a major storm in 2016. “Preliminarily, this storm could rank in the Top 10 for Arctic Cyclones in June as well as for the summer (June through August) in strength,” Steven Cavallo, a meteorologist at the University of Oklahoma, told Earther via email. Xiangdong Zhang, a scientist at the International Arctic Research Center who specializes in Arctic cyclones, cited a few factors responsible for the storm’s formation, including low sea ice cover in the North Atlantic which has increased the amount of heat in the atmosphere, a strong temperature gradient between land and sea, and the stratospheric polar vortex, an area of low pressure just above the storm. “The downward intrusion of this polar vortex intensified [the] storm,” Zhang told Earther via email. The no-name storm reached peak photogenicity yesterday, with the National Oceanic Atmospheric Administration capturing a stunning high-resolution image. While your typical late-season Arctic cyclones are notorious for chewing up sea ice, what this early season beast will mean for ice remains to be seen. “This storm is very quick-moving and occurring earlier in the season,” University of California, Irvine Ph.D. candidate Zack Labe told Earther via Twitter direct message. “Its impacts to sea ice are likely not comparable to these other strong cyclones that have occurred later in the summer.” Labe noted that early summer storms can favor cooler, cloudier conditions, slowing down the loss of sea ice, which typically bottoms out in September. However, he added that a storm of this strength “may precondition the ice for easier melt later in the season.” Zhang said that due to the storm’s location, it can transport more sea ice out of the Arctic through the passage between Greenland and Svalbard known as the Fram Straight. “This will contribute to Arctic sea ice decrease, in particular thick ice,” he said. Storm or no, it’s been a weird, bad year for Arctic sea ice so far. After limping along all winter, Bering sea ice was basically gone by May, months ahead of schedule. Even before this storm, sea ice around Svalbard was looking more like it should in September. Overall, Arctic sea ice extent for May was at its second-lowest on record, according to the National Snow and Ice Data Center’s latest monthly sea ice report released on June 6. The role of rising temperatures in driving down sea ice is well established. But there’s also growing evidence that climate change could fuel more ice-shredding cyclones. Research going back to the early 2000s suggests Arctic cyclone activity is on the rise. And a study published in April concluded that these storms will become more frequent and intense in the future as the contrast between land and sea temperatures continues to rise.","Weather watchers may be more preoccupied of late with storms popping off in the Gulf of Mexico and the eastern Pacific, but a very unusual cyclone also spun up over the Arctic this week—and it could spell more bad news for the region’s ailing sea ice. Read mo…",2018-06-08T20:32:00Z,"{'id': None, 'name': 'Earther.com'}",A New Arctic Cyclone Could Be Among the Most Powerful On Record,https://earther.com/a-new-arctic-cyclone-could-be-among-the-most-powerful-o-1826679817,"https://i.kinja-img.com/gawker-media/image/upload/s--VT6eWqvk--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/xs0hcj7f8axeji3nrddz.jpg",,Earther.com,ice storm,1
George Dvorsky,"Evidence of an unusually strong solar storm that hit Earth in 660 BCE has been detected in Greenland ice coresa finding which shows we still have lots to learn about these disruptive events.
An extreme form of solar storm, known as a solar proton event (SPE), struck our planet 2,679 years ago, according to new research published today in Proceedings of the National Academy of Sciences. If an event of such magnitude were to happen today, it would likely wreak havoc on our technological infrastructure, including communications and navigation. Lund University geologist Raimund Muscheler and his colleagues presented evidence in the form of elevated levels of beryllium-10 and chlorine-36 isotopes embedded within ancient Greenland ice cores.
Its now the third massive SPE known to scientists, the others occurring 1,245 and 1,025 years ago. This latest discovery means solar storms of this variety are likely happening more frequently than we thoughtperhaps once every 1,000 yearsbut more data is required to create more reliable estimates.
SPEs happen in the wake of a massive solar flare or coronal mass ejection on the Sun. These stellar events send streams of particles, including high-energy protons, toward Earth, where they interact with the Earths atmosphere, triggering reactions that increase the rate of radionuclide production, including carbon-14, beryllium-10, and chlorine-36 (radionuclides are unstable atoms with excess nuclear energy). Traditionally, SPEs have been detected as spikes of carbon-14 in tree rings, but they can also be spotted as spikes of beryllium-10 and chlorine-36 in ancient ice cores. The authors of the new study said scientists tend to overemphasize carbon-14 at the expense of searching for other markers, and that efforts to find [SPEs] based solely on [carbon-14] data likely lead to an underestimated number of such potentially devastating events for our society.
SPEs are capable of temporarily degrading the Earths ozone layer, which allows excessive amounts of ultraviolet radiation to reach the ground. This is (moderately) bad for lifeforms on the surface, but its not the kind of thing that could trigger a mass extinction. As a risk, SPEs are a much bigger problem in terms of how they would affect our technologies; a sufficiently strong SPE poses a threat to modern society in terms of communication and navigation systems, space technologies, and commercial aircraft operations, according to the new study. These extreme space weather events could also be catastrophic for astronauts working in the International Space Station, who arent shielded by Earths atmosphere. 
Importantly, SPEs are not to be confused with geomagnetic storms, which are a related, but distinct, phenomenon. 
SPEs have been detected before, including events in Quebec (1989) and Sweden (2003) but the the newly discovered storm appears to have been stronger than anything seen with our modern instruments over the past 70 years. Indeed, we now have the tools to detect these events as they happen. For the new study, Muscheler and his colleagues analyzed two Greenland ice cores, finding spikes of both beryllium-10 and chlorine-36 in ice dated at 2,679 years oldevidence consistent with an SPE.
We think that we could exclude other suggested hypotheses for such increases, such as supernova explosions or gamma ray bursts, Muscheler told Gizmodo. The team also found increased values of carbon-14 in trees rings that correspond to the 660 BCE event, which is to our knowledge only consistent with the effects of a solar proton event, he said. 
So thats three extreme PCEs in the past 2,700 years (that we know of)an observation consistent with an occurrence rate of one every 1,000 years. But while this inference is a tempting one to make, Muscheler said we need to be careful about jumping to conclusions owing to a dearth of data. 
I think the statistical bases for occurrence rate estimates is very weak, he said. We now have three of such events660 BCE, 775 AD and a slightly weaker one at 993 ADbut to say that these occur on average every 1,000 years would be very speculative. We will need more high-resolution carbon-14, beryllium-10, and chlorine-36 data to get this occurrence rate more robustly. To which he added: We have only a very short window into the Suns behavior by our observations and measurements over the last 70 years, but as the new research makes clear, the Sun can produce much more powerful eventsthis has to be included in todays risk analyses.
No doubt, more examples of similar events in Earths history would be helpful. To that end, Muscheler is in Bern, Switzerland right now trying to acquire new high-resolution samples for this very purpose. Until more is known, however, its best to prepare, creating technologies and systems capable of withstanding these extremeyet disturbingly frequentstellar events.
[Proceedings of the National Academy of Sciences]",Evidence of an unusually strong solar storm that hit Earth in 660 BCE has been detected in Greenland ice cores—a finding which shows we still have lots to learn about these disruptive events. Read more...,2019-03-11T19:00:00Z,"{'id': None, 'name': 'Gizmodo.com'}","Traces of Giant, 2,700-Year-Old Solar Storm Detected in Greenland Ice",https://gizmodo.com/traces-of-giant-2-700-year-old-solar-storm-detected-in-1833205336,"https://i.kinja-img.com/gawker-media/image/upload/s--L4s2-kM---/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/psi8hjfzpwiemoioyrxu.jpg",,Gizmodo.com,ice storm,1
Patrick Allan,"A massive, super cold storm is set to slam into the East later this week thanks to a process known as “bombogenesis,” and it’s going to have a massive impact on air travel. If you’re flying later this week, you might want to think of a backup plan, or at least pack a nice long book. Next time you go to book a flight you might want to look at the early-morning options first.… Read more Read According to the NOAA, bombogenesis is term used by meteorologists to describe the process of a cyclone that rapidly intensifies as it drops in atmospheric pressure (also known as a “bomb cyclone). In this case, it’s because there’s cold air from the land colliding with warm air over the ocean water. Think of it as a winter hurricane. It sounds scary, but it’s actually pretty common, especially on the East Coast where this type of thing occurs almost every year, albeit usually on a smaller scale. Unfortunately, this particular storm is shaping up to be a pretty big one, and freezing temperatures, massive blizzards, tons of ice, and high-speed winds are going to make it really hard for planes to fly and for airports to keep things running smoothly. This probably isn’t going to go too well. If you have a flight in or out of any airports on the East Coast—from Florida’s Tallahassee International (TLH) all the way up to Maine’s Bangor International (BGR)—you should contact your airline immediately and see what’s going on. Many airlines are preparing for major delays and cancellations, but they’re also offering travel waivers to passengers in case you’d like to change your flights to a later date at no additional cost. These airlines include Alaska, American, Delta, Frontier, JetBlue, Southwest, Spirit, United, and more. JT Genter at The Points Guy blog has a thorough list of what each airline is offering for this particular weather event. It’s important you take some initiative here and contact your airline so you know the specifics for your flight itinerary, but it’s also helpful if you can be flexible and delay your trip. Delays are all but guaranteed, and cancellations are definitely possible as well. Keep in mind that when you bought a ticket you agreed that the airline is not responsible for paying for your food or hotel stays in the event of weather-related delays or cancellations. Be prepared for the worst to happen and plan accordingly. Safe travels.","A massive, super cold storm is set to slam into the East later this week thanks to a process known as “bombogenesis,” and it’s going to have a massive impact on air travel. If you’re flying later this week, you might want to think of a backup plan, or at leas…",2018-01-03T19:30:00Z,"{'id': None, 'name': 'Lifehacker.com'}",How the Bombogenesis Storm Is Going to Affect Air Travel,https://lifehacker.com/how-the-bombogenesis-storm-is-going-to-affect-air-trave-1821744270,"https://i.kinja-img.com/gawker-media/image/upload/s--VO2UU9Hh--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/bqxloqhue8oxllf7twhe.jpg",,Lifehacker.com,ice storm,1
Chloe Bryan,"Let Jim Cantore scare you into staying inside this weekend.
The Weather Channel meteorologist stars in a new video previewing this weekend's winter storm, which is set to strike the Midwest and Northeast. Like the network's previous videos about storm surges and wildfires, the segment utilizes immersive mixed reality (IMR), which means that that simulated fallout from the storm ""happens"" around Cantore as the video progresses. 
It also means that everything looks extremely real and scary. A power line falls. A city bus skids on the ice. Are you venturing outdoors this weekend? Please do not.","Let Jim Cantore scare you into staying inside this weekend. The Weather Channel meteorologist stars in a new video previewing this weekend's winter storm, which is set to strike the Midwest and Northeast. Like the network's previous videos about storm surges …",2019-01-18T22:51:18Z,"{'id': 'mashable', 'name': 'Mashable'}",The Weather Channel previews ice storm in scary immersive mixed reality,https://mashable.com/video/weather-channel-jim-cantore-ice-storm-immersive-mixed-reality/,https://mondrian.mashable.com/2019%252F01%252F18%252F6b%252F2ae2af4ed7924d798e7a6eac3488b618.e96f9.png%252F1200x630.png?signature=joHnmj2DVebSLrLhe3vZlDViVgE=,mashable,Mashable,ice storm,1
"Judson Jones and Madeline Holcombe, CNN","(CNN)A winter storm will unload a messy mix of heavy snow, strong winds and frigid temperatures across parts of the Midwest and Northeast over the weekend. 
About 115 million people are under some form of a winter storm watch, warning or advisory across the United States. 
Forecasters expect a substantial amount of precipitation Saturday evening through Sunday up and down the East Coast. Snow will start Saturday evening in Boston and New York, which will then turn into a wintry mix and freezing rain overnight into Sunday. 
The National Weather Service in New York is forecasting 3 to 6 inches of sleet and snow plus possible ice. New York may warm up enough for rain Sunday morning, but freezing is expected by the evening when temperatures plummet. 
New York Gov. Andrew Cuomo said a ban on tractor-trailers and buses on most highways in the state will begin Saturday at 3 p.m. ET. Amtrak will operate a modified service Saturday and Sunday due to the weather, it said. 
Thousands of flights canceled
Travel through Sunday will be affected, with nearly 2,000 flights involving domestic airports canceled, according to the flight-tracking site FlightAware.com. Airlines are issuing waivers for travelers in the Midwest and Northeast. 
Eppley Airfield in Omaha, Nebraska, closed for several hours after a Southwest Airlines flight went off a runway while taxiing. The airliner slid onto a runway overrun area, Southwest Airlines said. 
None of the 150 passengers and six crew members was injured, the airline said. 
The storm system is associated with the same upper-level energy as one on the West Coast that dumped rain in Los Angeles and elsewhere as well as caused blizzard conditions in the Sierra Nevada.
Blowing and drifting snow
The second storm will exit the Rockies and likely will begin to drop snow across Kansas over the weekend. 
In Missouri, Kansas City and St. Louis -- which received the brunt of a storm last week-- will get less accumulation this time. However, winds could gust up to 35 mph, causing blowing and drifting snow through Saturday night. 
Lake effect snow will enhance the amounts that Milwaukee and Chicago could face through the weekend. Both cities may get more than half a foot of snow if the conditions remain right. 
Indiana and Ohio could see rain to the south, snow to the north and ice and snow across the states' centers. 
Icing is possible in New England
This second storm will be more significant for the Northeast than the first. 
As the low tracks farther east, warm air is likely to mix in from the South. At this time, it's uncertain exactly where the line between rain and snow will form. 
Winter storm watches are already posted for upstate and inland New England. Heavy snow and sleet will pile up at least 6 to 12 inches deep, with some icing for added misery.
The Interstate 95 corridor through New England seems to be where the bulk of the ice will form, with up to an inch of freezing rain possible in Connecticut, Rhode Island and Massachusetts. 
New Jersey Gov. Phil Murphy declared a state of emergency beginning Saturday at noon. He told residents to stay off the roads and prepare for possible power outages.
Deep chill across the United States 
Behind this second storm, a deep chill will grip much of the eastern half of the United States.
It may warm up enough for rain across the Midwest and Northeast on Sunday but will quickly dip below freezing. It's expected to happen so fast it would instantly freeze any moisture on the ground or surrounding objects. 
The extreme cold follows the storm and moves into the rest of the Eastern United States on Monday. 
This arctic air will spill out across the country later next week as far south as Florida, leaving most of the continental United States with below-average temperatures. 
CNN's Steve Almasy, Rob Frehse, Joe Sutton and Monica Garrett contributed to this report.","A winter storm will unload a messy mix of heavy snow, strong winds and frigid temperatures across parts of the Midwest and Northeast over the weekend.",2019-01-19T08:27:58Z,"{'id': 'cnn', 'name': 'CNN'}",Storm to bring snow and ice to 115 million people in its path,https://www.cnn.com/2019/01/19/us/weekend-winter-storm-wxc/index.html,https://cdn.cnn.com/cnnnext/dam/assets/190117140800-winter-storm-card-01172019-super-tease.jpg,cnn,CNN,ice storm,1
JONATHAN WOLFE,"If the forecast holds, this could be the biggest spring snowstorm in our city’s history. New York City’s largest snowstorm after the vernal equinox was on April 3, 1915, when 10 inches fell. For those lamenting spring’s slow arrival, note that things could be worse. The latest in the season that New York had substantial snowfall was on April 25 (in 1875), when three inches fell on Central Park. And a trace fell on May 29, in 1995. This nor’easter is forecast to drop more snow on New York City than the previous storms this month, the last of which killed two people and left hundreds of thousands in the region without power. Power failures are possible throughout the day. Like earlier this month, we could see some thundersnow, and lots of sleet. What is sleet, exactly? “Sometimes what happens is that, in between a cloud that’s producing snowflakes and the ground, you get a layer of warm air,” Mr. Homenuk said. “The snowflake from the cloud melts into a raindrop in the warm layer, and then passes back into freezing air, and then it refreezes into like an ice pellet.” (Unlike freezing rain, which freezes after it hits the ground.) “When it’s sleeting, you will know,” he added. “Sleet stings. It pings you. It’s not as gentle as a snowflake.” Here’s what else is happening:","Wednesday: The latest on the storm heading toward New York City, and how it could affect your commute.",2018-03-21T09:43:28Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",New York Today: New York Today: Spring Snowstorm,https://www.nytimes.com/2018/03/21/nyregion/new-york-snowstorm-spring.html,https://static01.nyt.com/images/2018/03/21/nyregion/21nytoday1/21nytoday1-facebookJumbo.jpg,the-new-york-times,The New York Times,ice storm,1
"Maddie Stone on Earther, shared by Andrew Couts to Gizmodo","In the 18th-century English ballad The Rime of the Ancient Mariner, a storm drives a sailors ship toward the South Pole, where he encounters all manner of fantastical sights, including floating icebergs as green as emerald. It may sound like author Samuel Coleridge was taking some poetic license, but emerald-colored icebergs are a real thingand more than 200 years after that ballad was inked, scientists might know what causes them.
A study published recently in the Journal of Geophysical Research: Oceans revisits the longstanding mystery of green icebergs, which sea captains have been reporting for nearly a century if not longer. While early work by the same authors suggested green icebergs got their coloration from carbon, new data made them revise their thinking. Now, they suspect that iron-oxide minerals are responsible for dyeing the bergs to look like theyre ready for a St. Patricks Day party.
If true, these iron-rich bergs could represent an important source of a crucial nutrient for the vast Southern Ocean encircling Antarctica.
Theres a lot of interest in where the iron [in the Southern Ocean] is coming from, lead study author Steve Warren, a geophysicist and emeritus professor at the University of Washington, told Earther. If it can get into marine ice, these bergs can travel hundreds of miles.
Warrens experience with green icebergs dates back to 1988, when he joined an Australian expedition to Antarctica as part of his first sabbatical. By lucky chance when the crew reached Mawson research station on the west side of East Antarcticas Amery Ice Shelf, they docked right near a rather striking iceberg that had become trapped in sea ice. 
The iceberg, Warren explained, was jade green and remarkably clear. Its clarity told the researchers they were dealing with marine ice, or ice that forms from seawater freezing at the bottom of a floating ice shelf. While the glacial ice that forms over land through the compaction of snow is opaque thanks to the presence of countless air pockets, marine ice does not contain light-reflecting air bubbles, making it see-through.
Typically, marine ice takes on a deep blue color, reflecting the distance photons of light have to travel before getting absorbed. Clearly, there was something else present in this jade-colored berg. Samples of the iceberg were collected, analyzed in the lab, and found to contain dissolved organic matter (DOM), which can produce green and yellow colors along coastlines as rivers dump tiny bits of organic material into the sea. And so the researchers hypothesized that DOM was responsible.
But in 1996, a new wrinkle to that story emerged, when Warren returned to a different part of the Amery Ice Shelf for his second sabbatical, and once again found himself confronted with a glacier of unusual hue. This one was a chimera of blue, green, and yellow-green marine ice glommed on to white glacial ice. When the berg was analyzed for DOM, both the green and blue ice were found to contain similar levels, suggesting something else was responsible for the color difference.
It was a nagging concern we didnt know what to do about, until two years ago, a paper came out of Tasmania showing large amounts of iron in marine ice collected from the bottom of a drill hole, Warren explained.
Warren and his colleagues now hypothesize that iron-oxide minerals are the culprit behind the green icebergs theyve encountered. If true, those iron-bearing minerals are likely the result of glacial flour, basically dust formed by the erosion of bedrock.
Scripps Institution of Oceanography glaciologist Helen Amanda Fricker, who studied the Amery Ice Shelfs marine ice layer as part of her PhD work and has encountered emerald bergs herself, said that the new paper offered a possible, plausible mechanism for their coloration. 
The ice shelf water [that forms marine ice] has come from the grounding line, Fricker said, referring the point where a glacier pops off the bedrock its tethered to and becomes a floating ice shelf. A lot of it probably still has sediment in it.
Still, more research is needed to be sure these giant ice popsicles are iron-flavored. Warren said he and his colleagues submitted a proposal to travel back to the Amery Ice Shelf in search of more jade bergs next spring. Hes hopeful their potential valueas a sort of dietary supplement supporting the Southern Oceans food chainhelps the group secure a grant.
After all, if that hunch is correct, a climate change-induced shift in the number of green icebergs out there could have far-reaching consequences.
The reason we might get funding [is], they might actually be important, Warren said.","In the 18th-century English ballad The Rime of the Ancient Mariner, a storm drives a sailor’s ship toward the South Pole, where he encounters all manner of fantastical sights, including floating icebergs “as green as emerald.” It may sound like author Samuel …",2019-03-06T19:30:00Z,"{'id': None, 'name': 'Gizmodo.com'}",Scientists Might Finally Know Why Some Icebergs Are Bright Green,https://earther.gizmodo.com/scientists-might-finally-know-why-some-icebergs-are-bri-1833075368,"https://i.kinja-img.com/gawker-media/image/upload/s--dGG6KiTX--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/its2qs0z6fs7toa6pnze.jpg",,Gizmodo.com,ice storm,1
