author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
John Biggs,"A new drone from the NIMBUS group at the University of Nebraska can fall out of a plane, parachute down, fly to a certain place, dig a hole, hide sensors inside it, and then fly away like some crazy wasp. Robots are weird.
The goal of the project is to allow drones to place sensors in distant and hostile environments. The system starts on a plane or helicopter which ejects the entire thing inside of a cylindrical canister. The canister falls for a while then slows down with a parachute. Once it’s close enough to the ground it pops out, lands, and drills a massive hole with a screw drill, and leaves the heavy parts to fly home.
Drones can only fly for so long while carrying heavy gear so this ensures that the drone can get there without using battery and escape without running down to empty.
“Battery powered drones have very short flight times, especially when flying with a heavy load, which we are since we have our digging apparatus and sensor system. So to get to distant locations, we need to hitch a ride on another vehicle,” said NIMBUS co-director Carrick Detweiler to Spectrum. “This allows it to save energy for return trips. In this video we used a much larger gas powered UAS with multiple hours of flight time, but our same system could be deployed from manned aircraft or other systems.”
The drone can even sense if the ground is too hard for digging and choose another spot, allowing for quite a bit of flexibility. Given that these things can land silently in far off locations you can imagine some interesting military uses for this technology. I’m sure it will be fine for us humans, though. I mean what could go wrong with a robot that can hide things underground in distant, unpopulated places and escape undetected?","A new drone from the NIMBUS group at the University of Nebraska can fall out of a plane, parachute down, fly to a certain place, dig a hole, hide sensors inside it, and then fly away like some crazy wasp. Robots are weird. The goal of the project is to allow …",2019-01-09T18:17:10Z,"{'id': 'techcrunch', 'name': 'TechCrunch'}",This hole-digging drone parachutes in to get the job done,http://techcrunch.com/2019/01/09/this-hole-digging-drone-parachutes-in-to-get-the-job-done/,https://techcrunch.com/wp-content/uploads/2019/01/MzIwNTI3Mw.jpeg?w=711,techcrunch,TechCrunch,nimbus,1
Kris Naudus,"The best controller for a game is usually the one that came with its original console, but that's not always possible when it comes to classic releases on current systems. Instead of making do with your modern gamepad, it's worth taking a look at 8Bitdo's retro-styled controllers. They capture the original style and feel of old Nintendo controllers while being compatible with iOS, Android, Windows, Mac and even the Switch. If you're looking for near-exact copies of the original pads, there's the N30 and SN30, with the 2.4G version of the latter working wirelessly with your SNES Classic. But gamers who don't want to give up modern innovations like thumbsticks will find the Pro versions of these controllers more to their liking. The N30 Pro's biggest flaw is a series of shoulder buttons that The Verge found ""cramped and uncomfortable,"" but the upcoming SN30 Pro looks to give your adult-size fingers just a bit more room to relax. *The F30 and F30 Pro are the Famicom-styled versions of the N30 and N30 Pro. Console-quality game controllers for Android devices are hard to find and, outside of the Xbox controllers, your options for Windows gamepads aren't particularly great either. The SteelSeries Stratus XL hits a sweet spot for both systems by offering a solid build and top-notch ergonomics at a reasonable price. The buttons are deep and the thumbsticks are a bit stiff, meaning some users might find the XL a bit of a struggle in shooters. But Destructoid says the D-pad is ""miles ahead of an Xbox pad,"" with fantastic diagonals ideal for fighting games. With exclusives like Thatgamecompany's Sky coming to Apple TV, games on the Apple TV are going to get way more serious, and you're definitely going to want something better than the Siri remote to play them with. The Nimbus borrows from the time-tested designs of the Xbox and PlayStation controllers but doesn't skimp on vital details: The D-pad is decent, and the thumbsticks are grippy and durable, with MakeUseOf noting that they ask for ""the perfect amount of pressure to manipulate."" Even if you haven't invested in an Apple TV, you can still enjoy the Nimbus with your iPhone or iPad, though, if using the latter, you might want to invest in a Nyko Smart Clip to hold on to your handset.","If you're picking up a game console like the Xbox One X or PlayStation 4 Pro this holiday season, congratulations: You already have a great controller for your new system. Traditionally, third-party gamepads have always been a bit subpar, the kind of thing yo…",2017-11-24T17:00:00Z,"{'id': 'engadget', 'name': 'Engadget'}",Which game controllers are worth buying?,https://www.engadget.com/2017/11/24/best-game-controller-gamepad/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fresize%3D2000%252C2000%252Cshrink%26image_uri%3Dhttp%253A%252F%252Fo.aolcdn.com%252Fhss%252Fstorage%252Fmidas%252Fef88470325b07cfd61b3cfd63dc7da05%252F203923407%252F2016PS4_controller-5_pink-edJT.jpg%26client%3Da1acac3e1b3290917d92%26signature%3D5d7fbc532cbb90f95441c021a21618f522e5cdc5&client=cbc79c14efcebee57402&signature=79f9bb8ead10060f3193323877213ac493846525,engadget,Engadget,nimbus,1
Saqib Shah,"In the V7.30 patch notes, Epic says that MFi gamepads should work with iPhones, including the Steelseries Nimbus and devices from Gamevice. Android users, meanwhile, can sync ""most"" Bluetooth controllers, with Epic shouting out the Steelseries Stratus XL, Microsoft's Xbox One pad, the Razer Raiju, and Moto Gamepad.
The update also includes 60Hz support on select Android devices like the Samsung Galaxy Note 9 (US variant), Huawei Honor View 20 and Huawei Mate 20 X. It follows 60 fps support for all 2018 iPhones, meaning Fortnite now has a higher frame rate on some iOS and Android mobiles than it does on the Nintendo Switch. Epic is also throwing in a new ""chiller"" grenade shaped like a snowman, several vaulted guns, and an experimental tournament mode that allows players to edit each other's structures regardless of team status.",Epic Games is helping to level the playing field for Fortnite players on mobile with its latest patch. The update brings support for Bluetooth controllers to iOS and Android versions of the hit battle royale game (as promised back in November). Switching from…,2019-01-29T16:16:00Z,"{'id': 'engadget', 'name': 'Engadget'}",'Fortnite' now lets you use a Bluetooth controller to play on your phone,https://www.engadget.com/2019/01/29/fortnite-mobile-bluetooth-controller/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D1280%252C720%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C900%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-uploaded-images%252F2019-01%252F700a6ee0-23dc-11e9-bffd-2b6fd775b872%26client%3Da1acac3e1b3290917d92%26signature%3D15241a3848832bbc98bfa740ce591ad55cfebaf4&client=amp-blogside-v2&signature=716d6c72858a42dd2d720c3f1344aa97d2acc06c,engadget,Engadget,nimbus,1
Nick Douglas,"Listen to me, a professional writer: School and college teach you bad writing habits. One of those bad habits is padding out your work to reach a minimum page count. Anything you do to “cheat” at your page count, by making less text look like more, is an act of noble rebellion. And the new font Times Newer Roman is an excellent, hard-to-detect tool for padding. Digital agency MSCHF meticulously designed Times Newer Roman to take up more space without looking obviously different from Times New Roman. So if you hand in a paper with this typeface, it will look just like all the other papers, and your teacher or professor is very unlikely to notice anything. That’s a huge advantage over other padding techniques like extra-wide spacing or a bigger type size, which become obvious when placed next to properly formatted text. MSCHF designed the font by tweaking the free font Nimbus Roman No. 9, which looks extremely similar to Times New Roman. MSCHF’s designers carefully widened the letters and enlarged punctuation to make the text slightly wider. In their words, they “widened specific letters along the x-axis where it’s least noticeable while maintaining stroke width and harmonious curve modeling.” The differences are so subtle that you can look at the same text in the two fonts, see that one takes up more space, and still not figure out how. You can use this on any paper that you print or export into PDF. But it won’t work if you’re handing in a Word doc, as Word won’t embed the font unless the recipient has already installed that font on their computer. And you probably shouldn’t hatch an elaborate plan to secretly install fonts on your professor’s computer. At that point you should probably just tack on a few paragraphs of bullshit. There are many agencies that try to create “viral” internet projects, but MSCHF is one of the few that makes actually useful and funny tools. Michelle Woo previously covered MSCHF’s Tabagotchi Chrome extension, built to advertise the office-share company Breather. They also made an app for tracking morning boners, and an awkward conversation generator for the Amazon Echo. Times Newer Roman isn’t made for any sponsor; the only things it’s advertising are MSCHF itself, and the inanity of page minimums. Times Newer Roman | MSCHF","Listen to me, a professional writer: School and college teach you bad writing habits. One of those bad habits is padding out your work to reach a minimum page count. Anything you do to “cheat” at your page count, by making less text look like more, is an act …",2018-09-18T14:00:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Make Your Term Paper Look 10% Longer With This Font,https://lifehacker.com/make-your-term-paper-look-10-longer-with-this-font-1829117183,"https://i.kinja-img.com/gawker-media/image/upload/s--EYaJ_70j--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/pdedtnr4mcicjm20qg6t.jpg",,Lifehacker.com,nimbus,1
Tom Westrick,"Here's how to take a screenshot on your Chromebook! Sometimes, you just need to show someone else the thing that's on your screen. In this case, taking a screenshot is the easiest thing to do. Here's how to take a screenshot on a Chromebook ! Use the keyboard The window switch key on a Chromebook. Every Chromebook has a keyboard, and taking a screenshot with the keyboard can be done in a couple ways. To capture your entire screen, hit Ctrl + window switch key. To capture only part of the screen, hit Ctrl + Shift + window switch key, then click and drag your cursor to select the area you'd like to capture. Note: If you're using an external keyboard, the combinations will be Ctrl + F5 and Ctrl + Shift + F5, respectively. Use the side buttons If you're using your Chromebook in tablet mode, it's pretty inconvenient to swing the keyboard back around just to take a screenshot. Fortunately, there's an easier way: just like on an Android phone, you can press power + volume down to take a screenshot. This only works to capture your entire screen, so if you need a cropped section, you'll still need to use the keyboard. Keep in mind that the orientation of the volume buttons don't change with the orientation of your screen, so you'll need to remember which side is volume down. Use an extension While the built-in methods above will work for most people, some users may need a bit more power. In this case, an extension like Nimbus Screenshot &amp; Screen Video Recorder may be worth checking out. As the name implies, Nimbus lets you do a simple screenshot, but also includes the ability to record a video of your screen or delay the capture if you need to screenshot a particular menu. Download: Nimbus Screenshot &amp; Screen Video Recorder in the Chrome Web Store (free) Be sure to back it up By default, your screenshots will be locally saved to the Downloads folder on your Chromebook. In there, you can open the screenshot to crop it, add a filter, and access other basic editing options. If you want to back the screenshot up permanently, you can upload it to Google Photos or just back it up to Google Drive.","Here's how to take a screenshot on your Chromebook! Sometimes, you just need to show someone else the thing that's on your screen. In this case, taking a screenshot is the easiest thing to do. Here's how to take a screenshot on a Chromebook! Use the keyboard …",2018-02-12T18:00:01Z,"{'id': None, 'name': 'Androidcentral.com'}",How to take a screenshot on a Chromebook,https://www.androidcentral.com/how-take-screenshot-chromebook,https://www.androidcentral.com/sites/androidcentral.com/files/styles/large/public/article_images/2018/02/chromebook-window-switch-key.jpg?itok=jkXLW9xM,,Androidcentral.com,nimbus,1
Jerry Hildenbrand,"Your Chromebook is a safe, inexpensive, and simple portal to the internet but it can do so much more. Whether you want to get productive, have a little fun, or keep in touch you'll find an app to help do it in the Chrome Web Store. Here's the short — and ever-changing — list of ones we think you have to try. Polarr Photo Editor One area where Chromebooks have traditionally been lacking is media creation tools. Photoshop for Chrome is a real thing, but it requires you to have an Adobe education license for Creative Cloud and live in North America. If you meet these qualifications you should definitely have a look, but for the rest of us, there is Polarr Photo Editor. Polarr is beautifully done, filled with features and is extremely lightweight. It's an offline app so you can work without an internet connection and it's the best way to edit photographs on your Chromebook. Whether you need to turn RAW files into great photos or just touch up something before you share it on Facebook, Polarr Photo Editor can handle the job. See at the Chrome Web Store Skype We're cheating a little bit here, but access to Skype is important enough to allow it. Skype on the web now supports text chat and phones calls using standard internet communication protocols — that means it works on your Chromebook. There are many different communication apps available — including Google's own Hangouts — but for many Skype is the de facto standard. Using your Skype account and Microsoft's official website, all you need to do is log and start Skyping. For those who want it, there are also several launchers at the Chrome Web Store that let you launch the Skype site in its own window through an icon, but we think a bookmark is just as good. Skype Online Any.do Any.do is one of the best ways to stay organized. It's a task manager, reminder list, calendar, and organizer all in one and it syncs across all your devices. It's also quite the looker! Using the Any.do app for Chrome gives you the same tools and features as the client for your phone (Android and iOS) does plus the ability to drag and drop attachments, notes, and tasks using your Chromebook's trackpad. Any.do is scalable and great for keeping track of a few reminders or as a complete organization tool for your entire team. See at the Chrome Web Store One Tab The browser on your Chromebook is really great. One of the best features is opening windows in a separate and sandboxed tab. But too many tabs make finding one tough, and enough of them can slow things down. One Tab has your back! One Tab puts a live link to every tab, or some tabs that you choose and puts them into one tab. You can go back and click any of the links to return and the tab survives when you close the browser or reboot your Chromebook. If you always end up with a slew of tabs open and can't find the one you need, give One Tab a try. See at the Chrome Web Store Nimbus You can take a screenshot on your Chromebook without any extra apps, but you might want to have a look at Nimbus if you need to do it more than once in a blue moon. Nimbus lets you capture all or part of your screen, but it's also able to capture full web pages. You know how difficult that can be without the right software if you've never tried. On top of that you can create and edit screencast videos with Nimbus right on your Chromebook and while offline. Nimbus is free and great at what it does. See at the Chrome Web Store Mighty Text If you're still waiting for Android apps on your Chromebook, or you just don't want to install everything from Google Play, Mighty Text is a great way to get all your notifications. Don't let the name fool you. Might Text is awesome and lets you read, reply and send SMS messages using your regular phone number. But it can also forward any notification from your phone right to your Chromebook screen. Folks who use an app like this will tell you how cool this is, and once you try it you'll be doing the same. It's one of those apps you'll wish you had tried earlier. See at the Chrome Web Store Your favorite apps? What are your favorite Chrome apps? Let us know in the comments below! Updated June, 2018: Added a few new apps to our list and made sure everything was in working order.","Make the most of your Chromebook with these apps. Your Chromebook is a safe, inexpensive, and simple portal to the internet but it can do so much more. Whether you want to get productive, have a little fun, or keep in touch you'll find an app to help do it in…",2018-06-13T14:00:00Z,"{'id': None, 'name': 'Androidcentral.com'}",Best Chromebook apps in 2018,https://www.androidcentral.com/best-chromebook-apps,https://www.androidcentral.com/sites/androidcentral.com/files/styles/large/public/article_images/2016/04/Chromebook-offline-apps-2.jpg?itok=Nkc_B-wG,,Androidcentral.com,nimbus,1
ThinkGeek,"That's not just a broomstick, Harry, it's a Nimbus 2000! - Ron Weasley, Harry Potter and the Philosopher's Stone Be the envy of everyone around with the fastest writing implement around: the Nimbus 2000! This tiny version looks just like the on-screen one, but when you pull the head off this broom, it magically transforms into a pen! But wait. There's more! Through the power of magic (and with the magnets in the included plinth), you can make your Nimbus 2000 float in mid-air on your desk or bookshelf, wowing all your friends. You know what? This broom is just about Timmy-sized. If this sample doesn't make it back to the warehouse, we know who to go looking for. If only we could catch him....","Good speed and exceptional handling. Be the envy of everyone around with the fastest writing implement around: the Nimbus 2000! This tiny version looks just like the on-screen one, but when you pull the head off this broom, it magically transforms into a pen!…",2018-11-09T19:58:03Z,"{'id': None, 'name': 'Thinkgeek.com'}",Home & Office : Harry Potter Levitating Broom Pen,https://www.thinkgeek.com/product/ktoh/,http://www.thinkgeek.com/images/products/zoom/ktoh_hp_levitating_broom_pen.jpg,,Thinkgeek.com,nimbus,1
Abhimanyu Ghoshal,"It hasn’t even been a month since Samsung unveiled the world’s largest capacity SSD at 30TB, and it’s already been ousted from the top spot by Nimbus Data, a flash memory hardware company from Irvine, California. The company’s new pocket-sized ExaDrive SSD can store a whopping 100TB of data, making it ideal for data centers and edge servers for IoT services. That’s 20 million songs, or about half of Spotify’s catalog of streaming music. Given its intended applications, the ExaDrive is also designed to consume some 85 percent less power per TB of storage, and its small is a big deal for enterprise customers because it allows them to fit more drives in server racks, reducing the amount of space they take up, as well as cooling bills. Nimbus says that a standard rack kitted with its drives will hold over 100 petabytes (1 petabyte = 1,000 TB). Just don’t count on snapping one up for your gaming rig or media server: it’s going to cost several thousand dollars when it launches this summer. For references, Samsung’s 15TB SSD from mid-2016 cost $10,000. Fun fact: while the press (us included) noted last month that Samsung’s 30TB SSD was the largest-capacity drive of its kind at the time, Nimbus Data claims to have created a 50TB SSD back in August 2017: @jjvincent @NimbusData launched and began shipping a 50 TB SSD called ExaDrive in August 2017, using patent-pending technology. https://t.co/wl1mkoAx6C pic.twitter.com/HvqrDZ8hwv — Nimbus Data (@NimbusData) February 20, 2018 The Next Web’s 2018 conference is just a few months away, and it’ll be 💥💥. Find out all about our tracks here.","It hasn’t even been a month since Samsung unveiled the world’s largest capacity SSD at 30TB, and it’s already been ousted from the top spot by Nimbus Data, a flash memory hardware company from Irvine, California. The company’s new pocket-sized ExaDrive SSD ca…",2018-03-20T04:32:05Z,"{'id': 'the-next-web', 'name': 'The Next Web'}",This 100TB drive is the largest capacity SSD ever made,https://thenextweb.com/?p=1113865,https://cdn0.tnwcdn.com/wp-content/blogs.dir/1/files/2018/03/Nimbus-Data-ExaDrive-100TB-social.jpg,the-next-web,The Next Web,nimbus,1
"Nick Douglas on Offspring, shared by Nick Douglas to Lifehacker","Kids watch movies before they’ve fully learned what’s real and what’s fiction. (One Lifehacker writer used to think that when people died in movies, the actor died in real life.) So sometimes you might need to explain to them how scary scenes were just pretend, and everyone is okay. When those scary scenes involve animals, you can get help from the American Humane Association. The AHA, which monitors film shoots to ensure that animals are treated humanely, has a movie-by-movie database of descriptions of how animals were treated on film sets, and how scenes were shot, including how animals were trained to make certain actions. The descriptions, as BuzzFeed News editor Louis Peitzman points out, are soothing for adults too, and they don’t just cover kids’ movies. Here are some excerpts, with a few spoilers. Show Dogs : When the actor arrests the man and the dog bites the guy’s butt, the trainer placed a tug toy inside the actor’s trousers. Just before action the trainer showed the dog the area on the man’s pants that contained the tug toy. On action the trainer cued the dog, and he bit the man’s butt.﻿ Black Panther : In a couple of the scenes where we see actors ride rhinos, they were actually riding horses, and the horses were turned into rhinos in post-production through CGI. ﻿ Free Willy : Amid soaring background music, the film begins with some spectacular footage of a pod of whales cavorting freely in the ocean. Before long, whaling boats appear and men set nets as they pursue and encircle the whales. One whale is separated from the rest behind a net and calls to the others outside. This scene was accomplished by editing documentary wildlife footage with scenes staged with animatronic whales.﻿ 101 Dalmations : The actor and the dog had been prepped prior to the scene and were very familiar with one another. The dog had been taught to play a shoving game so when the actor pushed him the dog would jump back at the actor instead of away. Harry Potter and the Sorcerer’s Stone : For the very important delivery of Harry’s Nimbus 2000, a barn owl named Winnie carried a hollow paper broom—which actually weighed less than the owl’s natural prey—that was carefully attached to Winnie’s talons while a trainer held onto the broom’s release mechanism from off camera. At the right mark, the trainer released the broom from the talons with the catch. A Wrinkle in Time : In the scene where the kid sits on the kitchen counter and we see the dog lying on the ground, the dog was led to the predetermined mark on set. Prior to filming the trainer asked the dog to lay down and stay. Dog complies. They filmed the scene and the dog was taken off set for a treat and water. ﻿ Marley and Me : Whenever Marley licks a person or object in the film, baby food was used to entice the dog to lick. The same technique was used with the diaper to encourage the dog to “get it.” All food was deemed safe for consumption, including the dog’s vomit, which was just dog food soaked in water. For scenes in which Marley chews on items, such as the kitchen floor, couch cushions or car seats, trainers cued the dog to “get” the objects. One particular puppy and one particular adult dog were specially trained to chew on things and spit them out without swallowing anything.﻿ Jumanji: Welcome to the Jungle : Smoke was not blown in the direction of the chickens.﻿ Jurassic Park : In a scene where an entire steer is fed to a dinosaur, a steer was harnessed in a special cattle sling, hoisted up by a crane, then lowered into foliage. The steer is not shown being devoured, but the effect is created with sound effects. The steer filmed for this scene is a very mellow animal. He had been prepped and rehearsed with it over a period of time prior to filming. The harness was the type normally used to move steer and was safe and secure. Get Out : The dead deer was an animatronic “fake” deer. Production provided a receipt for the fake deer.﻿ Lemony Snicket’s A Series of Unfortunate Events : To create the scenes where snakes appear to crawl on the floor, a trainer placed one snake on the ground and let it crawl around while the cameraman filmed the action. Each snake was filmed separately and inserted into the film during post-production.﻿ Homeward Bound : In one scene Chance tricks Sassy onto a seesaw, where she gets catapulted through the air. This scene was done in many cuts. The seesaw lifted up to a height of about four feet and the cat was filmed on it. The cat was then filmed as she was tossed from one trainer to a blanket being held by several people. The cat seemed to love it and purred throughout.﻿ The AHA doesn’t monitor every movie, so check before you promise your kid an explanation. And the association can face some controversy, like when a video seemed to show a handler forcing an anxious dog into rough water during the filming of A Dog’s Purpose. A third-party investigation concluded that the video was misleadingly edited, and that while the dog wasn’t handled perfectly, he showed “no lasting stress response or conditioned fear of the water.” If only watching Cujo at age 5 left “no lasting stress response.” American Humane Association Movie Reviews | via Louis Peitzman","Kids watch movies before they’ve fully learned what’s real and what’s fiction. (One Lifehacker writer used to think that when people died in movies, the actor died in real life.) So sometimes you might need to explain to them how scary scenes were just preten…",2018-07-17T21:00:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Show Your Kid That 'No Animals Were Harmed' in Popular Movies,https://offspring.lifehacker.com/show-your-kid-that-no-animals-were-harmed-in-popular-mo-1827662194,"https://i.kinja-img.com/gawker-media/image/upload/s--FzdPgm2p--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/yaym5fw2srmurorao0h0.jpg",,Lifehacker.com,nimbus,1
Lori Grunin,"Oliver Padilla/CNET
Epic Games stealthily delivered long-awaited support for controllers on iOS and Android to its hit online shooter Fortnite, with the 7.30 patch rolled out Tuesday. The patch includes MFi compatibility for iPhone and iPad, and also begins its rollout of 60Hz refresh-rate support on Android.
Epic's suggested Bluetooth options for Android include the SteelSeries Stratus XL, Gamevice, Xbox One wireless,Razer Raiju and Moto Gamepad. You can probably add SteelSeries' new Stratus Duo to that list. For iOS, the company suggests the SteelSeries Nimbus and Gamevice.
The first Android phones to get the 60Hz refresh are the US version of the Galaxy Note 9, the Huawei Honor View 20 and the Honor Mate 20 X.",The wait is over!,2019-01-29T15:11:36Z,"{'id': None, 'name': 'Cnet.com'}",Fortnite adds iPhone and Android controller support - CNET,https://www.cnet.com/news/fortnite-adds-iphone-and-android-controller-support-mfi/,https://cnet3.cbsistatic.com/img/4uZ2HkKLX3MtWGOry35EQ4gCMus=/2018/11/28/5b84ce83-096d-490c-8f2a-c68a0055ec0a/fortnite-regalos-actualizacion6-31.jpg,,Cnet.com,nimbus,1
