,title,yes_disaster
0,FilmStruck Is the Latest Casualty of the Streaming Wars,0
1,news analysis: We’re All Stuck Inside George and Kellyanne’s Marriage,0
2,"Belgian Prime Minister, Facing Populist Revolt Over Migration, Offers Resignation",0
3,"Back-to-School Shopping for Districts: Armed Guards, Cameras and Metal Detectors",0
4,"White House Says ‘Horrific, Tragic’ Death of Migrant Girl Is Not Its Responsibility",0
5,Chief Security Officer Alex Stamos is leaving Facebook over disinformation drama,0
6,The Death Toll for Afghan Forces Is Secret. Here’s Why.,0
7,People hospitalized after Missouri tourist boat incident,1
8,"China’s third-largest bike sharing service, which raised $90M, is reportedly closing down",0
9,How to Avoid the Most Common Moving Mistakes,0
10,LittleThings blames its shutdown on Facebook algorithm change,0
11,Google Kills Allo in Latest Attempt to Fix Its Shitty Messaging Strategy,0
12,Another Defender bites the dust as Netflix cancels Luke Cage,0
13,Terrifying images emerge after Southwest plane makes emergency landing,0
14,Russia's Telegram ban is causing problems for Twitch,0
15,Passengers stranded after Iceland's WOW air collapses,1
16,At War: My Husband Was Killed in Niger. His Death Only Became Real to Me When I Saw His Coffin.,0
17,‘We’re in Uncharted Waters.’ Schools Brace for Lunch Funding Challenges if Shutdown Continues,0
18,"Fyre Festival founder Billy McFarland settles with SEC, must repay $27.4 million",0
19,Inverted jeans are here to ruin your day,0
20,Sphero is finished making Star Wars products,0
21,"MGM Resorts Sues 1,000 Victims of Las Vegas Shooting, Seeking to Avoid Liability",1
22,Cushy hotel rooms and fussy amenities in luxury hotels are the latest casualty of Instagram,0
23,Santa Fe High School: 'Multiple fatalities' reported in shooting,1
24,"IED blast in Kashmir, 4km from Pulwama terror attack spot; no casualty - Hindustan Times",1
25,IAF air strikes: Defence minister says Centre will not provide casualty figure - Scroll.in,1
26,Guy Fieri Says Farewell to Times Square,0
27,Asian Markets Offer Hope for End to Global Stock Sell-Off,0
28,"Taliban Kill Police Officers, Including a Chief, in Afghan City",0
29,"Yes, glitter's fun. But, it could land you in the emergency room.",0
30,Iraq votes in first elections since IS defeat,0
31,Tweeting on Facebook just got harder–here are 2 ways you can still do it,0
32,"DR Congo: Violence may be crime against humanity, UN says",0
33,EA will stop selling FIFA’s in-game currency in Belgium because of a ban on loot boxes,0
34,Taliban militants kill dozens at Afghan intelligence base,0
35,GOP lawmaker calls on Trump to 'pause' all sales of high-powered guns,0
36,"Under Peace Plan, U.S. Military Would Exit Afghanistan Within Five Years",0
37,news analysis: Is This the Right Way to End a War?,0
