author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
JOSEPH B. TREASTER,"Two University of Puerto Rico art museums lost chunks of their roofs: Casa Roig, a Frank Lloyd Wright-inspired two-story house 45 minutes south of San Juan, and the Museum of Art at the Mayagüez campus on the west coast. Casa Roig’s paneled ceilings partially collapsed. The wind blew out windows and broke a set of stained glass interior doors. It ripped tiles off mosaics. Putting Casa Roig back together is expected to cost nearly $400,000. In Mayagüez, Zorali De Feria, the museum director, found mold on a mural and a handful of paintings. She gave them first aid and alternated putting the paintings briefly in the sunlight and in the shade of a breezeway. Photo Tile mosaics in the home at the Casa Roig Museum were already fragile and damaged, but suffered more loss with hurricane Maria. Credit Erika P. Rodriguez for The New York Times Right after the storm, in her unlit office, Ms. De Feria wrote out a plea for help in longhand. The National Endowment for the Humanities sent her $30,000. Ms. Ramírez, at the Museum of Contemporary Art, also received $30,000 from the Endowment. She is putting her money toward the purchase of a generator that, with installation, is going to cost $110,000. “We need a generator, too,” Ms. De Feria said. The electricity came back sooner for both museums than in most of the island, but generators would have greatly reduced the risk and the stress. Ms. Pérez, who is also president of the Association of Puerto Rican Art Museums, and her colleagues have begun to rethink almost everything about their museums and hurricanes. Many museums did not have emergency operations plans. Some did not have home addresses for staff members. Cellphones and landlines were knocked out. Gasoline and diesel fuel were scarce. The museums became isolated. With help from the Smithsonian and the Federal Emergency Management Agency, Ms. Pérez has been organizing conferences and workshops. At the top of the agenda: satellite telephones, generators and extra fuel tanks. Solar panels have been mentioned, and some art specialists are enthusiastic about creating emergency art storage vaults around the island, perhaps by converting buildings at abandoned but well-maintained military bases. Continue reading the main story","Damage to Casa Roig and the Museum of Art of Puerto Rico in San Juan, Puerto Rico, from Hurricane Maria.",2018-03-09T16:26:02Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Art Museums in Puerto Rico Face Long and Expensive Recovery,https://www.nytimes.com/2018/03/08/arts/puerto-rico-museums-hurricane-maria-recovery.html,https://static01.nyt.com/images/2018/03/15/arts/15puertorico-combo/15puertorico-combo-facebookJumbo.jpg,the-new-york-times,The New York Times,Hurricane Maria,1
JAMES WAGNER,"The league also reduced the players’ maximum stipend — essentially gas and extra spending money — to $100 from about $300 for a weekend. Some players with professional experience, like Cayey’s Fernando Cabrera, 36, the top starting pitcher in the league who once pitched for the Baltimore Orioles and Cleveland Indians, get tips from fans on the side for winning. “It’ll be a tougher season: doubleheaders, under the sun, the lower pay, the traveling,” said Richard González, 29, the Toritos second baseman. “But at the end of the day, we’re doing what we love to do, which is to play baseball and for the people of Cayey.” The extra cash would have helped González, who started his own baseball equipment business called Dux Sports after playing college baseball at Virginia Commonwealth University. When he wasn’t drafted by a major league team, he returned to Puerto Rico and is in his eighth season playing in the Doble A. After Hurricane Maria hit, González lost power in his home in Caguas, a city 30 minutes south of San Juan, for three months. He didn’t have a generator, cellphone service was dead, and orders for his baseball equipment went unfilled, so he spent two months with family and his business partner in Tampa. He returned in December. “If you play this league for the money, you don’t have a chance,” he said. “You play because of your love and passion for baseball.” The Toritos’ manager, Edgardo Lebrón, 35, a former Minnesota Twins minor leaguer who works at a baseball academy, said his home in Las Piedras, an hour from Cayey, sustained $70,000 worth of damage and the electricity still has not returned. He has spent thousands on gasoline to feed a generator. As Lebrón stopped his front door from being blown away by the hurricane winds, he said his 10-year-old son turned to him, crying, and said, “Dad, let’s pray; we’re going to die.” Continue reading the main story","Puerto Rico’s pre-eminent amateur league has played every season since 1940. After the hurricanes last year, it vowed this one would not be different despite hardships.",2018-04-17T03:41:52Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",What Hurricane Maria Didn’t Wreck: Puerto Rican Baseball,https://www.nytimes.com/2018/04/16/sports/baseball-puerto-rico-hurricane-maria.html,https://static01.nyt.com/images/2018/04/17/sports/17puertobaseball-web01/17puertobaseball-web01-facebookJumbo.jpg,the-new-york-times,The New York Times,Hurricane Maria,1
Swapna Krishna,"The telescope's fate had previously been uncertain. Back in 2016, the National Science Foundation announced that it was exploring different options in regard to Arecibo. There wasn't enough funding to continue supporting the telescope, so the NSF was looking at partnering with other organizations, scaling back or shutting down Arecibo entirely. That same year, the observatory was the first to capture repeating cosmic radio bursts, which have helped us understand the nature of our galaxy and the universe around it. This murky situation was made much worse by the events of Hurricane Maria. The hurricane decimated the region of Puerto Rico in which the telescope is located, also called Arecibo. The telescope was damaged as well, but repairs were quickly made and the observatory was back up and running a week after the storm, albeit on generator power. (Almost one-third of Puerto Rico's residents are still without power, five months after Hurricane Maria hit). While the NSF decided not to shut down the telescope, it wasn't clear what would happen. But now, this new agreement ensures that Arecibo Observatory will remain open. It is scheduled to take effect on April 1st. UCF and its partners, Universidad Metropolitana in San Juan and Yang Enterprises, Inc. in Oviedo, also plan to expand the operations of the telescope. It's good news for the scientific community, and also for Puerto Rico.","Arecibo Observatory, which is the second-largest radio telescope in the world, is under new management. A group led by the University of Central Florida will take over the operations of the telescope from the National Science Foundation, which was considering…",2018-02-22T18:20:00Z,"{'id': 'engadget', 'name': 'Engadget'}",Puerto Rico's Arecibo Observatory saved from uncertain fate,https://www.engadget.com/2018/02/22/puerto-rico-arecibo-observatory-new-management-ucf/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D5388%252C2638%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C783%26image_uri%3Dhttp%253A%252F%252Fo.aolcdn.com%252Fhss%252Fstorage%252Fmidas%252Ff50351509d8f9ba7d089cae2a18d3b06%252F206151643%252Fupgraded-arecibo-radio-telescope-with-subreflector-picture-id680802243%26client%3Da1acac3e1b3290917d92%26signature%3D00a5c3283746744e3bc146641115917f9d270781&client=cbc79c14efcebee57402&signature=08809d70c4e425e82458a27c4f8e7dd9f46ea334,engadget,Engadget,Hurricane Maria,1
Morgan Sung,"Hurricanes Harvey, Irma, Maria, and Nate were so destructive, no other hurricanes will be given the same names. The World Meteorological Organization announced Thursday that it's retiring the names Harvey, Irma, Maria, and Nate from its rotation because of 2017's devastating season. It's replacing the names with Harold, Idalia, Margot, and Nigel instead. SEE ALSO: Shell knew truth of global warming in 1980s; foresaw a Hurricane Sandy scenario WMO names each hurricane based on an alphabetical rotation of names, alternating between male and female names. The selection of names for each rotation is usually used every six years, so we won't see Harold, Idalia, Margot, and Nigel come into use until 2023. If a hurricane is especially fatal and causes significant damage, its name is taken off the rotation and replaced with a different one. According to the WMO's FAQ, this naming system makes it easier for news outlets to report on the storms and increases community preparedness. ""Experience shows that the use of short, distinctive given names in written as well as spoken communications is quicker and less subject to error than the older more cumbersome latitude-longitude identification methods,"" WMO's FAQ says. WMO says that the 2017 hurricane season was ""one of the most destructive on record,"" with damages in the United States alone costing $250 billion. The 2017 hurricane season was one of the most destructive on record. Image: world METEOROLOGICAL organization The hurricanes taken off the WMO's rotation of names caused 224 deaths during their tropical cyclone phases. Hurricanes Harvey, Irma, and Maria were the first Category 4 storms to make landfall in the United States on record. Irma and Maria both reached Category 5 storms when they made landfall on the Caribbean islands. The damage caused in the Caribbean is likely to take years to recover, according to WMO. Seventeen tropical storms were named in 2017, and 10 of those storms became hurricanes. Six reached ""major hurricane strength"" and clocked in at Category 3 or higher. This is above the average for annual storms; from 1981-2010, the average was 12 tropical storms, six hurricanes, and three major hurricanes. Harvey made landfall over or near Texas last August as a Category 4 hurricane. It lasted for four days, devastating Houston and causing the deaths of 68 people. It was the costliest hurricane after Katrina, causing an estimated $125 billion in damages. Irma caused significant destruction in the Caribbean as a Category 5 hurricane, nearly wiping out Barbuda. It was the first hurricane to make landfall in Cuba since 1932, and it prompted the evacuation of about 6 million people in southern Florida. Maria ripped through Dominica and Puerto Rico in September. Dominica's damages are estimated at $1.3 billion, or about 224 percent of its GDP according to WMO. The entire island of Puerto Rico lost power, which one report concluded was the second largest blackout in history. Nate crossed from Nicaragua to Honduras as a tropical storm, but made landfall as a category 1 hurricane. The rainfall from Nate caused 44 deaths in Central America. 2017 retired almost as many names as 2005, when the severe hurricane season resulted in WMO removing Dennis, Katrina, Rita, Stan, and Wilma from the rotation.","Hurricanes Harvey, Irma, Maria, and Nate were so destructive, no other hurricanes will be given the same names. The World Meteorological Organization announced Thursday that it's retiring the names Harvey, Irma, Maria, and Nate from its rotation because of 20…",2018-04-13T00:11:17Z,"{'id': 'mashable', 'name': 'Mashable'}","Hurricanes will never be named Harvey, Irma, or Maria again",https://mashable.com/2018/04/12/harvey-irma-maria-nate-retired-hurricane-names/,https://i.amz.mshcdn.com/vxPa3u5ai-VBWM9rSDVaPlweB0s=/1200x630/2018%2F04%2F13%2F98%2Ffe67bf91592b46ab8f31dfcaf539b2af.8e663.jpg,mashable,Mashable,Hurricane Maria,1
https://www.facebook.com/bbcnews,"Image copyright AFP/Getty Image caption The official death toll stands at 64 Hurricane Maria killed 4,600 people in Puerto Rico, 70 times the official toll, a Harvard University study says. A third of those deaths after last September's hurricane were due to interruptions in medical care caused by power outages, and blocked or washed out roads, researchers said. Interviews conducted in Puerto Rico found a 60% increase in mortality in the three months after the storm. The official death toll currently stands at 64. But experts say an accurate count was complicated by the widespread devastation wreaked by the storm. Media caption Six months after hurricanes, many on this US island still suffer in the dark","Hurricane Maria killed 4,600 people in Puerto Rico, 70 times the official toll - Harvard study",2018-05-29T14:44:17Z,"{'id': 'bbc-news', 'name': 'BBC News'}","Hurricane Maria 'killed 4,600 in Puerto Rico'",http://www.bbc.co.uk/news/world-us-canada-44294366,https://ichef.bbci.co.uk/news/1024/branded_news/8F97/production/_101795763_mediaitem101795762.jpg,bbc-news,BBC News,Hurricane Maria,1
PATRICIA MAZZEI,"“We’re in a downward spiral,” Mr. Cofiño said. The tuition increase was ratified on Monday by the federal control board that oversees the finances of Puerto Rico’s bankrupt government, which is $72 billion in debt because of an economic recession that has lasted 11 years. Most of protesters’ wrath on Tuesday was directed at the unpopular board, which they view as undemocratic. Puerto Rico’s elected leaders are subject to the board and to a federal judge handling the island’s bankruptcy in court. “This is an entity that was not elected by the people of Puerto Rico,” said Edwin Morales Laboy, the vice president of a teachers’ union that organized its members to attend the protest. Participating meant losing a day’s pay, since the government did not declare Tuesday a holiday. But teachers said they had no choice but to protest, given the plan by Puerto Rico’s Department of Education to close 280 of about 1,100 public schools on the island this summer, citing low enrollment. That comes after 179 schools were shuttered last year by the Rosselló administration. “We found out from the press,” said Lourdes Torres Santos, 31, who teaches at República del Perú, a San Juan middle school scheduled to close. “A lot of the teachers cried.” In the coming weeks, Ms. Torres expects to lose her job. Follow Patricia Mazzei on Twitter: @PatriciaMazzei. Continue reading the main story",Thousands of Puerto Ricans protested in a general strike on Tuesday as the island struggles to recover from Hurricane Maria.,2018-05-01T23:16:07Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Protest in Puerto Rico Over Austerity Measures Ends in Tear Gas,https://www.nytimes.com/2018/05/01/us/puerto-rico-protests.html,https://static01.nyt.com/images/2018/05/02/us/02PUERTO-03/02PUERTO-03-facebookJumbo.jpg,the-new-york-times,The New York Times,Hurricane Maria,1
PATRICIA MAZZEI,"Photo Downed power lines in Juncos, P.R., in January. The entire island lost power again on Wednesday. Credit Smiley N. Pool/The Dallas Morning News, via Associated Press MIAMI — A major failure knocked out the electricity in Puerto Rico on Wednesday, leaving the entire island without power nearly seven months after Hurricane Maria destroyed the electrical grid. It could take up to 36 hours to restore electricity to affected customers, the Puerto Rico Electric Power Authority said on Twitter. Prepa attributed the blackout to a failure in a line that begins in the island’s largest power plant. It was the second widespread failure in less than a week, underscoring just how fragile Puerto Rico’s electricity remains since the storm hit on Sept. 20. In the earlier failure on Thursday, about 870,000 customers lost power across the island after a tree fell on the main line to the capital, San Juan. The city’s main public hospital and international airport were forced to switch to backup generators. 10:30 am There is a major power outage in Puerto Rico right now #blackout pic.twitter.com/WCYKdVKzDW — Ada Monzón (@adamonzon) April 18, 2018 The tree fell as crews tried to clear land near Cayey as part of the continuing power restoration efforts. Continue reading the main story","The failure, nearly seven months after Hurricane Maria ravaged Puerto Rico, could take up to 36 hours to fix.",2018-04-18T16:08:34Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",All of Puerto Rico Loses Power as Grid Falters Again,https://www.nytimes.com/2018/04/18/us/puerto-rico-power-outage.html,https://static01.nyt.com/images/2018/04/19/us/19puertorico/19puertorico-facebookJumbo.jpg,the-new-york-times,The New York Times,Hurricane Maria,1
RICK ROJAS and LUIS FERRÉ-SADURNÍ,"Where the families in the hotels will ultimately end up remains to be seen. In lobby of the Hartford hotel, one woman said that her daughter had gotten a nursing job and that her family was looking for an apartment. Among others, there was an air of weariness, as they anguished over what might come next. Job interviews had been unsuccessful or language barriers made it difficult to find work. Some were simply aimless as weeks went by with little to do. When Ms. Febres needed to go to the store, her family made the three-mile walk to a Walmart just because they wanted to burn energy. Many were still reeling from the trauma that has festered since the storm. Ms. Arroyo was flown to New York City on Nov. 15 and spent two weeks with an aunt before checking into a hotel in Corona, Queens. She suffers from a litany of medical conditions, including diabetes and depression. She needs a wheelchair and is blind in her left eye, which is covered by a patch of white gauze taped to her reading glasses. After the storm and before her evacuation to New York, she was largely confined to her bed in her home in Ponce, cared for by her father’s widow. Stuck in sweltering heat, she worried that wounds on her body would become infected. She was so fearful she even wrote a will and instructions to cremate her remains on the back of a photograph of her father and mother, which she clutched in her hands as she slept. “I don’t know how I survived,” she said. Yanitza Cruz, who is nearly eight months pregnant, was told when she checked into the hotel in Queens in December that she could stay until Feb. 14. She has become increasingly worried as the deadline approaches; her calls to FEMA yielded few answers. When she tried to check the status of her case online, the website said it had been “withdrawn.” “The clock is ticking,” she said. “Time is against us.” She traveled to Queens with her husband, Joel García, and 5-year-old daughter, Janesty, from the mountain town of Orocovis, southwest of San Juan. They had been drawn by the promise that New York appeared to offer, fueling hopes of getting an apartment and, for Mr. García, becoming a licensed barber in the city he saw as a “barbershop mecca.” It seemed different from home, where they struggled even before the hurricane. “We didn’t even have a car in Puerto Rico,” Mr. García said. “We would walk with our bags under the sun. Now we’re in a place where for $2.75 I can travel to Brooklyn. I see this as an opportunity. But the thing is, we haven’t found stability yet. I’m just looking for stability.” It is difficult to tell when that stability might ever come, but last week they did receive a measure of relief. FEMA called to let them know they could stay in the hotel another month. Rick Rojas reported from Hartford, and Luis Ferré-Sadurní from New York. Follow Rick Rojas on Twitter @rar Continue reading the main story",Hotel rooms provided by FEMA have been a rare source of stability amid the turmoil brought by Hurricane Maria. But Puerto Rican families worry about what comes next.,2018-02-12T10:01:26Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Time Is Running Out for Puerto Ricans Sheltering in Hotels,https://www.nytimes.com/2018/02/12/nyregion/puerto-rican-hotels-fema-hurricane-maria.html,https://static01.nyt.com/images/2018/02/09/nyregion/00puertohousing1/00puertohousing1-facebookJumbo.jpg,the-new-york-times,The New York Times,Hurricane Maria,1
The New York Times,"4 U.S. Amid Promises of Aid, a Puerto Rico Still in Ruins","Months after Hurricane Maria devastated Puerto Rico, Caitlin Dickerson, a Times reporter, visits a suicide prevention center where calls are on the rise. Public health officials say there are signs of a severe mental health crisis on the island.",2018-01-04T10:00:25Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","After Maria, a New Crisis in Puerto Rico: Mental Health",https://www.nytimes.com/video/us/100000005620786/hurricane-maria-puerto-rico-mental-health.html,https://static01.nyt.com/images/2018/01/04/autossell/00puerto-rico_still_toned/00puerto-rico_still_toned-videoSixteenByNine1050.jpg,the-new-york-times,The New York Times,Hurricane Maria,1
Rebecca Ruiz,"The isolated coastal region of Patillas, Puerto Rico, lost power when Hurricane Maria slammed into the U.S. territory back in September. It took several months to restore electricity to most of the region — and then suddenly, on April 18, an island-wide blackout put residents back in the dark again. ""It’s like the hurricane came all over again,"" says Norma I. Melendez, 55, who's lived in Patillas since age 3. ""We have this feeling of desesperanza — no hope, a feeling of helplessness."" SEE ALSO: The power is out again in Puerto Rico, 7 months after Hurricane Maria Despite the sense of despair, local residents like Melendez are organizing to provide the community essential resources, such as clothes, food, medical supplies, and access to medical examinations. That story of improvisation and resilience is common across Puerto Rico, despite slow-moving recovery efforts. ""We have this feeling of desesperanza — no hope, a feeling of helplessness."" Though most of the island is back on the power grid, roughly 90,000 Puerto Ricans still don't have electricity, and those that do worry about and experience intermittent blackouts. The power outage last month, caused by accidental damage to a transmission line, left most of the island's 3.3 million residents without electricity for a day. While all customers are expected to have power by the end of May, that's around when hurricane season begins, and activists say the island's infrastructure is woefully unprepared for new storm-related threats. In Patillas, Melendez and her neighbors are still focused on recovery. She volunteers with and writes funding proposals for a nonprofit community organization called Guardarraya Unidos Por Un Patrimonio Educativo (GUPE), which partners with other groups like the Red Cross and Salvation Army to obtain supplies for local distribution. GUPE has handed out solar lanterns, medical equipment, food, and bottled water to residents, many of whom are 65 or older and have severe medical conditions or disabilities. The organization operates out of an abandoned school, and it doesn't have the funds to buy generators or water tanks. There are moments when the stakes and urgency of the situation feel daunting, Melendez says. But then neighbors will share medical equipment, food, or clothes with each other, often using GUPE as a conduit. “Puerto Rico's Senate has ordered government agencies to explain why tens of thousands of people in rural areas remain without power or appropriate shelter as anger grows about the lack of basic services more than 7 months after hurricanes Irma &amp; Maria.” https://t.co/xs5t2UtFtE — David Begnaud (@DavidBegnaud) April 25, 2018 ""That gave us the energy to continue because we know that GUPE is reaching people and the people are reaching GUPE,"" she says. GUPE is receiving logistical and material support from multiple nonprofit organizations, including the aid and relief group Mercy Corps. Karla Peña, emergency response program manager for Mercy Corps, says she frequently sees a spirit of cooperation and generosity across communities in Puerto Rico. Neighbors share refrigerators and keep an eye on people with few family members in the area as well as those who can't easily travel to get food, water, and gas. Yet, that individual and collective resilience can wear thin in the absence of external support from nonprofits and the government. Indeed, there's a battle over how Puerto Rico will be rebuilt given that it has $74 billion in municipal debt, and the island's governor has moved to privatize the power authority. Community and labor activists worry that privatization will put Puerto Rico's fate in the hands of unaccountable private corporations. ""There's an emotion, an anxiety, that we can go back to that anytime, back to not having water and no electricity for a long time."" As that fight unfolds, many Puerto Ricans feel like they're stuck in survival mode, says Peña. During the most recent power outage last month, Peña says lines for gas and water rivaled post-hurricane levels. Even when the power is on, Peña keeps ice in the refrigerator and her ""hurricane kit"" — a camping stove and emergency supplies — at the ready. After months of use, generators break down often. Meanwhile, families have exhausted their financial resources to buy fuel. Those still without power rely on solar lanterns or, if they have one, a working generator. ""There's an emotion, an anxiety, that we can go back to that anytime, back to not having water and no electricity for a long time,"" Peña says. Melissa Mark-Viverito, former New York City Council Speaker and campaign director to the advocacy coalition Power 4 Puerto Rico, lauds the recovery work happening in communities across the island, but says those efforts need more support. Mark-Viverito envisions new investments in community-led projects to develop sustainable power sources, which could generate jobs and help stem the number of Puerto Ricans leaving the island to live in the United States. (Power 4 Puerto Rico recently wrote a letter to members of Congress urging them to adopt a ""community-driven"" approach to rebuilding.) But Mark-Viverito says that without meaningful support for innovative solutions developed by local communities, ""we're not going to be able to take advantage of this moment. What happened with the blackout demonstrates how vulnerable we are."" Back in Patillas, Melendez is focused on one of GUPE's many projects: providing breakfast and lunch to dozens of elderly residents who are homebound. The need pre-existed Hurricane Maria but has become more urgent in the storm's wake. Though it'll take considerable local and outside resources to provide those meals, Melendez is confident the nonprofit — and its supporters — can make it happen. ""When we fall down, or something happens or someone comes to the facilities and we don’t think we have anything for them,"" she says, ""someone else will say, 'I want to give you something if you need it.'""","The isolated coastal region of Patillas, Puerto Rico, lost power when Hurricane Maria slammed into the U.S. territory back in September. It took several months to restore electricity to most of the region — and then suddenly, on April 18, an island-wide black…",2018-05-04T10:00:00Z,"{'id': 'mashable', 'name': 'Mashable'}",Puerto Ricans never know if they'll have power. This is how they're surviving.,https://mashable.com/2018/05/04/puerto-rico-blackouts-electricity-power/,https://i.amz.mshcdn.com/F3T7v8fxkMdcAcPverGZpZvRn6w=/1200x630/2018%2F05%2F04%2Fda%2F65472b2fd5c5460f857e8022f43dfc52.f9d3f.jpg,mashable,Mashable,Hurricane Maria,1
