author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
https://www.facebook.com/bbcnews,"Image copyright Shayna Brody, Waitt Institute Image caption The frigatebird is the national bird of Barbuda Hurricane Irma did not just wipe out homes, infrastructure and livelihoods when it tore through the Caribbean island of Barbuda last September. The category five storm also wreaked havoc on the habitat of the tiny island's world-famous frigatebird colony. Codrington Lagoon is said to be the second-largest nesting area outside the Galapagos and has attracted tourists for decades. Image copyright Courtesy of Antigua &amp; Barbuda Tourism Authority Image caption Tourists and bird watchers were drawn to the lagoon because of its rich birdlife But most of the erstwhile 10,000-strong frigatebird population disappeared in the immediate aftermath of the disaster when the catastrophic winds destroyed the mangroves in which they nest and breed. The aptly named magnificent frigatebirds are famed for their colossal 7ft (2.1m) wingspan and the males' spectacular show of flirting by puffing out their throats into a bright red balloon during mating season. Frigatebirds: Image copyright Shayna Brody, Waitt Institute Earned the nickname ""man o' war birds"" due to their habit of aggressively stealing food from other birds Females select mates and form monogamous pairs for the duration of the breeding season Females lay just one egg, every other year Juvenile frigatebirds stay with the mother for up to two years Graceful in flight, they are clumsy on land because of their short legs and small feet They have called this pristine, peaceful area on Antigua's sister island home for as long as residents can remember. Happily, the birds have started to return and even build nests in the fragile, decaying stumps of the once luscious trees. Numbers are now set to rise further thanks to an imminent mangrove restoration project being funded by a team of four transatlantic rowers who are also ardent local environmentalists. Tough challenge In January, Team Antigua completed the gruelling 3,000-mile (4,800km) Talisker Whisky Atlantic Challenge race from the Canary Islands to Antigua in just 30 days, taking second place. John Watt, Scott Potter, Nico Psihoyos and Eli Fuller raised more than $150,000 (£112,000) towards their goal of creating a marine park in Antigua. Image copyright Courtesy of Atlantic Campaigns Image caption Team Antigua rowed 3,000 miles from the Canary Island of La Gomera to Antigua ""We decided to give a third of the money to Barbuda and we were keen for it to be an environmental project,"" Mr Fuller explains. ""The bird sanctuary is critically important for Codrington economically. And ecologically, you won't find many places as crucial as Barbuda. It's not just birds - it's a vital nesting ground for critically endangered hawksbill turtles too."" The sanctuary has long been a significant source of revenue for Barbudans, several of whom earn a living as tour guides. ""Some people do as many as three trips a day in high season,"" says part-time guide Devon Warner. 'Great relief' Seeing the area stripped of vegetation and devoid of birds in the first days after the storm was ""horrifying"", park manager Kelly Burton tells the BBC. Image copyright Shayna Brody, Waitt Institute Image caption Before Hurricane Irma hit, the mangroves were healthy and full of frigatebirds Image copyright Shayna Brody, Waitt Institute Image caption After Irma, the picture was bleak ""The first thing going through my mind was, would they ever come back?"" Mr Burton recalls. ""Seeing the birds return and nest was a great relief. Many have chicks right now so they will be here at least another year or two. The restoration will be a huge help."" Many of the birds live year round in Barbuda. Others travel between the Caribbean and the Galapagos and there are a handful of other known nesting sites in the region, Mr Burton says. Image copyright Shayna Brody, Waitt Institute Image caption Frigatebirds nest in the mangroves so restoring them is key ""But the healthiest place is Barbuda. Scientists once took blood samples from the birds to see why ours were so healthy. They think it's due to the low levels of mercury in the fish they eat."" The non-profit Waitt Institute will oversee the mangrove project as part of its marine conservation partnership with the Barbuda Council, known as Blue Halo Barbuda. The process involves collecting several thousand seeds - or propagules - from coastal areas and planting them in a new purpose-built nursery, says science and field manager Andy Estep. ""They will soak in little pots for six months to a year before being planted at the sanctuary,"" he explains. 'Full of life' The $50,000 donated by the rowers will be spent on equipment and supplies for the nursery and a salary for its manager, plus travel expenses for visiting experts from the University of the West Indies. Image copyright Shayna Brody, Waitt Institute Image caption The frigatebirds on Barbuda are particularly healthy, experts say Barbudans will be trained to run the nursery and grow propagules for future programmes. Preliminary assessments to gauge the quality of the water in the lagoon, along with salinity, acidity and oxygen levels to help predict how well the young mangroves will thrive, are now poised to begin. ""More than half of the tree mass was lost to Irma,"" Mr Estep continues. ""If we can return it to its former state, that would be fantastic. It's a beautiful place normally and so full of life as one of the two biggest reproductive hotspots for frigatebirds."" Image copyright Shayna Brody, Waitt Institute Image caption Environmentalists were worried the birds would not return Nine months after the storm ripped Barbuda apart, causing damage estimated at $220m, islanders are battling on to pick up the pieces of their shattered lives. Just like the birds, Barbudans too are slowly coming home. Around 500 of the former 1,800 residents have so far returned from Antigua to rebuild homes and businesses. Reviving the touristic offerings will be key, argues Mr Burton. ""The frigates are also our national bird and something unique to Barbuda. They're been part of the landscape forever,"" he says. ""They choose to make this place their home; it's up to us, as stewards of the land, to look after it for them.""",Frigatebirds almost disappeared from Barbuda after Hurricane Irma hit but now they are back.,2018-06-25T00:35:04Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Barbuda sees a comeback of national bird after Hurricane Irma,https://www.bbc.co.uk/news/world-latin-america-44547090,https://ichef.bbci.co.uk/news/1024/branded_news/13472/production/_102126987_f31af90f-515e-4bfc-bd28-a6733fc82fdf.jpg,bbc-news,BBC News,Irma,1
Morgan Sung,"Hurricanes Harvey, Irma, Maria, and Nate were so destructive, no other hurricanes will be given the same names. The World Meteorological Organization announced Thursday that it's retiring the names Harvey, Irma, Maria, and Nate from its rotation because of 2017's devastating season. It's replacing the names with Harold, Idalia, Margot, and Nigel instead. SEE ALSO: Shell knew truth of global warming in 1980s; foresaw a Hurricane Sandy scenario WMO names each hurricane based on an alphabetical rotation of names, alternating between male and female names. The selection of names for each rotation is usually used every six years, so we won't see Harold, Idalia, Margot, and Nigel come into use until 2023. If a hurricane is especially fatal and causes significant damage, its name is taken off the rotation and replaced with a different one. According to the WMO's FAQ, this naming system makes it easier for news outlets to report on the storms and increases community preparedness. ""Experience shows that the use of short, distinctive given names in written as well as spoken communications is quicker and less subject to error than the older more cumbersome latitude-longitude identification methods,"" WMO's FAQ says. WMO says that the 2017 hurricane season was ""one of the most destructive on record,"" with damages in the United States alone costing $250 billion. The 2017 hurricane season was one of the most destructive on record. Image: world METEOROLOGICAL organization The hurricanes taken off the WMO's rotation of names caused 224 deaths during their tropical cyclone phases. Hurricanes Harvey, Irma, and Maria were the first Category 4 storms to make landfall in the United States on record. Irma and Maria both reached Category 5 storms when they made landfall on the Caribbean islands. The damage caused in the Caribbean is likely to take years to recover, according to WMO. Seventeen tropical storms were named in 2017, and 10 of those storms became hurricanes. Six reached ""major hurricane strength"" and clocked in at Category 3 or higher. This is above the average for annual storms; from 1981-2010, the average was 12 tropical storms, six hurricanes, and three major hurricanes. Harvey made landfall over or near Texas last August as a Category 4 hurricane. It lasted for four days, devastating Houston and causing the deaths of 68 people. It was the costliest hurricane after Katrina, causing an estimated $125 billion in damages. Irma caused significant destruction in the Caribbean as a Category 5 hurricane, nearly wiping out Barbuda. It was the first hurricane to make landfall in Cuba since 1932, and it prompted the evacuation of about 6 million people in southern Florida. Maria ripped through Dominica and Puerto Rico in September. Dominica's damages are estimated at $1.3 billion, or about 224 percent of its GDP according to WMO. The entire island of Puerto Rico lost power, which one report concluded was the second largest blackout in history. Nate crossed from Nicaragua to Honduras as a tropical storm, but made landfall as a category 1 hurricane. The rainfall from Nate caused 44 deaths in Central America. 2017 retired almost as many names as 2005, when the severe hurricane season resulted in WMO removing Dennis, Katrina, Rita, Stan, and Wilma from the rotation.","Hurricanes Harvey, Irma, Maria, and Nate were so destructive, no other hurricanes will be given the same names. The World Meteorological Organization announced Thursday that it's retiring the names Harvey, Irma, Maria, and Nate from its rotation because of 20…",2018-04-13T00:11:17Z,"{'id': 'mashable', 'name': 'Mashable'}","Hurricanes will never be named Harvey, Irma, or Maria again",https://mashable.com/2018/04/12/harvey-irma-maria-nate-retired-hurricane-names/,https://i.amz.mshcdn.com/vxPa3u5ai-VBWM9rSDVaPlweB0s=/1200x630/2018%2F04%2F13%2F98%2Ffe67bf91592b46ab8f31dfcaf539b2af.8e663.jpg,mashable,Mashable,Irma,1
Rachel Becker,"Climate change is already making devastating hurricanes wetter — and similar storms are likely to unleash more rain and faster winds by the end of the century, new research says. When Hurricanes Harvey, Irma, and Maria struck the US in rapid succession in the fall of 2017, the storms and their aftermaths killed thousands of people and caused an estimated $265 billion in damage. Harvey became the second costliest storm after Hurricane Katrina, which devastated New Orleans in 2005. Now, new research published today in the journal Nature suggests that climate change made Irma, Maria, and Katrina drop more rain than they would have in a pre-industrial world. The study also predicts that in a warmer future, these storms would be even wetter and windier. A second paper (also published today in Nature) took a closer look at Hurricane Harvey. It shows another way people may have made the storm’s rain and flooding more severe: by building cities. Hurricanes should, theoretically, be more intense and wetter on a hotter planet. After all, warm ocean water fuels hurricanes, and warmer air holds more moisture — which means more rain. Recent studies back that up; analyses of Hurricane Harvey, for instance, reported that 15 percent or more of the rainfall could be attributed to global warming. “It’s a very important confirmation.” Today’s paper provides yet more evidence about the ways in which climate change shapes extreme weather events, says Dim Coumou, an atmospheric scientist at the Potsdam Institute for Climate Impact Research who was not involved in the study. “It’s a very important confirmation of our understanding of how hurricanes change with global warming.” Climate scientist Michael Mann says that some of the results make perfect sense. “We expect greater rainfall and flooding from hurricanes as ocean surface temperatures and atmospheric moisture content increases in a warming world.” But he cautions that the papers use a single climate model, so “it is difficult to draw other general conclusions from these studies.” The study started because Christina Patricola, a climate scientist at Lawrence Berkeley National Laboratory, wanted to find out how exactly climate change fit into the recent spate of devastating storms. So she simulated more than a dozen hurricanes, including Hurricane Katrina. She and her co-author Michael Wehner plugged in ocean temperature, atmospheric conditions, and watched the simulated storms spin toward land. The models weren’t perfect, the study acknowledges: the simulations didn’t quite capture Hurricane Maria’s track, or the rapid intensifications of Katrina, Maria, and Irma. But the models were close — and that’s where the experiments could start. Patricola tweaked the conditions to watch what would happen if Katrina, Irma, and Maria had unfolded in a pre-industrial world, and found that global warming boosted the deluge by between 4 and 9 percent. The team also analyzed wind speeds, but didn’t see much of a contribution of global warming for the recent storms. That could change in the future. Patricola found that if we continue to burn fossil fuels unchecked through the year 2100, some of those same storms would drop 25 to 30 percent more rain, and the winds would blow up to 33 miles per hour faster. It’s a thorough, convincing study, Coumou says — but there are still some big questions left to answer. The study doesn’t examine how climate change might alter the speed at which hurricanes travel along their paths, for example, or how future hurricane rainfall and storm surge might combine to drive heavy flooding. The question of flooding is where today’s second study comes in. Hydrologist Gabriele Villarini at the University of Iowa and his colleagues at Princeton University took a close look at Hurricane Harvey, which dumped five feet of rain on Houston and killed at least 93 people. Previous studies analyzed at how much of that rainfall could be attributed to global warming, and found it was around 15 precent or more. And we’d expect that when developers slap down impermeable surfaces like concrete and asphalt, the amount of water slicking off those surfaces increases. “The skyline, the tall buildings, the city footprint — we don’t know which one is more important.” But Villarini’s team took a slightly different tack and looked at how the city’s footprint and skyline might have changed both runoff and the rain. They modeled how much rain the hurricane would have dropped on the city had the buildings been replaced with farm fields. And they found that the rough texture of the city with its buildings and complicated skyline snagged and slowed down the humid air flowing over it, boosting conditions for precipitation. To be clear, Hurricane Harvey would have dropped rain over Houston no matter what was there. But the presence of the city exacerbated the flooding across Houston by about 21 times, on average, the study says. The team doesn’t know precisely why. “The skyline, the tall buildings, the city footprint — we don’t know which one is more important,” Villarini says. They also don’t know if these findings are specific to Harvey, or whether they’d hold up when another storm hits a different city. “I don’t think there’s one single way of dealing with this problem.” Still, the findings suggest that urbanization could make the flooding impacts of hurricanes worse, and in multiple different ways. “This is, as far as I know, a new result and, as the authors point out, has important implications for urban planning,” Kerry Emanuel, a professor of atmospheric science at MIT who was not involved in the study, says in a statement emailed to The Verge. Together, the two studies show that we need to be ready for the complex ways a warmer world could change extreme weather events. And preparing for these events won’t be easy, according to Villarini. Politicians, urban developers, and engineers will all have to be involved, and will have to work together to figure out ways for their communities to survive future storms. “I don’t think there’s one single way of dealing with this problem,” he says.","New research published in the journal Nature suggests that climate change made Hurricanes Irma, Maria, and Katrina drop more rain than they would have in a pre-industrial world. The study also predicts that in a warmer future, these storms would be even wette…",2018-11-14T19:03:54Z,"{'id': 'the-verge', 'name': 'The Verge'}",How humans are transforming the hurricanes of the future,https://www.theverge.com/2018/11/14/18095236/hurricane-climate-change-harvey-maria-irma-katrina-flooding-rainfall,https://cdn.vox-cdn.com/thumbor/GGOIGr881shxz8iZaUFFP612t5M=/0x146:2048x1218/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/13442671/36724564692_dcd3c0ebb0_o.jpg,the-verge,The Verge,Irma,1
Jennings Brown,"No one should ever screw around on a public alert system. But considering it’s been a bad year for warning systems—from the Hawaii false emergency alert accidentally informing the public of an incoming missile that didn’t exist to the National Weather Service’s false tsunami warning to the Department of Justice’s Amber Alert site issues that redirected visitors to porn sites —now is an especially bad time for someone to be screwing around on an alert system. But that may have been what happened when the City of Lake Worth, Florida, sent out a “zombie alert” during a power outage around 1:45am Sunday. “There are now far less than seven-thousand-three-hundred-eighty customers involved due to extreme zombie activity,” the alert states. (Get it? There are fewer customers because many are zombies now!) The message said the alert was for “residents of Lake Worth and Terminus.” Since Terminus is a location in The Walking Dead, it seems likely this message was sent out as a joke or was the result of a hack. The city public information officer, Ben Kerr, told Gizmodo this has been a reoccurring issue. “We first became aware of the zombie messages during Hurricane Irma,” Kerr told Gizmodo. He doesn’t know when the culprit got into the system and changed the messages, but the city noticed during the August 2017 hurricane because many (zombie-tainted) outage alerts were going out. At the time, the city was able to attend to the message issues before the public noticed. Lake Worth’s electric utility system is set up to send out automatic alerts when there’s an outage. The system has thousands of pre-programmed messages, Kerr explained. But it seems that at some point someone went through and messed with some of the messages to turn them into zombie jokes. “The actual power systems were not in any way compromised. This is a separate messaging system that at some point has been compromised,” Kerr said. “They just added a zombie fantasy.” Kerr says the city has is investigating the prank, and has finally scrubbed all the zombie messages from the system. “Hopefully the next time there is a zombie invasion alert,” Kerr said, “it will be a real zombie invasion.” [ Palm Beach Post / Lake Worth Live ]",No one should ever screw around on a public alert system. But considering it’s been a bad year for warning systems—from the Hawaii false emergency alert accidentally informing the public of an incoming missile that didn’t exist to the National Weather Service…,2018-05-22T15:20:00Z,"{'id': None, 'name': 'Gizmodo.com'}",Florida City Has Been Accidentally Sending Out Zombie Alert Messages Since Hurricane Irma,https://gizmodo.com/florida-city-has-been-accidentally-sending-out-zombie-a-1826223898,"https://i.kinja-img.com/gawker-media/image/upload/s--RD6iN84T--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/bnc4eqcnnxxzrdpf4fmc.jpg",,Gizmodo.com,Irma,1
A.J. GOLDMANN,"Anne Tismer’s neurotic State Secretary is the closest thing the show has to a Dr. Strangelove of its own. Instead of fantasizing about sexual utopias in nuclear bunkers, though, she keeps interrupting (amusingly at first, and then tiresomely) with lengthy monologues about matriarchal orders in the animal kingdom, specifically among the bonobos. The French playwright Jean Genet envisioned an entirely different kind of matriarchy in his nightmarish 1956 work, “ The Balcony,” which has been given a furious and intimate production by the Croatian director Ivica Buljan on the smallest of the Residenztheater Munich’s three stages. The drama unfolds in a brothel in an unnamed city while a bloody revolution rages outside. This “house of illusions,” as Genet referred to it, is the dominion of Madame Irma, who caters to the whims of the Judge, the Bishop, the General and the Chief of Police, pillars of society who frequent her rooms to get their kicks. (It is strongly suggested that Irma’s clientele are ordinary working men living out role-playing fantasies, but, like so much else in this complex play, that’s open to interpretation.) The convulsions of the city under siege are never far from the lurid goings-on in the world of the bordello, where Irma wields absolute power, acting as a sort of stage manager of the male desires she caters to. In the play’s second half, Irma is propped up as a queen by the revolutionary government, and her lecherous clients are propelled into actual positions of power. Genet was famously dissatisfied with virtually every performance he saw of “The Balcony.” I would like to think that he would have approved of Mr. Buljan’s uncompromising staging, even if Aleksander Denic’s set, made of refrigerators and freezers (whose arrangement, unsubtly, resembles a swastika), is a far cry from the chandelier-filled sumptuousness that Genet envisioned.",Three plays in Germany present very different ideas about women in roles of authority.,2018-05-24T04:43:26Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Imagining a World Ruled by Women,https://www.nytimes.com/2018/05/24/arts/what-if-women-ruled-the-world-volksbuehne.html,https://static01.nyt.com/images/2018/05/26/arts/26berlintheater01/26berlintheater01-facebookJumbo.jpg,the-new-york-times,The New York Times,Irma,1
The New York Times,"2 U.S. Many Questions, Few Answers on U.S. Claims of Iran Violations",The U.S. Coast Guard is working to retrieve boats that were displaced during Hurricanes Irma and Maria. Ralph Evey's vessel was rescued in a two-day process involving cranes and buoys.,2017-12-18T10:00:01Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Reuniting With Boats in the Virgin Islands,https://www.nytimes.com/video/us/100000005598881/boats-virgin-islands-coast-guard.html,https://static01.nyt.com/images/2017/12/19/us/19usvi6/19usvi6-videoSixteenByNine1050.jpg,the-new-york-times,The New York Times,Irma,1
Rayne Ellis,"The extreme winds from last year's destructive hurricane season seems to have come with some unexpected consequences. Hurricanes Irma and Maria — some of the most destructive in Caribbean history — may have forced rapid evolutionary change in a native population of small-bodied anole lizards (Anolis scriptus), researchers in the West Indies say. SEE ALSO: Hurricanes are slowing down. Here's why that's very bad news for everyone. According to a new study about the lizards released in Nature this week, much of the surviving population of lizards after the hurricanes have larger toe pads, longer forelimbs, and shorter hind limbs than the average anole. Still of lizard clinging to an experimental perch in hurricane-force winds. Wind speed meter is displaying in miles per hour.Credit: Colin Donihue Image: Colin donihue Those long forelimbs and toe pads would have allowed these anoles to cling to surfaces during gale-force winds brought by the hurricanes. Effectively, this means that the hurricanes forced natural selection in real-time, the scientists suggest. “Day in and day out, natural selection favors those lizards who can run around branches, find food, and find mates,” lead author of the study Colin Donihue said in an interview. “It’s only in these atypical instances like hurricanes that we would be able to see a shift away from historical selection.” With the frequency and intensity of hurricanes ramping up, species within affected ecosystems are being forced to adapt to extreme conditions. It's even possible that certain adaptations might aid survival chances in one instance, and hurt them in another, Martha Muñoz, an evolutionary biologist not affiliated with the study, said. ""One trait can enable survivorship in a storm, like shorter hind limbs, but on a daily basis longer hind limbs will help these animals escape predation because it helps them run faster,"" Muñoz said. But it would take an entirely different study to determine how this selection affects the future of the species, and findings like this are rare. In fact, the data from Donihue and colleagues was due to a coincidence. They had just completed a survey of the lizard population immediately before the hurricanes swept through the island. After the hurricanes, they recognized that they had a unique opportunity, and decided to return. The hurricanes key to their research, Irma and Maria, have gone down as two of the worst natural disasters to affect the Caribbean — where it's possible that almost 5,000 people have lost their lives. And a year later, some places affected, like Puerto Rico and Dominica, still don't have power. The literature on the impact of extreme weather events on localized animal populations is a relatively scarce, but burgeoning field due to increased extreme weather. A study published in 2017 found that a polar vortex that hit the Southeast in 2014 drove selection in a population of green anole lizard. The NOAA's GOES-East satellite captured the 2014 polar vortex hovering over the United State's southeast. Image: NASA The researchers behind that study were able to survey the population of lizards before and after the weather event, and found that the surviving population of lizards had many of the genetic qualities in northern populations of the same species. For example, the surviving lizards had an abnormally high tolerance for cold weather in that region. Aside from these two studies, there isn’t much known about how fast-acting extreme weather events change animal populations on a large scale. But with extreme weather events becoming more and more common as human-caused climate change continues, it’s likely that the common agents of natural selection will shift toward those which influence survival during these catastrophes. “The key to this study is understanding that natural selection is on-going and is constantly in the background,” Donihue said The next step? Muñoz suggests going back to the island a year later and measuring the new generation of lizards to see if this natural selection has truly translated into evolution.",The extreme winds from last year's destructive hurricane season seems to have come with some unexpected consequences. Hurricanes Irma and Maria — some of the most destructive in Caribbean history — may have forced rapid evolutionary change in a native populat…,2018-07-25T17:00:00Z,"{'id': 'mashable', 'name': 'Mashable'}",How a population of lizards was forever changed by 2017's extreme hurricane season,https://mashable.com/2018/07/25/hurricanes-natural-selection-lizards/,https://i.amz.mshcdn.com/ki6U19EqINCIymS9dL2_QkBsHXo=/1200x630/2018%2F07%2F25%2F36%2Fc97d1665fae24f109db5f1adf878f7d6.66c4c.jpg,mashable,Mashable,Irma,1
JASON FARAGO,"Among younger talents, I was impressed by a pair of delicate but unsettling paintings on rice paper by the Iranian artist Shahpour Pouyan, at the booth of the Galerie Nathalie Obadia, based in both Paris and Brussels. Mr. Pouyan has reproduced centuries-old Persian miniatures that depicted Muhammad and other religious figures — Central Asian artists, unlike their Arab counterparts, frequently portrayed the prophet in art — but has excised the figures to leave only gold arches, blue backdrops and flowing calligraphy. The erasure is at once a tribute to the less heralded constituent elements of Persian painting and fearsome metaphor for recent attacks on religious representation, from the museums of Baghdad to the newsroom of Charlie Hebdo. But I often find Art Basel Miami Beach more valuable for historical surprises. Galeria Jaqueline Martins, one of São Paulo’s sharpest, has a solo presentation of the Brazilian feminist and visual artist Letícia Parente (1930-1991), who grafted together street plans of Salvador, Fortaleza and Rio de Janeiro into personal memory maps, or who filmed herself applying makeup in the bathroom while her mouth and eyes were taped shut. (Parente is also a standout of “Radical Women,” the history-rewriting showcase of female Latin American artists up now at the Hammer Museum in Los Angeles and coming to the Brooklyn Museum in April.) And the can’t-miss booth of this fair comes from a gallery that, I’m embarrassed to say, I’d never heard of before: Applicat-Prazan, a decades-old Parisian space participating in Art Basel Miami Beach for the first time. This specialist in midcentury European painting has arrived with a dozen bracing works by figures too little known in the United States, including Otto Freundlich, Nicolas de Staël and Hans Hartung. A seething 1960 abstraction by Karel Appel features thickly applied splashes of white and brown paint, whose seeming carelessness belies clear care. In Jean Hélion’s “Trois Nus et le Gisant” (“Three Nudes and Reclining Man”), a disquieting painting from 1950, three women — the Fates, or just an artist’s models? — sit in judgment over a splayed young man, perhaps in postcoital slumber, perhaps murdered. Photo “After Moses” (2017), a painting by the Iranian artist Shahpour Pouyan, at Galerie Nathalie Obadia at Art Basel Miami Beach. Credit Elizabeth Lippman for The New York Times This week also featured the opening of a permanent home in the Design District for the Institute of Contemporary Art, Miami, which was founded in 2014 after a turbulent split with another museum. The Spanish firm Aranguren &amp; Gallegos Arquitecto has fitted the three-story building with a facade of shiny metal panels and cutout triangular windows: very un-Deco, very new Miami. Commendably, the institute has free admission, though in these initial days, it is encouraging visitors to book time slots online. Alex Gartenfeld, its deputy director and an astute curator who has stuck with the museum through the last years’ ructions, has organized its inaugural show: “The Everywhere Studio,” a ramble through recent art and economic history that examines how artists’ work spaces have shaped their production. The isolation of the studio in art from the 1960s and ’70s — including Bruce Nauman’s and Hanne Darboven’s Conceptual documentations of everyday life in the studio, and an excellent self-portrait at work by Jörg Immendorff — feels very different from Neïl Beloufa’s and Yuri Pattison’s studio scenes from the neoliberal present, when work and free time have collapsed into each other. Photo Carrie Mae Weems’s “The Blues,” a series of tinted photographs of the singer Mary J. Blige, at Jack Shainman Gallery’s booth at the fair. Credit Elizabeth Lippman for The New York Times But the show is badly overhung, with more than 100 works, not all memorable, in too little space. I suspect that Mr. Gartenfeld, who is at work on next year’s New Museum Triennial in New York, will need time to learn what the spaces of the new institute can do: There is good thinking here, and an impressive catalog, but “The Everywhere Studio” needs to be decluttered. Back by the beach, the Bass has completed its transformation by the architects David Gauld and Arata Isozaki ; the museum now has 50 percent more space on the same footprint, helped by the removal of cumbersome ramps that led visitors upstairs. In three inaugural solo shows, Mika Rottenberg is presenting a new video that takes her uncanny, dream-logic visions of factory work to the United States-Mexico border, while Pascale Marthine Tayou has disrupted the Bass’s permanent European wing with new African masks that evoke mass tourism and global trade. But it’s the Swiss artist Ugo Rondinone who steals the show with a walk-in installation, hilarious and grim by turns, consisting of 45 full-size mannequins of clowns, seated on the gallery floor with expressions of boredom and fatigue. After a few days at the fair, the metaphor of the exhausted clown is all too apt. Art Basel Miami Beach Runs through Dec. 10 at the Miami Beach Convention Center; artbasel.com/miami-beach A version of this review appears in print on December 8, 2017, on Page C24 of the New York edition with the headline: Post-Irma, Miami Beach Is Still Swinging. Order Reprints | Today's Paper | Subscribe Continue reading the main story","Among the finds, Brazilian galleries. At the top of their game: Wolfgang Tillmans, Carrie Mae Weems and Ugo Rondinone.",2017-12-07T19:34:52Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","Art Review: Art Basel Miami Beach, Post-Irma, Is Still Swinging",https://www.nytimes.com/2017/12/07/arts/design/art-basel-miami-beach-review.html,https://static01.nyt.com/images/2017/12/08/arts/08artbasel-review1/08artbasel-review1-facebookJumbo.jpg,the-new-york-times,The New York Times,Irma,1
TODD HEISLER,"Along with the New York Times reporters James Glanz and Frances Robles, we traversed the island by following the path of darkness left by Hurricanes Maria and Irma, visiting communities that are slowly regaining power and those that are still without it. The story tracks the early decisions officials made as hurricanes bore down on the island, and the substantial challenges of repairing a long-neglected power grid buffeted by back-to-back hurricanes. Bulldozers cleared paths up mountain ridges for utility workers, while in other places workers trudged through muddy tropical terrain to reach their objective. In some places, like San Germán, helicopters lowered poles into place atop steep ridges in a laborious process that would restore power to roughly 30 homes. But not all of the obstacles are physical. Supplies were slow to make it to the island in the days and weeks after the hurricanes. Contractors with little experience in disasters of this magnitude were hired, further slowing recovery. Whatever the case, there is one thing not being disputed: More than six months after Hurricanes Irma and Maria swept across Puerto Rico, people are still without power. In late February, Yabucoa was only at 18 percent power. On May 1, just before publication of our story, the town was up to 60 percent.","Reggie and Sylvia changing the batteries in their LED lanterns before going to bed. They own a generator, but find it so noisy and expensive that they devised a routine for heating their water and use lanterns to light their home.",2018-05-07T15:05:40Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Lens: Puerto Rico’s Long Journey Out of Darkness,https://www.nytimes.com/2018/05/06/lens/puerto-rico-power.html,https://static01.nyt.com/images/2018/05/08/lens/07todd4/07todd4-facebookJumbo-v2.jpg,the-new-york-times,The New York Times,Irma,1
RICHARD PÉREZ-PEÑA,"Ms. Mahoney, 25, was eight months pregnant when Irma ripped away their doors and windows, allowing the blast of rain into their old apartment. It was as if someone aimed a fire hose at everything inside, and left it running for hours, she said; two weeks later, Maria turned the hose on again. They have replaced or boarded over the openings, but the walls inside are “still wet to the touch,” she said. “The bathroom roof is falling apart. There’s a lot of mold, greenish and bluish, coming out of the walls.” Nearly everything they owned was ruined. An outer wall of their apartment, in a building in the Tutu High Rise Community, shifted in one of the storms, so the rooms flood anew with each rainfall. Their only way to cook was on a campfire, and with no refrigeration, they had to be careful to buy only as much food as they could prepare and eat each day. Across the islands, mosquitoes and flies proliferate in the standing water and rotting garbage, and like many people, Ms. Mahoney, unable to close her home to the elements, worries about a disease outbreak. Now, she has an added worry, an infant to care for — Trinity Luisa Mathurin, born in a hospital on Oct. 19. The baby’s arrival helped persuade the parents that they had to move, Ms. Mahoney said, “because it’s not sanitary.” But she is acutely aware that others are less fortunate. She and Mr. Mathurin have been sheltering neighbors whose apartment lost entire walls, so that their furniture literally blew away. With many homes destroyed, their family is not high on the list to get a more intact unit in the Tutu complex, a public housing project — but that is as it should be, Ms. Mahoney said. The storms left their 2011 Toyota Yaris with shattered windows and soaked upholstery, but to her surprise, it runs. She used to work at a hotel, but the storms put it out of business. After a few weeks, roads were cleared and some cell service returned, so her husband, a painter, was able to reach his boss and return to work on repair projects. “It feels like we’re actually making a bit of progress,” she said. “But it’s still such a long, long way to go.” _____ Continue reading the main story","More than two months after the disaster on the U.S. Virgin Islands began, we checked back on some spots that we visited and photographed not long after the storms hit.",2017-11-10T10:00:30Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",After Irma and Maria: How 3 Spots on the U.S. Virgin Islands Are Faring,https://www.nytimes.com/2017/11/10/us/virgin-islands-hurricanes.html,https://static01.nyt.com/images/2017/11/10/us/00USVI-top2/00USVI-top2-facebookJumbo.jpg,the-new-york-times,The New York Times,Irma,1
