author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
Emily Long,"If you love fonts or National Parks (or both), youre in luckyou can download the typeface found on park signs for free.
The iconic all-caps lettering used by the National Park Service wasnt originally a typeface, reports Fast Company. Signs are made using a router that chisels directly into the wood.
Designer and University of Kansas professor Jeremy Shellhorn was working in Rocky Mountain National Park in 2013, where he had students in his Design Outside Studio class make rubbings of the signs to create a digital typeface. 
To download the typeface, visit the projects website. The .zip folder includes four .otf files in different weights: thin, regular, outline, and heavy. Each font weight has capital letters, lowercase letters, and numerals.
To install on MacOS, double-click each file. When your font installer opens, hit the Install Font button, which will add the font to your font book. On Windows, right-click on the font file and click Install or drag and drop into your Fonts folder in your Control Panel &gt; Appearance and Personalization.
The download is free, but the website accepts small donations for future projects.","If you love fonts or National Parks (or both), you’re in luck—you can download the typeface found on park signs for free. Read more...",2019-02-13T15:30:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Download the National Parks' Typeface For Free,https://lifehacker.com/download-the-national-parks-typeface-for-free-1832359415,"https://i.kinja-img.com/gawker-media/image/upload/s--qYmju8GQ--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/lmvbrzz42pmgvwtblkkd.jpg",,Lifehacker.com,National,1
JENNIFER A. HILLMAN,"This is dangerous. It provides all countries with a “get out of jail free” card that can be played just by saying the magic words “national security.” Blurring the line between economic and national security also invites retaliation. The United States agreed to eliminate steel tariffs and lower aluminum tariffs to below 5 percent in 1995 in exchange for tariff cuts by others. Now, by imposing 25 percent tariffs on steel and 10 percent on aluminum, the United States has broken that commitment. And by imposing the tariffs on some but not all trading partners (South Korea, Australia, Argentina and Brazil are exempt), the United States has also broken its commitment not to discriminate among W.T.O. members. Already our partners are reacting. China has placed tariffs on American exports of nuts, fruits, wine, pork and some steel pipes. Canada, the European Union, Mexico, Japan, India, Turkey and Russia may impose their own retaliatory tariffs. This adds tremendous chaos to the trading system and may signal the start of a global trade war. Moreover, the Trump administration is sacrificing real national security concerns for short-term economic gains. How else to describe a decision to dispose of the Commerce Department’s settlement with ZTE? It followed a multiyear investigation finding 380 alleged and admitted violations of American law by the Chinese telecomm giant. These included conspiracies, false statements and deceptions to obtain contracts to supply, build, and operate telecommunications networks in Iran, and to illegally ship telecommunications equipment to North Korea. If we impose tariffs on steel and cars based on a claim that those imports threaten our national security, what will we do if and when our national security is really threatened? Auto production in the United States has more than doubled since 2009, and imports of Chinese steel have fallen by nearly 75 percent since their 2014 peak. Why attack imports from longstanding allies now? Especially when it does nothing to target China’s massive subsidies, intellectual property theft, and unfair takeovers of technology — actions that truly threaten our national security. Erasing the line dividing national security from economic security threatens both. Congress needs to recognize the danger and limit the president’s authority to raise the specter of national security at every turn. At the same time, Congress must ensure that genuine concerns are not traded away for limited economic gains. Cavalier use of rarely invoked laws will only undermine their purpose and put the trading system at risk.",The Trump administration is sacrificing real national security concerns for short-term economic gains.,2018-06-01T10:00:10Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Trump’s ‘National Security’ Tariffs Hurt National Security,https://www.nytimes.com/2018/06/01/opinion/trump-national-security-tariffs.html,https://static01.nyt.com/images/2018/06/01/opinion/sunday/01Hillman2/01Hillman2-facebookJumbo.jpg,the-new-york-times,The New York Times,National,1
Emily Price,"In addition to being Black Friday, Friday November 23rd is also National Espresso Day. If you got up early to shop or if youre still recovering from your turkey coma this morning, there are a number of different coffee shops around the country where you can celebrate and score a few deals today. Starbucks Starbucks customers can get buy-one-get-one-free espresso and Frappuchni beverages today from 3pm to close at all locations in the United States and Canada. Dunkin Donuts Dunkin is offering a free Lyft ride to a Dunkin Donuts between 4am and 3pm on Friday (use the code SipDunkin). Once you arrive you can add a shot of espresso to your drink for $.50, half the traditional price. That Lyft credit only works for the first 25,000 customers today, so if you want to take advantage of it you should act sooner rather than later. McDonalds McDonalds customers can get any McCafé brewed coffee for $1 today or any McCafé espresso drink for $2.","In addition to being Black Friday, Friday November 23rd is also National Espresso Day. If you got up early to shop or if you’re still recovering from your turkey coma this morning, there are a number of different coffee shops around the country where you can …",2018-11-23T17:15:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Where to Get Free Coffee For 'National Espresso Day' Friday,https://lifehacker.com/where-to-get-free-coffee-for-national-espresso-day-frid-1830621699,"https://i.kinja-img.com/gawker-media/image/upload/s--rkPs6c0_--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/np27bxnqdrhx950vejvi.jpg",,Lifehacker.com,National,1
Emily Price,"The past few years have brought us a number of exciting new food-based holidays ranging from National National Pizza Day (February 9th) to National Beer Day (coming up April 7th!). While we can all (hopefully) agree that these arent exactly real holidays they do often equal real savings on whatever the day is celebrating, and today is National Burrito Day.
To celebrate everyones favorite tortilla-wrapped meal, a number of national chains are offering deals to enhance those celebrations. Here are the ones weve found. Keep in mind your favorite non-chain local establishment might be offering a bargain today as well, so if these dont strike your fancy consider giving them a call to see if they have a promotion as well.
Baja Fresh
Baja Fresh is offering $5 burritos all day as long as you show the cashier a bar code thats on the companys Instagram and Facebook page. The chain is also holding a National Burrito Day Sweepstakes where you can potentially win a $50 gift card.
El Pollo Loco
El Pollo Loco is offering BOGO burritos on Thursday. To score the deal youll need the coupon posted on the restaurants website.
Chipotle
Chipotle is celebrating the big day by teaming up with YouTuber David Dobrik to offer a National Burrito Day burrito called the Dobrik Burrito. Presumably what Dobrik himself enjoys eating, the burrito is brown rice, black beans, chicken, mild salsa, two scoops of corn salsa, a sprinkle of cheese and a side of guac for dipping.
Chipotle notes that the burrito is only available for digital orders, although you could probably just figure out how to order this one at the counter yourself. It will be on the menu through Sunday. Today you can get $0 delivery fees on the Dobrik or any other Chipotle burrito of your choosing through DoorDash as long as you spend $10 or more.
Moes Southwest Grill
Moes is celebrating the big day with $5 burritos at all of its locations nationwide.
Del Taco
Del Taco is handing out free half-pound Bean and Cheese burritos with a $5 purchase through its app.
Qdoba
Qdoba isnt offering any special deals for National Burrito Day per-se, but it is offering members of its rewards program triple points for all of their purchases made today.",The past few years have brought us a number of exciting new food-based holidays ranging from National National Pizza Day (February 9th) to National Beer Day (coming up April 7th!). While we can all (hopefully) agree that these aren’t exactly real “holidays” t…,2019-04-04T19:38:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Where to Score Deals Today For National Burrito Day,https://lifehacker.com/where-to-score-deals-today-for-national-burrito-day-1833816979,"https://i.kinja-img.com/gawker-media/image/upload/s--4cKM6HXt--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/d80086kpkiohhbexbtqx.jpg",,Lifehacker.com,National,1
Emily Price,"Every day seems to be a new national holiday for something. However, today’s national holiday comes with a pretty solid benefit: free root beer floats. May we humbly present National Root Beer Float Day. From 2pm-8pm today you can score a free root beer float from A&amp;W locations nationwide. No purchase is necessary, so you can just walk in, grab your float, and enjoy. All courtesy of Rooty the Root Bear. That said, donations for the sweet treat are encouraged. A&amp;W is accepting cash for the Disabled American Veterans, paying tribute to the dessert’s roots. It was originally served at a parade honoring World War I veterans. And if you don’t have an A&amp;W near you, you can always celebrate by making your own float at home.","Every day seems to be a new national holiday for something. However, today’s national holiday comes with a pretty solid benefit: free root beer floats. Read more...",2018-08-06T17:40:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Get a Free Root Beer Float Today From A&W,https://lifehacker.com/get-a-free-root-beer-float-today-from-a-w-1828135467,"https://i.kinja-img.com/gawker-media/image/upload/s--7mOWRjf9--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/dun2cvflugavjjkaa6oq.jpg",,Lifehacker.com,National,1
Josh Ocampo,"Today in the upside down, President Trump declared a national emergency in an effort to fund the U.S.-Mexico border. In doing so, hell effectively bypass Congress and gain access to billions of dollars, among other capacities, which include the ability to declare curfews and even limit our actual movements (yep). Its a scary amount of power for any president to have, but what exactly does this declaration, well, declare? Heres what you need to know:
What is a declaration of a national emergency?
Good question! Before we define an emergency, youll need some context: President Gerald Ford is the man responsible for first instituting the National Emergencies Act of 1976.
This act granted the ability of any president to declare a national crisis which threatens the country and its security (a crisis, however, is vaguely defined and very much up to the discretion of the president).
 In declaring a national emergency, a president gains a number of powers, including the ability to freeze bank accounts, seize commodities, seize and control all communication, assign military forces, and limit travel, according to a 2007 Congressional Research Service Report. As the Atlantic notes, any obtained power doesnt even have to relate to the emergency in question, either. In other words, the president is fucking powerful.
In his announcement, Trump explained his plans to divert funds from the Department of Defense military construction budget to building the wall. We have so much money we dont know what to do with it, Trump said. I dont know what to do with all the money theyre giving us.
Can he be stopped?
Sort of. Citizens cant stop a president from declaring an emergency. As part of the National Emergencies Act, however, Congress is granted the right to terminate an emergency status (as NPR reports, Congress must also be informed of a national emergency and every single power invoked).
A few years ago I stopped drinking beer I really liked because I discovered that its owners were
Read more Read
Congress can choose to terminate a declaration if both the House and Senate vote for it. To date, however, this check has never been used in U.S. history. This is also very unlikely to take place with Republicans controlling the Senate (though there are a number of Republicans who have expressed disapproval).
Has this power ever been used before?
Yes, and pretty frequently (more than 50 times, in fact, and usually a number of times during each presidency). Most notably, Bush used it shortly after 9/11, in an attempt to gain power over the military. Obama used the power in 2010 in reaction to threats by Somali pirates. 
And Trumps already used it three times in his term alone (two times in response to threats posed by international affairs, and once in response to Russian interference in the election).
What happens next?
Jesus take the wheel! No, really, your guess is as good as mine. 
A recent op-ed in the New York Times claims Trump cant unlock funds for the wall, arguing that its a federal crime. Currently, House Democratic leaders are planning to block the declaration.
In his announcement, Trump said he is also expecting to be sued over the declaration and Speaker of the House Nancy Pelosi has expressed that Democrats may take legal action. 
This is plainly a power grab by a disappointed President, who has gone outside the bounds of the law to try to get what he failed to achieve in the constitutional legislative process, Pelosi and Senator Minority Leader, Chuck Schumer, said in a joint-statement after the announcement.
For now, the situation is ongoing. 
For more from Lifehacker, be sure to follow us on Instagram @lifehackerdotcom.","Photo: Alex Wong ( Getty Images ) Today in the upside down, President Trump declared a national emergency in an effort to fund the U.S.-Mexico border. In doing so, he’ll effectively bypass Congress and gain access to billions of dollars, among other capacitie…",2019-02-15T16:53:00Z,"{'id': None, 'name': 'Lifehacker.com'}",What Happens When a President Declares a National Emergency?,https://lifehacker.com/what-happens-when-a-president-declares-a-national-emerg-1832648634,"https://i.kinja-img.com/gawker-media/image/upload/s--Dzfcw6zA--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/q3sh2cbgvessdhnzkcmd.jpg",,Lifehacker.com,National,1
DAVID BROOKS,"This past month weve seen thousands of people convinced that they know how Kavanaugh behaved because they know how privileged people behave. Weve seen thousands of people lining up behind Kavanaugh because they know that theres this vicious thing called the Left, which hates them. This is a complete pulverization of the actual individuals involved in this case a retreat from complex particularity to simplistic group prejudice. The core problem behind all of this is a complete breakdown in the legitimacy of our public institutions. The Supreme Court is no longer a place where justices dispassionately rule on the Constitution. Its a place where they cast predictable party-line votes. Therefore, senators no longer deliberate on nominees. They cast predictable party-line votes. The members of the public no longer reason with one another. They fall into predictable party-line formation and then invent post-hoc, bad-faith rationalizations to give cover to their ideologically driven positions (Drank too much! Bad temperament! Bad yearbook entry!). Its clear that we need a new sort of environmental movement, a movement to police our civic environment. That environment isnt polluted by a vague condition called polarization. It is polluted by the specific toxic emissions we all produce in our low moments. Those emissions have to be precisely identified, classified, called out as shameful. Its also clear we have to set up more forums for personal encounters between different kinds of people. You detoxify disputes when you personalize them. People who dont have regular contact with people they disagree with become intellectually dishonest quickly. Finally, the good trends have to be fenced off from poisonous politics. American society is taking concrete action to make sexual assault intolerable. But this movement will not succeed if it becomes a pinball in the partisan politics of personal destruction. The Kavanaugh hearings were a look in the mirror, and a vivid display of how ugly things have become. What are we going to do about it? Follow The New York Times Opinion section on Facebook and Twitter (@NYTopinion), and sign up for the Opinion Today newsletter.",Protesters opposed to Judge Brett Kavanaugh at the Supreme Court building on Thursday evening.,2018-10-05T01:05:09Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",A Complete National Disgrace,https://www.nytimes.com/2018/10/04/opinion/kavanaugh-hearing-partisan-national-disgrace.html,https://static01.nyt.com/images/2018/10/04/opinion/04brooksWeb/04brooksWeb-facebookJumbo.jpg,the-new-york-times,The New York Times,National,1
Andrii Degeler,"The game company has partnered with the National Park Foundation to celebrate the 50th anniversary of National Trails and Wild &amp; Scenic Rivers act signed on October 2, 1968. On a special page on its website, Niantic encourages players to visit any rivers and trails before December 31st, 2018, and send a postcard or publish an Instagram post about it. In exchange, the company will donate $5 for each post and postcard (limited by one per person and $100,000 in total) to the National Park Foundation and send the participants a special patch and handwritten note. The new initiative could be a good starting point before introducing weekly fitness goals, a currently inactive feature that was discovered by Pokemon Go fans who poked around the APK file of the game's latest update. The updates come as Pokemon Go appears to be making its way back onto players' devices. In May 2018, the game reportedly saw the highest number of active players — 147 million — since its launch in 2016.","In addition to being a fun and entertaining pastime in its own right, augmented reality games have also proven to be a decent way to make players more physically active. Niantic, the developer of two of the most well-known AR games — Pokemon Go and Ingress, —…",2018-10-05T12:28:00Z,"{'id': 'engadget', 'name': 'Engadget'}",Niantic plans 'Pokémon Go' events in US national parks,https://www.engadget.com/2018/10/05/niantic-pokemon-go-ingress-national-park-foundation-trails-wild-scenic-rivers/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fs.aolcdn.com%2Fhss%2Fstorage%2Fmidas%2F30d5a858e35c802e3701fe525ff4944c%2F206716442%2Fpoke-ed.jpg&client=amp-blogside-v2&signature=d4bc6dda50a2b7422bb8d15ea2628be2f09a0fc5,engadget,Engadget,National,1
Saqib Shah,"GM says the move would potentially place more than seven million long-range EVs on the road by 2030, resulting in a reduction of 375 million tons of CO2 emissions. Meanwhile, in a USA Today op-ed, CEO Mary Barra called for investing in charging infrastructure, renewing and expanding federal tax credit incentives, and providing regulatory incentives for US battery suppliers. Starting in 2021, the program urges a 7 percent ZEV requirement, increasing 2 percent each year until 2030. Taking into consideration GM's existing zero emissions commitment -- and the fact that it already has an all-electric Chevrolet Bolt and the plug-in hybrid Chevrolet Volt -- the company naturally stands to benefit from ZEV credits over its trailing rivals. As noted by The Detroit News, the announcement comes as the Trump administration pushes to freeze gas mileage rules enacted by former President Barack Obama. It could therefore present a solution to the deadlock between the White House and California, which already has a ZEV program in place and has sued to halt the proposed rollback.","A year since its pledge to go all-electric, General Motors wants its counterparts to follow suit. The automaker is calling on the US government to start a nationwide zero emissions vehicle ( NZEV ) program. Its ambitious plan -- submitted to the the Environme…",2018-10-26T12:30:00Z,"{'id': 'engadget', 'name': 'Engadget'}",GM wants a national tax credit program for electric vehicles,https://www.engadget.com/2018/10/26/gm-electric-vehicles-national-tax-credit/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D1600%252C920%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C920%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-uploaded-images%252F2018-10%252F19ab1760-d90f-11e8-bfb6-1710aba8270e%26client%3Da1acac3e1b3290917d92%26signature%3Df86cd5b028d7d0f6d02e7a40de7ea67f07daa2c9&client=amp-blogside-v2&signature=1d240e090e2daf6794057e7fe198b4ed331db87d,engadget,Engadget,National,1
Josh Ocampo,"This week, the U.S. government reopened after 35 days in shutdown limbo. Its effects on our national parks have been devastating, ruining public lands and compromising the livelihood of federal workers everywhere. Luckily, there are a few things you can do to help one park that was hit especially hard.
According to some conservationists, places like Joshua Tree National Park in Southern California will take centuries to regrow, the result of furloughed workers and unmonitored vandalism. Photos of cut down trees, garbage, and illegal camping at the park have made the rounds on social media since the beginning of the shutdown.
At Joshua Tree National Park, champagne bottles were left strewn on the desert floor on New Years morning, along with a prom dress, the Los Angeles Times wrote. Someone had kicked one of the iconic trees, perhaps to see how sturdy it was. Human waste was piling up.
 A non-profit group, Friends of Joshua Tree, has devoted themselves to volunteer cleanup efforts to curb the problems affecting the park, though theres a good chance the park will be put in a similar position (or maybe worse) if the government shuts down again in February.
What can you do to help Joshua Tree National Park? Here are a few tips:
Volunteer
If youre a California local, you can sign up to volunteer for a cleanup effort with the National Parks Conservation Association and help pick up trash and other waste strewn throughout the park. 
Donate 
If you want to make an impact from across the country, you can donate directly to the Joshua Tree National Park by way of the National Park Service. You can designate where youd like your donation to be spent, so be sure to specify cleanup and conservation efforts. Heres information on where you can send a check.
Want to help the Joshua Trees furloughed workers impacted by the shutdown? Friends of Joshua Tree launched a zero-interest, small loans program. By lending a few dollars as a loan, workers will have temporary reprieve from the shutdown. If the government shuts down again in February, this program is going to become more necessary than ever. 
Pollution is killing oysters in Oregon. So much of New Jersey is paved that its storm water has
Read more Read
Dont off-road
And how can you help if youre planning a visit to the park? Dont off-road. Exploring the park may seem like a good idea at the time, but visitors are banned from driving into areas where vegetation can be compromised (or accidentally cut down altogether). 
If you spot any trash, do your part to pick it upand be conscious of your own waste. National parks are a communal space and we should all be aware of our individual impact, no matter how small.
For more from Lifehacker, be sure to follow us on Instagram @lifehackerdotcom.","This week, the U.S. government reopened after 35 days in shutdown limbo. Its effects on our national parks have been devastating, ruining public lands and compromising the livelihood of federal workers everywhere. Luckily, there are a few things you can do to…",2019-02-01T21:00:00Z,"{'id': None, 'name': 'Lifehacker.com'}",How to Help Joshua Tree National Park After the Shutdown,https://lifehacker.com/how-to-help-joshua-tree-national-park-after-the-shutdow-1832261143,"https://i.kinja-img.com/gawker-media/image/upload/s--NlOcaQJA--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/d7ydylgbriysgastsfjp.jpg",,Lifehacker.com,National,1
