author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
KURT ANDERSEN,"Rice is the most compelling character. Allie pities poor Condi, who seemed to have spent a lifetime offering graciousness as a kind of microwaved substitute for actual warmth. Barbara Bush reckons Rice wanted her real personality to break through; she was merely afraid of it as opposed to Hillary who despised her own real self. But Rice has an authentic center, knows that if she ran for office every compromise and stifling and self-suppression to be performed would devour her with shame.
At an Army base in Germany, preparing to address the troops outdoors, she unbuttons her coat so it will blow open and reveal a pair of knee-high boots tightly encasing two legs whose several inches of exposed thigh had been made shapely by uncountable hours on the elliptical. Our Miss Brooks morphing into Lucy Lawless. Dominatrix? Who, me? Three hundred pages later, shes in bed with the named, real Canadian foreign minister, a man 11 years her junior. Condi admired the forearm flexors of Canadas Sexiest Male M.P., and later proudly thinks I got laid, but also recognizes that their lovemaking resembled the U.S.-Canadian relationship affectionate; not especially dramatic; and unlikely to evolve.
As for Bush, Im willing to buy that he really is kind, particularly to the women in his life; emotional about the wounded and displaced; sickened by corruption more than any dovishness; and realized after being re-elected how much he already wanted the whole thing to be over. And he might have the dark, funny thought that if the plane aiming for the Capitol dome on September 11 had actually hit it, he could imagine his vice president muttering No loss through that sly slit of a mouth.
But the W. of Landfall is unbelievably wonderful. He makes charming fun of his reputation for ignorance and then disproves it again and again. Hes fluent geopolitically, historically, philosophically. He knows minutiae, like the Iraqi village where Saddams regime executed over 140 people in 1982, and hes smart about the bigger picture, understanding that his war to incite regional democratization was, hed come to realize, his own domino theory, a reversal of the L.B.J. version. When Rumsfeld and Rice have a spat, he angrily asks: What would you call that? A dialectic? His born-again Christianity, he figures, gives him more in common with, and more insight into, the most radical Muslim who read his Quran than the unbeliever who never opened his Bible. And Mallons Bush is this much of a brainiac mensch: Hes trying to finagle a happy ending for Allie and Ross because hed failed in Iraq and New Orleans, and thus felt required to amalgamate the miniature and the giant. If he could help to solve their problems, writ small in the ink of a double catastrophe, maybe that could lead him toward a solution for the catastrophes themselves.
His flaws are barely flaws. Dole rags on him for always choking up and Kissinger, likewise, for possibly being the sincerest man Ive ever met. In this book his biggest problem, which Mallon diagnoses well, is a fundamental uneasiness, the lack of an even keel. Young Laura worries how long it would be before the quick, constant movements between overindulgence and athletic self-punishment broke the spring of her husbands metronome. When Allie first beholds him, she remarks on the fake good humor Hes actually pissed off. I can see it in his eyes and three decades later still sees the bipolarity: Half the time he was without self-confidence; the other half he spilled an excess of it. But this is such a mature and self-aware Bush that he knows he had to fight it, the sudden shift from merriment to irritability, from runners high to cramp, the flight and crash he experienced a dozen times an hour. He wonders at one point if he is getting as paranoid as Nixon, and then decides that maybe President Ford was the only normal guy to have occupied the place, including himself and his father.
I was surprised how little space such a thoughtful writer devotes in this long novel to the awful particulars of its central catastrophe. Hes too easy on everyone. The action starts nearly two years into the war, well after the administration made its big, terrible decisions. The profound bungling and cynicism and deception behind those decisions is elided, practically ignored, eclipsed by Bushs present-moment sincerity and idealism. Dick Cheney is generally absent, as are any real discussions of waterboarding or renditions or Guantánamo. Rices predecessor, Colin Powell, who warned the president in 2002 that if we broke Iraq wed own it, is recalled as a self-righteous ass. The war years Mallon has chosen to focus on, 2005 and 2006, perfectly stack the moral deck in Bushs favor after breaking Iraq but before committing to trying to put it back together. In fact, the military surge that started in 2007 reduced the chaos the United States had unleashed. The one main character in the war zones is likable, lovable Allison, whose work doesnt involve killing or torturing, and the Iraqi (and Afghan) characters we meet still welcome the Americans as liberators, years into the wars.
Rosss government job also consists of doing nice things. The most Republican opinion he expresses isnt very right-wing annoyance at P.C. colleagues in his department with their theory-ridden view of American history as a sort of ongoing atrocity. In fact, hes a deep-state RINO, finding the new bureaucratic term homeland a trifle Third Reich-ish, and arguing against funding a hagiography of the conservative pundit Norman Podhoretz: Lets not reject their junk just so we can start pushing our junk.",Thomas Mallon’s “Landfall” imagines the goings-on inside the Bush White House.,2019-02-11T10:00:05Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Fiction: A Comic Novel About the George W. Bush No One Knows,https://www.nytimes.com/2019/02/11/books/review/thomas-mallon-landfall.html,https://static01.nyt.com/images/2019/02/17/books/review/17Anderson-COVER/17Anderson-COVER-facebookJumbo.jpg,the-new-york-times,The New York Times,landfall,1
BBC News,"Video Thousands without power, hundreds in need of rescue, several deaths: this is what it looked like as Hurricane Florence made landfall in the Carolinas.","Thousands without power, hundreds in need of rescue, several people dead as storm churns in.",2018-09-15T00:21:21Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Hurricane Florence makes landfall,https://www.bbc.co.uk/news/av/world-us-canada-45531953/hurricane-florence-makes-landfall,https://ichef.bbci.co.uk/news/1024/branded_news/F176/production/_103441816_p06l7bhf.jpg,bbc-news,BBC News,landfall,1
"Ray Sanchez, CNN","Puerto Rico's emergency management director Abner Gómez's resignation is effective Saturday Lt. Gen. Jeffrey Buchanan, appointed by Pentagon to lead military relief efforts, leaves island next week (CNN) Puerto Rico's emergency management director resigned Friday as the island's slow recovery continues nearly two months after Hurricane Maria made landfall. In announcing the resignation of Abner Gómez, effective Saturday, Gov. Ricardo Rosselló praised the work of his emergency management chief following the passage of Hurricanes Irma and Maria in early and later September. The governor also announced that Lt. Gen. Jeffrey Buchanan, who was appointed by the Pentagon to lead all military relief efforts, will be reassigned outside the island next week. About 60% of the US territory is still without power as the island's approximately 3.4 million US citizens struggle through the aftermath of the storm. A massive power outage struck the capital of San Juan on Thursday after a major north-south transmission line failed, according to the Puerto Rico Electric Power Authority, known as PREPA. No reason given for resignation Héctor Pesquera, secretary of Puerto Rico's Department of Public Safety, will take over emergency management duties. Rosselló did not give a reason for Gómez's resignation. The emergency management director came under fire after the island's El Nuevo Dia newspaper reported that Gómez took a two-week vacation shortly after Maria made landfall on September 20. Buchanan, a three-star star general and commander of US Army North (5th Army), arrived in Puerto Rico in late September as the military was tasked with improving distribution networks of relief supplies. 'We've moved out of the crisis' ""The cessation of General Buchanan's work does not mean that the military is leaving,"" Rosselló said in a statement. ""His departure marks a positive transition. We have not finished the recovery, but there is progress in the missions that have been carried out."" Buchanan will be replaced by a two-star general, according to the governor. ""From my perspective, we've moved out of the crisis,"" Buchanan told reporters. ""We're moving out of response and most places are moving on towards recovery... FEMA is going to be here for very much the long term and the rebuilding effort, and we in the military generally don't do that."" The changes come as the island's government faces questions about the official death toll of 55 from the massive storm. Government officials acknowledged this week that nearly 500 more people died in Puerto Rico in September than in the same month the previous year. An official with Puerto Rico's forensics institute told reporters that 472 more people died this September than in the same month in 2016 -- up from 2,366 to 2,838. Wanda Llovet, director of the Demographic Register, said there were about 82 deaths a day reported from September 1 through September 19, compared to some 117 per day during the last ten days of the month. ""We are not going to say there could be more or less,"" Pesquera, whose oversees the count, said of hurricane-related fatalities. ""We've quantified the number of deaths."" Pesquera has staunchly defended government efforts to generate an accurate count under extremely trying conditions: most lines of communication were cut and many roads on the island were initially impassable. CNN's Leyla Santiago in San Juan contributed to this story.",Puerto Rico's emergency management director resigned Friday as the island's slow recovery continues nearly two months after Hurricane Maria made landfall.,2017-11-11T03:21:12Z,"{'id': 'cnn', 'name': 'CNN'}",Puerto Rico's emergency director resigns,http://www.cnn.com/2017/11/10/us/puerto-rico-emergency-management-director-resigns/index.html,http://cdn.cnn.com/cnnnext/dam/assets/171004164139-getty-puerto-rico-flag-house-brought-down-by-hurricane-super-tease.jpg,cnn,CNN,landfall,1
https://www.facebook.com/bbcnews,"Image copyrightEPAImage caption
 Tens of thousands have been asked to evacuate from seaside towns and villages
Tropical storm Pabuk has begun pelting southern Thailand with rain and wind, in what is expected to be the worst storm to hit the region in 30 years.
The storm made landfall at 12:45 local time (05:45 GMT) in the province of Nakhon Si Thammarat, the Meteorological department said.
It is expected to move across southern Thailand hitting several popular tourist spots.
Thousands of people have left Koh Samui, Koh Tao and Koh Phangan islands.
While storms are common in the Gulf of Thailand at this time of year, Pabuk is the first in decades to strike during the peak holiday season.
Thailand's meteorological department said the storm will over the next days affect the south of the country ""with widespread rainfalls, and torrential downpours are possible much of the area"".
""People should beware of the severe conditions that cause forest runoffs and flash floods,"" the officials warned. 
The storm will likely weaken as it crosses over from the Gulf of Thailand to the Andaman Sea, but tourists there are also being warned to be prepared for heavy rain, rough seas and landslides.",Storm Pabuk has made landfall in southern Thailand and is expected to hit many popular tourist spots.,2019-01-04T07:28:56Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Thailand Pabuk: Tourist spots hit by worst storm in decades,https://www.bbc.co.uk/news/world-asia-46756239,https://ichef.bbci.co.uk/news/1024/branded_news/1315/production/_105058840_779ba8dc-cdbd-4556-b5c7-0776095a25f7.jpg,bbc-news,BBC News,landfall,1
MATT STEVENS,"Forecasters said they expect the Florida Panhandle as well as parts of eastern and central Alabama and western Georgia to get between four and eight inches of rain through Tuesday, with some isolated areas getting as much as a foot; they warned that flash flooding was possible in Florida, much of Alabama, and western Georgia. Storm surge in Florida could cause water to rise as high as three feet from the Aucilla River to Mexico Beach, they said. Isolated tornadoes were also possible over parts of Georgia and southeast Alabama. After the exceptionally destructive season last year, forecasters said last week that the possibility of a weak El Niño, along with near-average sea surface temperatures, suggest that this year’s hurricane season will be normal or only slightly more active than average. The National Oceanic and Atmospheric Administration’s forecasters predicted a 70 percent likelihood of 10 to 16 named storms this year with winds of 39 miles per hour or higher. Hurricane season runs from June 1 until Nov. 1 and peaks from mid-August through late October. Last year, there were 17 named storms, 10 of which became hurricanes ; the first named storm was Arlene — a rare preseason tropical storm that arrived in April. “We’re not expecting the season to be one of the most active on record,” said Gerry Bell, lead hurricane season forecaster with NOAA’s Climate Prediction Center. But, he added, “It’s time to start getting prepared.”","The storm struck Laguna Beach, Fla., just before 5 p.m. with wind speeds of about 45 m.p.h. Officials have warned of possible flooding.",2018-05-29T00:00:08Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Subtropical Storm Alberto Makes Landfall as Florida Braces for Rain,https://www.nytimes.com/2018/05/28/us/subtropical-storm-alberto-florida.html,https://static01.nyt.com/images/2018/05/29/us/29alberto_xp/29alberto_xp-facebookJumbo.jpg,the-new-york-times,The New York Times,landfall,1
A.A. Newton,"Hurricane Florence is expected to make landfall along the Atlantic coast as early as this coming Thursday. While coastal Virginia, North Carolina, and South Carolina are expected to be the hardest hit, anyone who lives along the Eastern seaboard should be keeping a close eye on the storm’s progress. As of this morning, Florence has been upgraded to a category 4 storm, with high winds and heavy rain predicted to start Wednesday night or Thursday morning. Per the National Hurricane Center, folks in South Carolina up to the Mid-Atlantic region should have a hurricane plan in place and be prepared to follow local officials’ advice. If your region could be affected by the storm, stay informed with any of these resources: As always, local meteorologists and news outlets are your best source for up-to-the-minute forecasts and evacuation protocols, so be sure to consult them when making storm preparation plans.","Hurricane Florence is expected to make landfall along the Atlantic coast as early as this coming Thursday. While coastal Virginia, North Carolina, and South Carolina are expected to be the hardest hit, anyone who lives along the Eastern seaboard should be kee…",2018-09-10T18:30:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Track Hurricane Florence with These Tools,https://lifehacker.com/track-hurricane-florence-with-these-tools-1828938960,"https://i.kinja-img.com/gawker-media/image/upload/s--GfxwByEF--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/yjwhfxqf0uulcyhcwno8.png",,Lifehacker.com,landfall,1
Morgan Sung,"Hurricanes Harvey, Irma, Maria, and Nate were so destructive, no other hurricanes will be given the same names. The World Meteorological Organization announced Thursday that it's retiring the names Harvey, Irma, Maria, and Nate from its rotation because of 2017's devastating season. It's replacing the names with Harold, Idalia, Margot, and Nigel instead. SEE ALSO: Shell knew truth of global warming in 1980s; foresaw a Hurricane Sandy scenario WMO names each hurricane based on an alphabetical rotation of names, alternating between male and female names. The selection of names for each rotation is usually used every six years, so we won't see Harold, Idalia, Margot, and Nigel come into use until 2023. If a hurricane is especially fatal and causes significant damage, its name is taken off the rotation and replaced with a different one. According to the WMO's FAQ, this naming system makes it easier for news outlets to report on the storms and increases community preparedness. ""Experience shows that the use of short, distinctive given names in written as well as spoken communications is quicker and less subject to error than the older more cumbersome latitude-longitude identification methods,"" WMO's FAQ says. WMO says that the 2017 hurricane season was ""one of the most destructive on record,"" with damages in the United States alone costing $250 billion. The 2017 hurricane season was one of the most destructive on record. Image: world METEOROLOGICAL organization The hurricanes taken off the WMO's rotation of names caused 224 deaths during their tropical cyclone phases. Hurricanes Harvey, Irma, and Maria were the first Category 4 storms to make landfall in the United States on record. Irma and Maria both reached Category 5 storms when they made landfall on the Caribbean islands. The damage caused in the Caribbean is likely to take years to recover, according to WMO. Seventeen tropical storms were named in 2017, and 10 of those storms became hurricanes. Six reached ""major hurricane strength"" and clocked in at Category 3 or higher. This is above the average for annual storms; from 1981-2010, the average was 12 tropical storms, six hurricanes, and three major hurricanes. Harvey made landfall over or near Texas last August as a Category 4 hurricane. It lasted for four days, devastating Houston and causing the deaths of 68 people. It was the costliest hurricane after Katrina, causing an estimated $125 billion in damages. Irma caused significant destruction in the Caribbean as a Category 5 hurricane, nearly wiping out Barbuda. It was the first hurricane to make landfall in Cuba since 1932, and it prompted the evacuation of about 6 million people in southern Florida. Maria ripped through Dominica and Puerto Rico in September. Dominica's damages are estimated at $1.3 billion, or about 224 percent of its GDP according to WMO. The entire island of Puerto Rico lost power, which one report concluded was the second largest blackout in history. Nate crossed from Nicaragua to Honduras as a tropical storm, but made landfall as a category 1 hurricane. The rainfall from Nate caused 44 deaths in Central America. 2017 retired almost as many names as 2005, when the severe hurricane season resulted in WMO removing Dennis, Katrina, Rita, Stan, and Wilma from the rotation.","Hurricanes Harvey, Irma, Maria, and Nate were so destructive, no other hurricanes will be given the same names. The World Meteorological Organization announced Thursday that it's retiring the names Harvey, Irma, Maria, and Nate from its rotation because of 20…",2018-04-13T00:11:17Z,"{'id': 'mashable', 'name': 'Mashable'}","Hurricanes will never be named Harvey, Irma, or Maria again",https://mashable.com/2018/04/12/harvey-irma-maria-nate-retired-hurricane-names/,https://i.amz.mshcdn.com/vxPa3u5ai-VBWM9rSDVaPlweB0s=/1200x630/2018%2F04%2F13%2F98%2Ffe67bf91592b46ab8f31dfcaf539b2af.8e663.jpg,mashable,Mashable,landfall,1
"Catie Keck on Earther, shared by Catie Keck to Gizmodo","A pair of fierce tropical cyclonesCyclone Trevor and Cyclone Veronicaare poised to strike Australia on two coasts within a day of each other, prompting mass evacuations as well as official warnings of severe and dangerous weather.
A state of emergency was declared in Australias Northern Territory this week ahead of Trevors second landfall early Saturday. As the cyclone moved through the Gulf of Carpentaria, the Northern Territory saw its largest evacuation since 1974 during Cyclone Tracy, according to ABC News Australia.
Thousands of people were reportedly evacuated from areas that lay in Trevors path. ABC News reported that some residents of the region, including those on the island Groote Eylandt and the coastal town of Borroloola, had to be airlifted to safety.
Trevor made landfall on the Northern Territory on Saturday at around 11 a.m. local time as a Category 4 cyclone, delivering dangerous winds that were felt more than 200 kilometers from the storms center. ABC News reporter Kristy OBrien was situated in Borroloola when the storm struck the Northern Territory and described the system to the BBC as delivering a guttural howling roar.
The cyclone first made landfall on the Cape York Peninsula earlier this week, which according to the Washington Post resulted in flooding and other destruction in the area. The force of the cyclones first landfall was reportedly equivalent to that of a Category 3 hurricane.
The Bureau of Meteorology Northern Territory said Saturday that Cyclone Trevor had been downgraded to a tropical low system, but added that it would be delivering dangerous conditions and severe weather as it moved further inland.
Tropical Cyclone Veronica, meanwhile, was nearing Western Australias Pilbara coast as of Sunday morning local time, bringing with it powerful and destructive winds and prompting safety warnings from the Bureau of Meteorology.
While the destructive wind and heavy rain are the obvious impacts, this system also has the potential to bring significant storm surge and flooding to the region, the Bureau of Meteorology Western Australia tweeted Saturday evening eastern time. Its worth thinking about what you would do if those threats occur.
The government agency said its been more than four years since twin cyclones have pummeled Australia at once, with the last event occurring in 2015 with Cyclones Marcia and Lam.
As the Washington Post noted, the pair of cyclones arrives as Australia recently experienced its hottest summer on record with a mean national temperature average of 30.8 degrees Celcius in January. As the paper noted, surrounding sea waters saw above normal surface temperatures, a recipe for brewing tropical storms.
[ABC News Australia]","A pair of fierce tropical cyclones—Cyclone Trevor and Cyclone Veronica—are poised to strike Australia on two coasts within a day of each other, prompting mass evacuations as well as official warnings of severe and dangerous weather. Read more...",2019-03-23T22:45:00Z,"{'id': None, 'name': 'Gizmodo.com'}",Two Powerful Tropical Cyclones Are Set to Strike Australian Coasts Simultaneously in First Since 2015,https://earther.gizmodo.com/two-powerful-tropical-cyclones-are-set-to-strike-austra-1833518923,"https://i.kinja-img.com/gawker-media/image/upload/s--KOF48-OL--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/fhzedopfjhs5w6nrvmpt.jpg",,Gizmodo.com,landfall,1
"Yessenia Funes on Earther, shared by Andrew Couts to Gizmodo","On March 15, a rare, giant cyclonemade landfall in Mozambique before making its way west to Malawi and Zimbabwe. By Saturday, Cyclone Idai had dissipated, but not before causing widespread infrastructural damage throughout eastern Africa and claiming more than 200 lives,reports Al Jazeera.
The Mozambican city of Beira, the fourth largest in the country, is 90 percent destroyed, according to a preliminary estimate by Jamie LeSueur of the International Federation of Red Cross and Red Crescent Societies (IFRC). With a population of more than 500,000, Beiras recovery is bound to be long: Aid workers couldnt reach the city until Sunday because flooding cut off roads, and IFRC team lead LeSueur said almost everything is destroyed. 
Mozambique had received some5.5 to 7.4 inchesof rain in 24 hours in the week before the storm even hit. Seven people died then, and more than 30,000 were already experiencing displacement, according to ReliefWeb. The cyclones heavy rainfallit was expected to drop up to 18 inches onto Mozambiquehas only made things worse. 
This cyclone was, indeed, unusual, as its the seventh cyclone in the Indian Ocean this season. Thats more than double the average for this time of year. Unfortunately, although the cyclone has fizzled out Mozambiques Institute of Meteorology expects conditions of extreme rain, thunder, and wind to persist throughout the country until Thursday.
Meanwhile, the United Nations Office for Outer Space Affairs activated an international charter Monday, which should help agencies map out the damage and necessary response through satellite imagery. 
The United Nations is requesting $40.8 million in U.S. dollars for emergency relief. The European Civil Protection and Humanitarian Aid Operations has already allocated 150,000 Euros to Mozambique to provide shelter and health needs and another 100,000 Euros to help Malawi with relief efforts. 
So far, agencies estimate that the cyclone has impacted about 850,000 people in Malawi and Mozambiquehalf of whom are children. The flood waters have also taken down 145 houses and four major bridges in Zimbabwe, according to ReliefWeb. Schools and clinics have likely suffered extensive damage throughout the region, as have crops and local water supplies, per the World Meteorological Organization. Currently, healthcare and clean water are high priorities for government relief efforts, according to Al Jazeera.
Its hard to say whether climate change had an influence on this cyclone, which was big but not unprecedented for the region. Butthe strongest cyclones have grown more common in the Southern Indian Ocean since 1994, according to a 2018 study, and their frequency is likely to continue increasing as our oceans warm. Overall, climate change is forecasted put more pressure on southern Africa in the future, through more heavier rainfall events and more drought. As Cyclone Idai demonstrates, governments will need to start preparing.","On March 15, a rare, giant cyclone made landfall in Mozambique before making its way west to Malawi and Zimbabwe. By Saturday, Cyclone Idai had dissipated, but not before causing widespread infrastructural damage throughout eastern Africa and claiming more th…",2019-03-18T16:00:00Z,"{'id': None, 'name': 'Gizmodo.com'}",'Almost Everything Is Destroyed': Cyclone Idai Leaves Mozambique's Fourth-Largest City in Ruins,https://earther.gizmodo.com/almost-everything-is-destroyed-cyclone-idai-leaves-moz-1833374728,"https://i.kinja-img.com/gawker-media/image/upload/s--1uHmd3F---/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/kla8pzure11ehmy97n23.jpg",,Gizmodo.com,landfall,1
A.A. Newton,"Large portions of the southeastern United States are preparing for Hurricane Michael, which will make landfall tomorrow morning. The storm has been steadily gaining momentum as it nears the Florida Gulf Coast, and is predicted to reach category 3 strength by the time it hits. Residents of the Florida Panhandle, southern Georgia and Alabama, western Cuba, and South Carolina are likely to experience strong winds, flash flooding, storm surges, heavy rains, or all of the above. If you or someone you love live in Michaels path, here are a few tracking resources to keep you up to date: As you pore over various hurricane maps, keep in mind that error cones only track the predicted path of the center of a hurricane. (For more on how to read cone maps, check out this NHC explainer.) Dangerous conditions can and do occur outside of the error cone, so stay tuned to local news outlets for the most accurate forecasts and evacuation notices.","Large portions of the southeastern United States are preparing for Hurricane Michael, which will make landfall tomorrow morning. The storm has been steadily gaining momentum as it nears the Florida Gulf Coast, and is predicted to reach category 3 strength by …",2018-10-09T16:30:00Z,"{'id': None, 'name': 'Lifehacker.com'}",How to Track Hurricane Michael,https://lifehacker.com/how-to-track-hurricane-michael-1829623590,"https://i.kinja-img.com/gawker-media/image/upload/s--hzcSBGI_--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/pnasn6uokt6ionyi71je.jpg",,Lifehacker.com,landfall,1
