author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
Mallory Locklear,"If you want to avoid the fee, you'll have to select another showing, but if you stick with the high-demand showtime, whatever credit card you have on file with MoviePass will be charged. Tapping on the Peak Pricing showtime will display what the added fee is, but the amount will depend on the movie, the time and the level of popularity. After selecting a showtime in Peak Pricing, the app will take you to a confirmation screen that shows the details of the added charge. In the coming weeks, MoviePass says it will begin offering a Peak Pass that will let users waive one Peak Pricing fee per month. Customers with an annual pass won't be subject to Peak Pricing until their subscription renews. ""The new peak pricing feature is aimed at providing additional flexibility for us and our users around popular movies and times for which there is limited inventory,"" MoviePass' website says. ""We are building peak pricing to be flexible and will be able to tweak it as needed based on the community's response."" The company also takes aim at AMC's new subscription offer saying the theater chain's plan ""means you pay more for way fewer options."" Along with AMC, MoviePass is also facing competition from Sinemia and other chains like Alamo Drafthouse while it continues to deal with its money troubles. Peak Pricing will roll out to all regions over the next few weeks. Images: MoviePass","Last month, MoviePass CEO Mitch Lowe announced that surge pricing would soon go into effect, charging customers a little extra for movies and showtimes that are especially popular. That added fee, which MoviePass is calling Peak Pricing, starts rolling out to…",2018-07-05T17:39:00Z,"{'id': 'engadget', 'name': 'Engadget'}",MoviePass’ surge pricing starts today,https://www.engadget.com/2018/07/05/moviepass-surge-pricing-starts-today/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D5178%252C3452%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C1067%26image_uri%3Dhttp%253A%252F%252Fo.aolcdn.com%252Fhss%252Fstorage%252Fmidas%252F730aa5df985bfbe0d6f5409ff7e83bec%252F206506660%252FRTS1RKEH.jpeg%26client%3Da1acac3e1b3290917d92%26signature%3D0f4a9c7a0b209bd81a45543863f8e74cd84e6dcb&client=cbc79c14efcebee57402&signature=62ec8d2a3b37995da7a6af3922e57f03d246d01f,engadget,Engadget,today,1
Jessica Conditt,"The Watchlist is now bundled into the ""My Stuff"" tab, and hovering over the thumbnail for a show or movie offers the option to play it, remove it from view or add it to ""My Stuff"" to check out later. Click on a title and an information card pops up over the homepage, without navigating to a separate link. Once a video starts playing, buttons along the bottom allow users to skip ahead or backward 10 seconds at a time, and clicking ""Up Next"" in the bottom right-hand corner plays the following episode in a series. This design is an evolution of the format the company rolled out a year ago for its Hulu with Live TV subscribers. The web version of Hulu has a handful of exclusive features, including picture-in-picture, Chromecast options, and the ability to watch multiple sports games in multiple windows (for Live TV subscribers).","Hulu.com has a fresh face today, following a design update that emphasizes thumbnails and hovering. It's a clean, graphic look, and Hulu has worked to keep the number of clicks to a minimum. The Watchlist is now bundled into the ""My Stuff"" tab, and hovering o…",2018-09-20T19:06:00Z,"{'id': 'engadget', 'name': 'Engadget'}",Hulu’s website looks different today,https://www.engadget.com/2018/09/20/hulu-redesign-fall-2018/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fs.aolcdn.com%2Fhss%2Fstorage%2Fmidas%2Fcf7321a2a2f1a13d2f5ba630abe35b5f%2F206681115%2FNew-Hulu.com-Laptop_r3.jpg&client=amp-blogside-v2&signature=5724933bcd58ca70a0dae42d357e063ea2b78997,engadget,Engadget,today,1
Shannon Liao,"Tumblr’s ban on adult content is now in effect and users will begin to see explicit posts disappear from public view. Media showing sex acts, exposed genitals, and “female-presenting” nipples will be hidden. All posts that are currently flagged as explicit are now being hidden from view, according to Tumblr, and that includes posts that users are in the process of appealing. In addition to what’s already gone, more adult content is going to be flagged in coming weeks, Tumblr says, and it hopes that the automated tools will be more accurate at picking out what counts as explicit. Tumblr announced the ban on December 3rd to immediate backlash. Users began to mourn the site’s diverse sex positive communities and massive archives of explicit content. Some began to share a guide posted to Github for exporting Tumblr blogs on Windows, while others wrote eulogies for the site. Tumblr is acknowledging users’ reactions while not changing the policies In a blog post that went up today, Tumblr apologized to users: “We are sorry that this has not been an easy transition and we know we can do a better job of explaining what we’re doing.” It said the change would be a slow process that involves “flagging tens of billions of GIFs, videos, and photos.” Many users also criticized Tumblr’s decision to consider “female-presenting nipples” as explicit, while male-presenting nipples were still okay. Some pointed out that in the case of non-binary, genderfluid, or trans individuals, it would be confusing where the line would be drawn on whose nipples would be considered explicit. In its blog post today, Tumblr has added the caveat, “yeah, we know you hate this term,” but maintained the language and distinction. After Tumblr initially announced the ban, users immediately began to see innocuous posts of turtles, dogs, and dolls all flagged as explicit. Photos containing a bit of skin in leather tights or cleavage such as in a Fashion Week show were also flagged, despite not fitting Tumblr’s definition of adult content. Whether these posts are hidden from view today depends on whether users’ appeals were processed in time. “We understand and agree that there have been too many wrongfully flagged posts since we announced the policy change,” says Tumblr. But if users don’t appeal their posts, then they’re out of luck. That could also be a problem for popular older accounts, which may not have anyone monitoring them to appeal the overly aggressive moderation. Flagged content will be hidden, but not deleted, Tumblr emphasized. That will allow posts to be appealed even after they’re removed from public view. This is explicit content. WILL SOMEBODY THINK OF THE CHILDREN!! #Tumblr pic.twitter.com/WQ5WCq3fgb — Emily | Animator & Illustrator☃️ (@EDAnimation) December 4, 2018 Tumblr says that its automated tools are getting smarter over time, so even if this cute photo of a dog is censored for now, eventually the tools should learn better. It also reassures bloggers that “all appeals will be sent to a real, live human who can make the appropriate call.” More clarity was given on Tumblr’s nipple ban, with Tumblr saying nipples would be allowed in depictions of gender-confirmation surgery, breastfeeding, post-mastectomy surgery, and other health-related situations. Nudity in politics, sculptures, and illustrations are likewise allowed. But users will still need to appeal if their posts are misclassified, or they’ll remain hidden.","Tumblr’s ban on adult content is now in effect and users will begin to see explicit posts disappear from public view. Media showing sex acts, exposed genitals, and “female-presenting” nipples will be hidden.",2018-12-17T15:00:04Z,"{'id': 'the-verge', 'name': 'The Verge'}",Tumblr porn vanishes today,https://www.theverge.com/2018/12/17/18141106/tumblr-porn-ban-adult-content-appeal,https://cdn.vox-cdn.com/thumbor/O7zIGrXVdra3E5nZXmwTUH9VOPc=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/13627120/acastro_191203_177_tumblr_0003.jpg,the-verge,The Verge,today,1
Josh Ocampo,"Headed to the airport this morning? You might want to double-check (and even triple-check) your flights departure time before settling at the gate.
Today, major airlines including American, Delta, Jetblue, Southwest, and United Airlines are reporting system-wide operating issues, causing delays as long as two hours for some passengers stranded on the tarmac.
Last weekend, some 250 passengers on a United flight headed to Hong Kong from Newark, New Jersey
Read more Read
In a tweet, American Airlines said the issue involved an AeroData outage, software that measures weight and balance so that a flight can depart safely. Southwest, however, has said that issues have since been resolved and Delta confirmed that data is now operating normally, with no cancellations planned.
Still, in response to the news, the FAA has tweeted that passengers should contact their airline directly for flight information and any necessary updates (and one airport in Florida reported as many as 55 delays this morning, alone).
What should you do before making your way to the airport? Call your airline and download your airlines app for any updates as soon as possible. Checking Twitter for your airport isnt such a bad idea eitheryou might come across some angry fliers with helpful information.
For more from Lifehacker, be sure to follow us on Instagram @lifehackerdotcom.",Headed to the airport this morning? You might want to double-check (and even triple-check) your flight’s departure time before settling at the gate. Read more...,2019-04-01T14:31:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Check For Flight Delays Before Flying Today,https://lifehacker.com/check-for-flight-delays-before-flying-today-1833714457,"https://i.kinja-img.com/gawker-media/image/upload/s--cAbODzgK--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/ra9esc3spvah4hi3gl9t.jpg",,Lifehacker.com,today,1
Alicia Adamczyk,"It might be the most Monday (Mondayiest?) Monday of the year. After a long, turkey-fueled holiday weekend, you now find yourself back at work, dreaming of your pajamas and a bowl of mashed potatoes, rather than your Black Friday -discounted suit and stale coffee. So, start small today. Theres no need to conquer your entire to-do list; rather, focus on one attainable goalfinishing up the company newsletter, prepping for a presentation, scheduling year-end doctor appointmentsand get that done. We all want to establish good habits, and break bad ones. But most of us approach the process all Read more Read Break it down into microtasks if you need to, and check one off at a time. Reads the New York Times Smarter Living newsletter, If you just cant motivate yourself to get started on something today, slice it up into the smallest possible units of progress and attack them one at a time. Stop obsessing over what youre going to write in the email you just cant bring yourself to write, and instead just click the button to open up a new email. Type in the recipients address. Click the subject line window. Write a subject line. And so on. Forgive yourself (and your coworkers) if youre a bit sluggish, and put one foot in front of the other. And so on. After your task is complete, draw up your list for the rest of the week. Its only Monday, after all. Theres plenty of time to get everything done.","It might be the most “Monday” (Mondayiest?) Monday of the year. After a long, turkey-fueled holiday weekend, you now find yourself back at work, dreaming of your pajamas and a bowl of mashed potatoes, rather than your Black Friday -discounted suit and stale c…",2018-11-26T15:00:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Focus on Accomplishing One Task Today,https://lifehacker.com/focus-on-accomplishing-one-task-today-1830652944,"https://i.kinja-img.com/gawker-media/image/upload/s--Mxv9-LWS--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/grfjrlh3kxeu4utur2sp.jpg",,Lifehacker.com,today,1
Nick Douglas,"It’s National Donut Day, possibly the most important of the made-up holidays pushed by corporations and their Facebook accounts. You can get free donuts at chains like Krispy Kreme and Dunkin’ Donuts, plus some non-donut-centric outlets. Money, People, and USA Today have lists; we’ve sorted them into “actually free,” “kind of free,” and “other.” Store bought muffins are huge, and full of sugar and calories. That makes them a dessert, a treat,… Read more Read Straight-Up Free Donut Krispy Kreme: One free donut for every guest. Brilliant. Factory Donuts: Two free donuts per person. The absolute lads. Edible Arrangements: Free cored apple covered in chocolate. Wal-Mart: Free donut. Shipley Do-Nuts: Free glazed til noon. LaMar’s Donuts: “Any donut with a hole.” Put this coupon on your phone. Duck Donuts: Free “classic donut” (plain/sugared). Fractured Prune Donuts: “Free OC Sand Doughnut—honey-glazed, covered in cinnamon and sugar,” says Money. Salvation Army: Veterans get free donuts at events around the country. Duffy’s Sports Grill: Free red velvet donuts for the table. Martin’s: Free donut. Speedway: Free donut with your loyalty card. Kwik Trip: Free glazed donut with your loyalty card. Sugar Shack: Free donut with military ID. (Sugar Shack does a different freebie every day they’re open.) Coupons.com: $3 cash back for donut purchases at Target and Wal-Mart. Free Donut With Purchase Dunkin’ Donuts: Buy a drink, get a donut. Cumberland Farms: Free with drink. Honey Dew Donuts: Free s’more donut with medium drink. Sugar Shack Donuts: Free with any purchase. (Actually you get a coupon, so you can pay your free donut forward.) Donut Plant: Free mini donut with purchase. Papa John’s: Free donut holes with a pizza. The donut holes appeared to be tiny jelly donuts. 🤔 Uh, OK Burger King: Whoppers with a hollowed-out middle, with all the missing parts on the side. Honestly sounds more like a bagel. Not free. Bi-Lo and Winn-Dixie: Half price donuts. Harveys: Half price donuts. Giant Eagle: Dozen donuts for four bucks. The Dough Bar, the “healthy donut” place from Shark Tank : 10% off orders and some Instagram giveaways. Entenmann’s: Sweepstakes. Hurts Donut Co.: Sweepstakes. Tim Hortons: Some wonky “Golden Ticket” sweepstakes only applicable in Detroit, Columbus, and and Buffalo. You have to ask for “Gold Timbits,” and if you’re at one of the five branches that secretly have them, you get gold-covered donuts, plus free donuts for a year. Everyone else gets bupkis. This is stingy and weird, Tim Hortons. Have fun, kids. Be safe out there.","It’s National Donut Day, possibly the most important of the made-up holidays pushed by corporations and their Facebook accounts. You can get free donuts at chains like Krispy Kreme and Dunkin’ Donuts, plus some non-donut-centric outlets. Money, People, and US…",2018-06-01T14:45:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Where to Get Free Donuts Today,https://lifehacker.com/where-to-get-free-donuts-today-1826482171,"https://i.kinja-img.com/gawker-media/image/upload/s--3IX84E52--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/qsxqpxeksc9jbhckzh83.jpg",,Lifehacker.com,today,1
Nick Douglas,"I’m a big Instapaper hoarder. I once racked up an unread list of over 500 articles, essays, stories, and other short-form pieces (plus a couple novels) in that app. I was never going to read everything I’d saved. It was time to clean out my Instapaper. And if you have a clogged reading list on your Instapaper, your Pocket, or your Evernote, it’s time to clean out yours too. Like any to-do list, a reading list often represents outsized aspirations. When you save a story, you’re imagining yourself as the person who’s read that story: a person who understands Bitcoin, a person with opinions on Lady Bird, a person who’s been emotionally moved by “Cat Person.” But we can’t always be all these people. (For example, no one will ever understand Bitcoin.) We’re all very busy, and every day there are more articles published online than one person could read in a lifetime. If you hope to read what’s really important, you need to narrow your definition of important. Here are three strategies for trimming your list: Strategy 1: The Marie Kondo Method In The Life-Changing Magic of Tidying Up, Marie Kondo recommends holding each of your possessions against your chest and asking, “Does this spark joy?” You can try the same with your reading list: “Will I enjoy reading this?” Don’t think about how it feels to have read the article. It always feels good to have read something. What matters is how it feels to read it. And “enjoy” doesn’t have to mean “feel happy.” You can “enjoy” reading a grueling piece about war or depression, by learning from it or soaking in whatever strong emotion other than boredom. You can “enjoy” required reading, by feeling prepared for your meeting or midterms. If that feels too abstract, ask this instead: “Can I get away with not reading this article?” Is the relevant news cycle already over? Will someone publish a simpler recap of this piece later? Will someone publish a deeper dive? In any of these cases, archive that article. One last question to ask yourself: “Why did I save this?” If you don’t recall, and the article doesn’t sound particularly fascinating, ditch it. There are some things you really do have to read: Things for work, for school, for your friend who asks you every day whether you’ve read their novel. But if all you feel is some vague sense that “everyone is supposed to read this,” I’m giving you permission right now to archive that sucker. When people ask if you read it, say “Sorry, I was busy!” When people argue about the article, don’t join them. You might feel left out, but is that really worse than plodding through that boring article? Probably not! I love books. I can’t leave a bookstore without at least one. But I also have a tendency to buy… Read more Read Strategy 2: The Speed-Read At the start of one typical reading session—your commute, your lunch break, your kids’ nap—check how many pieces are in your reading list. Then guess how many of them you could skim through, just to “get the gist,” before your session is over. Now try to beat that guess. You might get “bogged down” in actually reading one of the articles. That’s not terrible; it’s kind of the goal of this whole exercise. But if you notice yourself doing it, hold onto that article for later—it passed the test—and find something more skimmable. I’ve been both a student and an instructor, and I totally get it. Textbooks are dry and hard to… Read more Read Strategy 3: The Great Sort If you’re too timid for the methods above, but you still feel anxious over your pile of unreads, make a “long-term” folder. Any time you’re reading an article and you’re tempted to switch to another, or even to Twitter, move that article to the long-term folder. If you have a few old articles at the top of your list that you always scroll past, move them to the long-term folder. Everything you’re at all tepid about, move it to that folder. Then you can read all the fun stuff in the home folder (your “inbox” folder), before moving back to the long-term folder and digging through that as you please. It’s possible that you’ll never get around to opening that long-term folder. If so, that’s great! You were probably never going to read those pieces anyway—which is fine —but they’re still there if you change your mind. Maintaining Sanity I don’t believe Marie Kondo’s promise that if you clean out your home once, you’ll never fill it with junk again. You’re not going to magically stop saving boring articles. But you can get better at archiving them. Sort your articles oldest to newest, and don’t let yourself skip past articles (if you keep skipping one, archive it). To stay aware of your backlog, enable the “unread items” badge on your reading app. Whenever that count gets too high, do a skim session. Test different methods and pick whatever works for you. But whatever method you use, remember: No one reads everything. And no one should.","I’m a big Instapaper hoarder. I once racked up an unread list of over 500 articles, essays, stories, and other short-form pieces (plus a couple novels) in that app. I was never going to read everything I’d saved. It was time to clean out my Instapaper. And if…",2018-01-03T14:00:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Clean Out Your Instapaper Reading List Today,https://lifehacker.com/clean-out-your-instapaper-reading-list-today-1821703712,"https://i.kinja-img.com/gawker-media/image/upload/s--j7bhOryu--/c_fill,fl_progressive,g_center,h_450,q_80,w_800/e7qw8idx5vweqvocbqwm.jpg",,Lifehacker.com,today,1
Nick Douglas,"As you go through your afternoon email, look at the rest of your inbox. Maybe you have some old emails in there. Emails from 2017. Emails from 2016! The longer you took to respond, the more you got scared, and now you keep them in your inbox for what, to guilt yourself? To ruin your morning? Today’s the day you fix this. Today is the fourth annual Email Debt Forgiveness Day, the day that everyone is encouraged to send long-overdue emails without even mentioning how long it’s been. Even a simple “Sorry for the delay!” is optional. Instead you can just throw in that link above, which explains the concept. The hosts of Reply All, a podcast about the internet, invented EDF Day in 2015 and have celebrated it every year since, encouraging people to answer old emails as simply and guilt-free as possible, because perfect is the enemy of done. Today is also a good day to archive emails that you will never reply to. If something’s been sitting in your inbox for over a year, now is the time to let it go! Archive! Delete! Lay down your burden! Years before email debt forgiveness there was email bankruptcy. This works best with email threads where the other person never followed up, where you don’t know if they’d actually care at this point, or where you actually hate interacting with the other person. Save them the trouble of forming their own response, hit archive, and let the whole affair drift silently into the past. Whether you're declaring email bankruptcy or laundry bankruptcy, sometimes the only way to… Read more Read We’ve always been big fans of letting go of old goals as a healthy part of productivity. While some people give up too easily, ambitious and accomplished people often err in the other direction, holding on too tightly to every good intention, so much that they get less done. It’s crucial to get realistic and clean out the less important tasks. I have a bad to-do habit. I make big ambitious lists of things I want to do, then let them pile up… Read more Read But that also means that sometimes, it’s OK to do a half-assed job. Again, it’s better than nothing, and today you have “official” permission from Reply All and from Lifehacker. Don’t stress over a full-screen reply, full of apologies and catch-ups. Just reply with two lines— here’s how —as if only a few minutes had passed. See where that takes you.","As you go through your afternoon email, look at the rest of your inbox. Maybe you have some old emails in there. Emails from 2017. Emails from 2016! The longer you took to respond, the more you got scared, and now you keep them in your inbox for what, to guil…",2018-04-30T16:45:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Today Is Email Debt Forgiveness Day,https://lifehacker.com/today-is-email-debt-forgiveness-day-1825652598,"https://i.kinja-img.com/gawker-media/image/upload/s--DTg9pMqi--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/c5fgwkm7cnuhj7hdelha.jpg",,Lifehacker.com,today,1
"Beth Skwarecki on Vitals, shared by Alice Bradley to Lifehacker","Remember when we told you to enroll for health insurance by December 15? That’s today. If you live in CA, NY, MA, WA, MN, CO, RI, CT, MD, or DC, you get a few extra days or weeks, but for the other 41 states, last call is today. The open enrollment period on healthcare.gov ends December 15, and the current administration is… Read more Read This deadline applies to people who don’t get insurance through their employer, but who buy it themselves from healthcare.gov or one of its state-run equivalents. Even if insurance was expensive last year, or if you didn’t qualify for subsidies, check again: things have changed. 80 percent of enrollees will be able to find something for $75/month or less. For more on how to sign up and what you’ll need to know, check out our guide here and refer to healthcare.gov or your state’s marketplace. Believe it or not, the Affordable Care Act is still in effect. Most people who don’t have coverage… Read more Read","Remember when we told you to enroll for health insurance by December 15? That’s today. If you live in CA, NY, MA, WA, MN, CO, RI, CT, MD, or DC, you get a few extra days or weeks, but for the other 41 states, last call is today. Read more...",2017-12-15T13:24:00Z,"{'id': None, 'name': 'Lifehacker.com'}",ACA Enrollment Ends Today in Most States,https://vitals.lifehacker.com/aca-enrollment-ends-today-in-most-states-1821322713,"https://i.kinja-img.com/gawker-media/image/upload/s--kGCjtDSa--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/bfgp0aomb0kbblnkkrlf.jpg",,Lifehacker.com,today,1
THOMAS FULLER,"“It’s a humbling experience to have people digging out your life in front of you,” said Curtis Skene, the owner of the house who narrowly escaped the mudflows by taking shelter behind an olive tree in his garden. “I’m humbled – and grateful.” Photo Oprah Winfrey visited with her neighbor Curtis Skene as volunteers helped dig out his home in Montecito. Credit Jim Wilson/The New York Times A day later Oprah Winfrey came to document the dig-out with a camera crew. In a community filled with celebrities, her estate is one street over. The bucket brigade has dug out both mansions and modest bungalows. They are also trying to save oak trees from suffocation. Among the diggers is Carol Bartoli, 73, a chef and caterer, who has outlasted some of the younger volunteers. After the mudslide, “the attitude was if the mud is on your property it’s your responsibility,” she said. “I just thought, I’m going to help.” With the rainy season all but over, the group works under bright blue skies. But in the hills above Montecito, boulders are perched precariously as if waiting for their cue to tumble. “If you live between the mountain and the ocean it’s almost par for the course,” said Josiah Hamilton, a real estate agent and a leader of the bucket brigade. “It’s something you have to be prepared for.” California Online (Please note: We regularly highlight articles on news sites that have limited access for nonsubscribers.) Photo Credit Illustration by Mike McQuade. Source photo: Win McNamee/Getty Images • How Devin Nunes turned the House Intelligence Committee inside out. [ The New York Times ] • A parade of big-name California Republican lawmakers including Kevin McCarthy, Devin Nunes and Mimi Walters have contributed to the campaign to repeal the gas tax. [ Sacramento Bee ] • Home prices in the Bay Area have reached a new record – a median of $820,000 in March, up 9.3 percent from February and up 14.7 percent from a year ago. It’s no surprise that tech jobs are helping push up the prices; the median annual pay at Facebook is $240,430. [ San Francisco Chronicle ] Photo Queensway Bay in Long Beach, Calif., with the Queen Mary and docks in the distance. A $250 million entertainment and hotel complex is planned for the waterfront next to the Queen Mary. Credit Jake Michaels for The New York Times • Long Beach has long struggled to revive its downtown. Now three dozen projects are underway or in the pipeline in one of the country’s largest downtown redevelopments. [ The New York Times ] • Gavin Newsom, the front-runner in the governor’s race, admitted to a drinking problem a decade ago. Now he says alcohol isn’t a problem: “A little wine” is fine. [ San Francisco Chronicle ] • California’s state government is flush with cash. The state’s income tax revenue has continued to far exceed both projections and last year’s totals. In the current fiscal year taxes have totaled over $82 billion, nearly $4 billion ahead of projections and over $9 billion ahead of this point last year. [ San Francisco Chronicle ] • In the latest blow to local journalism in California, The Sacramento Bee laid off 14 journalists on Tuesday. [ Sacramento Business Journal ] • Oakland is struggling to attract women and underrepresented minorities into its police academies. The city’s 179th police academy will add as many as 21 new officers to the city’s streets when it wraps up in July, but there won’t be any women or African Americans in the graduating class. The attrition rate for women in the last three police academies was 62 percent, compared with 33 percent for men. [ East Bay Express ] • A Latino activist organization, Hermandad Mexicana, on Tuesday announced a statewide campaign of noncooperation with all police authorities. [ Orange County Register ] • A developer wants to build a 260-unit housing complex in Berkeley. Native American groups say the site was once part of an Ohlone settlement that included large mounds of seashells that may have also been a burial ground. [ Berkeleyside ] And Finally... Photo Katherine Morrow with the portrait of her mother that was rescued from the detritus of the Montecito mudslide. Credit Jim Wilson/The New York Times In her late 50s Katherine Morrow turned to a life of meditation. She whittled down her possessions and rented a small bungalow by a creek in Montecito. But after mud crashed through the house in January, blowing the front door off its hinges, there was one item she hoped to retrieve: a portrait of her late mother drawn by a Canadian artist, Frederick Varley. Four days after the mudslide she returned with a sheriff’s deputy, wading through thigh-deep mud that was as sticky as peanut butter. Among tree roots and shards of glass, Ms. Morrow spotted the corner of the picture frame. She slipped it out of the muck and brought it to a shop in Santa Barbara that specializes in restoring damaged art. A woman working at the shop entered the piece into the computer as “Mother.” The frame looked like a “mud sandwich,” the restorer said. Ms. Morrow has now put her possessions into 12 small boxes and is contemplating her next move. She keeps the image of her mother pressed in between sheets of packing foam. “She was a very good mother, very nurturing,” Ms. Morrow said. California Today goes live at 6 a.m. Pacific time weekdays. Tell us what you want to see: CAtoday@nytimes.com. California Today is edited by Julie Bloom, who grew up in Los Angeles and graduated from U.C. Berkeley. Continue reading the main story","Wednesday: Digging for heirlooms in Montecito, Devin Nunes, Bay Area home prices soar further, California coffers are bursting, and finally, finding a buried portrait.",2018-04-25T13:10:33Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",California Today: California Today: Montecito’s Mud Volunteers,https://www.nytimes.com/2018/04/25/us/california-today-montecitos-mud-volunteers.html,https://static01.nyt.com/images/2018/04/25/us/25caltoday-1/25caltoday-1-facebookJumbo.jpg,the-new-york-times,The New York Times,today,1
