author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
"Brian Kahn on Earther, shared by AJ Dellinger to Gizmodo","Just an extremely normal radar loop of a tropical cyclone over Indiana. GIF: National Weather Service The early start to hurricane season continues with what could be the first landfalling tropical cyclone to make it to Lake Michigan on record. Tropical Depression Alberto has been the weird storm that could, improbably moving from the Gulf of Mexico to Indiana. The last advisory the National Hurricane Center (NHC) issued for the storm, which came at 4 p.m. Central Time, noted that flash flood watches associated with the storm extend across the Appalachians from Georgia to Virginia. The storm already triggered flooding in North Carolina earlier on Wednesday. But the real weird part is where Alberto is centered, 70 miles south of South Bend, Indiana where the outer bands are already bringing rain to the city. South Bend itself is about 25 miles southeast of Lake Michigan, and the storm’s current track could clip or even make it all the way to the lake. That would make Alberto the first tropical system to ever hit Lake Michigan’s shores (h/t hurricane expert Brian McNoldy ). Beyond Lake Michigan, only seven tropical systems have ever made it to the Great Lakes according to data on historical hurricane tracks maintained by the National Oceanic and Atmospheric Administration. All have struck Lakes Huron, Erie or Ontario, the three easternmost lakes. Of the tropical systems that have made it that far north, three even managed to hit the lakes as full blown hurricanes. In comparison, Alberto is quite a bit weaker. It’s currently a tropical depression with maximum sustained winds of 30 mph. But its present status just adds to Alberto’s strange tale. The storm has been a meteorological oddity since its inception in the Gulf of Mexico. It spun up there as a subtropical storm, borrowing elements from tropical weather like hurricanes and extratropical weather like nor’easters. The storm made landfall along the Gulf Coast over the weekend in its subtropical form. But rather than petering out or going full extratropical, the storm made a bizarre transition to a tropical system over land. On Tuesday, the NHC began calling the storm Tropical Depression Alberto. Since then, it has chugged through the Midwest with heavy rain bands swirling around its center. The storm could be maintaining its tropical nature through “brown ocean effect,” a gross-sounding meteorological phenomenon where waterlogged soil can mimic the ocean and provide fuel to storms (Marshall Shepherd, the atmospheric scientist who helped coin the term, has a great primer on it if you want to geek out). Regardless of whether it makes landfall ( or is it waterfall ?) on the shores of Lake Michigan, Alberto has been a whacky kickoff to hurricane season.",The early start to hurricane season continues with what could be the first landfalling tropical cyclone to make it to Lake Michigan on record. Read more...,2018-05-30T22:05:00Z,"{'id': None, 'name': 'Earther.com'}",Lake Michigan May Get Its First-Ever Tropical Cyclone Tonight,https://earther.com/alberto-may-make-a-second-landfall-on-lake-michigan-1826433747,"https://i.kinja-img.com/gawker-media/image/upload/s---pr-XoOn--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/jxk6loygrywtlgcnhvlw.jpg",,Earther.com,Lake Storm,1
https://www.facebook.com/bbcnews,"Media caption Dog plays in US snow A heavy storm has brought a record amount of snow to the US city of Erie on Christmas Day, forcing officials to declare a state of emergency. A total of 34in (86cm) of snow blanketed the city and surrounding areas in the Pennsylvania state. There was no respite on Boxing Day, with meteorologists registering a grand total of 60in over the two-day period. Police warned motorists that ""roads are dangerous and impassable"", with a number of closures reported. More snow is forecast on Wednesday. The officials say the heavy snowstorm is the result of lake-effect snow - when cold air combines with lake water. Image copyright Reuters Image caption Some residents had to shovel their way out The city lies on the shores of Lake Erie. So, what snow records were smashed? In fact, a number of them. The National Weather Center Cleveland on Christmas Day registered a new all-time high for any single day, beating the previous record set in 1956. The state's two-day snowfall record from 1944 was also shattered, as well as a storm total snowfall and a monthly snowfall. How are local residents affected? A number of cars and homes were buried in snow, with some residents having to shovel their way out. Shops and childcare centres were closed. Some flights to and from the Erie International airport were cancelled. Meanwhile, social media users have been publishing amazing pictures from the area.","A heavy storm brings a record amount of snow to the US city of Erie, burying homes and cars.",2017-12-27T05:23:15Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Snow emergency in US town after huge storm,http://www.bbc.co.uk/news/world-us-canada-42490329,https://ichef.bbci.co.uk/images/ic/1024x576/p05s3239.jpg,bbc-news,BBC News,Lake Storm,1
ART CULLEN,"The rest of us know that without them, Buena Vista County could fade away, losing population as 71 of Iowa’s 99 counties have over the last decade. Here, young immigrant families seed a positive birth-to-death ratio. Storm Lake is the rare blue oasis in Representative Steve King’s Fourth Congressional District that is growing organically — with brown babies. The crime rate here has been falling over the decade. Mr. King is the congressman who was for building a wall before Donald Trump knew we needed one. “For every one who’s a valedictorian, there’s another 100 out there who weigh 130 pounds and they’ve got calves the size of cantaloupes because they’re hauling 75 pounds of marijuana across the desert,” Mr. King said in 2013. He says that we should take care not to dilute our culture with immigrants, even though their culture was here before Columbus brought his. People around here voted for Mr. Trump and Mr. King, but not necessarily for the reasons you might think. They like Mr. King because they think he is a straight-talker willing t be blunt, just like President Trump. But they don’t like making soybean prices nose-dive for no understandable reason. And they don’t want to run the Julio Barrosos off to Guadalajara when we need young workers in Iowa. A local banker, George Schaller, whose grandfather, also a George, lured meatpacking here in the 1920s, gave Senator Chuck Grassley, an Iowan and chairman of the Judiciary Committee, a talking-to a few weeks ago. “The short of it is that Storm Lake needs a solution to immigration, and we’ve needed one for decades,” he told the senator. We need help in Iowa, especially in Storm Lake. Tyson needs good maintenance technicians, and will pay them more than $20 per hour. But young white workers aren’t bidding for those jobs. They’ve moved off for engineering degrees and other greener pastures. “The jobs are there. Where are the skilled workers to fill those jobs?” the commerce secretary, Wilbur Ross, asked at the Peosta round table. Where? They are in the shadows in America. Or they are in Mexico. George Schaller and Kevin Cone don’t want to scare off the Latina attending Buena Vista University who dreams of teaching. Iowans are ashamed when refugee children are caged like criminals. We all want order at the border. And we wish that Julio could come home to Storm Lake someday. We need him and miss him. Art Cullen, the editor and co-owner of The Strom Lake Times in Iowa, won the Pulitzer Prize for editorial writing in 2017 and is the author of the forthcoming “Storm Lake: A Chronicle of Change, Resilience, and Hope From a Heartland Newspaper.” Follow The New York Times Opinion section on Facebook and Twitter (@NYTopinion), and sign up for the Opinion Today newsletter.","Some state Republicans were for building a border wall before Donald Trump gave it a thought. But in two out of three counties, immigrants are keeping towns from disappearing.",2018-07-30T19:41:24Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","In My Iowa Town, We Need Immigrants",https://www.nytimes.com/2018/07/30/opinion/trump-immigrants-iowa-farmers-workers.html,https://static01.nyt.com/images/2018/07/30/opinion/30Cullen2/30Cullen2-facebookJumbo.jpg,the-new-york-times,The New York Times,Lake Storm,1
ADAM NAGOURNEY and MATT STEVENS,"Good morning. (Want to get California Today by email? Here’s the sign-up.) When state legislation designed to override local zoning laws and permit construction of apartment buildings in a half-mile swath around transit lines across California died earlier this year, opponents said the decision of where to build desperately needed housing should be left to local communities. That is about to be put to the test. A Los Angeles City Council committee is set to vote today for a measure to permit construction of up to 6,000 units of housing in apartment buildings along the new Expo train light-rail line, which goes from downtown Los Angeles to Santa Monica. This is not as ambitious as the plan put forward by Senator Scott Wiener, a San Francisco Democrat, with its threat of apartment buildings popping up on blocks of single-family homes. That plan produced a storm of opposition from critics who assailed it as a threat to neighborhoods and local control. The bill never made it out of committee. Mr. Wiener praised Los Angeles for moving to act, but said it did not go far enough. “This rezoning is clearly an improvement on what’s there today,” he said. “But it’s largely focused on the main thoroughfares. Once you get an inch off the main thoroughfare, it’s not rezoned at all.”","Tuesday: L.A. votes on whether to add units along a transit line, the Pawnee Fire rages in Lake County, and recalling when the Rockets left San Diego.",2018-06-26T12:59:03Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",California Today: California Today: Who Gets to Decide Where to Build Housing?,https://www.nytimes.com/2018/06/26/us/california-today-la-housing-vote.html,https://static01.nyt.com/images/2018/06/26/us/26californiatoday-01/26californiatoday-01-facebookJumbo.jpg,the-new-york-times,The New York Times,Lake Storm,1
Peter Allen Clark,"Many people dream of a white Christmas, but the good people around Lake Erie probably never dreamed of this. A record-breaking storm flew through the great lake this week, dropping more than 65 inches of snow in parts of Pennsylvania. Yeah, that's more than five feet. SEE ALSO: These beautiful snowflake photos were actually captured using a microscope Since it's the week between Christmas and New Year's Eve, a lot of people have an abundance of free time. So they're taking advantage of all that snow. Which mostly means just jumping into it. #blessed Surprise, but dogs loved it as well.","Many people dream of a white Christmas, but the good people around Lake Erie probably never dreamed of this. A record-breaking storm flew through the great lake this week, dropping more than 65 inches of snow in parts of Pennsylvania. Yeah, that's more than f…",2017-12-28T16:39:15Z,"{'id': 'mashable', 'name': 'Mashable'}",Lake Erie's 5 feet of snow sure makes for some weird ass stunts,http://mashable.com/2017/12/28/lake-erie-snow-stunts-jumping/,https://i.amz.mshcdn.com/9IuckhB0YElLQnShcDQLFeiwTUE=/1200x630/2017%2F12%2F28%2F2a%2Fd6670a3438c64f23b5818707dc7692bd.d5ed9.png,mashable,Mashable,Lake Storm,1
"Yessenia Funes on Earther, shared by Virginia K. Smith to Lifehacker","TOLEDO, OHIO The staff at Maumee Bay Brewing Company swear that the brewerys 150-year old building is haunted. A bartender is sure she saw a glass floating on its own. Another swears she saw a woman with a skeletal hand who vanished when she turned around. The janitor, at least, thinks the ghosts are friendly. Needless to say, the staff has grown familiar with the supernatural and may have even learned to embrace it. Just look at their latest seasonal beer. Its an ode to a monster environmentalists have tried to painstakingly eliminate for years. This beast doesnt hide in the bars dark basement after hours, though. It rears its head every summer on Lake Erie, the brewerys water source. Im talking about the lakes diabolical algae blooms or, now memorialized in a hoppy, sour ale, the Creature from the Alegae Bloom. Lake Eries algae blooms result from an overabundance of blue-green algae, or cyanobacteria. They emerge during the summer when the spring rains have funneled nitrogen and phosphorous from agriculture and storm runoff into the lake, said Nicholas Mandros, the northwest regional director for the Ohio Environmental Council, which collaborated with the brewery on the beer. During summer, theres plenty of sunlight and warmth to keep the algae healthy and thriving. And that spells trouble for the 11 million people who depend on the lake for their drinking water. At Lake Erie, algae blooms have been an issue for the last 20 years, but the situation has worsened over the last 10. It reached new heights in 2014 when levels of a toxic blue-green algae known as microcystin became so high in the water that it wasnt safe for drinking or brewing beer. In Toledo, residents were tough out of luck for three days. The brewery and its accompanying restaurants closed, too. [Microcystins] one of the most harmful substances out there, so it doesnt really take a whole lot of it in the water in order for you to feel its effects, Mandros told Earther. Potential health effects include vomiting, nausea, diarrhea, and pneumonia to name just a few. This recurring health hazard is what inspired the Maumee Bays new green fizzy beer. Brewer Chris Clarke started crafting a recipe for the sour double IPA last year. Eventually, he found the perfect balance of matcha, kiwi, and non-toxic algae that safe for consumption, which give it its green tint. The beer debuted in August, just in time for the lakes annual bloom. Its the perfect summer drink: strong enough to give you a buzz but with such a fruity refreshing taste to balance its heavy dose of hops. The beer plays to the idea of finding that balance between growing the crops we need to grow and maintaining our freshwater resources, Clarke told me after I tasted the beer myself. These are depressing times to love beer and the environment, not only because algae blooms are threatening the water supply breweries need, but because climate change could also threaten the barley needed to make the beer itself. Climate change is also fueling the growth of these algae by warming waters and pummeling higher volumes of rain onto the landscape, which helps more nutrients ultimately reach the lake. In short: The situation sucks. But it doesnt have to. Our actions can reduce the amount of nutrient runoff fueling algae blooms around the country, and we can also take steps to curb global warming. Thats why the fine folks at Maumee Bay Brewing concocted this drink in the first place: to increase awareness of the problem and encourage action. For the most part, customers have been into the beer, said Shannon Mohr, the companys sales and marketing manager. Other breweries have reached out to learn more about how Maumee Bay deals with the lakes blooms and to add the beer to their taps. Ultimately, the goal is to never have to brew the beer again, Mohr told me as we sat at the bar. Blooms hit the lake around summertime, which is the only time of year the beer is available. No bloom, no beer. The brewery carries the beer until their latest batch runs out, and they were running low when I dropped by earlier this month. This sour double IPA is tasty, and itd be missed, but losing one beer is better than losing them all. Its loss would be mean were one step closer to preserving Lake Erie. And thatd be something worth celebrating.","TOLEDO, OHIO—The staff at Maumee Bay Brewing Company swear that the brewery’s 150-year old building is haunted. A bartender is sure she saw a glass floating on its own. Another swears she saw a woman with a skeletal hand who vanished when she turned around. T…",2018-10-17T14:25:00Z,"{'id': None, 'name': 'Gizmodo.com'}",Lake Erie's Water Crisis Is So Bad This Brewery Is Putting Algae in Beer,https://earther.gizmodo.com/lake-eries-water-crisis-is-so-bad-this-brewery-is-putti-1829796809,"https://i.kinja-img.com/gawker-media/image/upload/s--s5pS4dJP--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/bqzzl9szzipbyacxwumh.jpg",,Gizmodo.com,Lake Storm,1
TIMOTHY WILLIAMS,"Mr. McKees lawyer, James R. Hobbs, said Thursday that his client would soon turn himself in. We received the indictment and anticipate that a not-guilty plea will soon be entered and are working with court and counsel for a self surrender and bond hearing, Mr. Hobbs said. The July 19 accident was one of the deadliest involving a duck boat modeled after the amphibious trucks used in World War II to move along land and water in United States history. When the duck boat entered the lake, the waters were calm, but there had been numerous warnings of an approaching storm. Wind speeds picked up suddenly, increasing to more than 70 miles an hour. Fierce waves buffeted the boat, which took on water. Within minutes, the vessel had sunk. Fourteen people survived, including Mr. McKee. The vehicles have had several fatal accidents on both water and land, including in May 1999, when 13 people were killed when a duck boat sank in Hot Springs, Ark. After that accident, a National Transportation Safety Board report made several nonbinding recommendations, asking operators to add flotation equipment and equip the vehicles with sufficient pumping power to keep them afloat when they begin to take on too much water. The Coast Guard and the National Highway Traffic Safety Administration are responsible for regulating the crafts because they run on land and in water.","The captain faces criminal charges of misconduct and neglect after the boat sank during a storm last summer, killing nine members of the same family.",2018-11-08T22:19:46Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Duck Boat Captain in Missouri Is Indicted in 17 Deaths,https://www.nytimes.com/2018/11/08/us/duck-boat-missouri-lake-indictment.html,https://static01.nyt.com/images/2018/11/09/us/09DUCKBOAT1/09DUCKBOAT1-facebookJumbo.jpg,the-new-york-times,The New York Times,Lake Storm,1
Gael Fashingbauer Cooper,"This is the final wave that took out the south pier light tower... What a crazy experience! :( :) if you go through them...
Posted by Ann Barbeau on Monday, January 7, 2019
How do you know a storm is really serious? Maybe when it smashes a 20-foot structure into Lake Michigan.
Photographer Ann Barbeau of Manitowoc, Wisconsin told me she enjoys the shore of the Great Lake daily. On Monday, she was out near Manitowoc's South Pier Light Navigational Beacon just as the storm turned fierce.
""I was out this morning taking pictures of the waves,"" Barbeau said, noting that she was using sports mode on her camera to take multiple photos at once. ""This big wave came in, and as soon as it cleared, the light tower was gone.""
The series of 16 photos, which Barbeau posted on Facebook and allowed CNET to reproduce here, show a gigantic wave crashing into the 20-foot structure, then hiding it from view. When the waves clear -- like an evil magician's trick, the beacon is gone.
""I looked in the water, and it was floating for about five seconds, then sunk,"" she said. ""I looked around and cleared my eyes because I couldn't believe what I just witnessed.""
The stunning crash created multiple emotions for Barbeau, who says she felt, ""sad, bad, (and) super-excited at the same time.""
Some news reports said that a lighthouse was washed away, and the Manitowoc Breakwater Lighthouse does indeed stand at the end of the city's north pier. But that wasn't what fell into the water, Chief Eric Olson of the US Coast Guard confirmed to Green Bay's WFRV news. The lighthouse still stands.
Instead, it was the nearby beacon that Barbeau saw crash into the lake, a victim of the strong waves and wind that hit its 20-foot-tall fiberglass tower.
""It's an aid to navigation,"" Olson told WFRV, ""but certainly still an important beacon and we'll definitely look to address the fact that it's missing.""
The event took place around 8:30 a.m. CT Monday morning, and no one was injured. The Coast Guard did not immediately respond to a CNET request for comment.
Olson told the Manitowoc Herald Times Reporter that the Coast Guard will search for the beacon, and that it does need to be replaced. He also told the paper he's not aware of anything similar happening on the lake in the past.
""Rest In Peace, South Pier Lighthouse,"" wrote Manitowoc mayor Justin Nickels in a tweet. (He probably meant ""beacon,"" but the hyperbole is understandable.) ""We can now add this to our upcoming attractions in our Marine Sanctuary along with the shipwrecks. In all seriousness, the Coast Guard has been notified about this since it is their lighthouse. All will be well.""
Rest In Peace, South Pier Lighthouse. We can now add this to our upcoming attractions in our Marine Sanctuary along with the shipwrecks.
In all seriousness, the coast guard has been notified about this since it is their lighthouse. All will be well. https://t.co/Jzpc5ZlKiK
 Mayor Justin Nickels (@mantymayor) January 7, 2019
Olson told WFRV that the beacon will be replaced in the spring, and said the strength of Monday's waves, aided by the direction in which they were crashing, caused the beacon to wash into the lake.
""The waves got very large and the direction was directly into the break wall,"" he told the station. ""It's not a common occurrence, but in the end Mother Nature sometimes wins.""
For Barbeau, it was a once-in-a-lifetime lake walk. 
""What a crazy experience!"" she wrote on Facebook.
Taking It to Extremes: Mix insane situations -- erupting volcanoes, nuclear meltdowns, 30-foot waves -- with everyday tech. Here's what happens.
Fight the Power: Take a look at who's transforming the way we think about energy.",But stunning photos show a navigational beacon bite the dust in Monday's storm.,2019-01-08T05:05:38Z,"{'id': None, 'name': 'Cnet.com'}","No, a Wisconsin lighthouse didn't get washed into Lake Michigan - CNET",https://www.cnet.com/news/no-a-wisconsin-lighthouse-didnt-get-washed-into-lake-michigan/,https://cnet4.cbsistatic.com/img/giuEo3XxWgf7P742pBW2YaDgock=/724x407/2019/01/08/e7433117-9426-4b7b-90ff-e89745ea6ce3/beaconlight.jpg,,Cnet.com,Lake Storm,1
"Brian Kahn on Earther, shared by Andrew Couts to Gizmodo","Less than a month after facing down Florence, the U.S. faces another historic storm. Hurricane Michael is churning its way toward Floridas Panhandle as a Category 4 monster. As of 7 a.m. on Wednesday, the storms winds were roaring at a sustained 145 mph with gusts higher, according to data gathered by Hurricane Hunter aircraft. Michael was 90 miles offshore from Panama Beach and is expected to make landfall late morning or early afternoon. The threats will be manifold, but among the most dangerous will be up to 14 feet of storm surge for large parts of the coast. Florida is no stranger to hurricanes, but there has never been a storm like Michael to hit this part of the state. Atmospheric scientist Phil Klotzbach tweeted that Michaels 933 millibar central pressurea key meteorological measure of intensity where lower generally means strongeris the seventh lowest of any storm ever to reach Florida. The list of storms with lower pressures is an ignominious one, including last years Irma, Andrew in 1992, and the Lake Okeechobee and Great Miami hurricanes that decimated the state in the 1920s. This is not the type of company you want to keep. The National Weather Service Tallahassee office issued a stark graphic and warning late last night to underscore what the region is facing. The statement in part reads: We searched the historical database for category 4 hurricanes that have made landfall in the Florida Panhandle and Big Bend. The map says it allits BLANK this situation has NEVER happened before... If you have been told to evacuate, LEAVE. Do not stay and risk your life or that of your family. Tropical storm-force winds have already been recorded at Apalachicola Regional Airport and rain bands are spiraling ashore. Conditions will deteriorate quickly over the coming hours. Florida Governor Rick Scott has announced that for those who didnt or couldnt afford to evacuate, the window to get out of Michaels way has closed. If you are in a coastal area, do not leave your house, he said at his morning briefing. Scroll down to see our liveblog below. The Earther team will be adding updates throughout the day as more information about Hurricane Michael becomes available.","Less than a month after facing down Florence, the U.S. faces another historic storm. Hurricane Michael is churning its way toward Florida’s Panhandle as a Category 4 monster. Read more...",2018-10-10T13:08:00Z,"{'id': None, 'name': 'Gizmodo.com'}",Hurricane Michael's 'Unprecedented' Threat: Liveblog,https://earther.gizmodo.com/category-4-hurricane-michael-poses-unprecedented-threat-1829649930,"https://i.kinja-img.com/gawker-media/image/upload/s--MkN_WMEp--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/ll0omdzqjys8syga0mtq.jpg",,Gizmodo.com,Lake Storm,1
"Brian Kahn on Earther, shared by Andrew Couts to Gizmodo","The Great Lakes region is sending the year out with a bang. Wave after wave of lake effect snow has pummeled the region, making for a record-setting white Christmas and a shoveling project that could take until New Year’s Eve to complete. Erie, PA, is under a snow emergency after 53 inches of snow fell in 30 hours—the state record for the snowiest two-day period. It’s also more than Chicago, Boston, Minneapolis and a slew of other seemingly snow cities get over an average winter. The crazy snow totals don’t stop there. In Redfield, NY, more than 32 inches fell in 24 hours between Christmas Day and early Tuesday. The region is expecting up to an additional 36 inches of snow by tomorrow, making shoveling a futile task. If Erie picks up four inches, it will officially set the record for the snowiest December ever recorded in Pennsylvania. “Travel will be very difficult to impossible,” the National Weather Service wrote in its lake-effect snow warning, a polite way of saying “we hope you’re not sick of your family yet.” The region from Cleveland to far upstate New York is no stranger to massive snow totals. Its geography sets it up perfectly for these types of large snowstorms. And in a seemingly strange twist of fate, climate change could actually provide them with a boost. Lake effect snow requires a few things to fall into place. The first, as with all snowstorms, is cold. It’s gotta be below 32°F to snow. For the Great Lakes region, cold air dropping out of Canada provides that key ingredient. But what allows lake effect snowstorms to produce such huge amounts of snow is, well, the lakes. Specifically, it’s the difference between the air temperature and the water temperature of the Great Lakes. As cold air rushes over lakes, it sweeps up some of the heat (relatively speaking) and moisture from the lakes’ surface. The length of the Great Lakes allow these burgeoning storms to pick up a huge head of steam as they barrel toward land. By the time they reach the Great Lakes’ shores, the air has become so moist and unstable that it unleashes a massive amount of snow with rates that can approach three inches an hour. These storms tend to come in narrow bands that result in tight snowfall gradients and even sunny skies a few miles from to most intense parts of the storm. Angela Fritz at Capital Weather Gang explains this curious quirk : “When a band of lake effect snow really gets going, an interesting thing happens. Air rises in the snowy regions and then sinks on either side, which means the area right next to these snow bands can be completely clear, with blue sky and sun. It also means just a few miles can separate 53 inches from zero.” The shape of the lakes and direction winds usually travel means that within the region, there are lake effect snow hot spots. The areas around Buffalo and Syracuse can get particularly snowy because winds are able to travel over long expanses of Lake Erie and Lake Ontario, respectively. Parts of Michigan are also prone to heavy lake effect snow, particularly areas along the south shore of Lake Superior. The snowiest ski resort in the Midwest, for example, is on the Keweenaw Peninsula, which juts out into the lake from the Upper Peninsula and acts as a lake effect snow magnet. Lake effect snow is most common in November and December when there’s a lot of open water on the Great Lakes. As winter wears on and the lakes freeze over, moisture for these storms disappear. Ice only covers 3 percent of the Great Lakes as of Saturday but a coming Arctic blast could cause them to rapidly freeze up in the coming weeks, shutting down lake effect snow season. That’s where climate change comes in, though. Peak Great Lakes ice cover has been declining since satellite measurements began in the 1970s. Less ice means more chances for lake effect snow. And turns out that that’s exactly what scientists have observed. A 2003 study looking back to the 1930s showed an increase in lake effect snow across the entire lake effect snow region. A 2009 study using slightly stricter quality controls found that areas downwind of Lake Superior and Lake Michigan have seen significant increases with slightly less significant increases near Lakes Ontario and Erie. But snow could become less bountiful if climate change continues to wreak havoc. Warmer weather means less ice on the lakes, but it also means fewer days with freezing weather. Without early season cold, early season lake effect snowstorms could become less common according to a 2015 study. Ditto for late season ones after the ice starts to break up. That’s bad news for snow lovers, but a small silver lining of climate change for future 20somethings stuck at home for the holidays (lol kidding, their lives will probably be hell ).","The Great Lakes region is sending the year out with a bang. Wave after wave of lake effect snow has pummeled the region, making for a record-setting white Christmas and a shoveling project that could take until New Year’s Eve to complete. Read more...",2017-12-26T19:05:00Z,"{'id': None, 'name': 'Earther.com'}",Why a Small City in Pennsylvania Just Shattered a Snowfall Record,https://earther.com/why-a-small-city-in-pennsylvania-just-shattered-a-snowf-1821583307,"https://i.kinja-img.com/gawker-media/image/upload/s--nMXSzgO4--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/mweduxnvqjrbyv7of1de.jpg",,Earther.com,Lake Storm,1
