author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
Jon Fingas,"Fortnite has had its share of map-changing events, but its latest might be the most conspicuous to date. Epic kicked off its Ice Storm event on January 19th through an in-game spectacle where the mysterious ice sphere (added with the recent 7.20 patch) broke open to reveal the Ice King, who promptly blanketed the entire map in snow and populated it with undead Ice Fiends. Unlike some events, it won't matter where you prefer to drop -- you'll be more conspicuous (unless you have the right outfit, that is) and may have to fend off zombie adversaries.","Fortnite has had its share of map-changing events, but its latest might be the most conspicuous to date. Epic kicked off its Ice Storm event on January 19th through an in-game spectacle where the mysterious ice sphere (added with the recent 7.20 patch) broke …",2019-01-21T04:14:00Z,"{'id': 'engadget', 'name': 'Engadget'}",'Fortnite' Ice Storm event blankets the map in snow,https://www.engadget.com/2019/01/20/fortnite-ice-storm-event/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D1600%252C1067%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C1067%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-uploaded-images%252F2019-01%252F5caafb50-1cd2-11e9-beff-7a67c0de5ff1%26client%3Da1acac3e1b3290917d92%26signature%3Dfa7b7069828ff32898aa7280d5973b8c865d7645&client=amp-blogside-v2&signature=2e26c7ec0f330d8ff219116cd8618b5bb4b3a349,engadget,Engadget,snow storm,1
JONATHAN WOLFE,"Credit George Etheredge for The New York Times March 7, 2018 It was a hard storm to pin down. New Yorkers woke on Wednesday to blaring headlines about the nor'easter bearing down on their city, but saw only a light drizzle outside their windows. By noon, only a few flakes had fallen, and they quickly turned into puddles or slush on the concrete. With nearly a foot of snow predicted for the city, doubts emerged. Sandals and light sweaters were spotted in Washington Heights. Skeptics even rang the National Weather Service to complain about the bum predictions. Credit Bryan Anselm for The New York Times Credit Bryan Anselm for The New York Times Credit Bryan Anselm for The New York Times New Jersey, with a state of emergency in place and some schools shuttered, waited for the 20 inches it was promised. Many Garden Staters who work in New York left home when their state had seen only a light dusting. Still, they were met with warnings from New Jersey Transit to leave the city as early as possible. Credit Stephen Speranza for The New York Times Credit Stephen Speranza for The New York Times Credit Stephen Speranza for The New York Times New Yorkers diligently salted rain-soaked streets, trusting that the storm they were promised would arrive. The timing of the snow was such that New York City children did not get the day off from school. Credit Jeenah Moon for The New York Times Credit Jeenah Moon for The New York Times Credit Jeenah Moon for The New York Times When the snow finally came, later in the day, it fell in puffs and chunks as big as Cornflakes, at a rate of two inches per hour in some areas. It blanketed the streets, snarled the evening commute, downed trees. All told, hundreds of thousands in the region were without power on Wednesday night. The storm was even powerful enough to generate thundersnow, which rumbled and crackled above the city, and struck a New Jersey teacher with lightning. Credit Sarah Blesener for The New York Times Credit Sarah Blesener for The New York Times Credit Sarah Blesener for The New York Times But by nightfall, the end of the storm was in sight. With the snow predicted to let up around 8 p.m., and a full night of uninterrupted plowing ahead, City Hall announced that schools would be open on Thursday as well. Call it unfortunate timing. Credit George Etheredge for The New York Times Credit George Etheredge for The New York Times Credit George Etheredge for The New York Times",Photographers captured the nor’easter in its early stages — before it had a chance to make a mess.,2018-03-08T02:49:02Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",The Snow Before the Storm,https://www.nytimes.com/2018/03/07/nyregion/new-york-snow-photos.html,https://static01.nyt.com/images/2018/03/08/nyregion/08snow1/08snow1-facebookJumbo.jpg,the-new-york-times,The New York Times,snow storm,1
BARBARA MARCOLINI,1 U.S. Paul Manaforts Trail of Scandals,"A winter storm that had already dropped nearly a foot of snow in Texas led to the cancellation of more than 1,300 flights in the Carolinas, where hundreds of thousands of customers have lost power.",2018-12-09T20:05:22Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",‘Mammoth’ Storm Hits Southeast,https://www.nytimes.com/video/us/100000006253991/snow-storm-north-carolina-virginia-video.html,https://static01.nyt.com/images/2018/12/09/us/10xp-storm/10xp-storm-videoSixteenByNine1050.jpg,the-new-york-times,The New York Times,snow storm,1
Emily Price,"Apple is celebrating the holiday season with an easter egg in its Apple Store app that turns your iPhone into a snow globe. To activate it, go into the Apple Store app on your phone (not the App Store, the Apple Store where you can buy computers and iPhones), and then type “Let It Snow” into the search bar. When you do, a snowstorm will appear on your screen. Snow appears to be falling from the top of your device, but you can shake it and move the storm around as well. The snow only works while the Apple Store app is open, but it will keep snowing the entire time you browse around.",Apple is celebrating the holiday season with an easter egg in its Apple Store app that turns your iPhone into a snow globe. Read more...,2017-12-18T01:22:00Z,"{'id': None, 'name': 'Lifehacker.com'}",This Apple Store App Easter Egg Makes it Snow on Your Screen,https://lifehacker.com/this-apple-store-app-easter-egg-makes-it-snow-on-your-s-1821373599,"https://i.kinja-img.com/gawker-media/image/upload/s--nKmFUdEZ--/c_fill,fl_progressive,g_center,h_450,q_80,w_800/hsqtowmujqfgxqtmhynj.jpg",,Lifehacker.com,snow storm,1
KATE TAYLOR,"The Arctic air moving in behind the storm was expected to deliver freezing temperatures as far south as Tallahassee, Fla., and to snarl travel across most of the Northeast, even in areas where the storm dropped little or no snow.
Anything that remains liquid is going to freeze rather quickly, so there will be dangerous travel conditions, said Rich Otto, a meteorologist at the National Weather Services Weather Prediction Center in College Park, Md.
More than 10,000 people in Connecticut were without power on Sunday morning, according to Eversource and United Illuminating, two utility companies, in large part because so much of the storms precipitation in the state had come in the form of sleet or freezing rain. Mr. Otto said that the trouble could multiply as the frigid winds pick up during the day.
Those kind of winds blowing on those power lines and trees that are already stressed from the weight of the ice, I think, is going to be problematic, he said.
Governor Lamont warned Connecticut residents on Twitter that power outages could be prolonged, and urged those who currently had power to keep their phones charged.","Jose De Jesus shoveled snow in front of his home in Norwood, Mass., on Sunday. The Arctic air moving in a powerful winter storm was expected to deliver freezing temperatures and to snarl travel across most of the Northeast, even in areas where the storm dropp…",2019-01-20T17:32:59Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","Winter’s One-Two Punch: Behind the Storm, a Dangerous Flash Freeze",https://www.nytimes.com/2019/01/20/us/winter-storm-flash-freeze.html,https://static01.nyt.com/images/2019/01/20/us/21storm/merlin_149490243_08203ecd-5917-4e5c-a134-5eed60961348-facebookJumbo.jpg,the-new-york-times,The New York Times,snow storm,1
WIRECUTTER STAFF,"He also looked into battery-powered snow blowers (and tested models from Ego and Snow Joe.) Although he saw much to like, Wirecutter doesnt yet recommend any of them, finding them often underpowered and hard to maneuver: Unlike gas-powered models, which are self-propelled, battery-powered blowers make the operator do all the pushing. Battery-powered tools are also easy to care for just stash them out of the way in the off-season. Gas-powered machines need their tanks drained or treated with a fuel stabilizer before storage. If youre an urban apartment dweller, you probably dont have a driveway to shovel, but you probably do have drafts to deal with. Foam and V-channel (or tension seal) weather stripping helps to eliminate drafty windows while still allowing you to open the windows on warmer days; Lowes has a helpful how-to, and you can find the gear there, online or at any decent hardware store. Clear window-sealing tape or plastic sheeting is easier to install, but using one of those options means keeping your windows shut. If your doors are also drafty, install a door sweep. If you want to go further, Wirecutter has other advice on where to look for and how to deal with climate-control leaks. In the event a storm knocks out the power, youll be happier, safer and more comfortable if youve prepared. A flashlight is a must, and a headlamp is invaluable if you expect to be outdoors doing cleanup, as it keeps both hands free for work. LED lanterns are safer than candles. (And youll find other uses for lanterns, too theyre terrific at a campsite, for example. Collapsible models, like these from Suaoki, take up little room.) A USB battery pack (or power bank) can keep your phone charged, and the larger ones can keep tablets running for a few days, helping to stave off boredom for kids and adults alike. But if outages are a regular feature of your winter, a portable gas-powered generator can keep vital equipment such as a fridge or a medical device running. You should also have a plan for dealing with perishable foods. Even if youre not a beach-goer or tailgater, a hard cooler can help keep fruits and vegetables fresh for days in the event of a blackout. Have a few ice packs ready to go just store them in the back of the freezer, out of the way. (Be on the safe side and dont cook meat or fish that has gone unrefrigerated for more than a few hours.) For a deeper dive into everything you need if disaster strikes, check out Wirecutters guide to emergency preparedness. That guide recommends that people in hurricane territory keep a few heavy-duty plastic tarps on hand to temporarily seal damaged roofs. But tarps are also useful for anyone who has trees on their property, where falling boughs pose a constant threat to roofs especially in winter, when heavy snows can snap weak or dead branches. Even if no branches breach the roof, tarps are handy for post-storm cleanup: Just pile the detritus on and drag it en masse to where it needs to go.","Wirecutter has advice on snow shovels, snow blowers and emergency gear to get you ready before the snow flies.",2018-10-18T21:54:52Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","For a Safer, Easier Winter, Prep Your Home Now",https://www.nytimes.com/2018/10/18/smarter-living/wirecutter/for-a-safer-easier-winter-prep-your-home-now.html,https://static01.nyt.com/images/2018/10/18/smarter-living/18wcwinterize/18wcwinterize-facebookJumbo.png,the-new-york-times,The New York Times,snow storm,1
KATE TAYLOR,"Where you show up Saturday night, you should plan on staying there until Monday morning, Derek Schroeter, a meteorologist at the National Weather Service office in Gray, Me., advised people in the Northeast.
As the storm sweeps east and then north, Des Moines is expected to get five inches of snow; Youngstown, Ohio, 10 inches; Allentown, Pa., six to eight inches; Albany, N.Y., 16 inches; and Bennington, Vt., 20 inches.","The storm was forecast to deliver a punishing mix of heavy snow, strong winds and frigid temperatures over the weekend.",2019-01-18T20:19:45Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Major Winter Storm Threatens Millions in Midwest and Northeast,https://www.nytimes.com/2019/01/18/us/winter-storm-northeast-midwest.html,https://static01.nyt.com/images/2019/01/19/us/19storm1/19storm1-facebookJumbo.jpg,the-new-york-times,The New York Times,snow storm,1
RICHARD A. OPPEL Jr.,"The amount the ground can soak up is limited, because it is so wet, but thats a lot better than having it frozen, because frozen ground is like a parking lot, Mr. Pearson added. Water just flows right off.
Over all, he said, the storm does not seem as powerful at this point as the March tempest, but it still has a lot of moisture and lot of potential to cause a lot of problems, he said. Its still going to pack a punch.
Forecasters say that for a storm to officially qualify as a bomb cyclone, the atmospheric pressure must drop at least 24 millibars in 24 hours, creating a particularly strong and rapidly intensifying storm. This one might not produce quite that steep a pressure drop, they say.
But temperatures are set to plunge quickly just the same, as a low-pressure system drawing in moisture to the Midwest is displaced by a high-pressure system full of colder air. Omaha, for example, is predicted to see its daytime high temperature fall from almost 80 degrees on Monday to about 40 degrees on Friday.
The bigger flood risk this time may center on the Mississippi River and its swollen tributaries rather than the Missouri River, where levels have been receding, said Jeff Berardelli, a meteorologist.
It will be a more prolific snow producer and a more blinding blizzard than the bomb cyclone was, Mr. Berardelli said of the new storm, partly because it may idle over much of the Midwest for a time.
Its likely going to slow down and stall, he said. Literally, the storm will barely move.
But like Mr. Pearson, Mr. Berardelli said that a higher proportion of snow than rain may be a good thing.
If it melts over a longer period of time, that would be better, he said. We dont want it all happening in a day or two.","Flooding in the town of Hamburg, Iowa, on March 20. A powerful storm this week is expected to dump significant snow and rain on farms and floodplains that are still struggling to recover from last month’s historic storm.",2019-04-08T20:58:04Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Powerful Storm Threatens More Misery in Flood-Hit Midwest,https://www.nytimes.com/2019/04/08/us/winter-storm-wesley.html,https://static01.nyt.com/images/2019/04/08/us/08midwest-weather/08midwest-weather-facebookJumbo.jpg,the-new-york-times,The New York Times,snow storm,1
"Brian Kahn on Earther, shared by Virginia K. Smith to Lifehacker","Bombs. They’re on the nation’s collective mind. Earther can’t really give you any insights into our big button boy’s mindset on the nuclear front, but we’ve got you covered when it comes to this bomb cyclone thing that’s about to “ blast the East Coast.” Snow is falling in northern Florida thanks to moist air from the Gulf of Mexico intersecting with the frigid cold hanging over the eastern U.S. The impending storm will get really organized and march up toward the Mid-Atlantic this evening, where there are rare blizzard watches already in effect. By late tonight or early tomorrow, snow, storm surge, and powerful winds will smack the Northeast. Along the way, this extratropical cyclone will undergo “explosive bombogenesis.” Or, in less nerdy terms, it will bomb out. And that has got people on edge. You’ve probably seen the Washington Post tweet that sparked the whole bomb cyclone freakout (it is a Very Good Tweet): In some ways, the freakout is warranted. This is shaping up to be a massive, dangerous storm that could fell records and cause widespread power outages. Snow in Florida is really, deeply weird and wrong. The cold air rushing in after the storm passes could be deadly. But let’s step back for a sec and talk about what’s actually going on. In simple terms, bombogenesis describes what happens when a storm’s central pressure drops 24 millibars in 24 hours. The lower the pressure, the more intense the storm. Those types of rapid drops can happen in hurricanes, but only extratropical cyclones—storms that have cold air at their core—technically qualify as bomb cyclones. That means you generally only get weather bombs in winter, and often in coastal areas where cold land meets relatively warm ocean water. The bigger the difference between warm and cold air masses, the bigger the potential for bombogenesis. “The contrast between the warm and cold air gives you an indication of the energy available to intensify an extratropical cyclone,” Andrea Lang, a meteorologist at the University of Albany, told Earther. “In this case, large contrasts in temperature between Arctic air currently over the Northeast and warm Atlantic waters suggest the potential for an intense cyclone.” This week’s bomb storm could see pressure drop an unbelievable 45 millibars in 24 hours, according to the National Oceanic and Atmospheric Administration model ensemble. It’s forecast to bottom out around 950 millibars, a central pressure typically associated with Category 3 hurricanes (though this storm will not bring Category 3 winds). While this storm could be one for the record books, storms bombing out isn’t that rare. Jonathan Martin, a meteorology professor at the University of Wisconsin-Madison, told BuzzFeed that you can expect about 10 of these types of storms across the northern hemisphere in any given winter. In the Northeast, many storms that bomb out take the form of nor’easters, winter storms that have their strongest winds out of the northeast. In Europe, they’re usually wind storms. Elsewhere like the Bering Sea, they’re just really nasty storms. Scientists have been throwing around some combination of the terms “bomb,” “bombogenesis,” “weather”,and “climatological” since the 1940s. They somewhat entered the mainstream lexicon in 1980. That year, MIT professors Fred Sanders and John Gyakumpublished the amazingly-titled study “Synoptic-Dynamic Climatology of the ‘Bomb.’” It’s one of the first papers to deconstruct the process of bombogenesis. Sanders attributes the focus on rapidly dropping pressure in storms to Tor Bergeron, a Swedish meteorologist who also gave us our working theory of how precipitation forms in the 1930s. So, this whole cyclone bomb thing has been a known quantity for a while. That doesn’t mean this storm won’t be bad, or that you shouldn’t be prepared for power outages, especially considering the bone-rattling cold that will follow. But make sure to allocate your freakout between meteorological and existential threats accordingly.",Bombs. They’re on the nation’s collective mind. Read more...,2018-01-03T15:45:00Z,"{'id': None, 'name': 'Earther.com'}",What Is This 'Bomb Cyclone' Thing About to 'Blast' the East Coast?,https://earther.com/what-is-this-bomb-cyclone-thing-about-to-blast-the-east-1821736336,"https://i.kinja-img.com/gawker-media/image/upload/s--GPyAvf3g--/c_fill,fl_progressive,g_center,h_450,q_80,w_800/hlnxmrtpzp8rtld8r6fz.jpg",,Earther.com,snow storm,1
AZI PAYBARAH,"Thats the plan of Robert Bailey of Manhattan, 67, who played the numbers 8-12-13-19-27-4 to win $343.8 million in Powerball after 25 years of using the same numbers. (He split the jackpot with a woman from Iowa.) He accepted a check for $125,396,690 his cut after taxes. Its not clear. The deal is designed in a way that requires approval on the state level, not the city. Governor Cuomo supports the deal and has a lot of sway. But there are potential roadblocks, my colleague J. David Goodman explains. And Politicos Dana Rubinstein notes : Key elements of the plan require the approval of state legislative leaders via an obscure entity called the Public Authorities Control Board... The State Senate and Assembly majorities each have a vote on the board, and so does the governor. Unanimity is required. The Queens neighborhood where Amazon is heading is represented by State Senator Michael Gianaris, a Democrat who has spoken out against the deal. In January, he becomes the second-most powerful senator in the chamber. Whether Gianaris actually wants to kill the deal or merely exact more concessions from Amazon remains to be seen, Ms. Rubinstein writes. The Timess transportation reporter Emma Fitzsimmons tells us: An eighth professional driver has died by suicide in New York part of a troubling trend as the industry faces upheaval following the rise of Uber and other ride-hailing services. The latest death was a taxi driver named Roy Kim. Other drivers who have taken their lives over the last year: Fausto Luna, an Uber driver; Abdul Saleh, a taxi driver; Kenny Chow, a taxi driver; Nicanor Ochisor, a taxi driver; Danilo Castillo, a livery driver; Alfredo Perez, a livery driver; and Douglas Schifter, a black car driver. This tragedy underscores the importance of finding new ways for government, the industry and lenders to work in unity to address the financial challenges that are weighing so heavily on our licensees, said Meera Joshi, chair of the Taxi and Limousine Commission. Free care: If you or someone you know needs help, call 1-888-NYC-WELL, text WELL to 65173, or visit NYC Well.",Thursday: A messy afternoon storm and a lottery player’s plans.,2018-11-15T11:28:40Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","New York Today: New York Today: Snow Is Coming, Resisting Amazon and Powerball’s $343.8 Million Winner",https://www.nytimes.com/2018/11/15/nyregion/newyorktoday/new-york-news-snow-powerball-amazon.html,https://static01.nyt.com/images/2018/11/15/nyregion/15nytoday/15nytoday-facebookJumbo.jpg,the-new-york-times,The New York Times,snow storm,1
