author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
Saqib Shah,"Australia has been leading the charge in deploying drone coast guards, with countries like the UK following suit. The 'Little Ripper' UAVs, packed with supplies including inflatable rafts and GPS beacons, can fly through the air for two-and-half hours on a single charge. In August, it was reported that the drones were being fitted with AI smarts to map Australia's shark-infested waters. Around 40 Little Rippers were reportedly shipped to Australia's Surf Life Saving Clubs last year.","Australia's ' Little Rippe r' drone has saved a pair of swimmers caught in rough seas in what's thought to be a world-first rescue operation. Lifeguards were busy testing the UAV off Lennox Head as part of New South Wales' $250,000 shark-spotting strategy whe…",2018-01-18T14:25:00Z,"{'id': 'engadget', 'name': 'Engadget'}",Lifeguard drone completes world-first ocean rescue,https://www.engadget.com/2018/01/18/little-ripper-lifeguard-drone-rescue/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fs.aolcdn.com%2Fhss%2Fstorage%2Fmidas%2F192c6ea54888fdf588c780eaac0f72d3%2F206041425%2Fwestpac-uav-AU-EN.jpg&client=cbc79c14efcebee57402&signature=d79588227e6ac51c73a1b66e3181a241bd48a3a7,engadget,Engadget,rescue,1
https://www.facebook.com/bbcnews,"Image copyright Ericsson Image caption Mobile operators say drones working with mobile networks will speed up emergency response Drones may be best known for taking impressive aerial videos and inspecting buildings, infrastructure and crops, but they also promise to improve mobile and internet connectivity for emergency services and consumers. Poor mobile signal in rural areas is frustrating, but it can also be life-threatening in emergency situations. Slow emergency response times mean higher mortality rates. Mobile signals are usually sent via base stations, attached to buildings or special masts. These are tough to put up in a hurry - so why not attach a base station to a drone? For the last two years, the Finnish tech firm Nokia and British mobile operator EE have been flying small quadcopter drones mounted with portable mobile base stations in Scotland. The idea is that in an emergency, a drone could hover over a disaster area to provide instant 4G mobile network coverage with a 50km (31 mile) radius. But drones can't fly for very long before the battery runs out - 30 minutes is a typical maximum. So US telecoms giant AT&amp;T is developing a large, helicopter-like drone known as the ""Flying COW"", short for ""Cell on Wings"". It is tethered to the ground by a cable that gives it power. Image copyright AT&amp;T Image caption AT&amp;T's ""Flying Cow"" drone can stay airborne all day and night This enables the drone stay in the air 24-hours-a-day at a maximum height of 168m (550ft). AT&amp;T says it used Flying COW to provide emergency 4G coverage to Puerto Rico in the aftermath of Hurricane Maria in November. Each drone was able to cover an area measuring 36 sq km. Nokia wants to take things a step further, and turn police vans and fire engines into command and control centres to help emergency responders make crucial decisions much faster than they do today. The idea is for fire engines to have their own personal 4G network with a 50km radius. From the command centre, fire fighters would launch drones and use their cameras to survey the scene. The same concept is being used for search and rescue, with artificial intelligence linking the drones together into a ""swarm"", so only one pilot is needed to direct a whole group of drones. Image copyright Getty Images Image caption A Firefighter from a UK Fire and Rescue Service pilots a drone Nokia is testing out the technology with Vodafone and firefighters in Dusseldorf, Germany. ""You don't need to send firemen into the hostile environment, you will have full situational awareness immediately,"" says Thorsten Robrecht, Nokia's vice president of advanced mobile networks solutions. ""What we see from the police is that this is much quicker and lower cost than a helicopter, which they still mostly use today."" Belgian start-up firm Unmanned Life has developed software to send out multiple autonomous drones at the same time to gather information during a crisis, such as when a building is on fire. One drone hovers in the air providing 4G coverage, while another flies around the building providing live video. A third equipped with heat sensors creates a heat map of the building, while a fourth uses sonar to map structural damage. Unmanned Life is in talks to provide its system to BT and Verizon, who currently hold government contracts for emergency communication networks in the UK and US. Swarms of co-operating drones, each with different tasks, help address the flight-time issue because single-function drones can be lighter. And they can be lighter still if many of their computational and sensing functions - navigation for example - are undertaken by computers on the ground ""talking"" to the drones wirelessly. The lighter the drone, the more it can carry. In February, Ericsson tested this concept with BT and Verizon in London to show that a drone could autonomously carry 5kg of medical supplies from one location to another, without human intervention. Image copyright David Tett / Ericsson Image caption A woman watches on a tablet as a man loads a drone with first aid supplies The trial demonstrated that next-generation superfast 5G networks would be powerful enough to transfer data streams between the drone and the ground, as well as ensuring that the connection to the drone never dropped. ""I think drones together with 5G networks and the IoT [internet of things] offer tremendous opportunities,"" says Phil Bonner of Ericsson. ""We need to keep the drone very simple and cheap."" But drones for deliveries and emergency services will only be viable if they can be flown autonomously without crashing into buildings, trees, pylons, or each other. So many tech and telecoms companies are racing to build air traffic control systems for them. ""Nokia has a system run on the 4G network that can connect all the drones and knows where they are,"" says Mr Robrecht. ""And we have a commercial aircraft 4G network covering the entire airspace in Europe in order to connect all the aircraft flying around. ""We're trying to work out how to connect the two networks."" Once this problem is solved, communications drones won't just be for the emergency services. They could help civilians in all sorts of ways too, such as at sports events. Image copyright AFP/Getty Images Image caption Drones helped fans watching the 2018 Super Bowl enjoy better mobile connectivity ""One of the challenges we see is when people are using their devices in stadiums during the Super Bowl,"" says Art Pregler, AT&amp;T's unmanned aircraft systems programme director. ""If there's a really good football play, they're all taking video or looking for an instant replay. That creates a lot of demand on the network. ""But we could have drones in the air augmenting our existing capacity, and that will improve their experience at the event."" Technology firm Ericsson thinks that in future we could even pay to have a drone launched if we need internet coverage on-demand in an area with bad signal - great for music festivals. Image copyright Magnum Photos The GSMA, which represents the mobile industry, believes it has an essential role to play in the growth of the commercial drone market. But Gartner analyst Aapo Markkanen says: ""The commercial adoption of drones will happen regardless of telcos [telecoms companies]. ""If telcos get involved, that will enable enterprises to do more sophisticated things, but they need to spend money to make money."" Having a drone with their logo on it riding to the rescue will be good for the telco's reputations, but it may not be hugely profitable, believes Kester Mann, a principal analyst at CCS Insight. ""There is some benefit in helping communities, and selling solutions to the public sector is one of them,"" he says. ""But are we going to see governments cough up for these fancy technologies, at a time when purse strings are under pressure?"" Follow Technology of Business editor Matthew Wall on Twitter and Facebook",Mobile operators are using drones to improve mobile communications and help emergency services,2018-04-30T23:23:19Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Drones to the rescue!,http://www.bbc.co.uk/news/business-43906846,https://ichef-1.bbci.co.uk/news/1024/branded_news/5181/production/_101056802_dronedemo-18.jpg,bbc-news,BBC News,rescue,1
Megan Molteni,"Last Wednesday, Hurricane Michael slammed into the Florida Panhandle at 155 miles per hour, flattening neighborhoods, turning subdivisions into rubble, and plunging the coast into darkness. On Friday, Trevor Lewis packed up two trucks with crowbars, chainsaws, sledgehammers, ropes, walkie talkies, and five other guys from Cocoa Beach, where he lives on the east side of the state. As night fell they began the drive up into the worst of the wreckage. By 4 am on Saturday they were responding to their first call for help. Lewis leads a self-funded search-and-rescue unit made up of off-duty police officers, firefighters, and EMTs. They call themselves Salty Water Rescue Services, and most of them have special emergency training on the high-speed powerboat racing circuit off Cocoa Beach. Theyre one of hundreds of volunteer crews that showed up post-Michael to help first responders overwhelmed by 911 calls. They used as their guide a service called Crowdsource Rescue, or CSR, which showed on a map individuals who might need help. On one of Salty Waters visits, the crew met a woman whose house had a gas leak, so Lewis called local authorities. Its an eerie feeling to dial that number thinking someones going to come and it goes straight to a busy signal, he says. The womans family had used CSR to request a wellness check on their relative. The idea behind CSR started out simple: collect calls for help posted on social media, geolocate them, and route volunteers to the distressed parties. Basically, Uber for emergencies. It was a simple enough concept that a pair of developers named Matthew Marchetti and Nate Larson hacked it together in about six soggy hours in Houston last August while Hurricane Harvey howled outside. They expected it to help out a few families in their rapidly flooding neighborhood. By the time the storm was over, Marchetti says at least 25,000 people had been reached using the web service. Turns out, armies of spontaneous samaritans can get a lot more done if technology tells them where to go. The volunteers are going to show up no matter what, says Marchetti. Were just trying to empower them to find more people safely and more effectively. What began as a one-off charitable coding sprint has since evolved into a five-person emergency volunteer mission control center. In their day jobs at a real estate company, Marchetti and Larson built maps. And thats basically what the first version of CSR was. But as more hurricanes rocked the US in quick succession in late 2017first Irma, then Mariathe pair piled on new features as problems arose in real-time. We would change something on the site while there were 60,000 people using it, and if they didnt like it, theyd let us know, says Marchetti. We had no master plan. It was all just reactionary. In January, when the hurricane season had ended, they found time for a more thoughtful redesign. The latest version, released two weeks before Florence hit, includes a mobile app and new safeguards. It allows users to tag hazards such as downed power lines, washed-out roads, and fast-moving water. It also gives CSR the flexibility to block off any areas that emergency management officials have declared dangerous for civilians, so that volunteers without proper training cant see aid requests in those areas. Those precautions are to prevent volunteers from winding up needing rescuing themselves. Thats less of a concern for volunteers like Lewiss Salty Water crew, who used CSR for the first time during Florence, but who are no strangers to treacherous waters. After that September storm swept through, seven of their guys drove to North Carolina with a flat-bottom boat and two tuned-up jet skis with rescue sleds on the back. Over the course of a few sleepless days they checked in on nearly 100 people, delivering supplies, relaying messages to loved ones, and helping the unluckiest few to safety, including about a dozen shivering pets. On the long drive back to Cocoa Beach they decided to formally partner up with the crowdsource platform. But when Michael arrived two months later with its powerful Category 4 winds, Lewis and his teammates had used up most of their vacation time responding to Florence, so they could only stay four days. They had AT&amp;T, which Lewis says was the only carrier with coverage, and switched to walkie-talkies when they hit areas with service outages. If they couldn't relay their findings back to worried families directly, they'd take pictures or video to share using their phones later. He says that in the time they were in Panhandle, his team reached more than 300 people using the app. Yet the rescue that sticks in his mind most vividly wasnt coordinated by CSR. It came about just by chance. She was the neighbor of someone whose family had filed a wellness request; Lewis spotted her as they were preparing to move on to the next ticket, and he asked if she was alright. It soon became clear she wasnt. A widow in her 80s and frail, she lived alone. There was almost no food or water in her house. A section of her roof had been ripped clear of its frame. An immigrant from Thailand, she had no family in the US. No one was looking for her. She had one friend in the city, but with no phone service she couldnt call her. It was heart wrenching, says Lewis. His team reached the friend and waited until she came to pick the old woman up. Then they patched her roof and ripped out her wet carpet, collected her valuables and put them in a safe place to dry. They filed a new CSR ticket so that there was a record. And so that someone follows up. But the incident showed one of the apps biggest limitationson its own it cant locate missing people. Being homeless, phoneless, family-less, or Facebook-less can make dangerous storms even more deadly in the days and weeks after the worst weather has passed. Thats one of the reasons Marchettis team has started to layer social vulnerability indices and flood zones onto its maps of areas where hurricanes are expected to hit. As landfall predictions firm up, CSR places Facebook ads for its app targeted at people living in the path of the storm. They start making calls to churches and local community organizations, trying to raise awareness of the resource. We want to play this role of equalizer, to come in serve as a stopgap, he says. Not having the ability or the funds to evacuate doesnt mean you dont deserve to be helped. Early Wednesday morning, CSR had more than 1,200 open tickets for people not yet verified as safe. But as more people got cell service and volunteers cleared a backlog of requests, that number dropped to 548 by the end of the day. Marchetti says that doesnt necessarily mean that all of those people really are missing and presumed dead. They could be staying with other friends or relatives and unable to communicate. But we are starting to hit that point in every disaster where that number becomes more and more representative of the real thing, he says. A more official number could emerge as soon as Thursday evening, when the Federal Emergency Management Agency expects to complete its search and rescue operations. The agency has 10 crews and a dozen cadaver-sniffing dogs scouring the destruction scattered across Bay, Gulf, and Jackson counties, according to FEMA spokesperson Ruben Brown, reached Wednesday at the agencys interim operating facility in Tallahassee. State officials have not provided a count of the people currently considered to be missing. The states division of emergency management has an online system where people can report missing individuals as well as the locations of people who are trapped or running out of medications and other supplies. But Florida officials did not respond to questions about how those lists are used to coordinate searches. The states website also links to a searchable American Red Cross registry where people can list themselves as safe and well for their loved ones to find. More Great WIRED Stories","Crowdsource Rescue, a kind of \""Uber for emergencies,\"" has become the leading tool to coordinate volunteer rescuers, helping them check on hundreds of vulnerable individuals.",2018-10-18T19:03:55Z,"{'id': 'wired', 'name': 'Wired'}",An App Built for Hurricane Harvey Is Now Saving Lives in Florida,https://www.wired.com/story/an-app-built-for-hurricane-harvey-is-now-saving-lives-in-florida/,https://media.wired.com/photos/5bc789e4a25f0713c580d540/191:100/pass/michael-1052290194.jpg,wired,Wired,rescue,1
https://www.facebook.com/bbcnews,"Image copyright Getty Images Image caption The company co-founded by Harvey Weinstein was found to have debts of $280m A deal to rescue The Weinstein Company from bankruptcy has collapsed at the last minute. Businesswoman Maria Contreras-Sweet had led a team that was poised to buy the struggling film production and distribution company. However, the deal was reportedly terminated after it was found the firm's debt was $280m (£201.4m) rather than the $225m previously disclosed. The company was co-founded by disgraced US movie mogul Harvey Weinstein. Mr Weinstein is facing dozens of allegations of sexual abuse, including rape, but he denies non-consensual sex. Last week, it was revealed the investor group led by Ms Contreras-Sweet - who led the US Small Business Administration under President Barack Obama - was set to pay $500m for the company's assets. That figure included a $90m victims' compensation fund. ""After signing and entering into the confirmatory diligence phase, we have received disappointing information about the viability of completing this transaction,"" said Ms Contreras-Sweet. Image copyright Getty Images Image caption Maria Contreras-Sweet was set to be chairwoman of the new film business The deal would have seen the new owners launch a company with a board of directors made up of a majority of independent women. Ms Contreras-Sweet would have been chairwoman of the business. It would also have saved about 150 jobs. Prior to the deal, The Weinstein Company said it would file for bankruptcy. Ms Contreras-Sweet said: ""We will consider acquiring assets that may become available in the event of bankruptcy proceedings, as well as other opportunities that may become available in the entertainment industry.""",A takeover of the film business has failed after a higher level of debt was reportedly discovered.,2018-03-07T00:56:51Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Weinstein Company rescue deal collapses,http://www.bbc.co.uk/news/entertainment-arts-43311932,https://ichef.bbci.co.uk/news/1024/branded_news/145BE/production/_100309338_weinstein_getty.jpg,bbc-news,BBC News,rescue,1
Jason Kehe,"Look at all the pretty drones. Hovering above sports stadiums from Houston to Pyeongchang, many hundreds of them have lately sparkled in artful murmuration. On a recent Time magazine cover, 958 drones pixelated the sky. The world record, 1,374 LED-bedazzled microbots, was set by Chinese company EHang UAV in May. So-called drone swarms—the phrase people have taken up with gusto—are having their biggest, buzziest year ever. It’s an evocative word, swarms, and innocuous enough when applied to one of Intel’s drone light shows. But it’s tinged with alarm—if drones can dance at twilight, they can also attack. Sure enough, a gang outside Denver sent a small fleet to harass FBI agents on a raid earlier this year. In Syria, rebels reportedly sicced a squadron of quadrotors on a Russian base. To the media, both events were swarms. Take comfort, then, in this buzzkill: “The swarm is really an illusion,” says Mac Schwager, an assistant professor at Stanford who studies multi­robot systems. Schwager, along with many of his colleagues, resists the word. Too entomological, conjuring as it does frillions of bugs surging as a single superorganism through the air. ( Flocking birds, in fact, were the field’s original inspiration—though the occasional roboticist does try studying insects.) When drones “swarm,” on the other hand, they’ve been choreographed in advance, or else are being controlled by human minders with joysticks. Even the DOD’s recent military demos have required teleoperators. LEARN MORE The WIRED Guide to Drones Not that researchers at MIT, ETH Zurich, and elsewhere aren’t trying to imbue drones with hive-mindedness. In Schwager’s lab, small groups of five or 10 really can sync their movements, powered by so-called decentralized algorithms that tell each bot where its buddies are in space and time. But fully autonomous systems, Schwager says, are “sort of in the R&amp;D phase.” More removed still are drones that can actively learn from one another and derive unprogrammed behaviors from their esoteric robo-chatter. The 2017 web film Slaughterbots perpetuates such unrealities. In it, an intelligent drone fleet tears through a college campus, murdering students. Never mind that quadrotors aren’t capable of navigating indoors, where GPS signals can’t propagate. The point of the short, which was screened late last year at a UN weapons convention in Geneva and has been viewed on YouTube more than 2.5 million times, is to scarify the notion of robots working together. Linked up, they’ll inevitably become a locust plague on humankind. Except that’s how teams of drones will one day be able to survey natural disasters, rescue survivors, clean up oceans, farm fields, explore other planets, and deliver your burritos. Networking isn’t inherently evil. Nora Ayanian, a roboticist at USC, imagines a scenario in which every bot is programmed slightly differently, so that when they’re deployed en masse, the smartest among them teaches the pack how to act. Ayanian calls it “leveraging diversity in the control policy,” an engineer’s way of saying that more perspectives means better results. Diversity matters, even in machines. This article appears in the August issue. Subscribe now. More Great WIRED Stories","Networking isn't inherently evil. It's how teams of drones will one day be able to survey natural disasters, rescue survivors, and deliver your burritos.",2018-08-14T13:00:00Z,"{'id': 'wired', 'name': 'Wired'}",Drone Swarms as You Know Them Are Just an Illusion—for Now,https://www.wired.com/story/drone-swarms-are-an-illusion-for-now/,https://media.wired.com/photos/5b47e3b46866850b1bfbb0af/191:100/pass/WI080118_AP_Swarmdrone_Chartgeist_LO_03.jpg,wired,Wired,rescue,1
Nick Douglas,"“If you rename a.docx file to.zip you can open it,” tweets SwiftOnSecurity, the security professional/Taylor Swift parody account. Then you can grab images and video that were embedded in the document, all as separate files. Swift’s followers have more great tips for rescuing data from different file formats. For example, you can use Swift’s method to open a corrupted.docx file: You can even use it to shrink a large.docx file by downsizing its embedded images: Here are some more interchangeable file formats: This is all kind of dizzying. Unfortunately, you can’t daisy-chain an.html file into a.zip file, says a reply. You also can’t open a password-protected.docx this way, says another reply. So your computer is only slightly magic.","“If you rename a .docx file to .zip you can open it,” tweets SwiftOnSecurity, the security professional/Taylor Swift parody account. Then you can grab images and video that were embedded in the document, all as separate files. Swift’s followers have more grea…",2018-07-26T18:00:00Z,"{'id': None, 'name': 'Lifehacker.com'}",How to Rescue Embedded Images From a DOCX File,https://lifehacker.com/how-to-rescue-embedded-images-from-a-docx-file-1827888815,"https://i.kinja-img.com/gawker-media/image/upload/s--qAWm7ZVE--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/c4ajdejc8zwv6p5guzli.png",,Lifehacker.com,rescue,1
Darrell Etherington,"One day, they may yet turn against us, but for now, they’re still our allies: A drone rescued two teenage swimmers in distress off the course of New South Wales in Australia, according to a new report. The drone spotted two teenagers in trouble around a half-a-mile out from shore, and then dropped a flotation device it carries for the purpose to give them something to hang on to (via Verge ). This drone was actually not supposed to be saving anyone just yet – it was engaged in a pilot project to test its viability. But the Sydney Morning Herald reports that when a call came through about the swimmers in trouble, the drone happened to be in the Ari and nearby, positioned well to respond. The drone’s pilot, a decorated veteran lifeguard for New South Wales, was able to Gert out to the swimmers’ position, and drop the pod in a minute or two, which is at least a few minutes less than it would’ve taken to respond directly with actual flesh and blood lifeguards. This training exercise was designed to get lifeguard staff familiar with the so-called “Little Ripper” drone, which is part of a government plan to help mitigate the risk of shark attacks. Its ability to save the swimmers was an accident, but a lucky accident that definitely helps prove its viability as part of the $16 million government program. Also, it’s a reminder that sometimes, drones are actually good.","One day, they may yet turn against us, but for now, they’re still our allies: A drone rescued two teenage swimmers in distress off the course of New South Wales in Australia, according to a new report. The drone spotted two teenagers in trouble around a half-…",2018-01-18T14:43:41Z,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Drone comes to the rescue of two swimmers in Australia,http://techcrunch.com/2018/01/18/drone-comes-to-the-rescue-of-two-swimmers-in-australia/,https://tctechcrunch2011.files.wordpress.com/2018/01/drone-drop.gif,techcrunch,TechCrunch,rescue,1
BBC News,Video Rescuers were lowered from a helicopter to help up to 150 skiers stuck on a mountain in Austria.,Rescuers were lowered from a helicopter to help up to 150 skiers stuck on a mountain in Austria.,2018-01-30T02:17:54Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Stranded skiers' chairlift chopper rescue,http://www.bbc.co.uk/news/av/world-europe-42868759/stranded-skiers-chairlift-chopper-rescue,https://ichef-1.bbci.co.uk/news/1024/branded_news/B93C/production/_99802474_p05wj06p.jpg,bbc-news,BBC News,rescue,1
https://www.facebook.com/bbcnews,"The Argentine navy has said it has abandoned attempts to rescue 44 crew members on board a submarine that disappeared two weeks ago. ""Despite the magnitude of the efforts made, it has not been possible to locate the submarine,"" navy spokesman Enrique Balbi said on Thursday. The, sub, the ARA San Juan, last made contact on Wednesday 15 November. Hopes of finding survivors faded since a suspected explosion was reported near its last-known location. Capt Balbi said the search for the submarine had been ""extended to more than double the number of days that determine the possibilities of rescuing the crew"", but added that teams would continue to search for the vessel on the seabed. On Tuesday, Capt Balbi told reporters that water had entered the sub's snorkel, which can be used to take in air from above the surface when the submarine is submerged. The saltwater dripped onto a battery tray in the prow, causing the battery to short circuit and to smoulder, he said.","Argentina's navy says hope of rescuing 44 crew on a missing submarine has gone, but efforts to find vessel continue.",2017-11-30T21:44:53Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Argentina ends missing sub 'rescue mission',http://www.bbc.co.uk/news/world-latin-america-42187139,https://ichef-1.bbci.co.uk/news/1024/cpsprodpb/7A23/production/_97176213_breaking_news_bigger.png,bbc-news,BBC News,rescue,1
Catherine Shu,"Elon Musk seems not only intent on burning all the goodwill he earned for trying to help last week’s Thai cave rescue, but rolling around in its ashes, too. In a series of extraordinarily offensive, now deleted tweets, the SpaceX and Tesla CEO called a British diver who participated in last week’s dangerous rescue mission a “pedo guy,” adding in another tweet “bet ya a signed dollar it’s true.” Musk’s tantrum was triggered by an interview the diver, Vern Unsworth, gave CNN International last Friday, in which he said Musk could stick the small submarine he had SpaceX engineers build “where it hurts.” Though the submarine was intended to help the 12 boys stranded with their soccer coach navigate flooded cave passageways, Unsworth, who helped plan the rescue operation and recruited other cave diving experts, said it “had absolutely no chance of working.” Unworth added that Musk “had no conception of what the cave passage was like. The submarine, I believe, was about 5 foot 6 long, rigid, so it wouldn’t have gone round corners or round any obstacles. It wouldn’t hadn’t have made the first 50 meters into the cave from the dive start point.” When the reporter mentioned that Musk had gone into the cave on Tuesday, Unsworth said he was “asked to leave very quickly. And so he should have been.” The rescue mission, made even more challenging by monsoon season, claimed the life of a Thai Navy seal before all boys were saved last week. This is not the first time that Musk has clashed with a member of the cave rescue team. As confirmation came in that the last group of boys and their coach had been freed on July 10, the head of the rescue mission, Narongsak Osatanakorn, told reporters that “although [Musk’s] technology is good and sophisticated it’s not practical for this mission.” In response, Musk dismissed the credentials of Ostanakorn, who led the joint command center coordinating the operation and is former acting governor of Chiang Rai, the province where the cave is located. In a tweet he said Ostanakorn was “described inaccurately as ‘rescue chief'” and “is not the subject matter expert” ( the Columbus Dispatch reports that Ostanakorn holds a Master’s degree from Ohio State University, where he studied geodetic engineering and surveying). Though Musk’s tweet about Ostanakorn was sharply criticized, many still gave him credit for his efforts. After all, engineering a submarine in a few days to save a group of children is an impressive and laudable feat. While Musk is known for going on strange Twitter rants, however, his attack on Unsworth is an entirely different stratosphere. In addition to defaming Unsworth in a particularly heinous way, the implication that a British diver would only go to Thailand, one of the world’s top diving destinations, for child sex tourism is problematic and arguably racist, as many have pointed out. Elon Musk implying that British expats who live in Thailand are all kiddie fiddlers? Erm… wow… isn't that kind of a little bit racist? — Robert Percy (@astweetedbyRP) July 15, 2018 Sure, Elon Musk calling a diver who help rescue 12 boys a ‘pedo’ just because he lives in Thailand is insulting, inflammatory and borderline libelous, but let’s not forget that it is also horrifically racist. — Bay Area for Bernie (@BayArea4Bernie) July 15, 2018 TechCrunch has contacted SpaceX for comment on Musk’s remarks.","Elon Musk seems not only intent on burning all the goodwill he earned for trying to help last week’s Thai cave rescue, but rolling around in its ashes, too. In a series of extraordinarily offensive, now deleted tweets, the SpaceX and Tesla CEO called a Britis…",2018-07-16T02:43:35Z,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Elon Musk tweets he’ll “bet ya a signed dollar” that Thai cave rescuer is a “pedo”,http://techcrunch.com/2018/07/15/elon-musk-tweets-hell-bet-ya-a-signed-dollar-that-thai-cave-rescuer-is-a-pedo/,https://techcrunch.com/wp-content/uploads/2018/06/GettyImages-855377492.jpeg?w=649,techcrunch,TechCrunch,rescue,1
