author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
PATRICK McGEEHAN,"“Having all these terminal operators as sort of independent operators complicates J.F.K. and makes it more difficult than any other airport in the country,” Mr. LaHood said. But, he added, Los Angeles International has a similar structure “and they’ve got it down to a fare-thee-well.” Los Angeles does not have to cope with snowstorms, he said, but its airport has had other troubles, including the fatal shooting of a Transportation Security Administration screener in 2013. “They’ve had some serious incidents and they’ve handled it very well,” Mr. LaHood said. Rick Cotton, the executive director of the Port Authority, said his agency accepted the criticisms in the report and embraced its recommendations for change. He said the emergency operations center would evolve into a “24/7” operations center, though probably not with all 26 entities represented at all times. The Port Authority has addressed another breakdown highlighted in the report by ordering more snow-removal equipment. The report detailed the trouble Kennedy’s crews had clearing snow from the airport’s runways after the Jan. 4 storm, which Mr. LaHood referred to as winter storm Grayson. When the storm’s combination of snow and wind created “whiteout” conditions, airport officials closed Kennedy at about 11 a.m. and said it would reopen at 3 p.m. That reopening time was repeatedly pushed back, first to 6 p.m., then to 8 p.m. and eventually to 7 a.m. the next day. Meanwhile, Kennedy’s airfield became “gridlocked” and “passengers were stuck on inactive planes for unacceptable periods of time,” the report said. Many planes that had taken off for Kennedy from overseas had to turn around or detour to other cities. A total of 8,400 passengers on 28 planes were diverted to O’Hare International Airport in Chicago, where some “were virtually abandoned” because their airlines did not have a presence there, it said. Mr. Cotton has vowed that Kennedy will not get into another jam like that. To help ensure there is no recurrence, the Port Authority has adopted a practice of barring airlines from sending planes to Kennedy during a period when a winter storm is expected unless they have an assurance from a terminal operator that a gate will be available.","Ray LaHood, a former transportation secretary, laid out dozens of changes to avoid a repeat of the failure that followed a fierce January snowstorm.",2018-05-31T22:43:28Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Report Offers 50 Ways to Avoid the Chaos That Crippled Kennedy Airport,https://www.nytimes.com/2018/05/31/nyregion/kennedy-airport-snowstorm-report.html,https://static01.nyt.com/images/2018/01/06/nyregion/01KENNEDY-01/07xp-jfk-facebookJumbo.jpg,the-new-york-times,The New York Times,snowstorm,1
ANDY NEWMAN and JONATHAN WOLFE,"The heaviest snow is expected to fall in a relatively narrow area -— no more than 50 miles wide —- that was gradually shifting eastward, said Trent Davis of the National Weather Service office in Mount Holly, N.J. “Banding is starting to become a big thing,” he said. “The highest amounts will be where the bands set up.” Pottstown, Pa., northwest of Philadelphia, had six inches as of 11 a.m. Photo Lasha Mgebrishvili sweeping the snow off his car in Brooklyn on Wednesday, but much more is expected. Credit Todd Heisler/The New York Times The snow moved north gradually. At 11 a.m., parts of New York City had 3 inches of snow, but forecasters are expecting one to two inches an hour to fall throughout the day. “It may seem kind of quaint in the morning, but it’s going to get a lot worse as the day goes by,” said John Homenuk, a meteorologist at New York Metro Weather. If the forecast holds, this could be the biggest spring snowstorm in New York City history. The current record was set on April 3, 1915, when 10 inches fell. The storm is expected to hit Boston by the afternoon rush hour, with as much as nine inches expected. In some areas, the storm is expected to be accompanied by winds gusting up to 50 miles an hour, which — combined with the weight of wet snow — could bring down tree limbs and trigger power failures. Minor to moderate coastal flooding is also expected along the Eastern Seaboard. Continue reading the main story",Planes are grounded and trains are canceled as snow spreads from Washington to Boston.,2018-03-21T16:28:40Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Live Briefing: Rare Spring Snowstorm Pummels East,https://www.nytimes.com/2018/03/21/nyregion/snow-storm-winter-weather.html,https://static01.nyt.com/images/2018/03/22/nyregion/22storm7/22spring7-facebookJumbo.jpg,the-new-york-times,The New York Times,snowstorm,1
CHRIS STANFORD,"• The firm, Cambridge Analytica, suspended its chief executive, Alexander Nix, on Tuesday. Spring started on Tuesday • Starting today, however, 18 inches of snow could fall in New York City. Find the latest here. Suing to speak about an affair • Karen McDougal, a former Playboy model, is the second woman this month to challenge efforts by allies of President Trump to bury stories about extramarital relationships. She is suing The National Enquirer’s parent company — whose chief executive is a friend of the president’s — which paid her $150,000 to keep quiet. • Separately on Tuesday, a ruling in a defamation lawsuit against Mr. Trump raised the possibility of a public airing of other accusations of sexual misconduct. A life-or-death jigsaw puzzle • Two packages found at FedEx facilities in Texas on Tuesday were connected to a series of deadly explosions in Austin, the F.B.I. confirmed. One of the packages was intact, allowing investigators to examine one of the serial bomber’s devices. They may also be able to get images of the person who shipped it. • Here’s what we know about the bombings, which have killed two people and wounded five others. Multimillionaire versus billionaire • The Illinois governor’s race could become one of the most expensive in history. After winning their parties’ nominations on Tuesday, the Republican incumbent, Bruce Rauner, a private-equity executive, will face J. B. Pritzker, a Democrat and billionaire philanthropist, this fall. Here are full results from the primary. • In a congressional race that became a fight between moderate and progressive Democrats, the longtime representative Daniel Lipinski narrowly defeated a challenger from the left, Marie Newman. A Republican denounced by his party as a Nazi also won. Yet another U.S. school shooting • “If you don’t think this can happen at your school, you are sadly mistaken.” A school superintendent in Maryland had a familiar warning after a shooting left the suspect dead and two students wounded. The police said the gunman, a 17-year-old student, had been confronted by an armed deputy at Great Mills High. • The shooting occurred a little over a month after 17 people were killed at a school in Florida. A nationwide march in support of gun control is planned for this weekend. “ The Daily”: The data harvesters • How did the brains behind Cambridge Analytica become its whistle-blower? Listen on a computer, an iOS device or an Android device. Business • I n trade talks with Mexico and Canada, the U.S. is pushing to limit warning labels on junk food. • Lawyers for Bill O’Reilly and Fox News argued for the dismissal of the defamation lawsuit brought by three women who reached harassment settlements. Separately, a longtime analyst for Fox News, Ralph Peters, is leaving, telling colleagues that the network had become “a mere propaganda machine.” • U.S. stocks were up on Tuesday. Here’s a snapshot of global markets today. Smarter Living Tips, both new and old, for a more fulfilling life. • Renovating ? Here’s some advice. • Enjoy fine dining on a fast-food budget. • Recipe of the day: Get through Wednesday with this no-bake mango dessert. What We’re Reading An inside look at the media diet of Times staff members : • If you’ve ever seen a mind-blowing photograph of Saturn’s rings, Jupiter’s swirls or the heart shape across Pluto, it’s thanks in no small part to NASA’s Deep Space Network. Shannon Stirone takes you behind the scenes of the infrastructure, which she describes as “worn out” and threatened by insufficient funding and outdated hardware. [ Longreads ] — Michael Roston, senior staff editor, Science • “A magazine started by Elizaveta Osetinskay, a Russian journalist based in the U.S., found and interviewed one of the scientists involved in developing the nerve agents known as Novichok. The scientist, Vladimir Uglev, both confirms the existence of the substances (which some Russian officials said didn’t exist) and points out potential problems in Western accounts of its use against a former Russian spy in Britain.” [ The Bell ] — Ellen Barry, London correspondent Noteworthy • A war that hasn’t ended Fifteen years after the U.S. invasion of Iraq, The Times is reintroducing At War, which began in 2009 as a blog for our journalists and contributors in Baghdad. The new iteration will continue to tell stories of the American war experience while expanding its coverage to global conflicts. In the first essay, a veteran Marine lieutenant recalls leading tanks into Baghdad in 2003. • Finding a place a t the bar Our Food section discusses blended scotch, which is seeking a role beyond legacy drinkers and cocktails. • Best of late-night TV Noting the administration’s turnover rate, Jimmy Kimmel said, “Trump goes through cabinet members like he goes through cheeseburgers and Aqua Net: fast.” And two books about Vice President Mike Pence’s pet bunny, Marlon Bundo, were published this week. One is a picture book. The other, the brainchild of John Oliver, is a gay romance. • Quotation of the day “Our teachers in Oklahoma are going above and beyond every single day for an unacceptable and unsustainable salary that doesn’t even provide them with a living wage.” — Deborah Gist, Tulsa schools superintendent. • The Times, in other words Here’s an image of today’s front page, and links to our Opinion content and crossword puzzles. Photo Ben Carson, the secretary of housing and urban development, told a House committee on Tuesday that he had “dismissed” himself from the decision to buy a $31,000 dining room set for his office last year, leaving the details to his wife and staff. Credit Erin Schaff for The New York Times For more on Mr. Carson’s appearance on Capitol Hill, click here. Back Story Each week, The Times’s crossword column, Wordplay, highlights the answer to one of the most difficult clues from the previous week’s puzzles. This week’s word: nene. Photo Behold the nene: a rare goose (and a frequent answer in The Times’s crossword). Credit Barry Batchelor/PA, via Associated Press If it looks like a goose and honks like a goose, it should just be a goose, right? The nene, however, is special. Not only is it Hawaii’s state bird, it’s also the world’s rarest goose. Its webbed feet have adapted to living on hardened lava, but it is a weak flier. Nenes were once hunted nearly to extinction, but conservation efforts have bolstered their population. Another reason to know your nenes is that, although rare in the wild, they often come up in crossword puzzles. Nene has been an entry in Times crosswords 295 times since 1944. It appeared in the puzzle on March 12 with the clue “Hawaiian goose.” The word might also appear in easy puzzles with the clue “Hawaiian state bird” or “Hawaiian honker.” Later in the week, as the crosswords become harder, it might be referred to as “Aloha State bird,” “Endangered state bird,” “Lava geese,” “Bird so-called from its call” or “Gray-brown goose.” You can find out about the nene and other birds that appear regularly in our Crossword Aviary. Deb Amlen contributed reporting. _____ Your Morning Briefing is published weekdays and updated all morning. Browse past briefings here. Sign up here to get it by email in the Australian, Asian, European or American morning. To receive an Evening Briefing on U.S. weeknights, sign up here. Check out our full range of free newsletters here. What would you like to see here? Contact us at briefing@nytimes.com. Continue reading the main story","Hagerstown, Md., on Tuesday. The Northeast is expecting a “four’easter” today, the fourth big storm in a month. New York City could see 12 to 18 inches of snow.",2018-03-21T09:46:07Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","Donald Trump, Snowstorm, Austin: Your Wednesday Briefing",https://www.nytimes.com/2018/03/21/briefing/donald-trump-snowstorm-austin.html,https://static01.nyt.com/images/2018/03/21/world/21USBriefing-amcore/21USBriefing-Snow-facebookJumbo.jpg,the-new-york-times,The New York Times,snowstorm,1
BENJAMIN MUELLER,"“I’m just about to call my boss and tell him I am turning around,” Mr. Girardi, 60, said. “ I just don’t trust the trains. My concern is that I’m not going to be able to get out of the city later in the day.” Gov. Andrew M. Cuomo warned New Yorkers of “an ugly, difficult commute.” “You have to expect a very rough day, right?” he said in an interview on NY1. “It is a combination of snow and wind and frigid temperatures. That is a bad mix. I have been driving around myself this morning. Look at the conditions, they are terrible and only going to deteriorate further through the day.” Cars were skidding and slipping in the suburbs outside New York City. Westchester County police officers removed a dozen disabled cars on four county parkways in the early hours of Thursday’s commute. Photo Commuters making their way through Lower Manhattan on Thursday. Credit Stephanie Keith for The New York Times “The roads are slick, they are icy and snow-covered,” said Christine Kelleher, a spokeswoman for the Westchester County Police. “We recommend that you stay off them. Most of the disabled cars have been spin outs.” The NYC Ferry suspended service to some of its docks on Thursday morning, but continued to operate other routes on the East River. Aside from a handful of delivery trucks and bike messengers, the major thoroughfares of Astoria were largely empty on Thursday morning, as the storm descended on this northwestern corner of Queens. Cars inched along, with a number of side streets still waiting to be plowed by rush hour. Commuters kept their eyes to the ground, fearful of being battered by the horizontal snow. On the aboveground subway platform at Astoria Boulevard, riders hid behind signs and advertisements to avoid the whipping winds. But on a morning like this, commuters brave enough to face the storm welcomed the unexpected: the subways, at least for the moment, seemed to be running on time. Ruth Bashinsky, Nicholas Corasaniti, Arielle Dollinger, Lisa Foderaro, Patrick McGeehan, Sean Piccoli and John Surico contributed reporting. Continue reading the main story","With whipping winds and gusts of snow, the first major snowstorm of the season hit New York City on Thursday.",2018-01-04T15:30:25Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","Schools Closed, Roads Clogged, Trains Delayed: Snowstorm Lashes New York City",https://www.nytimes.com/2018/01/04/nyregion/snow-storm-schools-trains-roads.html,https://static01.nyt.com/images/2018/01/05/us/05nycstorm/05nycstorm-facebookJumbo.jpg,the-new-york-times,The New York Times,snowstorm,1
https://www.facebook.com/bbcnews,"Image copyright Getty Images Image caption A snow storm struck the US's south-eastern states over the weekend A heavy snowstorm has swept through the US's south-eastern states, killing at least one person and leaving hundreds of thousands without power. A state of emergency has been declared in North Carolina, with some areas reporting as much as 0.5m (18.5ins) of snow over the weekend. One man died after a tree fell on his car. A search is under way for a driver whose vehicle was found in a river. Thousands of flights were also cancelled across the region. More than 300,000 people were affected by electricity outages in the Carolinas, Alabama, Tennessee and Georgia on Sunday, while storm warnings remained in place in the south-east ""especially North Carolina and Virginia"", the National Weather Service (NWS) said in a tweet. The storm was expected to move off the coast on Monday, although the NWS's lead forecaster Michael Schichtel warned it would continue to be ""a dangerous system"". ""It's slow to move off the Carolinas but a saving grace is that it won't hit New England,"" he told Reuters news agency. In some areas, so much snow fell the weight brought power lines crashing down. But the main danger appeared to be on the roads. Almost 60 crashes were reported in Virginia, state police told local media, with the number rising to 500 in North Carolina between midnight and 11:00 local time on Sunday. As a result, North Carolina Governor Roy Cooper told CNN the state's ""biggest concern"" was not the snow but ""ice making roads even more dangerous"". Image copyright Getty Images Image caption Hundreds of road accidents were reported The only death confirmed so far was outside of Charlotte. A second person was taken to hospital following the accident, WRAL.com said. Several hundred miles east, in Kinston, divers were searching for another driver, whose tractor-trailer apparently crashed into the Neuse River. Officials were alerted after debris was spotted on a bridge over the river, ABC12 said.","One man has died after a tree fell on his car and more than 300,000 people are without electricity.",2018-12-10T11:18:07Z,"{'id': 'bbc-news', 'name': 'BBC News'}",US snowstorm kills one in North Carolina,https://www.bbc.co.uk/news/world-us-canada-46504527,https://ichef.bbci.co.uk/news/1024/branded_news/F119/production/_104712716_e5a83c42-8c73-4b53-a8ff-377b8d33546c.jpg,bbc-news,BBC News,snowstorm,1
NICK CORASANITI,"The storm comes just as many in the region have finally dug out from two relentless storms in early March — the second one left two people dead and thousands of people in New Jersey and the suburbs north of New York City without power for days as utility companies came under scrutiny for their response. Gov. Philip D. Murphy, Democrat of New Jersey, speaking at the train station in Madison, said that he was closely monitoring the coming storm, and was considering declaring a state of emergency to begin around midnight should the forecasts hold true. “Our concerns have somewhat intensified,” Mr. Murphy said, warning residents that the evening commute on Tuesday could turn icy and windy, but that the snow accumulation and storm were unlikely to begin until early Wednesday. Addressing what he called the “the biggest shortfalls” of the last storm, Mr. Murphy said that one of the state’s much-maligned utility companies — Jersey Central Power and Light — had activated 800 workers to respond to the storm, and that all of the utility companies had activated their mutual aid agreements, meaning that they would share resources in response to outages. “We’ve been in touch with them all day,” Mr. Murphy said of the utility companies, and noted that the state Board of Public Utilities was also “center stage” in planning for the storm. He noted that the storms potential for heavy snow, in addition to gusty winds, has the potential for more downed power lines, and urged caution to residents. “Please do not head out into the snow unless you absolutely have to,” he said. Continue reading the main story","Even as the calendar turns to spring, winter refuses to relinquish its grip with forecasters predicting 12 to 16 inches of snow starting on Wednesday.",2018-03-20T15:39:53Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",New York Region Braces for Major Snowstorm,https://www.nytimes.com/2018/03/20/nyregion/snow-storm-winter-weather.html,https://static01.nyt.com/images/2018/03/21/nyregion/21nyweather/21nyweather-facebookJumbo.jpg,the-new-york-times,The New York Times,snowstorm,1
NICK CORASANITI,"Photo A major snowstorm predicted to start Wednesday could dump as many as 16 inches in the New York region. Credit George Etheredge for The New York Times An unyielding winter is about to dump yet another major snowstorm on the New York region, with forecasters projecting significant snow accumulation just as the calendar ticks toward spring. The National Weather Service issued a winter storm warning for northeastern New Jersey and southeastern New York, including all of New York City, saying that snowfall will likely begin early Wednesday morning and that total accumulations of 12 to 16 inches were expected. “Travel will be very difficult to impossible, including during the evening commute on Wednesday,” the service wrote. The Metropolitan Transportation Authority said it would be sending out information on its preparations for the storm later on Tuesday, but did not anticipate Tuesday evening’s commute to be affected. New Jersey Transit had also not issued any advisories for service changes. The storm comes just as many in the region are finally dug out from two relentless storms in early March — the second one left two people dead and thousands of people in New Jersey and the suburbs north of New York City without power for days as utility companies came under scrutiny for their response. Continue reading the main story","Even as the calendar turns to spring, winter refuses to relinquish its grip with forecasters predicting 12 to 16 inches of snow starting on Wednesday.",2018-03-20T14:19:12Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",New York Region Braces for Major Snowstorm,https://www.nytimes.com/2018/03/20/nyregion/new-york-region-braces-for-major-snowstorm.html,https://static01.nyt.com/images/2018/03/21/nyregion/21nyweather/21nyweather-facebookJumbo.jpg,the-new-york-times,The New York Times,snowstorm,1
JONATHAN WOLFE,"But let’s get you through the next few hours. Here’s what you need to know for your morning commute: • Subways and Long Island Rail Road are running with normal service. • Metro-North Railroad is running on a reduced schedule. The last Hudson Line train from the city will leave Grand Central at 7:59 p.m. • New Jersey Transit has implemented a limited weekday rail schedule and is cross-honoring tickets for rail, buses and private carriers, but not for PATH or NY Waterway ferries. Bus service in North and Central New Jersey may be suspended this afternoon. • Bridges and tunnels are open, and Seastreak and NYC Ferry are operating normally, but may experience delays. • A travel advisory is in effect for all areas east of Interstate 81, essentially, the entire eastern half of New York State. • Amtrak is operating on a modified schedule in the Northeast Corridor. • Check your flight at La Guardia, Kennedy and Newark before you head to the airport. Around 500 flights have been canceled at the three airports so far. The storm should blanket the city unevenly, said Patrick Maloit, a meteorologist at the National Weather Service. Northern Manhattan and the Bronx are expecting seven to 11 inches; Northern Queens, Brooklyn and Staten Island should get seven to nine inches; and Southern Queens is looking at four to seven. “The other wrinkle is that there’s a slight chance of thunder this afternoon,” Mr. Maloit said. “If we get it, anyone who’s underneath the thunder snow could get a rate of two to four inches of snow an hour.” Generally, the snow is going to be heavy, wet and mixed with rain in some areas, Mr. Maloit added. (So pull on your winter boots and pack an extra pair of socks.) Wind gusts are expected to reach 45 miles an hour, well below the destructive gusts seen in Friday’s storm, when eight people were killed and more than two million were left without power. (More than 9,000 customers in the city and Westchester still don’t have power.) A costal flood advisory is in effect along Jamaica Bay. Gov. Andrew M. Cuomo announced a storm assistance hotline to update the public on shelters, warming shelters and power outages. New Yorkers can call (886) 697-2434 for help. Travel safely this morning. Exercise caution and leave extra time for your trip to work. We’ll keep you updated on the storm throughout the morning. Here’s what else is happening: In the News • The jury in the trial of Joseph Percoco said it couldn’t reach a decision. The judge told them to try again. [ New York Times ] Photo One juror wrote, “the only thing we seem to agree on is that we cannot agree.” Credit Holly Pickett for The New York Times • Cynthia Nixon, the “Sex and the City” star and education advocate, has been speaking to political operatives and studying up on policy issues. Is she considering a run for governor? [ New York Times ] • A man who was seriously injured in a Bronx hospital shooting last year is calling for an end to sales of AR-15 rifles, joining the national debate surrounding the weapon. [ New York Times ] • Hearing testimony in the murder trial of an Upper West Side nanny was grisly enough, but now crime-scene photos have emerged. [ New York Times] • After two children were killed at an intersection in Brooklyn, people are asking the mayor to make changes that can better control traffic. [ New York Times] Photo The mayor’s morning workout was disrupted. Credit Theodore Parisienne • Republicans are calling for school safety, and Democrats are calling for gun control. Can Albany find common ground? [ New York Times ] • The Pingry School knew about a former teacher’s record of abuse charges, but never told the students or their families. Now a victim is pressing charges. [ New York Times ] • A federal judge in Brooklyn says if Martin Shkreli can’t pay back the money he made from committing fraud, the government would confiscate his one-of-a-kind Wu-Tang Clan album. [ New York Times ] • This photo album presents you with an uncommon sight: an Orthodox Jewish community in vibrant color, and partying hard. [ New York Times ] • Internal New York Police Department files show that over 300 officers have made offenses serious enough to warrant firing, but all are still employed. [ Buzzfeed ] • As if coping with diabetes weren’t hard enough, the cost of treatment is a challenge in itself. [ WNYC ] • Today’s Metropolitan Diary: “ An Old-School Tradition ” • For a global look at what’s happening, see Your Morning Briefing. Coming Up Today • Explore technology’s relationship to freedom through performances, exhibitions, and discussions at Refest 2.0, through Sunday, at La MaMa Galleria in Lower Manhattan. 6 p.m. [Free] • The author Zack O’Malley discusses his book “ 3 Kings: Diddy, Dr. Dre, Jay-Z and Hip-Hop’s Multibillion-Dollar Rise ” at The Corner Bookstore on the Upper East Side. 6 p.m. [Free] • An evening of Irish electro-folk music at National Sawdust in Williamsburg, Brooklyn. 6 p.m. [$29] • Alternate-side parking is suspended today and tomorrow for snow removal. • For more events, see The New York Times’s Arts &amp; Entertainment guide. And Finally... Photo Is this on your to-do list? Credit Christopher Occhicone for The New York Times We love a good snow day. As the need to go out into the world melts away, so do its distractions. Cooking can be the evening’s entertainment. Binge-watching feels not only guilt-free, but necessary. And we finally get to make time for our favorite snowstorm activity: doing nothing at all. But we’d like to know about your snowy weather rituals. What are your favorite New York activities during a snowstorm, either indoors or outside? Tell us at nytoday@nytimes.com. Please include your full name, age and the neighborhood or city in which you live. We may include your response in an upcoming New York Today column. New York Today is a morning roundup that is published weekdays at 6 a.m. If you don’t get it in your inbox already, you can sign up to receive it by email here. For updates throughout the day, like us on Facebook. What would you like to see here to start your day? Post a comment, email us at nytoday@nytimes.com, or reach us via Twitter using #NYToday. Follow the New York Today columnists, Alexandra Levine and Jonathan Wolfe, on Twitter. You can find the latest New York Today at nytoday.com. Continue reading the main story","Wednesday: The latest on today’s storm, the Ice Theater of New York performs, and your favorite snowstorm activities.",2018-03-07T11:02:22Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",New York Today: New York Today: A Winter Storm Hits the City,https://www.nytimes.com/2018/03/07/nyregion/new-york-today-a-winter-storm-hits-the-city.html,https://static01.nyt.com/images/2018/03/07/nyregion/07nytoday1/07nytoday1-facebookJumbo.jpg,the-new-york-times,The New York Times,snowstorm,1
CEYLAN YEGINSU,"“Nothing works when it snows in England,” said Kevin Hodge, 37, a London-based accountant who had to take a cab to work Wednesday morning because of the severe delays on the subway lines. “We don’t have the right infrastructure or tools in place, so the city comes to a grinding halt, and people can’t go about their business so they start to panic.” But while some commuters said the authorities were overreacting with dire warnings, temperatures in some areas dropped to minus 10 Fahrenheit, making it one of the coldest days in Britain in the past three decades. Hundreds of schools were shut down, roads were closed, and emergency officials said many drivers had to be rescued from stranded vehicles. Drivers in difficulty... pic.twitter.com/UijAFelDrE — SharonBarbourBBC (@SharonBarbour) Feb. 28, 2018 Railways and airports experienced severe disruptions, with British Airways canceling flights to Scotland and travelers sharing photos online of snow inside train cars. Stuck on @CalSleeper outside Edinburgh. Whiteout through the window and it’s snowing through the joints INSIDE the carriages. #snow pic.twitter.com/M5jyDoS3oO — Mary Duffy (@marybduffy) Feb. 28, 2018 Wednesday morning, the Met Office issued its first red snow alert in Scotland, meaning that risk to life was likely, in the central belt of Scotland between Edinburgh and Glasgow. The less-extreme amber alert — different from the United States warning about a missing child — was in place for possible disruption of services other parts of Scotland and England, with warnings of more than 19.6 inches of snow in parts of southwestern England. As a new wave of snowfall and freezing cold arrived Wednesday afternoon, Londoners rallied to provide warm food and blankets for homeless people, with volunteers scrambling to refer them to local services for temporary overnight accommodation. “For many, the snow is all fun and games,” said Alex Harper, a volunteer for the homeless charity Shelter. “But there are thousands of homeless people at real risk who could freeze to death in the night.” He added that on Tuesday night a record number of people had been referred to services in any 24-hour period, and that the numbers were expected to go up by Wednesday night. At least nine people have died across Europe this week because of the freezing weather conditions, prompting a Belgian mayor to detain people who refused shelter overnight, The Guardian reported. “These are the kinds of precautions we should be taking,” Mr. Harper added. “There’s all this panic and chaos over canceled flights and trains and changes to plans, but the homeless are at real risk — and during every cold spell they are overlooked.” Even so, some Britons and tourists said the authorities were spreading “disproportionate hype and panic” over the weather. Richard Ball, a teacher who commuted an hour into central London from a town in southern England, said, “Reading the news and official statements, you would think it was doomsday.” He pointed to a newspaper picture of a dark cloud with a headline that read, “Moment monster weather snow bomb from the East hits the capital.” “The amount of snow we’ve seen in London is laughable,” he said. “They wouldn’t even call this snow in some parts of the world.” Not the world's biggest snowman - but someone's built a very happy chappy on the @HouseofCommons terrace. pic.twitter.com/liIuLLEaks — Nigel Huddleston MP (@HuddlestonNigel) Feb. 28, 2018 Tourists visiting Hyde Park agreed, with one boy complaining that there wasn’t even enough snow to make the first layer of a snowman. “These Brits are so dramatic,” said Nichole Lemercier, who was visiting from France. “Our hotel told us not to travel today unless it was an emergency,” she said, laughing. “Maybe people here are afraid of the snow,” she added. “Look, even here in the main park, there are not that many people having fun in it.” But the Met Office said more snow was expected in northern England through Thursday and Friday, with fewer showers expected in the south. “Brace yourself for stronger winds and treacherous icy conditions,” it warned in a tweet. Continue reading the main story","The storm shut schools, stranded drivers and disrupted trains and flights. But others said, “These Brits are so dramatic.”",2018-02-28T18:34:18Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Snowstorm Called ‘Beast From the East’ Sends Britons Scrambling,https://www.nytimes.com/2018/02/28/world/europe/uk-snow-beast-from-the-east.html,https://static01.nyt.com/images/2018/03/01/world/01BRITAIN-SNOW-01/01BRITAIN-SNOW-01-facebookJumbo.jpg,the-new-york-times,The New York Times,snowstorm,1
J. DAVID GOODMAN,"Then the plan went off the rails. On Friday, Mr. Esposito was among a group of city agency commissioners and a deputy mayor, Laura Anglin, who gathered at the office of emergency management in Brooklyn for a report on the six-inch snowstorm on Nov. 15 that stranded evening commuters and some schoolchildren in traffic for hours into the night. The group meeting went smoothly, participants said, but afterward, Mr. Esposito and Ms. Anglin met in his office. It did not go the way it was meant to. Their exchange, centered around the snowstorm, became heated, the official said, and amid their back-and-forth, Ms. Anglin told Mr. Esposito about the plan for his resignation. She was not supposed to do so at that point, the official said, observing that usually someone does not get fired in their own office. He did not take it well, the official said, but Ms. Anglin, as well as senior officials in City Hall, appeared to believe that he would follow what they termed an order. The first deputy commissioner, Calvin Drayton, apparently did so, accepting the request by City Hall that he resign. Mr. Esposito did not see it the same way, according to a person briefed on the interaction, who said Mr. Esposito refused to go without being directly told by the mayor that he had been fired.",The de Blasio administration’s plan to remove Joseph Esposito from his post as New York City’s head of emergency management predated the freakish November snowstorm that paralyzed the city.,2018-12-04T18:59:14Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",City Hall Planned to Quietly Replace Its Top Emergency Official. Then Things Got Complicated.,https://www.nytimes.com/2018/12/04/nyregion/joe-esposito-fired.html,https://static01.nyt.com/images/2018/12/05/nyregion/05oem/05oem-facebookJumbo.jpg,the-new-york-times,The New York Times,snowstorm,1
