author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
ALAN BLINDER,"The presidents trip came three days after he approved a disaster declaration for Lee County, where residents are eligible for grants for temporary housing and home repairs and loans for uninsured property. The Federal Emergency Management Agency has already approved more than $42,000 in assistance in the county. The agency said five applications had been approved and that more were being processed.
FEMA and American presidents have long grappled with the aftermath of severe storms in the South, where hundreds of deaths in the last decade alone have been attributed to tornadoes. Mr. Trump is the fourth consecutive president, at least, to visit Alabama to survey tornado damage.
But as Mr. Trump and the Beauregard community mourned the dead, the state was preparing for the possibility of more severe weather. Although forecasters have gradually become more concerned about dangerous weather in Arkansas, Illinois, Kentucky, Missouri and Tennessee, experts said that Alabama remained in some jeopardy.
While the setup through the weekend is not as potent as what we saw last weekend, we still have to be vigilant with severe storms as we are now in our spring severe weather season in Alabama, Scott Martin, an Alabama meteorologist, wrote in an analysis on Friday. If you strictly rely on outdoor sirens for your way of receiving warnings, you dont have much hope.","President Trump’s visit to Beauregard, Ala., came five days after a tornado outbreak killed 23 people. “You saw things that you wouldn’t believe,” he said.",2019-03-08T20:08:42Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Trump Surveys Tornado Damage in Alabama,https://www.nytimes.com/2019/03/08/us/trump-alabama.html,https://static01.nyt.com/images/2019/03/08/us/08trump-tornadoes/08trump-tornadoes-facebookJumbo.jpg,the-new-york-times,The New York Times,tornado outbreak,1
Shannon Connellan,"Central Illinois endured several tornadoes on Saturday, resulting in fascinating footage of the funnels spinning through the state. According to ABC News, a total of 22 tornadoes were reported to the National Weather Service, appearing across counties including Christian, Mason, Fulton, Cass, and Macoupin among others. SEE ALSO: Photos of collapsed, cracked roads show the power of Alaska's earthquake The storms reportedly caused injury to at least 20 people and significant structural damage. No reports of fatalities have been recorded in Illinois, although one person has been killed in neighbouring Missouri as a result of the storms. The National Weather Service reportedly deployed teams on Sunday to assess the damage and measure the strength of the twisters. Outgoing Gov. Bruce Rauner activated Illinois' State of Emergency Operations Center on Saturday. ""We activated the State Emergency Operations Center so that we could closely monitor the situation, keep in contact with local officials and quickly mobilize any state assets that may be needed,"" Rauner said in a statement to AP. ""If state assistance is need, we are well-positioned to provide it quickly and efficiently."" Sitting about 25 miles southeast of the state capital of Springfield, the Christian County town of Taylorville was among the hardest hit areas, with major damage to at least 100 buildings reported. The town received a 41-minute advance warning from the National Weather Service. ""It was one of those storms that just blew up,"" Christian County sheriff Bruce Kettelkamp told reporters on Saturday. ""It just kind of came out of nowhere."" Residents across Illinois captured footage and photos of the tornado, with images posted to Twitter over the weekend. My dad watched a tornado cut through his crops and other farms and then literally JUMP OVER our 3 generation farmstead and barn in Illinois tonight. pic.twitter.com/WQx3Z1zfWX Jennifer Barron (@TheOrdBarroness) December 2, 2018 Among the destruction, one photo captured a group of Illinois residents clearly used to this type of extreme weather. According to CNN meteorologist Allison Chinchar, Illinois has an average of 47 tornadoes per year, not including December, which Chinchar explained does not have its own average.","Central Illinois endured several tornadoes on Saturday, resulting in fascinating footage of the funnels spinning through the state. According to ABC News, a total of 22 tornadoes were reported to the National Weather Service, appearing across counties includi…",2018-12-03T02:08:34Z,"{'id': 'mashable', 'name': 'Mashable'}",Intense videos and photos capture tornado outbreak across Illinois,https://mashable.com/article/illinois-tornado-outbreak/,https://i.amz.mshcdn.com/tmmXCQogxfHg3QQQNTjI4HJKUnk=/1200x630/2018%2F12%2F03%2F06%2F27fb1c6288fe4fa6a12f2740270311c2.209ea.jpg,mashable,Mashable,tornado outbreak,1
Marcus Gilmer,"Central Iowa was the scene of a ""sudden"" tornado outbreak on Thursday, resulting in some breathtaking videos and photos capturing the terror of multiple funnels that spun through the state. SEE ALSO: This super clear video of a nearly perfect tornado is stunning The town of Bondurant, just northeast of Des Moines, saw multiple funnels caught on camera, including one amazing image from a passenger on an incoming flight taken through their airplane window. Thursday's outbreak even caught forecasters with the National Weather Service by surprise. Rod Donovan, with the National Weather Service in Des Moines, told the Des Moines Register, “we were surprised by the unexpected strength of these. The numbers and the strength of these were a little more than we expected.” Forecasters had predicted some strong storms possible with hail and wind being the primary threats. But multiple supercells fired off throughout the afternoon, spawning the damaging tornados. More footage of the dual twisters was captured near Ankeny, just north of Des Moines. Marshalltown, about 55 miles northeast of Des Moines, was one of the hardest hit communities as a powerful tornado ripped through the downtown area, causing ""catastrophic damage"" to many buildings, including City Hall, and prompting a state of emergency. Pella, Iowa, about 40 miles southeast of Des Moines, was also slammed hard as a tornado destroyed homes and a Vermeer Manufacturing plant. While there was heavy damage to structures and over a dozen injuries reported throughout the area, so far there have been no fatalities reported. Governor Kim Reynolds plans to tour the damaged communities on Friday.","Central Iowa was the scene of a ""sudden"" tornado outbreak on Thursday, resulting in some breathtaking videos and photos capturing the terror of multiple funnels that spun through the state. SEE ALSO: This super clear video of a nearly perfect tornado is stunn…",2018-07-20T15:39:41Z,"{'id': 'mashable', 'name': 'Mashable'}",Stunning videos and photos show terrifying tornado outbreak in the Midwest,https://mashable.com/2018/07/20/iowa-tornados-video-photos/,https://i.amz.mshcdn.com/91IksbBjUwjCoynLfvelqTUQZmw=/1200x630/2018%2F07%2F20%2F26%2Fb39c73a6ce5e454da9b4b84c4c92e71d.8c7e8.png,mashable,Mashable,tornado outbreak,1
Andrew Freedman,"The weather in the Plains states has been anything but normal lately. Oklahoma — a state synonymous with tornadoes — didn't have a single twisters through April 30, a new record. Instead, states from Texas north to Nebraska have been dealing with dust storms and sprawling, fast-moving grass fires as unusually dry weather has taken its toll on the region. That tornado and precipitation drought changes on Tuesday, as a complex series of storm systems unleashes several rounds of severe thunderstorms across the region. SEE ALSO: Epic deluge in Hawaii may have broken all-time U.S. rainfall record, with 4 feet in 24 hours The Storm Prediction Center (SPC) — the arm of the National Weather Service responsible for issuing severe thunderstorm outlooks — issued a ""moderate risk"" outlook for severe thunderstorms on Tuesday. In the outlook, the SPC highlighted a small area of Kansas at greatest risk of storms that could bring large hail, damaging winds, and a few potentially strong tornadoes. Plot of annual tornado count, adjusted to remove overcounting from multiple sightings of the same tornado. 2018 is in black. Image: noaa spc. ""Tornadoes, a couple of which could be strong, very large hail, and damaging winds will be possible,"" the SPC stated on its website. Severe thunderstorms are also expected to flare up in Nebraska and Iowa on Tuesday afternoon and evening. Other areas, outside of Kansas, are also at risk for severe thunderstorms on Tuesday, even if forecaster confidence is lower. These places include Texas and Oklahoma, northward into Iowa. One limiting factor for storms, and a forecasting wild card, is the recent dryness that has contributed to the dire fire weather conditions in the past several weeks. Fires singed more than 350,000 acres in Oklahoma, killing more than 1,000 cattle. Fires are still burning in Oklahoma and Kansas today, at the same time the atmosphere is threatening to unleash a totally different type of hazard. While moisture from the Gulf of Mexico has flowed northward into the heart of what is commonly referred to as ""Tornado Alley,"" the dryness of soils in these states could act to inhibit the formation of severe storms. The threat of severe weather will ramp up on Wednesday and linger into Thursday as a series of storms dives into the Southwest, and moves across the Plains and Midwest. By Friday, it's quite possible that Oklahoma will have recorded its first tornado of the season. While tornado season usually peaks during the next few weeks, the same weather pattern responsible for the extraordinarily chilly April across much of the U.S. helped put a lid on severe storm activity up until now. Mother Nature has a lot of catching up to do if the season is going to turn out to be close to average.","The weather in the Plains states has been anything but normal lately. Oklahoma — a state synonymous with tornadoes — didn't have a single twisters through April 30, a new record. Instead, states from Texas north to Nebraska have been dealing with dust storms …",2018-05-01T18:22:40Z,"{'id': 'mashable', 'name': 'Mashable'}","Storm chasers, get ready: The first severe weather outbreak of 2018 begins Tuesday",https://mashable.com/2018/05/01/severe-storm-outbreak-plains-tornadoes/,https://i.amz.mshcdn.com/ZmECIHZVjLMqCYoiMUkds4mqwVg=/1200x630/2018%2F05%2F01%2Fe0%2F379877eed513431986a4921cf461dc3f.95bc9.jpg,mashable,Mashable,tornado outbreak,1
ALAN BLINDER,"BEAUREGARD, Ala. Days after ferocious tornadoes killed almost two dozen people and devastated block after block of eastern Alabama, officials warned Wednesday that the state should brace for the possibility of more trouble this weekend.
We have another storm system, very powerful, that will begin entering the state on Saturday, Kevin Laws, a National Weather Service meteorologist, said at a news conference in the county where 23 people were killed on Sunday. Most of the entire states going to be under a significant risk.
The Weather Services Storm Prediction Center issued a separate forecast that showed much of the South, including Alabama, Arkansas, Florida, Georgia, Louisiana and the Carolinas, in at least some jeopardy over the weekend. Meteorologists, who predicted Sundays outbreak with striking precision, are expected to refine their forecast in the coming days.
Mr. Laws said there was a possibility that the eastern half of Alabama, which includes the communities that were hit hardest last weekend, would ultimately face somewhat more of a minimal risk.","The authorities in Lee County, Ala., where 23 people were killed, said no one remained missing. But forecasters said the weekend could bring more severe weather.",2019-03-06T17:57:06Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",New Storm Threat in Alabama as Search for Tornado Missing Ends,https://www.nytimes.com/2019/03/06/us/alabama-storm-tornado.html,https://static01.nyt.com/images/2019/03/06/us/06tornadoes/06tornadoes-facebookJumbo.jpg,the-new-york-times,The New York Times,tornado outbreak,1
,"At a Glance Severe thunderstorms are likely into early Tuesday over a swath of the South. Damaging thunderstorm winds and tornadoes are the main threats. More severe thunderstorms are expected in a swath of the East Tuesday. Severe thunderstorms packing a threat of damaging winds and tornadoes are likely into early Tuesday over a swath of the South. This threat of severe weather will then spread into the East Tuesday. Happening Now NOAA's Storm Prediction Center has issued the following severe weather watches: - A tornado watch valid until 11 p.m. CST for extreme southeastern Arkansas, northern Louisiana, west-central Mississippi and extreme east-central Texas. This watch area includes Shreveport and Monroe, Louisiana, Greenwood, Mississippi, and El Dorado, Arkansas. - A tornado watch valid until 3 a.m. CST for southeastern Arkansas, northern Mississippi and western and middle Tennessee. This watch area includes Nashville, Memphis, Tennessee, and Tupelo, Mississippi. Current Radar, Watches and Warnings (Watches and warnings are issued by the National Weather Service.) Damaging thunderstorm wind gusts and tornadoes are the main threats. Locally heavy rainfall is also likely. Please have at least two ways of receiving severe weather alerts NOAA weather radio, EAS cell phone alerts, mobile app or push alerts that will wake you up if severe weather threatens you overnight. (MORE: Nighttime Tornadoes Are More Than Twice as Likely to be Deadly ) At least one tornado was spotted Monday evening in Natchitoches Parish, Louisiana, where damage was reported near Natchez and Natchitoches. Additional damage was reported in Marthaville, Louisiana, where a home was severely damaged by a possible tornado. (LATEST NEWS: Tornadoes, Damage Reported in the South ) Timing the Storms Into early Tuesday, severe storms in the form of a squall line will sweep eastward through central and eastern Kentucky, middle and eastern Tennessee, northern and central Mississippi, northern Alabama and northwestern Georgia. Some damaging thunderstorm winds are possible as far north as Ohio. Monday's Severe Thunderstorm Forecast (Shaded on the map above is the likelihood of severe thunderstorms. Note that not all categories apply for the severe weather risk on a particular day.) Tuesday - Forecast: Severe storms could be ongoing Tuesday morning in western portions of the red area depicted on the map below. Strong to severe storms could then spread to parts of the mid-Atlantic and Southeast coast through the day while gradually weakening over time. - Threats: Damaging winds and a few tornadoes are possible, as well as locally heavy rainfall. (MORE: Election Day Forecast ) Tuesday's Severe Thunderstorm Forecast (Shaded on the map above is the likelihood of severe thunderstorms. Note that not all categories apply for the severe weather risk on a particular day.) Many of the areas that could experience another round of severe weather just saw dangerous storms that spawned at least 45 confirmed tornadoes in six states. Second Severe Weather Season Although the threat of tornadoes is generally highest in the spring, fall is considered the second severe weather season. The highest threat of tornadoes in November is from eastern Texas into Alabama, which is included in the area to watch this week. This is due to southward dips in the jet stream and cold fronts that track across the South and Midwest, where warmer temperatures and higher dew points are more likely to be found in November compared to areas farther north. The average number of tornadoes in the U.S. in November from 1991-2015 is 56. (USTornadoes.com) (MORE: Where November Tornadoes are Most Common and the 5 Largest Outbreaks ) Just two years ago, November had more than 35 tornadoes from Louisiana to the Carolinas. Three of these tornadoes were rated EF3, and there were five deaths. Another recent November tornado outbreak occurred on Nov. 17, 2013, when over 70 tornadoes tore across seven states. More than 50 of those tornadoes were in Illinois and Indiana. Two tornadoes from this outbreak were rated EF4, and three were rated EF3. In late-November 1992, there was a tornado outbreak with more than 90 tornadoes across the South that killed 26.","The Weather Channel Severe Weather Outbreak, Tornado Threat Possible in South Early Next Week The Weather Channel A potential severe weather outbreak, including tornadoes, is possible early next week in the Lower Mississippi Valley, Southeast and possibly int…",2018-11-02T18:03:22Z,"{'id': None, 'name': 'Weather.com'}","Severe Weather Outbreak, Tornado Threat Possible in South Early Next Week - The Weather Channel",https://weather.com/storms/severe/news/2018-11-02-severe-thunderstorms-tornado-wind-hail-south-lower-mississippi-valley/,https://s.w-x.co/severe_promo.jpg,,Weather.com,tornado outbreak,1
Gabriella Borter,"(Reuters) - A pair of tornadoes killed at least 23 people on Sunday in Alabama, causing infrastructure damage with at least 150 miles per hour (241 kph) winds in the deadliest twister to hit the United States in almost six years. 
The following is a list of some of the deadliest single tornadoes and tornado outbreaks in the United States over the last quarter century: 
* A so-called Super Outbreak of 362 tornadoes hit the southeastern United States over three days in April 2011, killing an estimated 321 people, according to the National Oceanic and Atmospheric Administration (NOAA). Three of the tornadoes were rated EF-5, the top of the five-step Enhanced Fujita scale that meteorologists use to measure tornado strength. The system struck Alabama the hardest, wrecking Tuscaloosa and Birmingham and causing about $11 billion in damages across 12 states. 
* The deadliest tornado to hit the United States in the last several decades struck Joplin, Missouri on May 22, 2011 and killed at least 158 people, NOAA said. Damage from the storm exceeded $3 billion, the most of any single tornado in U.S. history. 
* The so-called Super Tuesday Outbreak of 87 tornadoes in the southeastern United States on Feb. 5, 2008, killed 57 people, according to NOAA. It had the longest footprint of any tornado in U.S. history, according to private forecaster Accuweather, touching down continuously for 122 miles (196 km) through Arkansas. 
* A tornado outbreak in the Oklahoma City, Oklahoma, metropolitan area on May 3, 1999, spawned 61 tornadoes and killed 55 people, with one single tornado responsible for 36 deaths, according to the Weather Channel. 
* An outbreak of seven tornadoes in central Florida in February 1998 killed 42 people and injured 260 others in the state’s deadliest tornado outbreak since 1962, the National Weather Service reported. 
* In April 2014, an outbreak of dozens of tornadoes stirred up by a powerful storm system hit the Southeast and Midwest over a three-day period and killed 32 people in Iowa, Oklahoma, Arkansas, Mississippi, Alabama and Tennessee, according to NOAA. 
* A tornado killed 24 people on May 20, 2013 in Moore, Oklahoma. The tornado had winds over 200 miles per hour (322 kph), giving it the most severe rating of EF-5. It lasted about 40 minutes, and caused billions of dollars worth of damage, according to NOAA. 
Compiled by Gabriella Borter in New York; Editing by Scott Malone and Grant McCool","A pair of tornadoes killed at least 23 people on Sunday in Alabama, causing infrastructure damage with at least 150 miles per hour (241 kph) winds in the deadliest twister to hit the United States in almost six years.",2019-03-04T16:28:26Z,"{'id': 'reuters', 'name': 'Reuters'}",Factbox: Deadliest tornadoes of last 25 years in the United States,https://www.reuters.com/article/us-usa-weather-alabama-factbox-idUSKCN1QL1PH,https://s3.reutersmedia.net/resources/r/?m=02&d=20190304&t=2&i=1362742152&w=1200&r=LYNXNPEF2311M,reuters,Reuters,tornado outbreak,1
Gabriella Borter,"(Reuters) - Alabama search and rescue teams on Tuesday were combing through the wreckage of houses flatted by weekend tornadoes, looking for seven or eight people who remained unaccounted for in the wake of the deadliest U.S. twister outbreak since 2013. 
The tiny community of Beauregard, near the Alabama-Georgia border, was beginning to mourn the 23 people confirmed killed by the storms, which included four children and seven people from one family, officials said on Tuesday. 
The victims ranged in age from 6 to 93 years old, Bill Harris, coroner for storm-ravaged Lee County, told a morning news conference. 
“Just keep these families in your prayers,” Harris said. 
Most of the deceased were found in close proximity to their homes. The four children were age 6, 8, 9 and 10, officials said. 
County Sheriff Jay Jones said on Tuesday that search crews had narrowed their scope down to “the most affected areas” after scouring much of the county on Monday. He said he hoped the search and rescue effort would become a recovery effort by the end of the day. 
The tornadoes, stirred up by a late-winter “supercell” thunderstorm, toppled mobile homes and uprooted massive trees on Sunday with 170 mile-per-hour (274 km-per hour) winds. Forecasters ranked the worst of the outbreak at step four of the six-step Enhanced Fujita scale of tornado strength. 
The Beauregard community in the twister’s path might have had as few as eight or nine minutes to seek shelter from the time the warning was issued, National Weather Service chief meteorologist Chris Darden said. 
In addition to 23 confirmed deaths, more than 50 people were reported injured, authorities said, making this the deadliest tornado outbreak since a massive tornado struck Moore, Oklahoma, in May 2013, killing 24 people and injuring 375 others. 
Reporting by Gabriella Borter in New York; editing by Scott Malone and Jonathan Oatis","Alabama search and rescue teams on Tuesday were combing through the wreckage of houses flatted by weekend tornadoes, looking for seven or eight people who remained unaccounted for in the wake of the deadliest U.S. twister outbreak since 2013.",2019-03-05T17:57:56Z,"{'id': 'reuters', 'name': 'Reuters'}",At least seven missing in Alabama after deadly weekend tornadoes,https://www.reuters.com/article/us-usa-weather-alabama-idUSKCN1QM27I,https://s2.reutersmedia.net/resources/r/?m=02&d=20190305&t=2&i=1363097280&w=1200&r=LYNXNPEF241BI,reuters,Reuters,tornado outbreak,1
Cynthia Fodor,"DES MOINES, Iowa — Iowans in three communities are starting to clean up after several tornadoes tore through central Iowa Thursday. Among dozens of homes and several businesses that were damaged, miraculously there were no lives lost and there are no reports of serious injuries. Gov. Kim Reynolds and Lt. Gov. Adam Gregg, along with Iowa Department of Homeland Security and Emergency Management Acting Director Joyce Flinn, will tour areas impacted by severe storms and tornadoes on Friday. National Weather Service experts will also be assessing tornado damage. They confirm 27 tornadoes were reported in Iowa Thursday, and 5 are confirmed to have touched down. MARSHALLTOWN Sky8 video shows Marshalltown tornado damage from the air Marshalltown appeared to have been hit the hardest. Brick walls collapsed in the streets and roofs were blown off buildings. The only hospital in Marshalltown was damaged and patients were being transferred. Thousands of people are still without power after tornadoes that struck Marshalltown and other Iowa communities. On Friday Alliant Energy was working to restore electricity to nearly 6,400 customers in the Marshalltown area, which appeared to have been hit the hardest Thursday afternoon. The Marshall County Courthouse, several businesses and dozens of homes damaged, but few injuries and no deaths have been reported. The Red Cross has set up an emergency shelter for those impacted by the tornado that hit Marshalltown. It is located at the Meskwaki Conference Center at the Meskwaki Hotel/Casino in Tama. Anyone displaced can stay at the shelter. The tornado hit Marshalltown just as clothing shop owner Stephanie Moz, her husband and their 2-month-old baby were taking a late lunch break. She says the storm broke out the shop's window, ruined the clothing and hats they had on display and destroyed her husband's vehicle, but she's relieved. She says, ""We went through a tornado and survived. I'm happy."" Moz says she heard a storm siren and her mother texted her to seek shelter, so she and her 2-month-old son, Fredy Jr., rushed to the basement. Her husband looked outside and then ran back, shouting ""Get in the basement. It's right over us."" They could hear booms and crashes, and a gust of wind blew through the basement, but they emerged safely. Moz says, ""We're OK. Not a scratch."" The baby? He barely noticed. Moz says, ""It didn't really bother him. He wanted to sleep."" The damage from the Thursday afternoon tornado severely damaged many of the buildings in the city of 27,000, about 50 miles northeast of Des Moines. There were no reports of deaths from the tornado that slammed into the city, but the brick buildings that surround the 132-year-old courthouse were severely damaged. The city's wide streets were littered with bricks and downed trees. The courthouse also was hit hard, as the tornado caused its cupola to tumble about 175 feet to the ground. A spokeswoman for UnityPoint Health says that 40 patients are being evacuated from its hospital damaged by a tornado. UnityPoint Health spokeswoman Amy Varcoe, who is based in Des Moines, says it was unclear how severely the UnityPoint hospital in Marshalltown was damaged, but all of its patients are being transferred to the health system's hospitals in Waterloo and Grundy Center. Marshalltown officials provide damage update Lennox Industries’ manufacturing facility in Marshalltown sustained tornado damage. There were no reported injuries to on-site employees. The extent of damage to the facility is currently being assessed. Some buildings at the Iowa Veterans Home in Marshalltown sustained roof damage when the tornado hit Thursday. Commandant Timon Oujiri says the facility housing nearly 500 residents lost power, but that no residents or staffers were injured. He says generators are now powering the buildings. Alliant Energy says more than 5,800 customers remain without power in Marshalltown, and that natural gas service has been shut down in part of the city. Crews have been dispatched to repair damage and assess which areas can have gas service safely restored. Police ask that you not drive to Marshalltown to view the damage. A curfew was set in place Thursday night at 9 p.m. There are still downed power lines and dangerous debris in streets in Marshalltown. PELLA Seven people inside a Pella manufacturing plant when it was struck by a tornado have been treated for injuries at the local hospital and released. Pella Regional Health Center spokeswoman Billie Rhamy confirmed Thursday evening injuries were minor and all patients had been discharged. Vermeer Manufacturing, which has about 2,800 employees manufacturing industrial and agricultural equipment, was hit by a tornado around 4 p.m. Vice President of Operations Vince Newendorp says the east half of the company's campus, which includes seven manufacturing buildings, sustained extensive damage. He says the plant activated its storm warning system, and workers were in shelters when the storm hit. The company makes agricultural machinery including hay balers and mowers and equipment for the pipeline and forestry management industries. BONDURANT The storm struck Bondurant first, but did perhaps the least amount of damage there. An official says four or five homes are destroyed on the northeast edge of the city of Bondurant. Fire Chief Aaron Kreuder says several other homes in the city just northeast of Des Moines have significant damage but appear to be repairable. A collapsed wall in one of the damaged homes ruptured, causing a major gas leak for more than an hour until a hole could be dug in the yard to shut off the line. Kreuder says a tornado dropped to the ground, rose back up and then dropped again. He said minor injuries were reported but nothing requiring emergency transportation to the hospital. ""The Polk County Sheriff’s Office will be opening the roadblocks in Bondurant shortly. There will be intermittent traffic control for emergency and clean up vehicles. We are still asking that, if you don’t live in Bondurant, please avoid the area during the clean up. There will continue to be an increased PCSO presence during this time."" The Associated Press contributed to this report.",KCCI Des Moines NWS: At least 5 tornadoes touched down in Thursday outbreak KCCI Des Moines Iowans in three communities are starting to clean up after several tornadoes tore through central Iowa Thursday. Advertisement. Among dozens of homes and several busin…,2018-07-20T16:36:22Z,"{'id': None, 'name': 'Kcci.com'}",NWS: At least 5 tornadoes touched down in Thursday outbreak - KCCI Des Moines,http://www.kcci.com/article/three-communities-begin-tornado-cleanup/22496580,"https://hips.htvapps.com/htv-prod-media.s3.amazonaws.com/images/poster-15-1532107314.jpg?crop=1.00xw:1.00xh;0,0&resize=1200:*",,Kcci.com,tornado outbreak,1
Associated Press,"Residents in central Illinois on Sunday assessed the damage after rare December tornadoes, including one the day before that was a half-mile-wide, ripped roofs off homes in Taylorville, downed power lines and injured at least 20 people. The severe weather in Illinois was part of a line of thunderstorms that raked areas of the central U.S. late Friday and into Saturday, killing one person in Missouri. The National Weather Service confirmed tornadoes in Illinois, Missouri and Oklahoma. At least three tornadoes were confirmed in northwest and southwest Arkansas, which largely caused property and structural damage. No injuries or fatalities were reported. Peak months for tornadoes in much of the Midwest are April and June, according to the weather service. But at least 12 tornadoes were reported in Illinois on Saturday, including the Taylorville tornado, which has been confirmed. If the majority are confirmed, that would be the most tornadoes in Illinois in a December storm since Dec. 18-19, 1957, when there were 21. The weather service sent crews Sunday to survey the hardest-hit areas in Illinois, which included Taylorville, 25 miles (40 kilometers) southeast of Springfield. Photographs and video from Taylorville showed several houses flattened, with residents wading into debris to salvage what they could. Some homes remained standing but with gaping holes in the roofs or with no roofs at all. The tornado was on the ground for around 10 miles (16 kilometers) before it thundered through Taylorville, and the weather service was able to warn residents of its arrival 41 minutes before it actually struck, Chris Miller, a meteorologist at the services Lincoln office, said in a phone interview Sunday. That advanced warning gave people critical time to take cover and may have saved lives. Assistant Fire Chief Andy Goodall, speaking to reporters Saturday night shortly after the storm pounded the city of 11,000, said at least 100 homes had major damage, including his own, Springfields State Journal-Register reported. A Taylorville Memorial Hospital spokesman said 21 people, from age 9 to 97, arrived for treatment Saturday. Most were released within hours. Miller said three people remained hospitalized as of Sunday afternoon. Miller said preliminary estimates are that the Taylorville tornado may have been an EF2, which indicates wind speeds as high as 135 mph. It could take several more days to know for sure. The weather service said Sunday that a strong tornado that developed from severe thunderstorms Friday night touched down in Van Buren, Arkansas. It was rated an EF2. About 10 minutes later, a second weaker tornado was confirmed less than 10 miles (16 kilometers) away near the town of Rudy, Arkansas. Damage surveys for the two tornadoes are ongoing but officials said dozens of homes were damaged. Early Saturday morning a third tornado with estimated peak winds of 107 mph traveled about 8.5 miles (13.5 kilometers) through Spring Hill in southwest Arkansas. Its path was intermittent and mostly caused damage to trees and to some structures. ___ Associated Press writer Hannah Grabenstein in Little Rock, Arkansas, also contributed to this report.","HuffPost December Tornado Outbreak Hits Central US, Leaving At Least 1 Dead HuffPost Residents in central Illinois on Sunday assessed the damage after rare December tornadoes, including one the day before that was a half-mile-wide, ripped roofs off homes in T…",2018-12-03T05:31:00Z,"{'id': 'the-huffington-post', 'name': 'The Huffington Post'}","December Tornado Outbreak Hits Central US, Leaving At Least 1 Dead - HuffPost",https://www.huffingtonpost.com/entry/illinois-central-us-tornado-outbreak_us_5c04be4de4b0a173c02459ef,https://img.huffingtonpost.com/asset/5c04bf2f2400006f0499bdfe.jpeg?cache=et6avtgx2u&ops=1910_1000,the-huffington-post,The Huffington Post,tornado outbreak,1
