author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
Mariella Moon,"Graeme Stephens, director of the Center of Climate Sciences at NASA's Jet Propulsion Laboratory in Pasadena, California, explained: ""We don't have any way of measuring how water and air move in thunderstorms globally. We just don't have any information about that at all, yet it's so essential for predicting severe weather and even how rains will change in a future climate."" While small, the RainCube isn't so tiny that scientists can let loose a bunch inside a raging hurricane à la the sensors in Twister. It works by using radar to see storms in the same way a bat uses sonar to fly around in the dark. RainCube has an umbrella-like component that sends out chirps or radar signals, which then bounce off raindrops to paint a picture of what the inside of a storm looks like. The RainCube team created it as an experiment to see if it's possible to create a weather radar in the form of a tiny low-cost satellite. ""The radar signal penetrates the storm, and then the radar receives back an echo,"" Principal Investigator Eva Peral said. ""As the radar signal goes deeper into the layers of the storm and measures the rain at those layers, we get a snapshot of the activity inside the storm."" In the future, multiple units could work together to monitor hurricanes/typhoons in real time and send back updates every few minutes. Scientists could then use the data they gather to enhance weather models, so we can improve our ability to predict the movement of rain, snow, sleet and hail and make more accurate weather forecasts. Image: NASA/JPL-Caltech/Google","Apparently, NASA has been testing a small, shoebox-sized satellite that could make weather forecasts a lot more accurate. It's called RainCube for ""Radar in a CubeSat,"" and it uses tiny instruments to provide real-time look inside storms. The agency has deplo…",2018-09-26T22:29:00Z,"{'id': 'engadget', 'name': 'Engadget'}",NASA's pint-sized satellite could improve weather forecasts,https://www.engadget.com/2018/09/26/nasa-raincube/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fs.aolcdn.com%2Fhss%2Fstorage%2Fmidas%2Ff78c34af86d5676cd31674b702a13c19%2F206692877%2Fplains-ed.jpg&client=amp-blogside-v2&signature=fb8d0ce4dd6aadbd8d18158b0bb62bcc33ab89e1,engadget,Engadget,twister,1
Andrea James,"In 1996, a powerful storm tore through a Canadian drive-in theatre, destroying a screen. Some witnesses recall it was during a screening of 'Twister,' which includes a scene where a drive-in is destroyed by a twister. The short documentary ""Twisted' looks at how memories can be distorted over time. The curious case of Ontario's Can-View Drive-In was first reported in the local news, then the remarkable story got picked up by national news outlets. Eventually, a number of residents recall being there as the film played, many of whom were young children at the time. The film attempts to get to the bottom of the mystery through interviews with attendees and employees. • Twisted (Vimeo / Jay Cheel )","In 1996, a powerful storm tore through a Canadian drive-in theatre, destroying a screen. Some witnesses recall it was during a screening of 'Twister,' which includes a scene where a drive-in is destroyed by a twister. The short documentary ""Twisted' looks at …",2018-01-02T13:19:24Z,"{'id': None, 'name': 'Boingboing.net'}",A drive-in theater screening 'Twister' was hit by a twister. Or was it?,https://boingboing.net/2018/01/02/a-drive-in-theater-screening.html,https://media.boingboing.net/wp-content/uploads/2017/12/twisted-01.jpg,,Boingboing.net,twister,1
Gabriella Borter,"(Reuters) - Alabama search and rescue teams on Tuesday were combing through the wreckage of houses flatted by weekend tornadoes, looking for seven or eight people who remained unaccounted for in the wake of the deadliest U.S. twister outbreak since 2013. 
The tiny community of Beauregard, near the Alabama-Georgia border, was beginning to mourn the 23 people confirmed killed by the storms, which included four children and seven people from one family, officials said on Tuesday. 
The victims ranged in age from 6 to 93 years old, Bill Harris, coroner for storm-ravaged Lee County, told a morning news conference. 
“Just keep these families in your prayers,” Harris said. 
Most of the deceased were found in close proximity to their homes. The four children were age 6, 8, 9 and 10, officials said. 
County Sheriff Jay Jones said on Tuesday that search crews had narrowed their scope down to “the most affected areas” after scouring much of the county on Monday. He said he hoped the search and rescue effort would become a recovery effort by the end of the day. 
The tornadoes, stirred up by a late-winter “supercell” thunderstorm, toppled mobile homes and uprooted massive trees on Sunday with 170 mile-per-hour (274 km-per hour) winds. Forecasters ranked the worst of the outbreak at step four of the six-step Enhanced Fujita scale of tornado strength. 
The Beauregard community in the twister’s path might have had as few as eight or nine minutes to seek shelter from the time the warning was issued, National Weather Service chief meteorologist Chris Darden said. 
In addition to 23 confirmed deaths, more than 50 people were reported injured, authorities said, making this the deadliest tornado outbreak since a massive tornado struck Moore, Oklahoma, in May 2013, killing 24 people and injuring 375 others. 
Reporting by Gabriella Borter in New York; editing by Scott Malone and Jonathan Oatis","Alabama search and rescue teams on Tuesday were combing through the wreckage of houses flatted by weekend tornadoes, looking for seven or eight people who remained unaccounted for in the wake of the deadliest U.S. twister outbreak since 2013.",2019-03-05T17:57:56Z,"{'id': 'reuters', 'name': 'Reuters'}",At least seven missing in Alabama after deadly weekend tornadoes,https://www.reuters.com/article/us-usa-weather-alabama-idUSKCN1QM27I,https://s2.reutersmedia.net/resources/r/?m=02&d=20190305&t=2&i=1363097280&w=1200&r=LYNXNPEF241BI,reuters,Reuters,twister,1
Gabriella Borter,"(Reuters) - A pair of tornadoes killed at least 23 people on Sunday in Alabama, causing infrastructure damage with at least 150 miles per hour (241 kph) winds in the deadliest twister to hit the United States in almost six years. 
The following is a list of some of the deadliest single tornadoes and tornado outbreaks in the United States over the last quarter century: 
* A so-called Super Outbreak of 362 tornadoes hit the southeastern United States over three days in April 2011, killing an estimated 321 people, according to the National Oceanic and Atmospheric Administration (NOAA). Three of the tornadoes were rated EF-5, the top of the five-step Enhanced Fujita scale that meteorologists use to measure tornado strength. The system struck Alabama the hardest, wrecking Tuscaloosa and Birmingham and causing about $11 billion in damages across 12 states. 
* The deadliest tornado to hit the United States in the last several decades struck Joplin, Missouri on May 22, 2011 and killed at least 158 people, NOAA said. Damage from the storm exceeded $3 billion, the most of any single tornado in U.S. history. 
* The so-called Super Tuesday Outbreak of 87 tornadoes in the southeastern United States on Feb. 5, 2008, killed 57 people, according to NOAA. It had the longest footprint of any tornado in U.S. history, according to private forecaster Accuweather, touching down continuously for 122 miles (196 km) through Arkansas. 
* A tornado outbreak in the Oklahoma City, Oklahoma, metropolitan area on May 3, 1999, spawned 61 tornadoes and killed 55 people, with one single tornado responsible for 36 deaths, according to the Weather Channel. 
* An outbreak of seven tornadoes in central Florida in February 1998 killed 42 people and injured 260 others in the state’s deadliest tornado outbreak since 1962, the National Weather Service reported. 
* In April 2014, an outbreak of dozens of tornadoes stirred up by a powerful storm system hit the Southeast and Midwest over a three-day period and killed 32 people in Iowa, Oklahoma, Arkansas, Mississippi, Alabama and Tennessee, according to NOAA. 
* A tornado killed 24 people on May 20, 2013 in Moore, Oklahoma. The tornado had winds over 200 miles per hour (322 kph), giving it the most severe rating of EF-5. It lasted about 40 minutes, and caused billions of dollars worth of damage, according to NOAA. 
Compiled by Gabriella Borter in New York; Editing by Scott Malone and Grant McCool","A pair of tornadoes killed at least 23 people on Sunday in Alabama, causing infrastructure damage with at least 150 miles per hour (241 kph) winds in the deadliest twister to hit the United States in almost six years.",2019-03-04T16:28:26Z,"{'id': 'reuters', 'name': 'Reuters'}",Factbox: Deadliest tornadoes of last 25 years in the United States,https://www.reuters.com/article/us-usa-weather-alabama-factbox-idUSKCN1QL1PH,https://s3.reutersmedia.net/resources/r/?m=02&d=20190304&t=2&i=1362742152&w=1200&r=LYNXNPEF2311M,reuters,Reuters,twister,1
Nicole Gallucci,"Kim Kardashian's no stranger to photo shoots, but her latest didn't go over so well with fans. On Monday, Kim shared a bizarre photo of herself reclining on a bed and wearing a pair of Yeezy sneakers. But it was her uncomfortable-looking position and the blank look on her face that inspired tons and tons of memes. SEE ALSO: Beyoncé reveals the covers of her mysterious 'Vogue' September issue Twitter users compared Kim's photo to a still from the infamous Life Support commercials, the opening credits of Mad Men, and a chalk outline of a dead body, to name a few. They also imagined her dancing, running a marathon, and playing Twister. But while others were memeing, some simply called Kim out for the timing of her post, which came just a few hours after photos from Beyoncé's Vogue September issue were released. Kim sweetie just log off for the day. Today is about BEYONCE and Vogue. We can promote your husband another days. Thanx hun — VogueChild (@Mavura123) August 6, 2018 This isnt the first time Kim's been accused — fairly or not — of crowding Bey's spotlight. Knowing the internet's love of celebrity feuds, it probably won't be the last.","Kim Kardashian's no stranger to photo shoots, but her latest didn't go over so well with fans. On Monday, Kim shared a bizarre photo of herself reclining on a bed and wearing a pair of Yeezy sneakers. But it was her uncomfortable-looking position and the blan…",2018-08-07T15:05:56Z,"{'id': 'mashable', 'name': 'Mashable'}",Kim Kardashian's bizarre Yeezy photo shoot was made for memes,https://mashable.com/2018/08/07/kim-kardashian-yeezy-photo-meme/,https://i.amz.mshcdn.com/gzjPgWUeSRxBeY517g1vlMu4J_M=/1200x630/2018%2F08%2F07%2F84%2Fdd871a46c84f44488383498e99f638d8.74512.png,mashable,Mashable,twister,1
Elliot Williams,"We’ve got a small box of microcontroller programmers on our desktop. AVR, PIC, and ARM, or at least the STMicro version of ARM. Why? Some program faster, some debug better, some have nicer cables, and others, well, we’re just sentimental about. Don’t judge. [Dmitry Grinberg], on the other hand, is searching for the One Ring. Or at least the One Ring for ARM microcontrollers. You see, while all ARM chips have the same core, and thus the same SWD debugging interface, they all write to flash differently. So if you do ARM development with offerings from different chip vendors, you need to have a box full of programmers or shell out for an expensive J-Link. Until now. [Dmitry] keeps his options open by loading up the flash-specific portion of the code as a plugin, which lets the programmer figure out what chip it’s dealing with and then lookup the appropriate block size and flash memory procedures. One Ring. He also implements a fast printf -style debugging aid that he calls “ZeroWire Trace” that we’d like to hear more about. Programming and debugging are scriptable in Lua, and it can do batch programming based on reading chip IDs. You can build your own CortexProg from an ATtiny85, two diodes, and two current-limiting resistors: the standard V-USB setup. The downside of the DIY? Slow upload speed, but at least it’ll get you going. He’s also developed a number of fancier versions that improve on this. Version four of the hardware is just now up on Kickstarter, if you’re interested. If you’re just using one vendor’s chips or don’t mind having a drawer full of programmers, you might also look into the Black Magic Probe. It embeds a GDB server in the debugger itself, which is both a cool trick and the reason that you have to re-flash the programmer to work with a different vendor’s chips. Since the BMP firmware is open, you can make your own for the cost of a sacrificial ST-Link clone, about $4. On the other hand, if you want a programmer that works across chip families, is scriptable, and can do batch uploads, CortexProg looks like a caviar programmer on a fish-bait budget. We’re going to try one out soon. Oh and if you think [Dmitry Grinberg] sounds familiar, you might like his sweet Dreamcast VRU hack, his investigations into the Cypress PSOCs, or his epic AVR-based Linux machine.","We’ve got a small box of microcontroller programmers on our desktop. AVR, PIC, and ARM, or at least the STMicro version of ARM. Why? Some program faster, some debug better, some have nicer cables, and others, well, we’re just sentimental about. Don’t judge. […",2018-07-17T08:00:00Z,"{'id': None, 'name': 'Hackaday.com'}",CortexProg Is A Real ARM-Twister,https://hackaday.com/2018/07/17/cortexprog-is-a-real-arm-twister/,https://hackadaycom.files.wordpress.com/2018/07/cortexprog1.png?w=1200,,Hackaday.com,twister,1
Kate Gray,"Theres something very saucy about playing sexy board games. It feels like redefining innocent childhood memories, like reading Harry Potter slash fiction where Ron and Malfoy get busy on the roof of the Hogwarts Express, or finding out that The Hunchback of Notre Dame was about Frollo having a raging anger-boner for Esmeralda. NSFW Warning: This post contains explicit cartoon imagery. This is how I felt when booting up Pretzel After Dark, a browser game by Tim milkymilkface Snowdon thats a naughty take on Twister. Instead of directing limbs to colored circles, Pretzel After Dark replaces the Twister board with your partners body, making it less left hand blue and more left hand boob. There are two modes: underwear on, and underwear off. Perhaps the implication is that the players will match the state of the in-game models, or maybe its just an aesthetics thing. Pretzel cycles through randomly-chosen pairings of body parts, sexy ones mixed in with regular ones, so youll get instructions like mouth to bum and right hand to crotch. Its up to the players whether these instructions are set on a timerfor a hands-free approachor whether they want to manually trigger the next one by pressing the spacebar. Theres even an option to turn off certain body parts, so if youre playing at a party, maybe you want to turn off the crotch option. Or maybe you dont, I dont know what kind of parties you go to. Or perhaps youre not super into the idea of feet being pressed up against your most delicate parts. At first, the idea of mushing your various areas together is exciting, titillating, even, but its not long before the mundanity settles in. Im not talking about the mundanity of trying to sex up your partner after decades together, or the mundanity of defaulting to the missionary position after it turns out that every other position is kind of awkward, actually. Its the mundanity that you also get from sex dice, if youve ever tried those. It turns out that a large part of sexual enjoyment seems to come from the spontaneity of it all. Its not so much that Pretzel After Dark is a turn-offits more that it never turns you on in the first place. Thats not to say that it doesnt have a purpose, though. Pretzel After Dark was originally designed as part of XXXHIBITION, a curation of sexy games shown off in Melbourne, and given that the exhibition was held in the Australian video game-themed bar, Bar SK definitely a regular bar and not a sex club its safe to assume that Pretzel After Dark was intended as more of a party game than a tango for two. I dont think I have enough willing friends to test this out at a party, but I imagine that, with the right group of people, it could be quite fun, in the same way Twister is fun even if you end up with your nose pressed up against someones nipples. Pretzel After Dark is also about normalizing queer sexual interactions: the two on-screen avatars are never shown in full, but both possess penises. It is a little disappointing to not be able to input the genders of the players at first, because theres definitely a disconnect when crotch to crotch comes up and features a configuration of bits that you dont have, or the fact that boobs and nipples arent involved at all, but otherwise its refreshing and good to see a sexual depiction of a couple that doesnt default to cis heterosexuality. At the end of the day, Im not sure if Pretzel is truly designed to be sexy, because theres a world of difference between, for example, licking your way into mutual bliss, and just mashing your mouth against your partners crotch. I guess the instructions are open to interpretation, but when youre trying to juggle elbow to back and head to right foot, sexiness often takes a back seat. But intimacy isnt all about jumping straight to humping. A game like Pretzel After Dark can help tear down the boundaries of awkwardness and unfamiliarity with each others bodies. And isnt that what sex is all about? Probably?","There’s something very saucy about playing sexy board games. It feels like redefining innocent childhood memories, like reading Harry Potter slash fiction where Ron and Malfoy get busy on the roof of the Hogwarts Express, or finding out that The Hunchback of …",2018-11-09T18:00:00Z,"{'id': None, 'name': 'Kotaku.com'}",Pretzel After Dark Is A Sexy Take On Twister,https://kotaku.com/pretzel-after-dark-is-a-sexy-take-on-twister-1830308841,"https://i.kinja-img.com/gawker-media/image/upload/s--XrjWTnhs--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/jonkpnviiqa0sypzv9ud.png",,Kotaku.com,twister,1
Kellen Beck,"The 20 games coming with the PlayStation Classic have been unveiled, including some heavy-hitting classics like Metal Gear Solid and Final Fantasy VII. SEE ALSO: Messages with unrecognized characters are breaking PlayStation 4 consoles Sony revealed the PlayStation Classic game lineup Monday, a list of 20 pre-installed games that span almost every genre imaginable. The PlayStation Classic, coming Dec. 3, will cost $100 just in time for the holidays. Here's the full list of games: Battle Arena Toshinden Cool Boarders 2 Destruction Derby Final Fantasy VII Grand Theft Auto Intelligent Qube Jumping Flash! Metal Gear Solid Mr. Driller Oddworld: Abe's Oddysee Rayman Resident Evil Director's Cut Revelations: Persona R4 Ridge Racer Type 4 Super Puzzle FIghter Turbo Syphon Filter Tekken 3 Tom Clancy's Rainbow Six Twister Metal Wild Arms It's a solid list of classic games that represents the original PlayStation's life pretty well, although there are a few notable titles missing that fans might've expected, like Silent Hill, Crash Bandicoot, and PaRappa the Rapper to name a few. Some of the omissions, like Crash Bandicoot and Spyro are likely due to the fact that the games have received a recent remaster. Meanwhile, Silent Hill 's absence is likely due to the fact that Konami lost the source code to the games, according to a report from the now-defunct 1Up ( re-reported by Destructoid ). Sadly, Pepsiman is also not included on the PlayStation Classic. Pour one out for ya boy.","The 20 games coming with the PlayStation Classic have been unveiled, including some heavy-hitting classics like Metal Gear Solid and Final Fantasy VII. SEE ALSO: Messages with unrecognized characters are breaking PlayStation 4 consoles Sony revealed the PlayS…",2018-10-29T14:02:36Z,"{'id': 'mashable', 'name': 'Mashable'}",The PlayStation Classic game list has been revealed,https://mashable.com/article/playstation-classic-games/,https://i.amz.mshcdn.com/GPcIfULkNez6Zhkqo-N9GdzaDGE=/1200x630/2018%2F10%2F29%2F44%2Ff066ba6b1aee438985e0b8f59077b650.f3de1.png,mashable,Mashable,twister,1
MELENA RYZIK,"Mr. Cave, a gay artist whose projects have recently become more personal — he also has an exhibition, “ Weather or Not,” at Jack Shainman Gallery in Chelsea this month — can sneak depth into even the most lightweight elements of his work. In “The Let Go,” the colors of the curtain, which he titled “The Chase,” represent gay pride and minorities being chased by police. Though Ms. Harper, the movement director, created the “Let Go” line dance and a few other distinct phrases, she also wanted her dancers to improvise, and stay connected to the crowd. “We want to include all people, even people that are shy,” she said. “I had this woman who was like, ‘I can’t dance, I can’t dance,’ and I said, O.K., can you walk with me? We walked around the Chase, and I took her hand, and we were laughing by the end.” On Wednesday night, well-heeled patrons and young creative types declared themselves dazzled. “We wish all openings were this engaging,” said Juan Hinojosa, a mixed media artist, as the tinsel curtain twirled past him and a friend. “It’s magical.” At a rehearsal earlier in the week, attended by schoolchildren, there were cartwheels and chants of “rock it out!” A 9-year-old Brooklyn boy named Jayden showed off a fast move he called the Twister, which he created for the room (another was inspired by Fortnite, the video game). “I want a hug!” he called as the Soundsuited performers filed past him. One of the thrills for Mr. Cave is that, in its long run, “The Let Go” can be transformed. It’s an “ongoing sketch,” he said. “Nothing stays the same.” And don’t be surprised to see him out on the floor, recharging with the crowd. “I will definitely be dancing,” he said. “And it’ll come out of the birth of the project — it’s that ahhh, that sigh of relief. Now I can just sort of let go.”","Charles Grant, one of the performers, dances with the crowd at Nick Cave’s “The Let Go” at the Park Avenue Armory. Mr. Cave said he was inspired by his own disco days, when spending time in clubs was a refuge.",2018-06-08T23:22:38Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Nick Cave Wants You to Work It Out on the Dance Floor,https://www.nytimes.com/2018/06/08/arts/dance/nick-caves-the-let-go-at-park-avenue-armory.html,https://static01.nyt.com/images/2018/06/09/arts/09letgo1/09letgo1-facebookJumbo.jpg,the-new-york-times,The New York Times,twister,1
Associated Press,"(SEATTLE) — A National Weather Service storm damage survey team is heading to a town west of Seattle where a strong tornado blew through a neighborhood.
The rare twister touched down Tuesday in Port Orchard, Washington. It damaged several homes and toppled trees.
There were no immediate reports of injuries.
The National Weather Service crew will determine just how powerful the storm was.
The Kitsap County sheriff’s office told local media the damage was “catastrophic” and contained to neighborhoods east and south of a Walmart in Port Orchard.
The sheriff’s office says power lines were down and roads were closed in the area.
About 50 buildings were affected.
Port Orchard is about 15 miles (24 kilometers) west of Seattle, across Puget Sound on the Kitsap Peninsula.
Contact us at editors@time.com.","The rare twister touched down in Port Orchard, Washington. A National Weather Service storm damage survey team is assessing the damages.",2018-12-19T17:48:48Z,"{'id': 'time', 'name': 'Time'}","Crews Assess Damage After Rare Tornado Touches Down in Port Orchard, Washington",http://time.com/5484285/damage-tornado-port-orchard-washington/,https://timedotcom.files.wordpress.com/2018/12/tornado-port-orchard-washington.jpg?quality=85,time,Time,twister,1
