author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
https://www.facebook.com/bbcnews,"Image copyright AFP/Getty Images Image caption A traditional Mayan ceremony was held to launch the four-year project Mexican President Andrés Manuel López Obrador has launched the Maya Train - an ambitious project to build a railway through five south-eastern states. At an indigenous ceremony near the ancient Mayan ruins of Palenque, he said this would help create hundreds of thousands of jobs. The 1,525km (950-mile) railway will link Palenque and the tourist resort of Cancún on the Caribbean coast. But opponents warn it could damage the region's important biosphere. A third of the planned route passes through pristine jungle, and the owners of the land, the Maya people, say they have not been consulted. But President López Obrador dismissed environmentalists' concerns, promising that ""we won't uproot a single tree"". The four-year project is expected to cost up to $7.4bn (£5.9bn).",The ambitious project will link Mayan archaeological sites to cities and beach resorts.,2018-12-17T02:22:13Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Mexico launches $7.4bn Tren Maya railway project,https://www.bbc.co.uk/news/world-latin-america-46588042,https://ichef.bbci.co.uk/news/1024/branded_news/7A48/production/_104840313_6e8624b5-cc34-406b-b3a3-7347a0212598.jpg,bbc-news,BBC News,uproot,1
THE NEW YORK TIMES,"In many ways, climate change has made hurricanes worse: A rise in sea level is causing higher storm surges, and warmer air is leading to rainier storms. With Hurricane Michael, local geography also has a role to play in the storms impact. If the predictions of its path hold, the hurricane will be the first to hit this area since Hurricane Hermine in 2016, said Jamie Rhome, a storm surge specialist at the National Hurricane Center. That storm was a Category 1. Hurricane Michael is expected to strike land as a Category 3, a major storm with wind speeds of 111 to 129 m.p.h. Thats enough to uproot trees and tear off roof decking. Wind, while a source of destruction in storms, is not the only threat. Surge can devastate coastal communities, and the rain dumped by storms can cause flooding far inland. Mr. Rhome noted that while this hurricanes path was still not certain, its probable impact at the bend of Florida on the way into the Panhandle could be very destructive. Its an incredibly vulnerable spot, he said. Regardless of whether the track moves a little to the left or the right, or wobbles, he said, its going to be a bad storm surge event for somebody. Rick Luettich, director of the Institute of Marine Sciences at the University of North Carolina, said that the area was especially susceptible to a large storm surge because of its funnel-shaped geometry and broad, shallow continental shelf. If there is good news, he said its that the area of possible impact is not as densely populated as other parts of the Gulf Coast, and therefore the human consequences of such a large surge should be less severe than if it hit further west on the Florida Panhandle or further east, in say, Tampa.",Tropical Storm Michael was upgraded to a Category 1 hurricane on Monday as it barreled toward the Gulf Coast. It could hit Florida as a Category 3 storm.,2018-10-09T09:12:53Z,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Hurricane Michael: Major Storm Bears Down on Florida Panhandle,https://www.nytimes.com/2018/10/09/us/hurricane-michael.html,https://static01.nyt.com/images/2018/10/10/world/10michael-live-1/10michael-live-1-facebookJumbo.jpg,the-new-york-times,The New York Times,uproot,1
Jon Fingas,"There should be a strong narrative, too. The studio is working with novelist Sara Bergmark Elfgren to produce the story. The very theme also suggests this won't be your typical video game adventure. While your physical intervention is clearly important to the story, Zoink stresses that it's as much about being a ""supporting friend"" for a child in need -- you're helping Louis grow as a person, not just helping him make it from point A to B. There's no mention of a release date at this point, but Ghost Giant will be a PSVR exclusive when it does arrive. Follow all the latest news from E3 2018 here!","VR is great at providing new perspectives for seemingly familiar experiences, and PlayStation VR's latest game is a textbook example of that. Zoink Games (the creators of the beautiful and inventive Fe ) has unveiled Ghost Giant, which uses VR to turn you int…",2018-06-09T17:29:00Z,"{'id': 'engadget', 'name': 'Engadget'}",PSVR's 'Ghost Giant' turns the world into your sandbox,https://www.engadget.com/2018/06/09/ghost-giant-for-playstation-vr/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fs.aolcdn.com%2Fhss%2Fstorage%2Fmidas%2Fc3fd8cae33179ec8c606879d11aedd24%2F206441017%2Fghost-giant-psvr-flickr.jpg&client=cbc79c14efcebee57402&signature=5e2b97597003379feb4c36e91d3d425c7924753b,engadget,Engadget,uproot,1
Kate Clark,"Women in tech are not only significantly under-funded by venture capitalists, but they also often lack access to the early-stage support granted to their male counterparts. To enroll in a startup accelerator like Y Combinator, for example, its expected founders relocate to the Bay Area for three months. Women, who are more often caregivers, might not be able to do that, and even if they can, the program may not cater to their specific needs. Female Founders Alliance (FFA), a relatively new network of female startup founders, has built a free, non-dilutive 5-week accelerator for women by women. Called ‘Ready, Set, Raise,’ its goal is to help more female-founded startups raise VC through workshops, 1-on-1 coaching, legal clinics, communications and speech coaching and more. The accelerator, sponsored by Trilogy Equity Partners, kicked off at the end of August and will culminate with a private demo day with VCs in Seattle on September 27th. “I don’t know many women who can uproot their families for three months to go live in another city,” FFA founder Leslie Feinzaig told TechCrunch. “When I was working on my company, I wanted to apply to Y Combinator but I was a new mom, it was 100% a non-starter.” Feinzaig knows the trials and tribulations of raising VC as a female entrepreneur all too well. As the founder of an edtech startup called Venture Kits, she tried, unsuccessfully, to procure venture backing. That struggle is why she started FFA, which began as a Facebook group to connect female founders in the Seattle area but has expanded across North America. The accelerator is designed to allow founders to tune into the programming remotely. Participants are only required to be on-site in Seattle, where FFA is based, for one week, during which the organization is providing free housing and childcare. FFA’s accelerator is among a new class of efforts created for women in tech. All Raise’s Founders For Change initiative, for example, and new female-focused funds, like Sarah Kunst’s Cleo Capital, are all working to close the gender funding gap. “I know it seems to people like there’s a lot happening around female founders and diverse founders, but in the context of the size and scale of that gender gap, we are barely getting started,” Feinzaig said. “We need all the accelerators. We need hundreds of funds. We are nowhere close to making a real dent in equal leadership.” Today, FFA is announcing their inaugural class of startups, eight in total. Here’s a closer look at the group: Chanlogic : Based in Seattle, the SaaS startup provides a product for e-commerce channel managers. Esq.Me Inc. : A Portland-based document marketplace for lawyers created by lawyers. Future Sight AR : A Houston-based AR product for engineering, procurement and construction companies. geeRemit : Based in Raleigh, the startup leverages the blockchain to power remittances to Africa. Magic AI : A Seattle-based AI startup for livestock care. MoxieReader : Based in New York, an edtech startup focused on improving child literacy through tech. Pandere Shoes : Based in Anchorage, the startup is creating expandable shoes. Zeta Help : A San Francisco-based financial support platform for millennial couples.","Women in tech are not only significantly under-funded by venture capitalists, but they also often lack access to the early-stage support granted to their male counterparts. To enroll in a startup accelerator like Y Combinator, for example, its expected founde…",2018-09-12T12:30:28Z,"{'id': 'techcrunch', 'name': 'TechCrunch'}","Ready, Set, Raise is a new accelerator built for women by women",http://techcrunch.com/2018/09/12/ready-set-raise-is-a-new-accelerator-built-for-women-by-women/,https://techcrunch.com/wp-content/uploads/2018/09/IMG_9244.jpg?w=600,techcrunch,TechCrunch,uproot,1
msmash,"Firms from industrial giants to car makers are rethinking the way they recruit as they compete with each other and traditional technology outfits for people with expertise in high-tech fields like machine learning, artificial intelligence and cybersecurity. For some positions that Siemens AG needs to fill, there may be a universe of fewer than 2,000 qualified people in the U.S., said Michael Brown, vice president of talent acquisition in the Americas for the German industrial conglomerate that makes everything from gas turbines to mammography machines. ""The question is how many of those are looking for a job?"" Mr. Brown said. Finding the right potential candidates on sites like LinkedIn isn't easy because ""they're tired of being found."" Siemens has 377,000 employees world-wide and about 50,000 in the U.S. At the moment, it has about 1,500 open jobs across America, most of which require some software or science-related background. Employers are handicapped by several factors, data show and recruiters say: Cutting-edge skills are evolving faster than universities can train people, the supply of talented young workers entering these fields isn't satisfying the huge demand for them, and mobility -- a worker's willingness to uproot their life for a job in a new place -- has declined. The odds of luring rare, coveted candidates away from their current job or city are long, Mr. Brown said.",The tussle over technology talent is reaching far beyond Silicon Valley. From a report: Firms from industrial giants to car makers are rethinking the way they recruit as they compete with each other and traditional technology outfits for people with expertise…,2018-06-01T16:00:00Z,"{'id': None, 'name': 'Slashdot.org'}","Now Fighting for Top Tech Talent: Makers of Turbines, Tools and Toyotas",https://news.slashdot.org/story/18/06/01/1520213/now-fighting-for-top-tech-talent-makers-of-turbines-tools-and-toyotas,https://a.fsdn.com/sd/topics/ai_64.png,,Slashdot.org,uproot,1
Scroll Staff,"Punjab minister and Congress leader Navjot Singh Sidhu criticised the Centre, asking if the Indian strikes on a terror camp in Pakistan was just an election gimmick.
Sidhu is the latest to demand details from the Centre on the cross-border air strike. West Bengal Chief Minister Mamata Banerjee and Congress leader Digvijay Singh have sought evidence and clarity on the number of casualties in the strikes.
300 terrorist dead, Yes or No? tweeted Sidhu. What was the purpose then? Were you uprooting terrorist or trees? Was it an election gimmick? Deceit possesses our land in guise of fighting a foreign enemy. Stop politicising the army, it is as sacred as the state. he said. 
Sidhu cited media reports quoting BJP leaders like BS Yeddyurappa, who claimed the air strike will help the party win more seats in Karnataka, and Assam minister Himanta Biswa Sarma, who alleged that Pakistan could attack the Indian Parliament and Assam Assembly if Narendra Modi is not elected the prime minister again.
Sidhu also tweeted a video that cited international media reports quoting Pakistani officials or villagers as saying that Indian jets had dropped bombs in a wooded area, causing no damage or casualties. Two Reuters reporters who had visited the site of the bombings reported seeing four large craters and up to 15 damaged pine trees.
Skimmed milk masquerades as cream, things are seldom as they seem, Sidhu said along with the video.
300 terrorist dead, Yes or No?
What was the purpose then? Were you uprooting terrorist or trees? Was it an election gimmick? 
Deceit possesses our land in guise of fighting a foreign enemy.
Stop politicising the army, it is as sacred as the state.
| pic.twitter.com/HiPILADIuW
— Navjot Singh Sidhu (@sherryontopp) March 4, 2019
On February 26, the Indian Air Force carried out air strikes at a camp of the Jaish-e-Mohammed in Khyber Pakhtunkhwa province of Pakistan. India called the operation a non-military, counter-terror preemptive action, and said it had eliminated a large number of terror operatives.
Multiple media reports, quoting unidentified officials, had pegged the number of casualties at over 300, and some estimated it at even 600. Air Chief Marshal BS Dhanoa on Tuesday refused to state the number of casualties from the cross-border air strike. We cant count how many people died, it depends on how many people were there, he said.","'Were you uprooting terrorists or trees?' Navjot Singh Sidhu asks if air strikes were 'poll gimmick' Scroll.in SHOCKER from Navjot Singh Sidhu, questions Indian air strike: 'Was it to uproot terrorists or trees?' Times Now ‘Were you uprooting terrorist or tre…",2019-03-04T10:13:25Z,"{'id': None, 'name': 'Scroll.in'}",'Were you uprooting terrorists or trees?' Navjot Singh Sidhu asks if air strikes were 'poll gimmick' - Scroll.in,https://scroll.in/latest/915350/were-you-uprooting-terrorists-or-trees-navjot-singh-sidhu-asks-if-air-strikes-were-poll-gimmick,https://s01.sgp1.cdn.digitaloceanspaces.com/book/107441-rvjrdyjmza-1544087676.jpg,,Scroll.in,uproot,1
Ramlal Kondal,"Chandigarh: Punjab cabinet minister Navjot Singh Sidhu on Monday took a dig at the Centre, asking if 300 terrorists were indeed killed in the recent air strikes by the Indian Air Force in Pakistans Balakot as claimed by the government.300 terrorist dead, yes or no? What was the purpose then? Were you uprooting terrorists or trees? Was it an election gimmick? Deceit possesses our land in guise of fighting a foreign enemy. Stop politicising the army, it is as sacred as the state, the Congress MLA tweeted.
300 terrorist dead, Yes or No?
What was the purpose then? Were you uprooting terrorist or trees? Was it an election gimmick? 
Deceit possesses our land in guise of fighting a foreign enemy.
Stop politicising the army, it is as sacred as the state.
| pic.twitter.com/HiPILADIuW
— Navjot Singh Sidhu (@sherryontopp) March 4, 2019
Sidhus comment comes days after Pakistan accused India of eco-terrorism and said pine trees were damaged in the strikes. Islamabad has so far denied the presence of any terror camps in the area. Several opposition parties have also raised questions on the credibility of the February 26 IAF air strikes. Two days after the 12 Mirage 2000 aircraft dropped 1,000kg bombs on a Jaish-e-Mohammed training camp in Pakistan, West Bengal CM Mamata Banerjee demanded that the Centre share the exact details of the operation.We want to know what happened actually. National TV channels were showing that 300 to 350 people were killed. International media saying one. We want to know how many actually died. We want to know whether anyone was killed or not, she had said.
On Sunday, a day after the return of IAF pilot Abhinandan Varthaman, a war of words ensued between the Congress and Prime Minister Modi after INC general secretary Digvijaya Singh asked the Centre to provide proof of the air strikes. 
In a rally in Bihar on Sunday, Modi slammed opposition party leaders for raising doubts and asking for proof of the Balakot strike. While we are out to counter terrorism what are some people inside the country doing? he said. 
The Indian Air Force on the intervening night of February 25-26 conducted air strikes deep inside the Pakistani territory. Though preliminary unconfirmed reports claimed around 300-350 terrorists were killed in the attack, the Indian government is yet to come clear on the figure.","Were You Uprooting Terrorists or Trees? Sidhu Takes a Dig at Centre Over IAF Strikes News18 ‘Were you uprooting terrorist or trees?’ Sidhu questions the purpose of Balakot air strikes The Hindu SHOCKER from Navjot Singh Sidhu, questions Indian air strike: 'Wa…",2019-03-04T07:37:48Z,"{'id': None, 'name': 'News18.com'}",Were You Uprooting Terrorists or Trees? Sidhu Takes a Dig at Centre Over IAF Strikes - News18,https://www.news18.com/news/india/were-you-uprooting-terrorists-or-trees-sidhu-to-govt-on-the-iaf-strikes-2054859.html,https://images.news18.com/ibnlive/uploads/2017/03/Navjot-Singh-Sidhu-875.gif,,News18.com,uproot,1
Eillie Anzilotti,"The small waterfront town of Scituate, Massachusetts has been through a lot this year. One of the parts of the country hardest-hit by the four nor’easters that blew through the east coast in March, Scituate saw homes destroyed and huge piles of sand lifted up by the wind and waves and deposited on Inner Harbor Road, where the street sign stuck was half-buried. On the coasts, storms like these were expected–sometimes. A blizzard in 1978 swept through Scituate and tore houses off their foundations; 400 homes were damaged so badly that residents could not return to them. And yet, people continue to live in Scituate. “Scituate residents, hardened by years of storms past, know what they’ve signed up for. They know what comes with living on the coast and they take pride in doing so,” writes Andrew MacFarlane in a feature on The Weather Channel. But after this winter, even the most stubborn longtime residents of the town are considering leaving. 46 and 48 Town Extension Way, the last remaining homes on the front line of Peggotty Beach that once featured 30 homes, flirt with each crashing wave. [Photo: Andrew MacFarlane/courtesy weather.com] Forced migration due to the extreme weather events caused by climate change is happening in communities across the U.S. and the world, and the phenomenon is the subject of a new series on The Weather Channel, of which MacFarlane’s piece is among the first published. Called Exodus, the series will run through the end of this year, and document circumstances of climate migration across the world. Shot of Main St. Ellicott City down the hill. [Photo: Liz Roll/courtesy weather.com] “We have climate change as a pretty core part of our editorial menu for a long time,” says Kevin Hayes, executive editor of Weather.com. Last year, the site launched a project called The United States of Climate Change, which told a story on the impact of extreme weather from every state. Throughout the course of publishing the stories, forced migration stood out as a consistent theme. One story followed people forced off the Marshall Islands due to rising sea levels as they tried to make a home in Springdale, Arkansas; another tracked the threat of constant flooding to the naval base and community of Norfolk, Virginia. “Migration wasn’t the core notion of the series, but it seemed very present,” Hayes says. So the next project, Exodus, focused explicitly on the subject. The first three features, which went live on August 1, delve into flooding in both Scituate and Ellicott City, Maryland, as well as drought and water scarcity in the country of Jordan. Hayes, along with Greg Gilderman, global head of news for The Weather Channel, and Patty Cox, the site’s executive editor, have put a call out among reporters and photographers across the world in an attempt to capture the global phenomenon of climate migration. While Hayes anticipates that the series will ultimately contain around 40 features, he’s fielding pitches every day for more stories. Jordan [Photo: Sharon Avraham/courtesy weather.com] While each feature, Hayes says, takes forced migration as its core, the stories they tell vary widely by place. “Scituate, Massachusetts is a very different story than Lagos, Nigeria,” he says. While both may be grappling with flooding, “what the infrastructure can bear, and how the local and national governments respond, create very different conditions and ripple effects.” What’s troubling to Hayes is that for all of these stories of displacement and forced relocation, he’s yet to see a good example cross his desk of how a place is productively and proactively dealing with these realities, or designing solutions to equitably relocate people or attempt to keep them in place. Jordan [Photo: Sharon Avraham/courtesy weather.com] Just as the New York Times Magazine this week devoted around 30,000 words to the topic of climate change, it’s encouraging to see media outlets broadcasting the reality that climate change is happening now, and its effects are being felt across the globe. But it’s especially significant to see this coming from The Weather Channel because too often, climate change skeptics dismiss the phenomenon as nothing more than fluctuations in the weather, rather than a sustained and systemic transformation. While the site, as Hayes says, has long been dedicated to covering extreme weather in the context of climate change, with this series, it’s redoubling its efforts. “The core of The Weather Channel is meteorology and science,” Hayes says, “so the editorial concerns that flow from that are very straightforward. It’s our job to communicate them.”","A new series on The Weather Channel delves into the places around the world where droughts and floods are forcing people to uproot. The small waterfront town of Scituate, Massachusetts has been through a lot this year. One of the parts of the country hardest-…",2018-08-10T15:00:36Z,"{'id': None, 'name': 'Fastcompany.com'}",How the Weather Channel is documenting the damage of climate change,https://www.fastcompany.com/90216558/how-the-weather-channel-is-documenting-the-damage-of-climate-change?partner=feedburner&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+fastcompany%2Fheadlines+%28Fast+Company%29,"https://images.fastcompany.net/image/upload/w_1280,f_auto,q_auto,fl_lossy/wp-cms/uploads/2018/08/p-1-documenting-the-climate-migration-crisis-story-by-story.jpg",,Fastcompany.com,uproot,1
Associated Press,"(LONDON) — Scottish Conservative Party leader Ruth Davidson and her partner Jen Wilson say they have had a baby boy. The couple says Davidson gave birth to 10 pound, 1.5 ounce (4.57 kilogram) Finn Paul Davidson at Edinburgh Royal Infirmary on Friday morning. Davidson said “Jen and I are delighted at baby Finn’s safe arrival.” Wilson said the baby was “beautiful and already very loved.” Davidson announced her pregnancy earlier this year. The 39-year-old politician is one of her party’s rising stars, crediting with reviving the Conservatives in Scotland, where they have long been unpopular. She has been touted as a future Conservative prime minister, but has said she has no desire to uproot her family and move to London.",Scottish Conservative Party leader Ruth Davidson and her partner Jen Wilson say they have had a baby boy named Finn Paul Davidson.,2018-10-26T15:12:05Z,"{'id': 'time', 'name': 'Time'}",Scottish Conservative Leader Ruth Davidson Gives Birth to Baby Boy,http://time.com/5435958/ruth-davidson-birth-baby-boy/,https://timedotcom.files.wordpress.com/2018/10/ruth-davidson-birth-boy.jpg?quality=85,time,Time,uproot,1
Brett and Kate McKay,"We have a small lot of woodsy land behind our house, and a few years ago I decided to make a trail through it, leading to a “secret” fire pit. Blazing the trail was a lot of work — there were weeds to pull, thorny bushes to trim, and small trees to uproot. Then there was the task of hauling bags of mulch up and down the small hill the trail traversed, and covering the path with their contents. I kind of enjoyed the process though. It was fun to watch the trail take shape, and when it was done, boy, was I proud. It felt great to step back and see this thing I had made. Yes, blazing the trail was pretty fun. Maintaining it, though, well, that’s been another story. Turns out with trails you can’t just “fix it and forget it.” Each spring, prickly, dense vegetation explodes, entangling itself over the path to the extent that you practically can’t see it anymore. Every year it has to be cleared away once again. And I find it’s a lot harder to get motivated to do that job, than it was to make the trail in the first place. Upkeep is just a lot less sexy than creation. Still, I’ve got to keep at it if I want our family to be able to access the fire pit. As it goes with literal trails, so it goes with the metaphorical pathway to adulthood. The Art of Manliness has always aimed to be a magazine about helping men grow up well, and we have consequently spent a lot of time researching, writing, and thinking about not only what it means to be mature, but how to make adulthood a fulfilling endeavor. I used to think that the key shift to be made when growing up was moving from consuming to creating: a mature adult aimed to create more and consume less. I still think there’s a lot to that idea. But as I’ve gotten a little longer in the tooth, I’ve come to feel that the real crux of becoming an adult can even more accurately be captured this way: moving from choosing and pursuing to maintaining and building. Choosing &amp; Pursuing When you’re young, you’re staring down a hallway of unopened doors, unsure of what lies behind each. Where will you go to college? What will you major in? What will you do for work? Who will you marry? Where will you live? What will you believe? Will you have kids? How many? What will they be like? You’ve got a lot of choices to make, and the uncertainty surrounding them can be a source of anxiety and worry. But, also, a whole lot of excitement. Uncertainty has a paradoxical effect on the brain in which it causes both stress and the release of feel-good, motivation-heightening dopamine. Think about how much more often you check your phone when you’re waiting for a text from your crush, versus waiting for a text from someone you’ve been together with for a long time. Uncertainty is what drives you to keep pulling the arm of life’s metaphorical slot machine to see what comes up. Even as you start opening the various doors before you, and move from the realm of sheer possibility to experimenting with certain choices, the level of excitement and motivation you experience stays high because these initial forays are full of novelty — another dopamine primer. How wonderful is it when things are shiny and new? We speak about the “honeymoon period” in regards to romantic relationships, but every endeavor begins with that same giddiness-inducing phase. New friendships, new place to live, new job — everything’s a bit thrilling at the start. It’s the thrill of pursuit. In the gap between initiation and consummation, there is a compelling tension, an enlivening drama that’s downright intoxicating. Perhaps no scenario better encapsulates this feeling then the tension right before a first kiss — the electricity generated in the will-we-or-won’t-we dance. That tension dissipates a bit once the kissing commences (though when it’s a first kiss the novelty of it keeps the excitement level high). But even though the spark is discharged, the fun isn’t over; that little moment of pursuit and consummation is embedded within a broader, longer courtship cycle that itself is structured by the same dynamic. Still to come will be more phases of pursuit-tension-consummation as the couple takes their first steps into love, marriage, sex, and so on. This dynamic of following a trail of exciting new moments through the woods of some exciting new endeavor play out the same way whether it’s a new romantic relationship, a new friendship, a move to a new place, or a new job. In every case, though, all the “firsts” are eventually consummated. The overarching goal is achieved. The new becomes routine. And as you get older, this happens not only in one area, but along all the major avenues of life. You reach a point where you’ve opened all the doors and seen the contents of each once mysterious room: You know where you went to college and what you majored in. You know what you’re doing for work. You know where you’ll be living, at least for the foreseeable future. You mostly know what you believe. You know who your wife is (she’s sitting right across from you right now). You know what your kids are like (they’re asleep upstairs). While life can always shift and change, new possibilities can always emerge, and unknowns always remain, the biggest uncertainties are now pretty certain. You reach a point where you look around and realize: “This is my life.” Maintaining and Building Once you consummate your goals, dopamine, and instinctual motivation, plummet. Think about the build-up to much-desired sex — the frantic drive and lead-up to orgasm... and then the flatness that follows. Then juxtapose that dynamic on the longer-term pursuits in life, and there you essentially have the transition from youth to adulthood. That sounds kind of depressing perhaps. And indeed, some people just can’t get over the excitement and novelty that marked their younger years. They want that pre-first-kiss tension back, writ large. Once a relationship, job, or other endeavor loses its shiny newness, they start over again with another relationship, another job, another aim (which they’re sure, this time, will be their enduring passion). These folks get the benefit of ever replenishing the spark of electricity that marks the beginning of something new, but not the satisfactions attendant to seeing it through. They start projects, but don’t finish them; they dabble in things, but don’t stick with them. As a result, all the areas of their life remain in a shallow and superficial state. They have lovers but not partners. They have acquaintances but not best friends. They’ve got a new faith or spirituality every year. They know a little about a lot of places, but have never put down roots in any. They remain on the lower rungs of their career path, as workers, but not professionals. Fortunately, this isn’t the only way to deal with the fall off in excitement that follows the making of life’s major choices. Instead of constantly starting over again, you can shift to maintaining and building what you’ve already begun. You can decide it matters less how many choices you have, and more what you do with the ones you’ve already made. The shift from choosing and pursuing to maintaining and building takes more work, but it doesn’t mean giving up on experiencing zest and satisfaction; rather, it’s a matter of changing the fuel your pleasure system runs on. While the pleasure of pursuit is in getting something, period, the pleasure of building comes in getting better at something. So you know who’s going to be your wife. How can you be a better husband to her? You know where you’re going to live. How can you learn to really love that place? You know who your kids are. How can you be a better father to them? You’re pretty solid in your faith. How can you be a better disciple of it? You know what you’re going to do for work. How can you get better in your job? You’ve “won” a new buddy. How can you become a better friend to him? The process of building on what you’ve begun isn’t as sexy and doesn’t come with the automatic, visceral, neurotransmitter-driven motivation and rewards that accompany the pursuit of something new. Instead, the drive to maintain and improve life’s existing structures and the feeling of satisfaction in one’s efforts must be intentionally chosen and actively contemplated. The gratifications which accompany the work of building are not inferior — you simply have to learn to notice them and enjoy them. They don’t come mindlessly. You have to observe how you feel as you get better in your tasks. You have to take time to reflect on the meaning you get from them. Having known the pleasures of expanding, you have to learn to appreciate the satisfactions of deepening. Having known the pleasures of initiation, you have to learn to appreciate the joy of mastery. Once you’ve kindled life’s fledgling flames, the challenge becomes keeping them burning. And carrying them forward. What’s great about adulthood is that in finally getting centered with a lot of things in life, you can reach for more and more mastery with them. This isn’t just advantageous to you, but also allows you to become a mentor to others — to move into a generative phase in life where you’re able to make a real contribution to the world around you. Keep Pursuing Even though I think the major crux of moving from youth and immaturity (regardless of age) to a fulfilling, mature adulthood is shifting from running on the pleasures of pursuit to running on the satisfactions of construction, I don’t think you should ever entirely cease from engaging with the former. Being centered shouldn’t mean becoming lazily settled. Complacency kills. The endeavor of maintenance and improvement isn’t completely devoid of tension and drama. Even when you commit to certain people and certain things, your relationship with them, your ardency for the commitment, waxes and wanes; you go through smoother and rougher seasons, times when you’re closer to someone and more distant. Commitment is rarely a one-time deal, but something you choose over and over again. This ebb and flow is natural, and maybe even desirable; a fulfilling life needs a little tension and drama — an endlessly placid flow would grow boring. But if a rough patch persists, it’s time for a reevaluation. That doesn’t mean automatically following the temptation to chuck it, and start all over again. Sometimes you just need to tweak the way you’re doing things. If you really give something everything you’ve got, but it still doesn’t work, it might then be time to try something new — a new job, a new location, a new belief system. Adulthood is largely about maintaining and building what is, but that doesn’t mean entirely giving up on new possibilities for what could be. That goes not only for changing course on one’s existing commitments, but being open to new ones altogether — new friends, new hobbies, new travels, new adventures of all kinds. In improving on what you have, while reaching for fresh frontiers, you ever maintain the zeal of youth, no matter your age. As Bruce Barton once put it: “The minute a man ceases to grow—no matter what his years—that minute he begins to be old. As long as he can look back on every year and say, ‘I grew,’ he is still young. The minute he ceases to grow, the day he says to himself, ‘I know all that I need to know’—that day youth stops. He may be twenty-five or seventy-five, it makes no difference. On that day he begins to be old.” On the path of adulthood, blessed are not only the trail blazers, but the trail tenders.","We have a small lot of woodsy land behind our house, and a few years ago I decided to make a trail through it, leading to a “secret” fire pit. Blazing the trail was a lot of work — there were weeds to pull, thorny bushes to trim, and small trees to uproot. Th…",2018-04-02T20:02:41Z,"{'id': None, 'name': 'Artofmanliness.com'}",The Crux of Adulthood: From Choosing and Pursuing to Maintaining and Building,https://www.artofmanliness.com/2018/04/02/crux-adulthood-choosing-pursuing-maintaining-building/,https://content.artofmanliness.com/uploads/2018/03/Crux-Header-1.jpg,,Artofmanliness.com,uproot,1
