author,content,description,publishedAt,source,title,url,urlToImage,source_id,source_name,types,yes_disaster
Daniel Cooper,"Yummly's app has been reengineered with computer vision smarts that'll come in handy when you've got a half-stocked refrigerator and no idea what to eat. Use your smartphone's camera to scan all of the items in the coolbox and its computer vision chops will divine a recipe for you. Once you've decided what you're going to cook, the information will be pushed to one of a new range of Whirlpool cookers. A small, 5-inch wide touchscreen on the stovetop will then display step-by-step instructions for each phase of the recipe. So, it'll tell you when you've got to throw your chicken, or asparagus, into the pan, and then when the requisite time has elapsed, tell you to turn it over. And, the hope is, you'll be able to churn out better-looking, and better-tasting, meals with what would otherwise go to waste. Unfortunately, the future of cooking is still a few months away, and even when it gets here, it's going to be at the higher end of the price spectrum. But it's something to bear in mind when it comes to getting your kitchen replaced in the next couple of years. Nicole Lee contributed to this report. Click here to catch up on the latest news from CES 2018.","Back in 2017, appliance giant Whirlpool bought Yummly, the smart recipe network that plays host to over 25 million recipes. Now, the pair is showing off what the future of the partnership will look like by the second half of 2018, as both try to reverse the t…",2018-01-09T10:25:00Z,"{'id': 'engadget', 'name': 'Engadget'}",Whirlpool and Yummly will stop you from wasting food,https://www.engadget.com/2018/01/09/whirlpool-yummly-smart-kitchen/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fs.aolcdn.com%2Fhss%2Fstorage%2Fmidas%2Ff37b1b9244aa76b98ce06df658d81e97%2F206012069%2Fwhirlpool01.jpg&client=cbc79c14efcebee57402&signature=6c3f78fd4d903fd46f72a01537ba487ee7a6f4c5,engadget,Engadget,whirlpool,1
Jon Fingas,"Certain appliances have extra perks. The Smart Front Control Range and Smart Over the Range Microwave tie into Yummly's recipe app to help you cook -- you can send instructions directly to the appliance, complete with images and video. You can scan UPC barcodes on some frozen food to get directions as well. Amazon Virtual Dash can restock connected refrigerators, while the Smart All-in-One Washer and Dryer can send laundry alerts to your Apple Watch. Even the Smart Energy Star Certified Dishwasher can talk to your Nest devices and hold the washing cycle until you've left for work. Whirlpool hasn't discussed pricing, but you should see its 2018 roster arrive sometime in the spring. However, this clearly reflects how pervasive smart home tech has become -- you can now buy most vital appliances and assume you'll get smart controls that adapt to whichever devices you have in your home. Click here to catch up on the latest news from CES 2018.","Whirlpool's smart appliances have already had some voice assistant control, but they're about become particularly AI-savvy. The company has unveiled a 2018 lineup where many appliances support both Amazon Alexa and Google Assistant, letting you control most o…",2018-01-08T14:00:00Z,"{'id': 'engadget', 'name': 'Engadget'}",Whirlpool plugs Alexa and Google Assistant into its appliances,https://www.engadget.com/2018/01/08/whirlpool-2018-smart-appliances/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fs.aolcdn.com%2Fhss%2Fstorage%2Fmidas%2Fb020cab2cabee19e9ba2f9024f6c94d4%2F205987485%2Fwhirlpool-dishwasher-2018.jpg&client=cbc79c14efcebee57402&signature=3bb3d048f914c9cb013ed8a5942cecc085eb3885,engadget,Engadget,whirlpool,1
Shannon Liao,"Whirlpools new smart oven concept uses augmented reality to show you where to place your croissants and pizza. Its called the Whirlpool Connected Hub Wall Oven, and the AR aspect makes it a little bit unique within the smart oven category.
The oven has a 27-inch transparent LCD display on its front door, which you can use to pull up recipes. Once you select a recipe, the screen will tell you to gather the necessary ingredients and then display where to place food on the racks. In the demo I got to see, the oven suggested placing salmon on a top rack and asparagus on the bottom so that both items would be well-cooked at the same time.
AR comes into play in a couple of ways here, although it doesnt look as impressive as it sounds. Youre able to see how the meal should look when its finished cooking; so in my example, a floating salmon dish would hover on the front door before disappearing. And you can also see visualizations of where to place the trays. As someone who had to learn through trial and error to put the spinach puffs up top and the pizza on the lower rack, I would definitely find this feature useful.
This is what the interface looks like. On the display, these colors dont show up very well.
Image: Whirlpool
While everythings cooking, an internal camera allows you to check up on your food and even zoom in for a better look. Its a convenient way to see if your crust is golden brown but not yet burnt without opening your oven door, which might affect the bake.
Unfortunately, Whirlpools transparent screen doesnt look great. The salmon looked grayish on the screen, and WLabs, the Whirlpool incubator behind the oven, said that because the display is transparent, it couldnt be designed with a higher pixel density or more vibrant colors. 
Because its just a concept, theres no release date or even a rough estimate of availability for the oven. And WLabs says it will likely take a lot of further iterations and feedback from users before it reaches a final version.
For the time being, there are plenty ofother smart oven options out there that are trying to simplify the baking process, including another option from WLabs, which is going on sale later this year.","Whirlpool’s new smart oven concept uses augmented reality to show you where to place your croissants and pizza. It’s called the Whirlpool Connected Hub Wall Oven, and the AR aspect makes it a little bit unique within the smart oven category.",2019-01-08T23:22:14Z,"{'id': 'the-verge', 'name': 'The Verge'}",Whirlpool’s smart oven uses AR to assist your baking,https://www.theverge.com/2019/1/8/18174403/whirlpool-connected-hub-wall-smart-oven-ar-transparent-display,https://cdn.vox-cdn.com/thumbor/UaVIPYfARaB_Cs2q1d3-BRt3DwM=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/13677675/Screen_Shot_2019_01_08_at_2.51.35_PM.jpg,the-verge,The Verge,whirlpool,1
Adam Rosenberg,"You ever get the feeling that you're just a tiny, insignificant speck floating free in the vast ocean of our universe? If the answer is ""no"" then you haven't been spending enough time on the Hubble Space Telescope's YouTube channel.
A video posted late last month offers a detailed view of one of our Milky Way's neighbors, the Whirlpool Galaxy. The three-minute assemblage of photos and 3D visualizations breaks down the anatomy of the galaxy using data pulled from three sources.
Hubble itself only captured the visual imagery, actual photographs. The video's infrared imaging comes from the Spitzer Space Telescope, while the x-ray imaging comes from the Chandra X-Ray Observatory. Captions in the video guide viewers through a process of peeling away the Whirlpool Galaxy's layers, and looking at them across different spectral bands and wavelengths.
It's informative! And also pretty. Space gives good pictures. Just mind the abundance of existential minefields.","You ever get the feeling that you're just a tiny, insignificant speck floating free in the vast ocean of our universe? If the answer is ""no"" then you haven't been spending enough time on the Hubble Space Telescope's YouTube channel. A video posted late last m…",2019-02-03T16:23:50Z,"{'id': 'mashable', 'name': 'Mashable'}","Dizzying Hubble video zooms in for a detailed, layered look at the Whirlpool Galaxy",https://mashable.com/video/hubble-space-telescope-whirlpool-galaxy-video/,https://mondrian.mashable.com/2019%252F02%252F03%252F7a%252F0f9ea6bc9a51462bb02c77292eb47b9c.109ba.png%252F1200x630.png?signature=EREEF5kiJaIa7jHSInusCN24mx8=,mashable,Mashable,whirlpool,1
Jon Fingas,"Expect to see the cooking features in use very soon. Whirlpool has already created its own Alexa skill for microwaves, and plans to launch it ""soon."" GE Appliances, Kenmore, LG and Samsung have also committed to working on skills for their own ovens and ""more appliances."" Also, Amazon is putting its money where its mouth is. It's investing in June Life, the company behind the connected June Oven. The move will lead to June adding Alexa commands once oven support is available. All told, Amazon clearly hopes to become a mainstay in the kitchen -- the only button you may have to press is the one to open your microwave door.","Alexa's smart home skills aren't just for turning on the lights or locking your door these days -- now, they can help fulfill your culinary ambitions. Amazon has added cooking abilities to its Smart Home Skill framework, letting you control microwaves (and ev…",2018-01-04T18:11:00Z,"{'id': 'engadget', 'name': 'Engadget'}",Amazon Alexa now controls your microwave,https://www.engadget.com/2018/01/04/amazon-alexa-talks-to-microwaves-and-ovens/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D5184%252C3455%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C1067%26image_uri%3Dhttp%253A%252F%252Fo.aolcdn.com%252Fhss%252Fstorage%252Fmidas%252F2080d62055243d015b38608014c1f085%252F203202311%252Fstock-photo-man-putting-leftover-chili-into-microwave-oven-to-cook-234673366.jpg%26client%3Da1acac3e1b3290917d92%26signature%3D32f3dbc2098aabab55a290d5858d1e1a8acf9a30&client=cbc79c14efcebee57402&signature=b5580a3e084989cd555cc3bedc2e7687a5f5413c,engadget,Engadget,whirlpool,1
Nick Douglas,"This is not a dream. The top rack of your dishwasher is (probably) adjustable. Whatever height you always left it at, that was only one of multiple options. Go, adjust it. Now you can fit your pans and platters in the bottom rack—or now you can fit tall glasses and crockery in the top rack. You can even remove the top rack entirely. You are Doctor Strange; you are Neo; you are the Inception lady who can draw a maze real fast. Here are the words of the prophet who spake this truth from the wilderness, after he read the ancient texts (his dishwasher manual): Here are some brand videos showing you how to raise and lower the top rack on a Bosch dishwasher: A Whirlpool dishwasher: A Thermidor dishwasher: A Smeg dishwasher (haha “smeg”): Here’s the ending to The Matrix :","This is not a dream. The top rack of your dishwasher is (probably) adjustable. Whatever height you always left it at, that was only one of multiple options. Go, adjust it. Now you can fit your pans and platters in the bottom rack—or now you can fit tall glass…",2018-01-29T18:00:00Z,"{'id': None, 'name': 'Lifehacker.com'}",Adjust Your Top Dishwasher Rack Height Like a God of Time and Space,https://lifehacker.com/adjust-your-top-dishwasher-rack-height-like-a-god-of-ti-1822510698,"https://i.kinja-img.com/gawker-media/image/upload/s--JLmRFWZS--/c_fill,fl_progressive,g_center,h_450,q_80,w_800/mxkvenpaaqyaefvxl8cd.jpg",,Lifehacker.com,whirlpool,1
Rudie Obias,"If you have young adults going to college for the first time this year, this stainless steel mini refrigerator from Whirlpool is the perfect addition for their new dorm room and it's now on sale for just $84.99. SEE ALSO: 7 of the best laptops for students heading back to school Normally priced at $139.99, the mini fridge can hold just about anything with its two shelves, such as cans of soda, two-liter bottles, and even frozen pizza and ice cream. The appliance is designed to be small and out of the way, as it's only about 25 inches tall, 19 inches wide, and weighs only 43 pounds. It's a great centerpiece of any dorm room or office. Why go all the way to the campus cafeteria or dorm lobby for a cold drink when you can easily just get it out of this mini fridge in the corner of your room? Trust us, your kids will thank you and so will their new roommate. Look at all of that space inside of this mini-fridge! Image: whirlpool Target customer 2tobuy4 writes: ""Purchased this mini refrigerator for my son's college dorm for the fall. The item arrived on time and in perfect condition. We plugged the refrigerator in to make sure it worked well. It seems fine and will be heading to college in September! Very pleased with purchase."" The Whirlpool 2.7cu. ft. Stainless Steel Mini Refrigerator is now on sale for just $84.99, or 39% off its retail price of $139.99. Here's a pro tip: Order this mini fridge online and have it shipped to the dorm hall instead of your home. That way you don't have to lug it all the way to school when you're moving.","If you have young adults going to college for the first time this year, this stainless steel mini refrigerator from Whirlpool is the perfect addition for their new dorm room and it's now on sale for just $84.99. SEE ALSO: 7 of the best laptops for students he…",2018-08-07T15:51:32Z,"{'id': 'mashable', 'name': 'Mashable'}",Get a Whirlpool mini fridge on sale for less than $85 at Target,https://mashable.com/2018/08/07/whirlpool-mini-fridge-sale-target-back-to-school/,https://i.amz.mshcdn.com/oY43gA_xH0zdYvPcJKvy-mLrweM=/1200x630/2018%2F08%2F07%2F6b%2Fec60cabf20f14fa08fe94b58e797d520.e2882.jpg,mashable,Mashable,whirlpool,1
Cherlynn Low,"A challenge in building this device was getting WiFi inside the microwave and working, Amazon said, but it's managed to figure it out. The team has also integrated Dash replenishment service inside the microwave. If you run low on popcorn, for instance, you can easily order a replenishment. The appliance comes with a ""built-in Ask Alexa button"" for you to talk to the assistant. At its event, an Amazon executive said ""Alexa, one potato"" to the microwave, and it set a timer and turned on. He then said ""Alexa, add 30 seconds to the microwave,"" and the assistant updated the countdown. He also told Alexa to stop the microwave. The device will be shipping later this year. Of course, this isn't the first microwave with Alexa voice control feature s, other companies like GE, Whirlpool, Kenmore, LG and Samsung have either made or are working on appliances with Amazon's cooking Skill. But this is the first Echo-branded microwave, meaning it's hardware from Amazon itself and is likely to offer better integration with the company's assistant. This story is developing, please refresh for updates. Follow all the latest news from Amazon's Alexa event here!","Amazon is continuing its quest to make as many of its own Alexa devices as possible, launching a slew of new gadgets and features at its event in Seattle today. One of the more unusual announcements is the AmazonBasics microwave, with Alexa built in. A challe…",2018-09-20T17:45:00Z,"{'id': 'engadget', 'name': 'Engadget'}",The AmazonBasics Microwave has Alexa built-in,https://www.engadget.com/2018/09/20/amazon-amazonbasics-microwave-alexa/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fs.aolcdn.com%2Fhss%2Fstorage%2Fmidas%2Fed2d1125bec8068d8ce8dfa8ec1a0941%2F206680951%2Famazon%2Bmicrowave.jpg&client=amp-blogside-v2&signature=c9c81c39a9175fa93ff12293faadb2349cdd70d0,engadget,Engadget,whirlpool,1
Ryan F. Mandelbaum,"Slow waves meander westward out in the deep ocean south of Australia. Sometimes they carry with them carry large eddies, whirlpools over 100 miles across. But every so often, these whirlpools combine into double whirlpools and travel across the ocean 10 times faster than the rest of the whirlpools, moving in sync for months and potentially transporting minerals and nutrients with them. Scientists announced their observations of these “modons” for the first time in a new paper based on satellite data. These double whirlpools are important for more than just proving a theorized but previously unobserved oceanic anomaly, though. They could perhaps explain a new way to transport water quickly to other parts of the ocean. “Especially in the Tasman Sea, they represent an unusual pathway for propagation of water with different properties into the open ocean,” the authors write in the study, published this month in Geophysical Research Letters. Here’s the thing about Earth: It’s a big, spinning ball. That comes with consequences for the things not firmly attached to the planet itself, like the atmosphere and the oceans, which experience a “Coriolis force,” in which some objects’ paths bend as they travel away from or towards the poles. The different amount of bending at different latitudes in the ocean manifests as “Rossby waves,” a slow and westward movement of disturbances in the ocean water. That creates enormous circles of water called mesoscale eddies, which slowly travel westward—think of these eddies like the ocean weather patterns. Through satellite observations, scientists saw that when two of these eddies link up to create the “modon,” crazy things happen. Rather than travel westward at speeds of 1-2 centimeters per second (like,.02 to.04 miles per hour, literally the speed of a snail ), they might travel eastward at 10-20 centimeters per second (a lightning fast.2 to.4 miles per hour, which is perhaps closer to the speed of a tortoise ). Sorry if you were picturing super-fast vortexes of ocean water—but this video does speed things up a bit: These double whirlpools aren’t like, horrible ship-killing storms, nor are they “fast moving” except by comparison to how fast (i.e., very slow) they normally move. But they haven’t been observed before, and the researchers speculate that the behavior could have important implications for ocean life. These faster-moving whirlpools bring colder water to places where the water is usually warm, and vice versa. Perhaps they even transport food and nutrients for sea life. The scientists have hit a sort-of limit of how well they can probe these eddies with today’s technology, and hope that new satellites, like the upcoming Surface Water and Ocean Topography satellite, can help increase their understanding. The exciting thing about this research is that the ocean is still managing to surprise us even today, from its deepest depths to its churning surface. [ Geophysical Research Letters ]","Slow waves meander westward out in the deep ocean south of Australia. Sometimes they carry with them carry large eddies, whirlpools over 100 miles across. But every so often, these whirlpools combine into double whirlpools and travel across the ocean 10 times…",2017-12-28T23:00:00Z,"{'id': None, 'name': 'Gizmodo.com'}",Scientists Observe Strange Double Whirlpool Effect in Ocean for First Time,https://gizmodo.com/scientists-observe-strange-double-whirlpool-effect-in-o-1821632281,"https://i.kinja-img.com/gawker-media/image/upload/s--oI34D3C3--/c_fill,fl_progressive,g_center,h_450,q_80,w_800/qpizwxgnvcsv3m35krb7.jpg",,Gizmodo.com,whirlpool,1
Cherlynn Low,"Another reason the KitchenAid display is helpful for aspiring chefs is its Yummly integration. You can ask Google Assistant to search the service for recipes of your favorite food. Since Yummly is owned by KitchenAid's parent company Whirlpool, the smart display also comes with an exclusive Yummly Pro portal that offers premium chef content. Otherwise, Yummly is also available on the Lenovo Smart Display.
Unfortunately, the demo unit we saw wasn't actually up and running, and was looping a video instead, so we didn't get to test most of the features. But I did get to lift the device, and based on our experience, it's a bit lighter than the Lenovo Smart Display.
It's also a bit different seeing the KitchenAid display in person as opposed to looking at the press pictures. Rudimentary, functional, basic and practical were a few words my colleague and I threw about when thinking about how to describe the device's appearance. Don't get me wrong, I like it (as you can tell from my subheadline), but its design is indeed quite generic. There's nothing wrong with generic, though.
KitchenAid's option looks like a slightly less rectangular, a little curvier alternative to the Lenovo Smart Display. Its white plastic shell is plain, but will easily blend into your kitchen countertop. I'm not sure how I feel about its protruding rear, but it does provide balance and houses four speakers that were loud enough for me to hear over the noisy convention floor.
I would wait till we can test out a working version of the KitchenAid Smart Display before recommending you buy one, but if you already want it, good news. It'll cost between $200 and $300, which is about the same price range as competing devices. But you might have to wait for awhile, as KitchenAid said it's only shipping the display in the second half of the year. Meanwhile, please don't chuck your smart displays under running water. Cook safe.","A hundred years since its inception, KitchenAid is ready to drop its most modern product yet. It unveiled a smart display here at CES 2019 and managed to differentiate from other similar products by making its device water-resistant. Thanks to its IPX5 rating…",2019-01-08T15:00:00Z,"{'id': 'engadget', 'name': 'Engadget'}",KitchenAid's smart display shrugs off sauce and running water,https://www.engadget.com/2019/01/08/kitchenaid-smart-display-hands-on/,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=80&image_uri=https%3A%2F%2Fimg.vidible.tv%2Fprod%2F2019-01%2F08%2F5c342ee1523dc34cf432d1e7%2F5c343024e39d150671454853_o_U_v1.jpg&client=amp-blogside-v2&signature=5b777231518ad75eb673b406bb36669857792583,engadget,Engadget,whirlpool,1
